C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
5051000000.0,Cash And Cash Equivalents,672000000.0,Accounts Receivable,,,538000000.0,Net PPE,4339000000.0,Payables,,,7839000000.0,Long Term Debt,157542000000.0,Total Assets,124289000000.0,Total Liabilities Net Minority Interest,,,,,33253000000.0,Total Equity Gross Minority Interest,33253000000.0,Total Equity Gross Minority Interest,33253000000.0,Total Equity Gross Minority Interest,2021-12-31,A,21546000000.0,Total Revenue,,,-8000000.0,Other Operating Expenses,238000000.0,Interest Expense,4231000000.0,Net Income,977000000.0,Tax Provision,,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,3459000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2800000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,,,855000000.0,Cash Dividends Paid,4602000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,365.0,AFL,Financials,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,33253000000.0,1,0.0,0.0,,,,,2021,12,23.79345602141841,,,0.0,11.38401559454191,,,,,0.23442866425322564,0.04975815972883422,,,,,11.38401559454191,,,,,0.20207988655164263,-0.21358952937900305,0.23442866425322564,,,0.18759600614439323,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
3943000000.0,Cash And Cash Equivalents,647000000.0,Accounts Receivable,,,530000000.0,Net PPE,698000000.0,Payables,,,7295000000.0,Long Term Debt,131738000000.0,Total Assets,111598000000.0,Total Liabilities Net Minority Interest,,,,,20140000000.0,Total Equity Gross Minority Interest,20140000000.0,Total Equity Gross Minority Interest,20140000000.0,Total Equity Gross Minority Interest,2022-12-31,A,19151000000.0,Total Revenue,,,11000000.0,Other Operating Expenses,226000000.0,Interest Expense,4418000000.0,Net Income,451000000.0,Tax Provision,,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,3831000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,5664000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,,,979000000.0,Cash Dividends Paid,4802000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,365.0,AFL,Financials,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,20140000000.0,1,0.0,0.0,,,,,2022,12,23.675620770530834,-0.11783525088757685,,0.0005743825387708214,12.331209858493029,,,,,0.2058900318521226,0.055375062624299747,,,,,12.331209858493029,,,,,0.22159348121321865,-0.25074408647068036,0.2058900318521226,0.028830207934685548,0.028830207934685548,0.09262682275621277,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
4306000000.0,Cash And Cash Equivalents,848000000.0,Accounts Receivable,,,445000000.0,Net PPE,154000000.0,Payables,,,7240000000.0,Long Term Debt,126724000000.0,Total Assets,104739000000.0,Total Liabilities Net Minority Interest,,,,,21985000000.0,Total Equity Gross Minority Interest,21985000000.0,Total Equity Gross Minority Interest,21985000000.0,Total Equity Gross Minority Interest,2023-12-31,A,18841000000.0,Total Revenue,,,140000000.0,Other Operating Expenses,195000000.0,Interest Expense,4659000000.0,Net Income,603000000.0,Tax Provision,,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,612000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,,,966000000.0,Cash Dividends Paid,5602000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,365.0,AFL,Financials,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,21985000000.0,1,0.0,0.0,,,,,2023,12,23.659301183242274,-0.0163195872885602,,0.007430603471153336,16.428002759938433,,,,,0.22854413247704475,0.05713203497364351,,,,,16.428002759938433,,,,,0.20734063103670317,-0.29733029032429276,0.22854413247704475,0.026730637422892393,0.026730637422892393,0.1145952109464082,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,AFL,Financials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
5612000000.0,Cash And Cash Equivalents,814000000.0,Accounts Receivable,,,421000000.0,Net PPE,454000000.0,Payables,,,7868000000.0,Long Term Debt,128442000000.0,Total Assets,103612000000.0,Total Liabilities Net Minority Interest,,,,,24830000000.0,Total Equity Gross Minority Interest,24830000000.0,Total Equity Gross Minority Interest,24830000000.0,Total Equity Gross Minority Interest,2024-09-30,Q,3035000000.0,Total Revenue,,,86000000.0,Other Operating Expenses,50000000.0,Interest Expense,-93000000.0,Net Income,185000000.0,Tax Provision,,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,,,270000000.0,Cash Dividends Paid,1000000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,91.25,AFL,Financials,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,24830000000.0,1,0.0,0.0,,,,,2024,9,21.833477261457872,,,0.028336079077429983,24.47364085667216,,,,,1.8490939044481054,0.06125722115818813,,,,,24.47364085667216,,,,,0.0,-0.32948929159802304,0.5,,,0.5,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
6229000000.0,Cash And Cash Equivalents,779000000.0,Accounts Receivable,,,387000000.0,Net PPE,573000000.0,Payables,,,7402000000.0,Long Term Debt,117566000000.0,Total Assets,91468000000.0,Total Liabilities Net Minority Interest,,,,,26098000000.0,Total Equity Gross Minority Interest,26098000000.0,Total Equity Gross Minority Interest,26098000000.0,Total Equity Gross Minority Interest,2024-12-31,A,19128000000.0,Total Revenue,,,201000000.0,Other Operating Expenses,197000000.0,Interest Expense,5443000000.0,Net Income,974000000.0,Tax Provision,,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,2469000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,776000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,,,1087000000.0,Cash Dividends Paid,5600000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,365.0,AFL,Financials,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,26098000000.0,1,0.0,0.0,,,,,2024,12,23.674419067102434,1.8409418056445617,,0.010508155583437892,14.864857800083646,,,,,0.3256482643245504,0.06296037970161442,,,,,14.864857800083646,,,,,0.1997060444607753,-0.2927645336679214,0.3256482643245504,0.025038129130655822,0.025038129130655822,0.15178432289231727,0.6,-1.0,-1.8369701987210297e-16,1.0,0.0
5231000000.0,Cash And Cash Equivalents,894000000.0,Accounts Receivable,,,391000000.0,Net PPE,815000000.0,Payables,,,7653000000.0,Long Term Debt,120258000000.0,Total Assets,93920000000.0,Total Liabilities Net Minority Interest,,,,,26338000000.0,Total Equity Gross Minority Interest,26338000000.0,Total Equity Gross Minority Interest,26338000000.0,Total Equity Gross Minority Interest,2025-03-31,Q,3453000000.0,Total Revenue,,,55000000.0,Other Operating Expenses,50000000.0,Interest Expense,29000000.0,Net Income,116000000.0,Tax Provision,,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,,,306000000.0,Cash Dividends Paid,1800000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,91.25,AFL,Financials,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,26338000000.0,1,0.0,0.0,,,,,2025,3,21.962509255354266,-1.7119098117481677,,0.01592817839559803,23.625108601216333,,,,,1.514914567043151,0.06363817791747742,,,,,23.625108601216333,,,,,1.0,-0.5212858384013901,0.5,0.006754931099702783,0.006754931099702783,0.5,0.8,0.0,1.0,0.25,0.0
6965000000.0,Cash And Cash Equivalents,873000000.0,Accounts Receivable,,,390000000.0,Net PPE,685000000.0,Payables,86000000.0,Current Debt,8751000000.0,Long Term Debt,124736000000.0,Total Assets,97536000000.0,Total Liabilities Net Minority Interest,,,,,27200000000.0,Total Equity Gross Minority Interest,27200000000.0,Total Equity Gross Minority Interest,27200000000.0,Total Equity Gross Minority Interest,2025-06-30,Q,4218000000.0,Total Revenue,,,58000000.0,Other Operating Expenses,52000000.0,Interest Expense,599000000.0,Net Income,223000000.0,Tax Provision,,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,3117000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,,,301000000.0,Cash Dividends Paid,1658000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,91.25,AFL,Financials,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,27200000000.0,1,0.0,0.0,,,,,2025,6,22.162626919002992,0.20011766364872585,,0.013750592697961118,18.886024182076813,,,,,1.6512565196775724,0.07084562596203181,,,,,18.886024182076813,,,,,0.5025041736227045,-0.3930772878141299,0.5,0.006794721024434862,0.006794721024434862,0.2712895377128954,0.8,1.0,6.123233995736766e-17,0.25,0.0
6768000000.0,Cash And Cash Equivalents,852000000.0,Accounts Receivable,,,1307000000.0,Net PPE,1477000000.0,Payables,0.0,Current Debt,8598000000.0,Long Term Debt,122306000000.0,Total Assets,93618000000.0,Total Liabilities Net Minority Interest,,,,,28688000000.0,Total Equity Gross Minority Interest,28688000000.0,Total Equity Gross Minority Interest,28688000000.0,Total Equity Gross Minority Interest,2025-09-30,Q,4793000000.0,Total Revenue,,,53000000.0,Other Operating Expenses,57000000.0,Interest Expense,1639000000.0,Net Income,355000000.0,Tax Provision,,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,336000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,,,299000000.0,Cash Dividends Paid,2000000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,91.25,AFL,Financials,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,28688000000.0,1,0.0,0.0,,,,,2025,9,22.290422357123905,0.12779543812091276,,0.011057792614229085,16.220529939495098,,,,,1.4120592530774045,0.07029908589930176,,,,,16.220529939495098,,,,,0.18242830994508846,-0.4172751929897768,0.5,0.006450152766776056,0.006450152766776056,0.17803410230692077,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-31,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,AFL,Financials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2025,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,-1.0,-1.8369701987210297e-16,1.0,0.0
