C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,,,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,,,,,,,,,365.0,AME,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
345386000.0,Cash And Cash Equivalents,919335000.0,Accounts Receivable,1044284000.0,Inventory,805936000.0,Net PPE,497134000.0,Accounts Payable,226079000.0,Current Debt,2158928000.0,Long Term Debt,12431120000.0,Total Assets,4954608000.0,Total Liabilities Net Minority Interest,2528058000.0,Current Assets,1564202000.0,Current Liabilities,7476512000.0,Total Equity Gross Minority Interest,7476512000.0,Total Equity Gross Minority Interest,7476512000.0,Total Equity Gross Minority Interest,2022-12-31,A,6150530000.0,Total Revenue,4005261000.0,Cost Of Revenue,644577000.0,Operating Expense,83186000.0,Interest Expense,1159542000.0,Net Income,269150000.0,Tax Provision,113700000.0,,0.0,Net Common Stock Issuance,,,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,139005000.0,Capital Expenditure,202169000.0,Cash Dividends Paid,665642000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,113700000.0,Depreciation,365.0,AME,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,7476512000.0,1,0.0,0.0,219053000.0,9097126000.0,840989000.0,1231478000.0,2022,12,22.539804093913443,,0.34879416895779713,0.10480023672756657,54.55745683705307,95.1657482496147,45.30389155663014,0.02260049133977072,,0.05615548578740369,0.19185777307274002,0.035615304697318766,1.0,0.13673439524723885,0.2002230702069578,54.55745683705307,95.1657482496147,45.30389155663014,0.02260049133977072,,0.1743524598505272,-0.10822514482491753,0.05615548578740369,,,0.1883890999599634,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
409804000.0,Cash And Cash Equivalents,1012932000.0,Accounts Receivable,1132471000.0,Inventory,1121016000.0,Net PPE,516588000.0,Accounts Payable,1417915000.0,Current Debt,1895432000.0,Long Term Debt,15023533000.0,Total Assets,6293342000.0,Total Liabilities Net Minority Interest,2824668000.0,Current Assets,2882573000.0,Current Liabilities,8730191000.0,Total Equity Gross Minority Interest,8730191000.0,Total Equity Gross Minority Interest,8730191000.0,Total Equity Gross Minority Interest,2023-12-31,A,6596950000.0,Total Revenue,4212485000.0,Cost Of Revenue,677006000.0,Operating Expense,81795000.0,Interest Expense,1313188000.0,Net Income,293224000.0,Tax Provision,122500000.0,,0.0,Net Common Stock Issuance,,,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,136249000.0,Capital Expenditure,230329000.0,Cash Dividends Paid,15544000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,122500000.0,Depreciation,365.0,AME,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,8730191000.0,1,0.0,0.0,269461000.0,11077849000.0,948070000.0,1515337000.0,2023,12,22.609873257955755,0.07006916404231234,0.36144960928914116,0.102624091436194,56.04410826215145,98.12543308759557,44.7609000388132,0.020653332221708516,0.15199718091759148,0.0621202222239065,0.22054379618961797,0.040846300184176024,1.0,0.14371338269958087,0.22970266562578162,56.04410826215145,98.12543308759557,44.7609000388132,0.020653332221708516,0.15199718091759148,0.17539682056186928,-0.002356240383813732,0.0621202222239065,0.034295496826634055,0.034295496826634055,0.1825334970107295,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,AME,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,,,1200000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,,,,,,,,,91.25,AME,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
373999000.0,Cash And Cash Equivalents,948830000.0,Accounts Receivable,1021713000.0,Inventory,1054277000.0,Net PPE,523332000.0,Accounts Payable,654346000.0,Current Debt,1425375000.0,Long Term Debt,14631169000.0,Total Assets,4975865000.0,Total Liabilities Net Minority Interest,2603032000.0,Current Assets,2098587000.0,Current Liabilities,9655304000.0,Total Equity Gross Minority Interest,9655304000.0,Total Equity Gross Minority Interest,9655304000.0,Total Equity Gross Minority Interest,2024-12-31,A,6941180000.0,Total Revenue,4464713000.0,Cost Of Revenue,696905000.0,Operating Expense,112962000.0,Interest Expense,1376124000.0,Net Income,285415000.0,Tax Provision,135300000.0,,0.0,Net Common Stock Issuance,,,1200000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,127075000.0,Capital Expenditure,258782000.0,Cash Dividends Paid,424054000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,135300000.0,Depreciation,365.0,AME,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,9655304000.0,1,0.0,0.0,258490000.0,10973860000.0,920909000.0,1451903000.0,2024,12,22.660737625830308,,0.3567789626547647,0.10040151674499148,49.89395895222426,83.52726031886036,42.78352942283188,0.018307405945386806,,0.05388118446719434,0.14214318760175623,0.03724006581013603,1.0,0.13267326304749336,0.20917235974286794,49.89395895222426,83.52726031886036,42.78352942283188,0.018307405945386806,,0.18805136746397855,-0.06109249435974863,0.05388118446719434,,,0.17177749062766506,0.6,-1.0,-1.8369701987210297e-16,1.0,0.0
399001000.0,Cash And Cash Equivalents,996536000.0,Accounts Receivable,1069527000.0,Inventory,1059020000.0,Net PPE,534447000.0,Accounts Payable,471521000.0,Current Debt,1459445000.0,Long Term Debt,14877096000.0,Total Assets,4907150000.0,Total Liabilities Net Minority Interest,2760796000.0,Current Assets,1962559000.0,Current Liabilities,9969946000.0,Total Equity Gross Minority Interest,9969946000.0,Total Equity Gross Minority Interest,9969946000.0,Total Equity Gross Minority Interest,2025-03-31,Q,1731971000.0,Total Revenue,1106971000.0,Cost Of Revenue,170171000.0,Operating Expense,18993000.0,Interest Expense,351758000.0,Net Income,82464000.0,Tax Provision,35586000.0,,0.0,Net Common Stock Issuance,,,,,23069000.0,Capital Expenditure,71455000.0,Cash Dividends Paid,36022000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,35586000.0,Depreciation,91.25,AME,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,9969946000.0,1,0.0,0.0,295732000.0,11057280000.0,956591000.0,1485146000.0,2025,3,21.272525903297517,-1.388211722532791,0.36086054558650227,0.09825279984480109,52.50313659986224,88.1634105590842,44.05561550392919,0.013319507081816034,0.033753937532546,0.230373949679296,0.1297945513022165,0.17074881738782,1.0,0.5,0.8574889533369785,52.50313659986224,88.1634105590842,44.05561550392919,0.013319507081816034,0.033753937532546,0.2031368156516696,-0.02079826971698718,0.230373949679296,0.009132474981019089,0.009132474981019089,0.18991207262644455,0.8,0.0,1.0,0.25,0.0
619712000.0,Cash And Cash Equivalents,1020967000.0,Accounts Receivable,1110502000.0,Inventory,1082064000.0,Net PPE,549291000.0,Accounts Payable,407651000.0,Current Debt,1534347000.0,Long Term Debt,15266546000.0,Total Assets,4877874000.0,Total Liabilities Net Minority Interest,3051837000.0,Current Assets,1868435000.0,Current Liabilities,10388672000.0,Total Equity Gross Minority Interest,10388672000.0,Total Equity Gross Minority Interest,10388672000.0,Total Equity Gross Minority Interest,2025-06-30,Q,1778056000.0,Total Revenue,1142167000.0,Cost Of Revenue,174263000.0,Operating Expense,16857000.0,Interest Expense,358367000.0,Net Income,83802000.0,Tax Provision,36276000.0,,0.0,Net Common Stock Issuance,,,,,29269000.0,Capital Expenditure,71505000.0,Cash Dividends Paid,222000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,36276000.0,Depreciation,91.25,AME,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,10388672000.0,1,0.0,0.0,300656000.0,11132645000.0,911493000.0,1475092000.0,2025,6,21.298786469605126,0.026260566307609423,0.35763159315567117,0.09800759931070788,52.396121803812704,88.72021998534365,43.883953703792876,0.016461236316516466,0.03425431058903514,0.3485334545143685,0.1272061145985477,0.16909253701795668,1.0,0.5,0.8296094161263762,52.396121803812704,88.72021998534365,43.883953703792876,0.016461236316516466,0.03425431058903514,0.1995300906612495,-0.00012485546012049116,0.3485334545143685,0.008729827454237931,0.008729827454237931,0.18952481969563673,0.8,1.0,6.123233995736766e-17,0.25,0.0
439237000.0,Cash And Cash Equivalents,1135967000.0,Accounts Receivable,1153074000.0,Inventory,1113192000.0,Net PPE,582010000.0,Accounts Payable,1038143000.0,Current Debt,1426072000.0,Long Term Debt,16182257000.0,Total Assets,5655381000.0,Total Liabilities Net Minority Interest,3061545000.0,Current Assets,2649803000.0,Current Liabilities,10526876000.0,Total Equity Gross Minority Interest,10526876000.0,Total Equity Gross Minority Interest,10526876000.0,Total Equity Gross Minority Interest,2025-09-30,Q,1892641000.0,Total Revenue,1206505000.0,Cost Of Revenue,197756000.0,Operating Expense,22514000.0,Interest Expense,371416000.0,Net Income,76549000.0,Tax Provision,35780000.0,,0.0,Net Common Stock Issuance,,,759768000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,20913000.0,Capital Expenditure,71410000.0,Cash Dividends Paid,291002000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,35780000.0,Depreciation,91.25,AME,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,10526876000.0,1,0.0,0.0,333267000.0,12007520000.0,1029650000.0,1579506000.0,2025,9,21.36123904512406,0.06245257551893246,0.36252834002856327,0.10448679913412,54.76843667129688,87.20892370939201,44.01839403898036,0.011049639102185782,0.03306643599639208,0.23207623632796712,0.15227881994458498,0.17608569189825224,1.0,0.5,0.8345512963102881,54.76843667129688,87.20892370939201,44.01839403898036,0.011049639102185782,0.03306643599639208,0.19226419971137484,-0.1537544626793988,0.23207623632796712,0.011593214823084267,0.011593214823084267,0.17088165370062394,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
457951000.0,Cash And Cash Equivalents,1119257000.0,Accounts Receivable,1106405000.0,Inventory,1128357000.0,Net PPE,617950000.0,Accounts Payable,1208975000.0,Current Debt,1074334000.0,Long Term Debt,16067543000.0,Total Assets,5438757000.0,Total Liabilities Net Minority Interest,3019842000.0,Current Assets,2842752000.0,Current Liabilities,10628786000.0,Total Equity Gross Minority Interest,10628786000.0,Total Equity Gross Minority Interest,10628786000.0,Total Equity Gross Minority Interest,2025-12-31,A,7401116000.0,Total Revenue,4733677000.0,Cost Of Revenue,757122000.0,Operating Expense,81254000.0,Interest Expense,1480142000.0,Net Income,318197000.0,Tax Provision,145536000.0,,0.0,Net Common Stock Issuance,,,2059768000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,130248000.0,Capital Expenditure,285345000.0,Cash Dividends Paid,868096000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,145536000.0,Depreciation,365.0,AME,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,10628786000.0,1,0.0,0.0,336229000.0,11919344000.0,1015827000.0,1521671000.0,2025,12,22.72489663659654,1.3636575914724816,0.3604103759487083,0.10229835608575788,55.198270774299445,85.31165624524023,47.64831863264012,0.017598427048028973,0.13073755470754372,0.061875938709783765,0.1421069170314341,0.04542950009160781,1.0,0.13725321964957718,0.20560020948192137,55.198270774299445,85.31165624524023,47.64831863264012,0.017598427048028973,0.13073755470754372,0.1927821790071493,-0.11729258128098519,0.061875938709783765,0.03297358387965336,0.03297358387965336,0.17693938684530558,0.8,-1.0,-1.8369701987210297e-16,1.0,0.0
