C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,AMGN,Health Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
7629000000.0,Cash And Cash Equivalents,5563000000.0,Accounts Receivable,4930000000.0,Inventory,5427000000.0,Net PPE,1572000000.0,Accounts Payable,1591000000.0,Current Debt,37354000000.0,Long Term Debt,65121000000.0,Total Assets,61460000000.0,Total Liabilities Net Minority Interest,22186000000.0,Current Assets,15687000000.0,Current Liabilities,3661000000.0,Total Equity Gross Minority Interest,3661000000.0,Total Equity Gross Minority Interest,3661000000.0,Total Equity Gross Minority Interest,2022-12-31,A,26323000000.0,Total Revenue,6406000000.0,Cost Of Revenue,10351000000.0,Operating Expense,1406000000.0,Interest Expense,6552000000.0,Net Income,794000000.0,Tax Provision,3417000000.0,,0.0,Net Common Stock Issuance,20757000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,936000000.0,Capital Expenditure,4196000000.0,Cash Dividends Paid,12720000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,3417000000.0,Depreciation,365.0,AMGN,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3661000000.0,1,0.0,0.0,4064000000.0,37508000000.0,12524000000.0,8419000000.0,2022,12,23.993708918671018,,0.7566386810014056,0.3932302549101546,77.13767427724804,280.900718076803,89.56915391820169,0.035558257037571706,,0.2898225886107207,0.5980405706300579,0.15438969722296092,1.0,0.47578163583178207,0.3198343653838848,77.13767427724804,280.900718076803,89.56915391820169,0.035558257037571706,,0.6404151404151404,-0.48322759563879497,0.2898225886107207,,,0.1080860332153553,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
10944000000.0,Cash And Cash Equivalents,7268000000.0,Accounts Receivable,9518000000.0,Inventory,5941000000.0,Net PPE,1590000000.0,Accounts Payable,1443000000.0,Current Debt,63170000000.0,Long Term Debt,97154000000.0,Total Assets,90922000000.0,Total Liabilities Net Minority Interest,30332000000.0,Current Assets,18392000000.0,Current Liabilities,6232000000.0,Total Equity Gross Minority Interest,6232000000.0,Total Equity Gross Minority Interest,6232000000.0,Total Equity Gross Minority Interest,2023-12-31,A,28190000000.0,Total Revenue,8451000000.0,Cost Of Revenue,11842000000.0,Operating Expense,2875000000.0,Interest Expense,6717000000.0,Net Income,1138000000.0,Tax Provision,4071000000.0,,0.0,Net Common Stock Issuance,83331000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,5816000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,1112000000.0,Capital Expenditure,4556000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,4071000000.0,Depreciation,365.0,AMGN,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,6232000000.0,1,0.0,0.0,2602000000.0,60881000000.0,15359000000.0,9360000000.0,2023,12,24.062233142072433,0.06852422340141473,0.7002128414331323,0.4200780418588152,94.10500177367861,411.0838953969944,68.67234646787362,0.03944661227385598,0.5,0.38822277403334515,0.6650575375177553,0.09230223483504789,1.0,0.5,0.3320326356864136,94.10500177367861,411.0838953969944,68.67234646787362,0.03944661227385598,0.5,0.6782789935983325,0.0,0.38822277403334515,0.07382205674669405,0.07382205674669405,0.14487587523870146,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,,,,,,,,,91.25,AMGN,Health Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,,,,,,,,,91.25,AMGN,Health Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
11973000000.0,Cash And Cash Equivalents,6782000000.0,Accounts Receivable,6998000000.0,Inventory,6543000000.0,Net PPE,1908000000.0,Accounts Payable,3550000000.0,Current Debt,56549000000.0,Long Term Debt,91839000000.0,Total Assets,85962000000.0,Total Liabilities Net Minority Interest,29030000000.0,Current Assets,23099000000.0,Current Liabilities,5877000000.0,Total Equity Gross Minority Interest,5877000000.0,Total Equity Gross Minority Interest,5877000000.0,Total Equity Gross Minority Interest,2024-12-31,A,33424000000.0,Total Revenue,12858000000.0,Cost Of Revenue,13308000000.0,Operating Expense,3155000000.0,Interest Expense,4090000000.0,Net Income,519000000.0,Tax Provision,5592000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,14400000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,1096000000.0,Capital Expenditure,4832000000.0,Cash Dividends Paid,400000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,5592000000.0,Depreciation,365.0,AMGN,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,5877000000.0,1,0.0,0.0,3277000000.0,56266000000.0,17641000000.0,6314000000.0,2024,12,24.232540041760622,,0.6153063666826233,0.3981570129248444,74.06145284825276,198.65220096438014,54.162389174055065,0.032790808999521304,,0.3582156534226903,0.6543951915852743,0.0980433221637147,1.0,0.5,0.18890617520344663,74.06145284825276,198.65220096438014,54.162389174055065,0.032790808999521304,,1.0,-0.011967448539971278,0.3582156534226903,,,0.1126057713169885,0.6,-1.0,-1.8369701987210297e-16,1.0,0.0
8810000000.0,Cash And Cash Equivalents,8132000000.0,Accounts Receivable,6729000000.0,Inventory,6681000000.0,Net PPE,2406000000.0,Accounts Payable,3368000000.0,Current Debt,54013000000.0,Long Term Debt,89367000000.0,Total Assets,83160000000.0,Total Liabilities Net Minority Interest,26929000000.0,Current Assets,23008000000.0,Current Liabilities,6207000000.0,Total Equity Gross Minority Interest,6207000000.0,Total Equity Gross Minority Interest,6207000000.0,Total Equity Gross Minority Interest,2025-03-31,Q,8149000000.0,Total Revenue,2968000000.0,Cost Of Revenue,4003000000.0,Operating Expense,723000000.0,Interest Expense,1730000000.0,Net Income,243000000.0,Tax Provision,1387000000.0,,,,,,10000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,411000000.0,Capital Expenditure,1279000000.0,Cash Dividends Paid,,,1387000000.0,Depreciation,91.25,AMGN,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,6207000000.0,1,0.0,0.0,3258000000.0,55757000000.0,17234000000.0,6139000000.0,2025,3,22.821161057284495,-1.4113789844761264,0.6357835317216836,0.4912259172904651,91.05963921953614,206.88047506738545,73.97152964959568,0.050435636274389496,0.2119822711294513,1.081114247146889,0.6420826479572996,0.399803656890416,1.0,0.5,0.7533439685851024,91.05963921953614,206.88047506738545,73.97152964959568,0.050435636274389496,0.2119822711294513,0.7393063583815029,,0.5,0.012030150252084062,0.012030150252084062,0.12316269640141916,0.8,0.0,1.0,0.25,0.0
8028000000.0,Cash And Cash Equivalents,8701000000.0,Accounts Receivable,6583000000.0,Inventory,6855000000.0,Net PPE,3010000000.0,Accounts Payable,2444000000.0,Current Debt,53760000000.0,Long Term Debt,87897000000.0,Total Assets,80469000000.0,Total Liabilities Net Minority Interest,26734000000.0,Current Assets,20476000000.0,Current Liabilities,7428000000.0,Total Equity Gross Minority Interest,7428000000.0,Total Equity Gross Minority Interest,7428000000.0,Total Equity Gross Minority Interest,2025-06-30,Q,9179000000.0,Total Revenue,3011000000.0,Cost Of Revenue,3512000000.0,Operating Expense,694000000.0,Interest Expense,1432000000.0,Net Income,136000000.0,Tax Provision,1341000000.0,,,,,,4000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,369000000.0,Capital Expenditure,1280000000.0,Cash Dividends Paid,,,1341000000.0,Depreciation,91.25,AMGN,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,7428000000.0,1,0.0,0.0,3422000000.0,54308000000.0,15022000000.0,6233000000.0,2025,6,22.940184103183366,0.1190230458988708,0.6719686240331191,0.3826124850201547,86.49812071031702,199.50141149119895,91.21969445366987,0.04020045756618368,0.20071845532105972,0.8746050768057523,0.6394302422153202,0.372807495369866,1.0,0.5,0.6790500054472165,86.49812071031702,199.50141149119895,91.21969445366987,0.04020045756618368,0.20071845532105972,0.8938547486033519,,0.5,0.01209459577211969,0.01209459577211969,0.08673469387755102,0.8,1.0,6.123233995736766e-17,0.25,0.0
9445000000.0,Cash And Cash Equivalents,8490000000.0,Accounts Receivable,6346000000.0,Inventory,7220000000.0,Net PPE,2838000000.0,Accounts Payable,2153000000.0,Current Debt,52434000000.0,Long Term Debt,90141000000.0,Total Assets,80522000000.0,Total Liabilities Net Minority Interest,27885000000.0,Current Assets,21791000000.0,Current Liabilities,9619000000.0,Total Equity Gross Minority Interest,9619000000.0,Total Equity Gross Minority Interest,9619000000.0,Total Equity Gross Minority Interest,2025-09-30,Q,9557000000.0,Total Revenue,3082000000.0,Cost Of Revenue,3949000000.0,Operating Expense,685000000.0,Interest Expense,3216000000.0,Net Income,705000000.0,Tax Provision,1307000000.0,,,,,,6000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,436000000.0,Capital Expenditure,1282000000.0,Cash Dividends Paid,,,1307000000.0,Depreciation,91.25,AMGN,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,9619000000.0,1,0.0,0.0,3604000000.0,55036000000.0,16800000000.0,6297000000.0,2025,9,22.980539707230452,0.04035560404708605,0.6775138641833212,0.41320498064246103,81.0623103484357,187.88854639844257,84.02579493835172,0.04562101077744062,0.19066374908825676,0.9882808412681804,0.6055734904205633,0.3771057863346238,1.0,0.5,0.6588887726273935,81.0623103484357,187.88854639844257,84.02579493835172,0.04562101077744062,0.19066374908825676,0.3986318407960199,,0.5,0.012187744644509288,0.012187744644509288,0.17980107115531752,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
9129000000.0,Cash And Cash Equivalents,9570000000.0,Accounts Receivable,6225000000.0,Inventory,7913000000.0,Net PPE,2367000000.0,Accounts Payable,4599000000.0,Current Debt,50005000000.0,Long Term Debt,90586000000.0,Total Assets,81928000000.0,Total Liabilities Net Minority Interest,29057000000.0,Current Assets,25489000000.0,Current Liabilities,8658000000.0,Total Equity Gross Minority Interest,8658000000.0,Total Equity Gross Minority Interest,8658000000.0,Total Equity Gross Minority Interest,2025-12-31,A,36751000000.0,Total Revenue,12037000000.0,Cost Of Revenue,15634000000.0,Operating Expense,2755000000.0,Interest Expense,7711000000.0,Net Income,1265000000.0,Tax Provision,5167000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,20000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,1858000000.0,Capital Expenditure,5124000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,5167000000.0,Depreciation,365.0,AMGN,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,8658000000.0,1,0.0,0.0,4133000000.0,53616000000.0,18523000000.0,6434000000.0,2025,12,24.3274312731194,1.3468915658889493,0.6724714973742212,0.42540339038393515,95.04639329542053,188.76173465149122,71.77494392290438,0.050556447443606975,0.5,0.2484014040434274,0.6027863025191531,0.11245952491088677,1.0,0.5,0.17507006612064976,95.04639329542053,188.76173465149122,71.77494392290438,0.050556447443606975,0.5,0.6645052522370639,0.0,0.2484014040434274,0.050469892098851374,0.050469892098851374,0.1409313725490196,0.8,-1.0,-1.8369701987210297e-16,1.0,0.0
