C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
7248000000.0,Cash And Cash Equivalents,16205000000.0,Accounts Receivable,,,,,2527000000.0,Payables And Accrued Expenses,200000000.0,Current Debt,4956000000.0,Long Term Debt,175910000000.0,Total Assets,169969000000.0,Total Liabilities Net Minority Interest,,,,,5941000000.0,Total Equity Gross Minority Interest,5941000000.0,Total Equity Gross Minority Interest,5941000000.0,Total Equity Gross Minority Interest,2021-12-31,A,13377000000.0,Total Revenue,,,13491000000.0,Selling General And Administration+Selling And Marketing Expense,191000000.0,Interest Expense,3417000000.0,Net Income,768000000.0,Tax Provision,98000000.0,,0.0,Net Common Stock Issuance,5280000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,4604000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,120000000.0,Capital Expenditure,511000000.0,Cash Dividends Paid,4060000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,98000000.0,Depreciation,365.0,AMP,Financials,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,5941000000.0,1,0.0,0.0,,,,,2021,12,23.31680265125986,,,1.0,442.16378859236005,,,0.008970621215519175,,0.5418255214173582,0.02931044284008868,,,,,442.16378859236005,,,0.008970621215519175,,0.14954638571846648,-0.3035060177917321,0.5,,,0.18351254480286738,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
7097000000.0,Cash And Cash Equivalents,15595000000.0,Accounts Receivable,,,,,2242000000.0,Payables And Accrued Expenses,1501000000.0,Current Debt,3854000000.0,Long Term Debt,158852000000.0,Total Assets,155049000000.0,Total Liabilities Net Minority Interest,,,,,3803000000.0,Total Equity Gross Minority Interest,3803000000.0,Total Equity Gross Minority Interest,3803000000.0,Total Equity Gross Minority Interest,2022-12-31,A,14258000000.0,Total Revenue,,,13593000000.0,Selling General And Administration+Selling And Marketing Expense,198000000.0,Interest Expense,3149000000.0,Net Income,782000000.0,Tax Provision,-40000000.0,,0.0,Net Common Stock Issuance,2508000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2056000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,182000000.0,Capital Expenditure,534000000.0,Cash Dividends Paid,3956000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,-40000000.0,Depreciation,365.0,AMP,Financials,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,3803000000.0,1,0.0,0.0,,,,,2022,12,23.38058398964185,0.06378133838198963,,0.9533595174638799,399.2267498947959,,,0.01276476364146444,,0.4977556459531491,0.03371062372522851,,,,,399.2267498947959,,,0.01276476364146444,,0.16957764369641157,-0.2774582690419414,0.4977556459531491,0.03840186190845617,0.03840186190845617,0.19893156957517172,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
7564000000.0,Cash And Cash Equivalents,15078000000.0,Accounts Receivable,,,,,2603000000.0,Payables And Accrued Expenses,751000000.0,Current Debt,4984000000.0,Long Term Debt,175191000000.0,Total Assets,170462000000.0,Total Liabilities Net Minority Interest,,,,,4729000000.0,Total Equity Gross Minority Interest,4729000000.0,Total Equity Gross Minority Interest,4729000000.0,Total Equity Gross Minority Interest,2023-12-31,A,15535000000.0,Total Revenue,,,14027000000.0,Selling General And Administration+Selling And Marketing Expense,324000000.0,Interest Expense,2556000000.0,Net Income,678000000.0,Tax Provision,-154000000.0,,0.0,Net Common Stock Issuance,4005000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,4140000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,184000000.0,Capital Expenditure,550000000.0,Cash Dividends Paid,4254000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,-154000000.0,Depreciation,365.0,AMP,Financials,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,4729000000.0,1,0.0,0.0,,,,,2023,12,23.466361379791422,0.08577739014957331,,0.902928870292887,354.2626327647248,,,0.011844222722883812,,0.4869005471515932,0.032735699893259355,,,,,354.2626327647248,,,0.011844222722883812,,0.21517996870109546,-0.2738332796910203,0.4869005471515932,0.06050420168067227,0.06050420168067227,0.20964749536178107,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,-47000000.0,,,,,,,,,,,,,,-47000000.0,Depreciation,91.25,AMP,Financials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
10699000000.0,Cash And Cash Equivalents,14768000000.0,Accounts Receivable,,,,,2581000000.0,Payables And Accrued Expenses,201000000.0,Current Debt,5654000000.0,Long Term Debt,185969000000.0,Total Assets,180254000000.0,Total Liabilities Net Minority Interest,,,,,5715000000.0,Total Equity Gross Minority Interest,5715000000.0,Total Equity Gross Minority Interest,5715000000.0,Total Equity Gross Minority Interest,2024-09-30,Q,4397000000.0,Total Revenue,,,4053000000.0,Selling General And Administration+Selling And Marketing Expense,87000000.0,Interest Expense,511000000.0,Net Income,134000000.0,Tax Provision,-36000000.0,,0.0,Net Common Stock Issuance,987000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1748000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,49000000.0,Capital Expenditure,145000000.0,Cash Dividends Paid,1164000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,-36000000.0,Depreciation And Amortization,91.25,AMP,Financials,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,5715000000.0,1,0.0,0.0,,,,,2024,9,22.204188327145083,,,0.9217648396634068,306.47714350693656,,,0.011143961792130999,,2.433249943143052,0.03148374191397491,,,,,306.47714350693656,,,0.011143961792130999,,0.2837573385518591,-0.26472594951103023,0.5,,,0.20775193798449612,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
8522000000.0,Cash And Cash Equivalents,14472000000.0,Accounts Receivable,,,,,2704000000.0,Payables And Accrued Expenses,701000000.0,Current Debt,4762000000.0,Long Term Debt,181403000000.0,Total Assets,176175000000.0,Total Liabilities Net Minority Interest,,,,,5228000000.0,Total Equity Gross Minority Interest,5228000000.0,Total Equity Gross Minority Interest,5228000000.0,Total Equity Gross Minority Interest,2024-12-31,A,17264000000.0,Total Revenue,,,15951000000.0,Selling General And Administration+Selling And Marketing Expense,329000000.0,Interest Expense,3401000000.0,Net Income,866000000.0,Tax Provision,-159000000.0,,0.0,Net Common Stock Issuance,3819000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,6260000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,176000000.0,Capital Expenditure,574000000.0,Cash Dividends Paid,4896000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,-159000000.0,Depreciation,365.0,AMP,Financials,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,5228000000.0,1,0.0,0.0,,,,,2024,12,23.57188924546219,1.3677009183171087,,0.9239457831325302,305.9708063021316,,,0.010194624652455977,,0.493628359592215,0.03011526821496888,,,,,305.9708063021316,,,0.010194624652455977,,0.16877389003234342,-0.283595922150139,0.493628359592215,0.05619128949615713,0.05619128949615713,0.20295289430513241,0.6,-1.0,-1.8369701987210297e-16,1.0,0.0
7974000000.0,Cash And Cash Equivalents,14732000000.0,Accounts Receivable,,,,,2264000000.0,Payables And Accrued Expenses,201000000.0,Current Debt,5970000000.0,Long Term Debt,179059000000.0,Total Assets,173633000000.0,Total Liabilities Net Minority Interest,,,,,5426000000.0,Total Equity Gross Minority Interest,5426000000.0,Total Equity Gross Minority Interest,5426000000.0,Total Equity Gross Minority Interest,2025-03-31,Q,4354000000.0,Total Revenue,,,4140000000.0,Selling General And Administration+Selling And Marketing Expense,80000000.0,Interest Expense,583000000.0,Net Income,104000000.0,Tax Provision,-27000000.0,,0.0,Net Common Stock Issuance,3132000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1324000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,36000000.0,Capital Expenditure,144000000.0,Cash Dividends Paid,1460000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,-27000000.0,Depreciation,91.25,AMP,Financials,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,5426000000.0,1,0.0,0.0,,,,,2025,3,22.194360799758766,-1.377528445703426,,0.9508497932935231,308.7494258153422,,,0.008268259072117593,,1.831419384474047,0.03446350085725934,,,,,308.7494258153422,,,0.008268259072117593,,0.2469982847341338,-0.3353238401469913,0.5,0.014643968515467691,0.014643968515467691,0.15138282387190685,0.8,0.0,1.0,0.25,0.0
8381000000.0,Cash And Cash Equivalents,14683000000.0,Accounts Receivable,,,,,2451000000.0,Payables And Accrued Expenses,201000000.0,Current Debt,5801000000.0,Long Term Debt,184903000000.0,Total Assets,178821000000.0,Total Liabilities Net Minority Interest,,,,,6082000000.0,Total Equity Gross Minority Interest,6082000000.0,Total Equity Gross Minority Interest,6082000000.0,Total Equity Gross Minority Interest,2025-06-30,Q,4375000000.0,Total Revenue,,,4139000000.0,Selling General And Administration+Selling And Marketing Expense,82000000.0,Interest Expense,1060000000.0,Net Income,291000000.0,Tax Provision,-27000000.0,,0.0,Net Common Stock Issuance,1161000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2148000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,38000000.0,Capital Expenditure,152000000.0,Cash Dividends Paid,1162000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,-27000000.0,Depreciation,91.25,AMP,Financials,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,6082000000.0,1,0.0,0.0,,,,,2025,6,22.199172356755987,0.0048115569972218,,0.9460571428571428,306.2454285714286,,,0.008685714285714286,,1.915657142857143,0.0324602629486812,,,,,306.2454285714286,,,0.008685714285714286,,0.14339622641509434,-0.2656,0.5,0.013287959812023983,0.013287959812023983,0.2153960029607698,0.8,1.0,6.123233995736766e-17,0.25,0.0
9762000000.0,Cash And Cash Equivalents,14994000000.0,Accounts Receivable,,,,,2694000000.0,Payables And Accrued Expenses,201000000.0,Current Debt,5683000000.0,Long Term Debt,190086000000.0,Total Assets,183631000000.0,Total Liabilities Net Minority Interest,,,,,6455000000.0,Total Equity Gross Minority Interest,6455000000.0,Total Equity Gross Minority Interest,6455000000.0,Total Equity Gross Minority Interest,2025-09-30,Q,4791000000.0,Total Revenue,,,4379000000.0,Selling General And Administration+Selling And Marketing Expense,84000000.0,Interest Expense,912000000.0,Net Income,262000000.0,Tax Provision,-19000000.0,,0.0,Net Common Stock Issuance,378000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1032000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,44000000.0,Capital Expenditure,151000000.0,Cash Dividends Paid,1402000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,-19000000.0,Depreciation,91.25,AMP,Financials,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,6455000000.0,1,0.0,0.0,,,,,2025,9,22.290004994847397,0.09083263809140973,,0.9140054268419954,285.57764558547274,,,0.00918388645376748,,2.037570444583594,0.03095441010910851,,,,,285.57764558547274,,,0.00918388645376748,,0.16557017543859648,-0.2926320183677729,0.5,0.013995334888370544,0.013995334888370544,0.2231686541737649,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-31,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,AMP,Financials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2025,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,-1.0,-1.8369701987210297e-16,1.0,0.0
