C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-06-30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,BR,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2021,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,6.123233995736766e-17,1.0,0.0
224700000.0,Cash And Cash Equivalents,946900000.0,Accounts Receivable,,,373700000.0,Net PPE,244900000.0,Accounts Payable,45400000.0,Current Debt And Capital Lease Obligation,3793000000.0,Long Term Debt,8168800000.0,Total Assets,6249600000.0,Total Liabilities Net Minority Interest,1328400000.0,Current Assets,1313300000.0,Current Liabilities,1919200000.0,Total Equity Gross Minority Interest,1919200000.0,Total Equity Gross Minority Interest,1919200000.0,Total Equity Gross Minority Interest,2022-06-30,A,5709100000.0,Total Revenue,4116900000.0,Cost Of Revenue,832300000.0,Operating Expense,87700000.0,Interest Expense,539100000.0,Net Income,133100000.0,Tax Provision,43300000.0,,0.0,Net Common Stock Issuance,2010000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,3062000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,73100000.0,Capital Expenditure,290700000.0,Cash Dividends Paid,45600000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,43300000.0,Depreciation,365.0,BR,Industrials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1919200000.0,1,0.0,0.0,,6466700000.0,1023000000.0,1143300000.0,2022,6,22.465327229977614,,0.2788880909425303,0.14578479970573296,60.53817589462437,,21.71257499574923,0.012804119738662837,,0.03935821758245608,0.46988541768680836,,1.0,0.17918761275857842,0.20025923525599482,60.53817589462437,,21.71257499574923,0.012804119738662837,,0.5392320534223706,-0.007987248427948363,0.03935821758245608,,,0.19800654567093126,0.2,1.0,6.123233995736766e-17,1.0,0.0
252300000.0,Cash And Cash Equivalents,974000000.0,Accounts Receivable,,,344000000.0,Net PPE,157300000.0,Accounts Payable,1178500000.0,Current Debt,2234700000.0,Long Term Debt,8233200000.0,Total Assets,5992600000.0,Total Liabilities Net Minority Interest,1392500000.0,Current Assets,2397800000.0,Current Liabilities,2240600000.0,Total Equity Gross Minority Interest,2240600000.0,Total Equity Gross Minority Interest,2240600000.0,Total Equity Gross Minority Interest,2023-06-30,A,6060900000.0,Total Revenue,4275500000.0,Cost Of Revenue,849000000.0,Operating Expense,143700000.0,Interest Expense,630600000.0,Net Income,164300000.0,Tax Provision,84400000.0,,0.0,Net Common Stock Issuance,2970000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,5500000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,75200000.0,Capital Expenditure,331000000.0,Cash Dividends Paid,48600000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,84400000.0,Depreciation,365.0,BR,Industrials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2240600000.0,1,0.0,0.0,,6496700000.0,1062000000.0,1360100000.0,2023,6,22.52512414085188,0.05979691087426531,0.2945767130294181,0.14007820620699896,58.65630516919929,,13.428721786925506,0.012407398241185303,0.22584961198822584,0.041627481067168244,0.41456541806345043,,1.0,0.17522150175716478,0.2244056163276081,58.65630516919929,,13.428721786925506,0.012407398241185303,0.22584961198822584,0.5248969235648588,-0.008018611097361779,0.041627481067168244,0.037437473947478116,0.037437473947478116,0.20669266574411876,0.4,1.0,6.123233995736766e-17,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,BR,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,BR,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
289900000.0,Cash And Cash Equivalents,1040300000.0,Accounts Receivable,,,337000000.0,Net PPE,198300000.0,Accounts Payable,38500000.0,Current Debt And Capital Lease Obligation,3655600000.0,Long Term Debt,8230600000.0,Total Assets,6002300000.0,Total Liabilities Net Minority Interest,1508400000.0,Current Assets,1114300000.0,Current Liabilities,2228300000.0,Total Equity Gross Minority Interest,2228300000.0,Total Equity Gross Minority Interest,2228300000.0,Total Equity Gross Minority Interest,2024-12-31,Q,1589200000.0,Total Revenue,1145800000.0,Cost Of Revenue,232800000.0,Operating Expense,36600000.0,Interest Expense,142400000.0,Net Income,33600000.0,Tax Provision,32800000.0,,0.0,Net Common Stock Issuance,810900000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,789200000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,22800000.0,Capital Expenditure,102800000.0,Cash Dividends Paid,7200000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,32800000.0,Depreciation,91.25,BR,Industrials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2228300000.0,1,0.0,0.0,,6385200000.0,877500000.0,1232400000.0,2024,12,21.186496581904716,,0.2790083060659452,0.14648879939592246,59.73280581424616,,15.792350322918486,0.01434684117795117,,0.18241882708280896,0.4488251160304231,,1.0,0.5,0.775484520513466,59.73280581424616,,15.792350322918486,0.01434684117795117,,0.7219101123595506,-0.004530581424616159,0.18241882708280896,,,0.19090909090909092,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
317200000.0,Cash And Cash Equivalents,1184200000.0,Accounts Receivable,,,333200000.0,Net PPE,206600000.0,Accounts Payable,38000000.0,Current Debt And Capital Lease Obligation,3433600000.0,Long Term Debt,8299600000.0,Total Assets,5917200000.0,Total Liabilities Net Minority Interest,1665500000.0,Current Assets,1264400000.0,Current Liabilities,2382400000.0,Total Equity Gross Minority Interest,2382400000.0,Total Equity Gross Minority Interest,2382400000.0,Total Equity Gross Minority Interest,2025-03-31,Q,1811700000.0,Total Revenue,1235900000.0,Cost Of Revenue,230900000.0,Operating Expense,33500000.0,Interest Expense,243100000.0,Net Income,67800000.0,Tax Provision,32500000.0,,0.0,Net Common Stock Issuance,540000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1600000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,23600000.0,Capital Expenditure,103000000.0,Cash Dividends Paid,600000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,32500000.0,Depreciation,91.25,BR,Industrials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2382400000.0,1,0.0,0.0,,6300900000.0,1019800000.0,1219200000.0,2025,3,21.31753146794624,0.13103488604152247,0.3178230391345146,0.1274493569575537,59.64467075122813,,15.25386358119589,0.013026439255947453,0.09643916913946587,0.1750841750841751,0.4182852185647501,,1.0,0.5,0.6729590991886074,59.64467075122813,,15.25386358119589,0.013026439255947453,0.09643916913946587,0.42369395310571784,-0.0003311806590495115,0.1750841750841751,0.009068514658509516,0.009068514658509516,0.21807655194596334,0.8,0.0,1.0,0.25,0.0
561500000.0,Cash And Cash Equivalents,1077100000.0,Accounts Receivable,,,346300000.0,Net PPE,220300000.0,Accounts Payable,499300000.0,Current Debt,2753000000.0,Long Term Debt,8545000000.0,Total Assets,5889800000.0,Total Liabilities Net Minority Interest,1817100000.0,Current Assets,1861300000.0,Current Liabilities,2655200000.0,Total Equity Gross Minority Interest,2655200000.0,Total Equity Gross Minority Interest,2655200000.0,Total Equity Gross Minority Interest,2025-06-30,Q,2065400000.0,Total Revenue,1295600000.0,Cost Of Revenue,271100000.0,Operating Expense,29800000.0,Interest Expense,374200000.0,Net Income,97300000.0,Tax Provision,33100000.0,,0.0,Net Common Stock Issuance,953400000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2020800000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,36400000.0,Capital Expenditure,103100000.0,Cash Dividends Paid,261400000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,33100000.0,Depreciation,91.25,BR,Industrials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2655200000.0,1,0.0,0.0,,6381600000.0,1141700000.0,1275500000.0,2025,6,21.448589749201577,0.13105828125533847,0.37271230754333307,0.13125786772538006,47.586605500145254,,15.515880673047237,0.01762370485136051,0.09933973589435774,0.2718601723637068,0.38060854300760677,,1.0,0.5,0.617555921371163,47.586605500145254,,15.515880673047237,0.01762370485136051,0.09933973589435774,0.2755211117049706,-0.1265614408831219,0.2718601723637068,0.008583938241732918,0.008583938241732918,0.2063626723223754,0.8,1.0,6.123233995736766e-17,0.25,0.0
290800000.0,Cash And Cash Equivalents,963700000.0,Accounts Receivable,,,332800000.0,Net PPE,152700000.0,Accounts Payable,499500000.0,Current Debt,2781800000.0,Long Term Debt,8302900000.0,Total Assets,5667700000.0,Total Liabilities Net Minority Interest,1459000000.0,Current Assets,1573800000.0,Current Liabilities,2635200000.0,Total Equity Gross Minority Interest,2635200000.0,Total Equity Gross Minority Interest,2635200000.0,Total Equity Gross Minority Interest,2025-09-30,Q,1589400000.0,Total Revenue,1166800000.0,Cost Of Revenue,233900000.0,Operating Expense,27900000.0,Interest Expense,165400000.0,Net Income,47700000.0,Tax Provision,32700000.0,,0.0,Net Common Stock Issuance,1045500000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1284400000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,29600000.0,Capital Expenditure,103100000.0,Cash Dividends Paid,301000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,32700000.0,Depreciation,91.25,BR,Industrials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2635200000.0,1,0.0,0.0,,6511100000.0,921600000.0,1312100000.0,2025,9,21.186622423470354,-0.2619673257312236,0.2658864980495784,0.14716245123946142,55.32756071473512,,11.941956633527598,0.018623379891783063,0.0944267975743575,0.18296212407197684,0.3951992677257344,,1.0,0.5,0.8255316471624512,55.32756071473512,,11.941956633527598,0.018623379891783063,0.0944267975743575,0.6233373639661427,-0.18937964011576697,0.18296212407197684,0.00857854441472189,0.00857854441472189,0.22383857343969968,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
370800000.0,Cash And Cash Equivalents,1065000000.0,Accounts Receivable,,,315100000.0,Net PPE,194400000.0,Accounts Payable,499700000.0,Current Debt,2673400000.0,Long Term Debt,8639500000.0,Total Assets,5760100000.0,Total Liabilities Net Minority Interest,1693900000.0,Current Assets,1742700000.0,Current Liabilities,2879400000.0,Total Equity Gross Minority Interest,2879400000.0,Total Equity Gross Minority Interest,2879400000.0,Total Equity Gross Minority Interest,2025-12-31,Q,1713900000.0,Total Revenue,1240300000.0,Cost Of Revenue,267500000.0,Operating Expense,27700000.0,Interest Expense,284600000.0,Net Income,85700000.0,Tax Provision,33200000.0,,0.0,Net Common Stock Issuance,570000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1200000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,18900000.0,Capital Expenditure,113800000.0,Cash Dividends Paid,4000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,33200000.0,Depreciation,91.25,BR,Industrials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2879400000.0,1,0.0,0.0,,6630500000.0,1048600000.0,1344000000.0,2025,12,21.2620373123628,0.07541488889244619,0.2763288406558142,0.15607678394305385,56.70182040959216,,14.302184955252761,0.011027481183266234,0.09975961538461539,0.21634867845265185,0.3672781989698478,,1.0,0.5,0.7841764396989322,56.70182040959216,,14.302184955252761,0.011027481183266234,0.09975961538461539,0.39985945186226285,-0.0023338584514849174,0.21634867845265185,0.008441776125316186,0.008441776125316186,0.2314339724547664,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
