C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
2119738000.0,Cash And Cash Equivalents,5293483000.0,Receivables,,,1033599000.0,Net PPE,937169000.0,Accounts Payable,,,8714176000.0,Long Term Debt And Capital Lease Obligation,41196408000.0,Total Assets,19490362000.0,Total Liabilities Net Minority Interest,,,,,21706046000.0,Total Equity Gross Minority Interest,21706046000.0,Total Equity Gross Minority Interest,12283153000.0,Minority Interest,2021-12-31,A,16652351000.0,Total Revenue,,,3092955000.0,Operating Expense,198268000.0,Interest Expense,5857397000.0,Net Income,1184401000.0,Tax Provision,0.0,,0.0,Net Common Stock Issuance,6667632000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,64316000.0,Capital Expenditure,4602574000.0,Cash Dividends Paid,2545548000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,0.0,Depreciation,365.0,BX,Financials,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,21706046000.0,1,0.0,0.0,,,,,2021,12,23.535817244606115,,,0.18573683679859979,116.02693787802095,,,0.003862277464605448,,0.12729361757988406,0.21152756813166818,,,,,116.02693787802095,,,0.003862277464605448,,0.785771222268185,-0.15286418115976536,0.12729361757988406,,,0.16819582157852297,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
4252003000.0,Cash And Cash Equivalents,4609611000.0,Receivables,,,1308694000.0,Net PPE,1251840000.0,Accounts Payable,,,13371038000.0,Long Term Debt And Capital Lease Obligation,42524227000.0,Total Assets,22843160000.0,Total Liabilities Net Minority Interest,,,,,19681067000.0,Total Equity Gross Minority Interest,19681067000.0,Total Equity Gross Minority Interest,12025156000.0,Minority Interest,2022-12-31,A,7132632000.0,Total Revenue,,,3670843000.0,Operating Expense,317225000.0,Interest Expense,1747631000.0,Net Income,472880000.0,Tax Provision,0.0,,0.0,Net Common Stock Issuance,10564632000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1123072000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,235497000.0,Capital Expenditure,6518785000.0,Cash Dividends Paid,931912000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,0.0,Depreciation,365.0,BX,Financials,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,19681067000.0,1,0.0,0.0,,,,,2022,12,22.68794614771559,-0.8478710968905254,,0.5146547585800024,235.88880163731986,,,0.03301684427291356,0.0,0.596133797453731,0.3144334169789847,,,,,235.88880163731986,,,0.03301684427291356,0.0,1.0,-0.130654714837384,0.5,0.036403327176315926,0.036403327176315926,0.21295998984017642,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
2955866000.0,Cash And Cash Equivalents,4659886000.0,Receivables,,,1384060000.0,Net PPE,2277258000.0,Accounts Payable,,,12293882000.0,Long Term Debt And Capital Lease Obligation,40287530000.0,Total Assets,22212316000.0,Total Liabilities Net Minority Interest,,,,,18075214000.0,Total Equity Gross Minority Interest,18075214000.0,Total Equity Gross Minority Interest,11258416000.0,Minority Interest,2023-12-31,A,7006649000.0,Total Revenue,,,4048935000.0,Operating Expense,431868000.0,Interest Expense,1390880000.0,Net Income,513461000.0,Tax Provision,0.0,,0.0,Net Common Stock Issuance,1484925000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2009840000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,224231000.0,Capital Expenditure,4268447000.0,Cash Dividends Paid,836048000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,0.0,Depreciation,365.0,BX,Financials,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,18075214000.0,1,0.0,0.0,,,,,2023,12,22.670125392315747,-0.017820755399842625,,0.5778703913953732,242.74919294515823,,,0.03200260209980548,0.0,0.42186585912895025,0.30515353013699276,,,,,242.74919294515823,,,0.03200260209980548,0.0,1.0,-0.1193220896322907,0.42186585912895025,0.03229876394039116,0.03229876394039116,0.2696266057392032,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,,,,,,,,,91.25,BX,Financials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
2353332000.0,Cash And Cash Equivalents,5463887000.0,Receivables,,,1495556000.0,Net PPE,2620530000.0,Payables,,,11888917000.0,Long Term Debt And Capital Lease Obligation,42575442000.0,Total Assets,23110501000.0,Total Liabilities Net Minority Interest,,,,,19464941000.0,Total Equity Gross Minority Interest,19464941000.0,Total Equity Gross Minority Interest,12457284000.0,Minority Interest,2024-09-30,Q,2886396000.0,Total Revenue,,,1076456000.0,Operating Expense,111337000.0,Interest Expense,780835000.0,Net Income,245303000.0,Tax Provision,0.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,91984000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,19387000.0,Capital Expenditure,1071200000.0,Cash Dividends Paid,432756000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,0.0,Depreciation,91.25,BX,Financials,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,19464941000.0,1,0.0,0.0,,,,,2024,9,21.783274502022305,,,0.3729412041868129,172.7343333173965,,,0.006716680594069559,,0.8153184802085369,0.2792435366848335,,,,,172.7343333173965,,,0.006716680594069559,,1.0,-0.14992953149879643,0.5,,,0.23905459109788352,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
1972140000.0,Cash And Cash Equivalents,5647245000.0,Receivables,,,1344938000.0,Net PPE,2808148000.0,Payables,,,12286698000.0,Long Term Debt And Capital Lease Obligation,43469875000.0,Total Assets,23974860000.0,Total Liabilities Net Minority Interest,,,,,19495015000.0,Total Equity Gross Minority Interest,19495015000.0,Total Equity Gross Minority Interest,11282694000.0,Minority Interest,2024-12-31,Q,2702643000.0,Total Revenue,,,1141366000.0,Operating Expense,115532000.0,Interest Expense,703873000.0,Net Income,232451000.0,Tax Provision,0.0,,0.0,Net Common Stock Issuance,,,77736000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,11886000.0,Capital Expenditure,1088372000.0,Cash Dividends Paid,119650000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,0.0,Depreciation,91.25,BX,Financials,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,19495015000.0,1,0.0,0.0,,,,,2024,12,21.71749602004629,-0.06577848197601455,,0.4223147489328039,190.66932119780526,,,0.004397917149989843,0.0,0.7297079192479362,0.2826485698429084,,,,,190.66932119780526,,,0.004397917149989843,0.0,1.0,-0.044271477956948066,0.5,0.009717621882632371,0.009717621882632371,0.24825914961060488,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
2386979000.0,Cash And Cash Equivalents,5655278000.0,Receivables,,,1321070000.0,Net PPE,3361900000.0,Payables,,,13391928000.0,Long Term Debt And Capital Lease Obligation,45255629000.0,Total Assets,25390726000.0,Total Liabilities Net Minority Interest,,,,,19864903000.0,Total Equity Gross Minority Interest,19864903000.0,Total Equity Gross Minority Interest,11886783000.0,Minority Interest,2025-03-31,Q,2826440000.0,Total Revenue,,,1373839000.0,Operating Expense,118115000.0,Interest Expense,614852000.0,Net Income,243827000.0,Tax Provision,0.0,,0.0,Net Common Stock Issuance,3073668000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,243580000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,29278000.0,Capital Expenditure,1858537000.0,Cash Dividends Paid,200252000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,0.0,Depreciation,91.25,BX,Financials,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,19864903000.0,1,0.0,0.0,,,,,2025,3,21.762283806187583,0.044787786141291974,,0.4860669251779624,182.57741805946702,,,0.010358613662416326,0.0,0.8445178386946123,0.2959173984743423,,,,,182.57741805946702,,,0.010358613662416326,0.0,1.0,-0.07084954925630829,0.5,0.009613241897863853,0.009613241897863853,0.28395593696829663,0.8,0.0,1.0,0.25,0.0
2235499000.0,Cash And Cash Equivalents,5874678000.0,Receivables,,,1318534000.0,Net PPE,2802514000.0,Payables,,,12927757000.0,Long Term Debt And Capital Lease Obligation,45373094000.0,Total Assets,24294214000.0,Total Liabilities Net Minority Interest,,,,,21078880000.0,Total Equity Gross Minority Interest,21078880000.0,Total Equity Gross Minority Interest,12726541000.0,Minority Interest,2025-06-30,Q,3161236000.0,Total Revenue,,,1245609000.0,Operating Expense,135822000.0,Interest Expense,764244000.0,Net Income,289494000.0,Tax Provision,0.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2581868000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,40146000.0,Capital Expenditure,1215471000.0,Cash Dividends Paid,70474000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,0.0,Depreciation,91.25,BX,Financials,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,21078880000.0,1,0.0,0.0,,,,,2025,6,21.874228927310728,0.1119451211231457,,0.3940259442825528,169.57429546544452,,,0.012699463121386699,0.0,0.7071597944601415,0.28492121343984167,,,,,169.57429546544452,,,0.012699463121386699,0.0,1.0,-0.02229317899707583,0.5,0.010142079616915503,0.010142079616915503,0.2747305307391401,0.8,1.0,6.123233995736766e-17,0.25,0.0
2430690000.0,Cash And Cash Equivalents,6389052000.0,Receivables,,,1297658000.0,Net PPE,3000083000.0,Payables,,,12888785000.0,Long Term Debt And Capital Lease Obligation,46554290000.0,Total Assets,25192849000.0,Total Liabilities Net Minority Interest,,,,,21361441000.0,Total Equity Gross Minority Interest,21361441000.0,Total Equity Gross Minority Interest,12968918000.0,Minority Interest,2025-09-30,Q,2685881000.0,Total Revenue,,,1239299000.0,Operating Expense,126288000.0,Interest Expense,624917000.0,Net Income,209657000.0,Tax Provision,0.0,,0.0,Net Common Stock Issuance,606519000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,800000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,23929000.0,Capital Expenditure,1341824000.0,Cash Dividends Paid,252100000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,0.0,Depreciation,91.25,BX,Financials,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,21361441000.0,1,0.0,0.0,,,,,2025,9,21.711274630268548,-0.16295429704218023,,0.4614124750873177,217.06136459508073,,,0.00890918100988093,0.0,0.9049879722891669,0.27685493646235393,,,,,217.06136459508073,,,0.00890918100988093,0.0,1.0,-0.09386119489284894,0.5,0.009768747973836452,0.009768747973836452,0.2512143920131708,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-31,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,BX,Financials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2025,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
