C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,506000000.0,Accounts Receivable,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,,,,,154000000.0,Short Term Debt Payments,,,,,,,,,365.0,CFG,Financials,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
10850000000.0,Cash And Cash Equivalents,1456000000.0,Receivables,,,844000000.0,Net PPE,,,3000000.0,Current Debt,15887000000.0,Long Term Debt,226733000000.0,Total Assets,203043000000.0,Total Liabilities Net Minority Interest,,,,,23690000000.0,Total Equity Gross Minority Interest,23690000000.0,Total Equity Gross Minority Interest,23690000000.0,Total Equity Gross Minority Interest,2022-12-31,A,8021000000.0,Total Revenue,,,2977000000.0,Selling General And Administration+Selling And Marketing Expense,1048000000.0,Interest Expense,2073000000.0,Net Income,582000000.0,Tax Provision,565000000.0,,0.0,Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance,73851000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,78859000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,126000000.0,Capital Expenditure,892000000.0,Cash Dividends Paid,306000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,565000000.0,Depreciation,365.0,CFG,Financials,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,23690000000.0,1,0.0,0.0,,,,,2022,12,22.805328939331197,,,0.3711507293354943,66.25607779578606,,,0.015708764493205334,,1.3526991646926818,0.07008243175894113,,,,,66.25607779578606,,,0.015708764493205334,,0.4302942595272552,-0.03814985662635582,0.5,,,0.2192090395480226,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
12033000000.0,Cash And Cash Equivalents,1148000000.0,Receivables,,,895000000.0,Net PPE,,,505000000.0,Current Debt,13467000000.0,Long Term Debt,221964000000.0,Total Assets,197622000000.0,Total Liabilities Net Minority Interest,,,,,24342000000.0,Total Equity Gross Minority Interest,24342000000.0,Total Equity Gross Minority Interest,24342000000.0,Total Equity Gross Minority Interest,2023-12-31,A,8224000000.0,Total Revenue,,,3138000000.0,Selling General And Administration+Selling And Marketing Expense,3963000000.0,Interest Expense,1608000000.0,Net Income,422000000.0,Tax Provision,478000000.0,,0.0,Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance,77949000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,113672000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,172000000.0,Capital Expenditure,928000000.0,Cash Dividends Paid,1812000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,478000000.0,Depreciation,365.0,CFG,Financials,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,24342000000.0,1,0.0,0.0,,,,,2023,12,22.83032254565922,0.024993606328024498,,0.38156614785992216,50.95087548638132,,,0.02091439688715953,0.5,1.4631566147859922,0.06294714458200429,,,,,50.95087548638132,,,0.02091439688715953,0.5,0.5771144278606966,-0.2203307392996109,0.5,0.24940213971050976,0.24940213971050976,0.20788177339901479,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,143000000.0,,,,,,,,,,,,,,143000000.0,Depreciation,91.25,CFG,Financials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,0.15977653631284916,,,,,,,,,,,0.15977653631284916,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,0.0,Issuance Of Capital Stock+Issuance Of Capital Stock,,,,,,,,,,,,,91.25,CFG,Financials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
11236000000.0,Cash And Cash Equivalents,1027000000.0,Receivables,,,875000000.0,Net PPE,,,1988000000.0,Current Debt,10413000000.0,Long Term Debt,217521000000.0,Total Assets,193267000000.0,Total Liabilities Net Minority Interest,,,,,24254000000.0,Total Equity Gross Minority Interest,24254000000.0,Total Equity Gross Minority Interest,24254000000.0,Total Equity Gross Minority Interest,2024-12-31,A,7809000000.0,Total Revenue,,,3159000000.0,Selling General And Administration+Selling And Marketing Expense,4553000000.0,Interest Expense,1509000000.0,Net Income,379000000.0,Tax Provision,498000000.0,,0.0,Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance,39555000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,57144000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,122000000.0,Capital Expenditure,903000000.0,Cash Dividends Paid,2700000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,498000000.0,Depreciation,365.0,CFG,Financials,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,24254000000.0,1,0.0,0.0,,,,,2024,12,22.77854275162695,,,0.4045332308874376,48.00294531950314,,,0.015622999103598411,,1.4388526059674733,0.05701058748350734,,,,,48.00294531950314,,,0.015622999103598411,,0.5984095427435387,-0.3457548981943911,0.5,,,0.2007415254237288,0.6,-1.0,-1.8369701987210297e-16,1.0,0.0
12226000000.0,Cash And Cash Equivalents,,,,,855000000.0,Net PPE,,,2036000000.0,Current Debt,10278000000.0,Long Term Debt,220148000000.0,Total Assets,195282000000.0,Total Liabilities Net Minority Interest,,,,,24866000000.0,Total Equity Gross Minority Interest,24866000000.0,Total Equity Gross Minority Interest,24866000000.0,Total Equity Gross Minority Interest,2025-03-31,Q,1935000000.0,Total Revenue,,,814000000.0,Selling General And Administration+Selling And Marketing Expense,961000000.0,Interest Expense,373000000.0,Net Income,95000000.0,Tax Provision,123000000.0,,0.0,Net Common Stock Issuance,7599000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,10700000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,14000000.0,Capital Expenditure,220000000.0,Cash Dividends Paid,400000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,123000000.0,Depreciation,91.25,CFG,Financials,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,24866000000.0,1,0.0,0.0,,,,,2025,3,21.383373163428157,-1.3951695881987938,,0.420671834625323,,,,0.007235142118863049,0.14057142857142857,6.318346253229974,0.055935098206660976,,,,,,,,0.007235142118863049,0.14057142857142857,0.5898123324396782,-0.20671834625322996,0.5,0.07749375050399161,0.07749375050399161,0.202991452991453,0.8,0.0,1.0,0.25,0.0
9228000000.0,Cash And Cash Equivalents,,,,,855000000.0,Net PPE,,,2239000000.0,Current Debt,10536000000.0,Long Term Debt,218310000000.0,Total Assets,193076000000.0,Total Liabilities Net Minority Interest,,,,,25234000000.0,Total Equity Gross Minority Interest,25234000000.0,Total Equity Gross Minority Interest,25234000000.0,Total Equity Gross Minority Interest,2025-06-30,Q,2037000000.0,Total Revenue,,,809000000.0,Selling General And Administration+Selling And Marketing Expense,970000000.0,Interest Expense,436000000.0,Net Income,118000000.0,Tax Provision,124000000.0,,0.0,Net Common Stock Issuance,10500000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,13004000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,33000000.0,Capital Expenditure,218000000.0,Cash Dividends Paid,400000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,124000000.0,Depreciation,91.25,CFG,Financials,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,25234000000.0,1,0.0,0.0,,,,,2025,6,21.43474397419108,0.05137081076292205,,0.39715267550319094,,,,0.016200294550810016,0.14502923976608187,4.5301914580265095,0.05851770418212633,,,,,,,,0.016200294550810016,0.14502923976608187,0.5,-0.19636720667648502,0.5,0.07877212928374208,0.07877212928374208,0.21299638989169675,0.8,1.0,6.123233995736766e-17,0.25,0.0
12344000000.0,Cash And Cash Equivalents,,,,,857000000.0,Net PPE,,,2204000000.0,Current Debt,8451000000.0,Long Term Debt,222747000000.0,Total Assets,196918000000.0,Total Liabilities Net Minority Interest,,,,,25829000000.0,Total Equity Gross Minority Interest,25829000000.0,Total Equity Gross Minority Interest,25829000000.0,Total Equity Gross Minority Interest,2025-09-30,Q,2118000000.0,Total Revenue,,,825000000.0,Selling General And Administration+Selling And Marketing Expense,970000000.0,Interest Expense,494000000.0,Net Income,135000000.0,Tax Provision,119000000.0,,711000000.0,Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance,1503000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,10376000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,35000000.0,Capital Expenditure,217000000.0,Cash Dividends Paid,150000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,119000000.0,Depreciation And Amortization,91.25,CFG,Financials,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,25829000000.0,1,0.0,0.0,,,,,2025,9,21.473738084125625,0.03899410993454566,,0.3895184135977337,,,,0.016525023607176583,0.1391812865497076,5.828139754485363,0.04783453873677311,,,,,,,,0.016525023607176583,0.1391812865497076,0.4392712550607287,0.26487252124645894,0.5,0.07592954990215264,0.07592954990215264,0.21462639109697934,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
13688000000.0,Cash And Cash Equivalents,1080000000.0,Receivables,,,915000000.0,Net PPE,,,2048000000.0,Current Debt,9234000000.0,Long Term Debt,226351000000.0,Total Assets,200034000000.0,Total Liabilities Net Minority Interest,,,,,26317000000.0,Total Equity Gross Minority Interest,26317000000.0,Total Equity Gross Minority Interest,26317000000.0,Total Equity Gross Minority Interest,2025-12-31,A,8247000000.0,Total Revenue,,,3291000000.0,Selling General And Administration+Selling And Marketing Expense,3810000000.0,Interest Expense,1831000000.0,Net Income,497000000.0,Tax Provision,478000000.0,,186000000.0,Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance,25602000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,38976000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,174000000.0,Capital Expenditure,888000000.0,Cash Dividends Paid,2000000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,478000000.0,Depreciation,365.0,CFG,Financials,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,26317000000.0,1,0.0,0.0,,,,,2025,12,22.83311533479763,1.3593772506720043,,0.3990542015278283,47.799199708985086,,,0.021098581302291742,0.5,1.6597550624469504,0.049842943039792184,,,,,47.799199708985086,,,0.021098581302291742,0.5,0.4849808847624249,-0.21995877288711047,0.5,0.3575786015954951,0.3575786015954951,0.21348797250859106,0.8,-1.0,-1.8369701987210297e-16,1.0,0.0
