C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,0.0,Non Current Note Receivables,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,580000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Common Stock Issuance,,,,,,,,,,,,,365.0,COP,Energy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
6458000000.0,Cash And Cash Equivalents,7088000000.0,Accounts Receivable,1219000000.0,Inventory,64866000000.0,Net PPE,6163000000.0,Accounts Payable,133000000.0,Current Debt,15190000000.0,Long Term Debt,93829000000.0,Total Assets,45826000000.0,Total Liabilities Net Minority Interest,18749000000.0,Current Assets,12847000000.0,Current Liabilities,48003000000.0,Total Equity Gross Minority Interest,48003000000.0,Total Equity Gross Minority Interest,48003000000.0,Total Equity Gross Minority Interest,2022-12-31,A,78494000000.0,Total Revenue,48481000000.0,Cost Of Revenue,4551000000.0,Operating Expense,1055000000.0,Interest Expense,18680000000.0,Net Income,9548000000.0,Tax Provision,7504000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,8691000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,25068000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,10159000000.0,Capital Expenditure,5726000000.0,Cash Dividends Paid,18540000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,7504000000.0,Depreciation,365.0,COP,Energy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,48003000000.0,1,0.0,0.0,3984000000.0,10214000000.0,6551000000.0,17789000000.0,2022,12,25.086288025692596,,0.38236043519249874,0.057978953805386396,32.959461869697044,9.17751284008168,46.3995173366886,0.12942390501184803,,0.08227380436721278,0.1633077193618178,0.05075547175580299,0.1301245955104849,0.08345860830127143,0.22662878691364946,32.959461869697044,9.17751284008168,46.3995173366886,0.12942390501184803,,0.3065310492505353,-0.23619639717685428,0.08227380436721278,,,0.3382457134759813,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
5635000000.0,Cash And Cash Equivalents,5474000000.0,Accounts Receivable,1398000000.0,Inventory,70044000000.0,Net PPE,5117000000.0,Accounts Payable,783000000.0,Current Debt,17025000000.0,Long Term Debt,95924000000.0,Total Assets,46645000000.0,Total Liabilities Net Minority Interest,14330000000.0,Current Assets,10005000000.0,Current Liabilities,49279000000.0,Total Equity Gross Minority Interest,49279000000.0,Total Equity Gross Minority Interest,49279000000.0,Total Equity Gross Minority Interest,2023-12-31,A,56141000000.0,Total Revenue,37938000000.0,Cost Of Revenue,3177000000.0,Operating Expense,1063000000.0,Interest Expense,10957000000.0,Net Income,5331000000.0,Tax Provision,8270000000.0,,0.0,Net Common Stock Issuance,11361000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,5516000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,11248000000.0,Capital Expenditure,5583000000.0,Cash Dividends Paid,10904000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,8270000000.0,Depreciation,365.0,COP,Energy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,49279000000.0,1,0.0,0.0,1823000000.0,11550000000.0,4105000000.0,19615000000.0,2023,12,24.751132220332835,-0.3351558053597614,0.32423718850750793,0.05658965818207727,35.589141625549956,13.450102799304128,49.23045495281775,0.20035268342209794,0.1274936021952949,0.10037227694554782,0.18564697051832701,0.03247181204467323,0.20573199622379365,0.07311946705616217,0.34938814769954224,35.589141625549956,13.450102799304128,49.23045495281775,0.20035268342209794,0.1274936021952949,0.5095372821027654,-0.1942252542704975,0.10037227694554782,0.06937283821705932,0.06937283821705932,0.32729616895874264,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,COP,Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,,,,,,,,,91.25,COP,Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
5607000000.0,Cash And Cash Equivalents,6695000000.0,Accounts Receivable,1809000000.0,Inventory,94356000000.0,Net PPE,6044000000.0,Accounts Payable,743000000.0,Current Debt,22641000000.0,Long Term Debt,122780000000.0,Total Assets,57984000000.0,Total Liabilities Net Minority Interest,15647000000.0,Current Assets,12124000000.0,Current Liabilities,64796000000.0,Total Equity Gross Minority Interest,64796000000.0,Total Equity Gross Minority Interest,64796000000.0,Total Equity Gross Minority Interest,2024-12-31,Q,14236000000.0,Total Revenue,10048000000.0,Cost Of Revenue,1221000000.0,Operating Expense,276000000.0,Interest Expense,2306000000.0,Net Income,664000000.0,Tax Provision,2664000000.0,,0.0,Net Common Stock Issuance,16773000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,17496000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,3317000000.0,Capital Expenditure,897000000.0,Cash Dividends Paid,3924000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,2664000000.0,Depreciation,91.25,COP,Energy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,64796000000.0,1,0.0,0.0,1536000000.0,12777000000.0,5337000000.0,23219000000.0,2024,12,23.379039804594356,,0.2941837594830008,0.08576847429053105,42.91365200899129,16.42826930732484,54.88803742038217,0.23300084293340825,,0.3938606350098342,0.19045447141228214,0.10789547625737567,0.8975133464456307,0.3748946333239674,1.0,42.91365200899129,16.42826930732484,54.88803742038217,0.23300084293340825,,0.38898525585429317,-0.2756392245012644,0.3938606350098342,,,0.22356902356902356,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
6309000000.0,Cash And Cash Equivalents,6400000000.0,Accounts Receivable,1844000000.0,Inventory,94316000000.0,Net PPE,7349000000.0,Accounts Payable,608000000.0,Current Debt,23176000000.0,Long Term Debt,124254000000.0,Total Assets,59016000000.0,Total Liabilities Net Minority Interest,16906000000.0,Current Assets,13329000000.0,Current Liabilities,65238000000.0,Total Equity Gross Minority Interest,65238000000.0,Total Equity Gross Minority Interest,65238000000.0,Total Equity Gross Minority Interest,2025-03-31,Q,16517000000.0,Total Revenue,11440000000.0,Cost Of Revenue,859000000.0,Operating Expense,299000000.0,Interest Expense,2849000000.0,Net Income,1617000000.0,Tax Provision,2746000000.0,,0.0,Net Common Stock Issuance,,,2188000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,3378000000.0,Capital Expenditure,998000000.0,Cash Dividends Paid,3104000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,2746000000.0,Depreciation,91.25,COP,Energy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,65238000000.0,1,0.0,0.0,2353000000.0,13032000000.0,5372000000.0,22511000000.0,2025,3,23.527655990485364,0.148616185891008,0.30738027486831754,0.05200702306714294,35.35751044378519,14.708479020979022,58.61855332167832,0.20451655869709995,0.02910254779770232,0.3819700914209602,0.19141436090588632,0.1424592843736756,0.7890052673003572,0.32524066113701033,1.0,35.35751044378519,14.708479020979022,58.61855332167832,0.20451655869709995,0.02910254779770232,0.3502983502983503,-0.18792758975600896,0.3819700914209602,0.012786520697913103,0.012786520697913103,0.3620689655172414,0.8,0.0,1.0,0.25,0.0
4901000000.0,Cash And Cash Equivalents,5701000000.0,Accounts Receivable,1897000000.0,Inventory,95242000000.0,Net PPE,6517000000.0,Accounts Payable,414000000.0,Current Debt,23115000000.0,Long Term Debt,122599000000.0,Total Assets,57027000000.0,Total Liabilities Net Minority Interest,13939000000.0,Current Assets,10986000000.0,Current Liabilities,65572000000.0,Total Equity Gross Minority Interest,65572000000.0,Total Equity Gross Minority Interest,65572000000.0,Total Equity Gross Minority Interest,2025-06-30,Q,14004000000.0,Total Revenue,10495000000.0,Cost Of Revenue,903000000.0,Operating Expense,327000000.0,Interest Expense,1971000000.0,Net Income,1046000000.0,Tax Provision,2838000000.0,,0.0,Net Common Stock Issuance,,,1036000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,3286000000.0,Capital Expenditure,984000000.0,Cash Dividends Paid,2450000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,2838000000.0,Depreciation,91.25,COP,Energy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,65572000000.0,1,0.0,0.0,1440000000.0,13418000000.0,4055000000.0,22926000000.0,2025,6,23.36260884003883,-0.16504715044653295,0.2505712653527563,0.0644815766923736,37.147689945729795,16.493687470223914,56.66281562648881,0.23464724364467296,0.030090334619788797,0.3499714367323622,0.19191836801278966,0.10282776349614396,0.958154812910597,0.28956012567837763,1.0,37.147689945729795,16.493687470223914,56.66281562648881,0.23464724364467296,0.030090334619788797,0.4992389649923896,-0.17495001428163381,0.3499714367323622,0.013748738647830475,0.013748738647830475,0.34670202187603577,0.8,1.0,6.123233995736766e-17,0.25,0.0
5260000000.0,Cash And Cash Equivalents,5744000000.0,Accounts Receivable,1721000000.0,Inventory,93498000000.0,Net PPE,6245000000.0,Accounts Payable,1016000000.0,Current Debt,22466000000.0,Long Term Debt,122472000000.0,Total Assets,57549000000.0,Total Liabilities Net Minority Interest,15884000000.0,Current Assets,12009000000.0,Current Liabilities,64923000000.0,Total Equity Gross Minority Interest,64923000000.0,Total Equity Gross Minority Interest,64923000000.0,Total Equity Gross Minority Interest,2025-09-30,Q,15031000000.0,Total Revenue,11406000000.0,Cost Of Revenue,867000000.0,Operating Expense,317000000.0,Interest Expense,1726000000.0,Net Income,1202000000.0,Tax Provision,2917000000.0,,0.0,Net Common Stock Issuance,,,180000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,2866000000.0,Capital Expenditure,975000000.0,Cash Dividends Paid,2568000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,2917000000.0,Depreciation,91.25,COP,Energy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,64923000000.0,1,0.0,0.0,3159000000.0,13090000000.0,4748000000.0,23074000000.0,2025,9,23.4333805720975,0.07077173205867027,0.24116825227862415,0.05768079302774266,34.87060075843257,13.76830177099772,49.96109503769946,0.19067260993945845,0.030627244282984398,0.34994345020291395,0.19173362074596642,0.21016565764087553,0.8708668751247421,0.3158805136052159,1.0,34.87060075843257,13.76830177099772,49.96109503769946,0.19067260993945845,0.030627244282984398,0.5648899188876014,-0.17084691637282948,0.34994345020291395,0.013472735772876025,0.013472735772876025,0.4105191256830601,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
6497000000.0,Cash And Cash Equivalents,5813000000.0,Accounts Receivable,1873000000.0,Inventory,93239000000.0,Net PPE,6218000000.0,Accounts Payable,714000000.0,Current Debt,21929000000.0,Long Term Debt,121939000000.0,Total Assets,57452000000.0,Total Liabilities Net Minority Interest,15532000000.0,Current Assets,11972000000.0,Current Liabilities,64487000000.0,Total Equity Gross Minority Interest,64487000000.0,Total Equity Gross Minority Interest,64487000000.0,Total Equity Gross Minority Interest,2025-12-31,Q,13392000000.0,Total Revenue,10815000000.0,Cost Of Revenue,817000000.0,Operating Expense,290000000.0,Interest Expense,1442000000.0,Net Income,803000000.0,Tax Provision,2999000000.0,,0.0,Net Common Stock Issuance,,,248000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,3023000000.0,Capital Expenditure,1038000000.0,Cash Dividends Paid,2114000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,2999000000.0,Depreciation,91.25,COP,Energy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,64487000000.0,1,0.0,0.0,1349000000.0,13168000000.0,5040000000.0,23551000000.0,2025,12,23.31792335069353,-0.11545722140397174,0.1924283154121864,0.06100657108721625,39.60844160692951,15.803166897827092,52.46347665279704,0.22573178016726403,0.032075552418233545,0.48514038231780165,0.18569120625886715,0.10073178016726404,0.983273596176822,0.3763440860215054,1.0,39.60844160692951,15.803166897827092,52.46347665279704,0.22573178016726403,0.032075552418233545,0.7198335644937587,-0.15785543608124253,0.48514038231780165,0.012349885018311899,0.012349885018311899,0.3576837416481069,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
