C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,-131000000.0,Allowance For Doubtful Accounts Receivable,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,6525000000.0,Other Operating Expenses,,,179000000.0,Net Income Discontinuous Operations,,,,,,,,,,,,,,,,,,,365.0,CRH,Materials,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
5931000000.0,Cash And Cash Equivalents,3916000000.0,Accounts Receivable,4194000000.0,Inventory,18943000000.0,Net PPE,2930000000.0,Accounts Payable,1491000000.0,Current Debt,8145000000.0,Long Term Debt,45319000000.0,Total Assets,22279000000.0,Total Liabilities Net Minority Interest,14833000000.0,Current Assets,8041000000.0,Current Liabilities,23040000000.0,Total Equity Gross Minority Interest,23040000000.0,Total Equity Gross Minority Interest,883000000.0,Minority Interest,2022-12-31,A,32723000000.0,Total Revenue,21908000000.0,Cost Of Revenue,7056000000.0,Operating Expense,344000000.0,Interest Expense,3862000000.0,Net Income,762000000.0,Tax Provision,1577000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,114000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1456000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,1523000000.0,Capital Expenditure,917000000.0,Cash Dividends Paid,2356000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,1577000000.0,Depreciation,365.0,CRH,Materials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,23040000000.0,1,0.0,0.0,792000000.0,11543000000.0,3620000000.0,6093000000.0,2022,12,24.211344031519523,,0.33050148213794583,0.21562815145310638,43.679980441891026,69.87447507759722,48.815501186781084,0.04654218745225071,,0.18124866301989426,0.2126260508837353,0.024203159856981328,0.35274883109739325,0.11062555389175809,0.1861993093542768,43.679980441891026,69.87447507759722,48.815501186781084,0.04654218745225071,,0.237441740031072,-0.07199828866546466,0.18124866301989426,,,0.1647923875432526,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
6341000000.0,Cash And Cash Equivalents,3574000000.0,Accounts Receivable,4291000000.0,Inventory,19133000000.0,Net PPE,3149000000.0,Accounts Payable,1866000000.0,Current Debt,9776000000.0,Long Term Debt,47469000000.0,Total Assets,25848000000.0,Total Liabilities Net Minority Interest,16885000000.0,Current Assets,10013000000.0,Current Liabilities,21621000000.0,Total Equity Gross Minority Interest,21621000000.0,Total Equity Gross Minority Interest,767000000.0,Minority Interest,2023-12-31,A,34949000000.0,Total Revenue,22986000000.0,Cost Of Revenue,7476000000.0,Operating Expense,376000000.0,Interest Expense,3154000000.0,Net Income,925000000.0,Tax Provision,139000000.0,Depreciation And Amortization In Income Statement,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,9489000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,5848000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,1817000000.0,Capital Expenditure,940000000.0,Cash Dividends Paid,6134000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,1633000000.0,Depreciation,365.0,CRH,Materials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21621000000.0,1,0.0,0.0,2679000000.0,11451000000.0,4998000000.0,6059000000.0,2023,12,24.2771556929136,0.06581166139407557,0.34229877821969157,0.2139116999055767,37.32610375118029,68.13777951796746,50.00369790307143,0.051990042633551746,0.007337802882331204,0.18143580646084295,0.24525479786808232,0.07665455377836276,0.3276488597670892,0.14300838364473947,0.17336690606312055,37.32610375118029,68.13777951796746,50.00369790307143,0.051990042633551746,0.007337802882331204,0.29803424223208624,-0.17551289021145097,0.18143580646084295,0.039020340390203405,0.039020340390203405,0.22677126746751655,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,-142000000.0,Allowance For Doubtful Accounts Receivable,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,,,,,481000000.0,Cash Dividends Paid,,,,,91.25,CRH,Materials,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,,,,,,,238000000.0,Cash Dividends Paid,,,,,91.25,CRH,Materials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
3720000000.0,Cash And Cash Equivalents,3829000000.0,Accounts Receivable,4755000000.0,Inventory,22726000000.0,Net PPE,3207000000.0,Accounts Payable,2999000000.0,Current Debt,10969000000.0,Long Term Debt,50613000000.0,Total Assets,27763000000.0,Total Liabilities Net Minority Interest,14083000000.0,Current Assets,10296000000.0,Current Liabilities,22850000000.0,Total Equity Gross Minority Interest,22850000000.0,Total Equity Gross Minority Interest,1243000000.0,Minority Interest,2024-12-31,Q,8870000000.0,Total Revenue,5710000000.0,Cost Of Revenue,1933000000.0,Operating Expense,160000000.0,Interest Expense,733000000.0,Net Income,143000000.0,Tax Provision,510000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,1647000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,20000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,943000000.0,Capital Expenditure,237000000.0,Cash Dividends Paid,516000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,510000000.0,Depreciation,91.25,CRH,Materials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,22850000000.0,1,0.0,0.0,1779000000.0,13804000000.0,4090000000.0,6498000000.0,2024,12,22.9059406332679,,0.3562570462232244,0.21792559188275085,39.39078354002255,75.98839754816112,51.25021891418564,0.10631341600901917,,0.41939120631341603,0.2759765277695454,0.20056369785794814,1.0,0.46110484780157834,0.7325817361894025,39.39078354002255,75.98839754816112,51.25021891418564,0.10631341600901917,,0.32332878581173263,-0.05817361894024803,0.41939120631341603,,,0.1632420091324201,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
3352000000.0,Cash And Cash Equivalents,4214000000.0,Accounts Receivable,4960000000.0,Inventory,23451000000.0,Net PPE,2777000000.0,Accounts Payable,1458000000.0,Current Debt,14213000000.0,Long Term Debt,51921000000.0,Total Assets,29564000000.0,Total Liabilities Net Minority Interest,14242000000.0,Current Assets,8712000000.0,Current Liabilities,22357000000.0,Total Equity Gross Minority Interest,22357000000.0,Total Equity Gross Minority Interest,1238000000.0,Minority Interest,2025-03-31,Q,6756000000.0,Total Revenue,4919000000.0,Cost Of Revenue,1833000000.0,Operating Expense,181000000.0,Interest Expense,-94000000.0,Net Income,-58000000.0,Tax Provision,477000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,9051000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,6132000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,645000000.0,Capital Expenditure,,,620000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,477000000.0,Depreciation,91.25,CRH,Materials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,22357000000.0,1,0.0,0.0,1716000000.0,14228000000.0,4477000000.0,6639000000.0,2025,3,22.633696835891964,-0.2722437973759355,0.2719064535227945,0.2713143872113677,56.916444641799885,92.01057125431998,51.514789591380364,0.09547069271758436,0.020989175393822054,0.49615156897572527,0.3018239248088442,0.2539964476021314,1.0,0.5,0.9826820603907638,56.916444641799885,92.01057125431998,51.514789591380364,0.09547069271758436,0.020989175393822054,0.0,-0.09177027827116636,0.49615156897572527,0.0129581901489118,0.0129581901489118,0.0,0.8,0.0,1.0,0.25,0.0
2876000000.0,Cash And Cash Equivalents,5326000000.0,Accounts Receivable,5051000000.0,Inventory,24312000000.0,Net PPE,3303000000.0,Accounts Payable,1171000000.0,Current Debt,14642000000.0,Long Term Debt,53984000000.0,Total Assets,30354000000.0,Total Liabilities Net Minority Interest,15151000000.0,Current Assets,8684000000.0,Current Liabilities,23630000000.0,Total Equity Gross Minority Interest,23630000000.0,Total Equity Gross Minority Interest,1285000000.0,Minority Interest,2025-06-30,Q,10206000000.0,Total Revenue,6180000000.0,Cost Of Revenue,2120000000.0,Operating Expense,200000000.0,Interest Expense,1319000000.0,Net Income,425000000.0,Tax Provision,528000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,4575000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,7276000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,655000000.0,Capital Expenditure,,,668000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,528000000.0,Depreciation,91.25,CRH,Materials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,23630000000.0,1,0.0,0.0,1898000000.0,14521000000.0,4210000000.0,7028000000.0,2025,6,23.04624161958819,0.4125447836962266,0.39447383891828336,0.2077209484616892,47.61880266509896,74.57989482200647,48.77002427184466,0.06417793454830492,0.022515031341947038,0.2817950225357633,0.2929201244813278,0.18596903782088967,1.0,0.41250244953948656,0.6886145404663924,47.61880266509896,74.57989482200647,48.77002427184466,0.06417793454830492,0.022515031341947038,,-0.06545169508132472,0.2817950225357633,0.012762427413694084,0.012762427413694084,0.2436926605504587,0.8,1.0,6.123233995736766e-17,0.25,0.0
4198000000.0,Cash And Cash Equivalents,5641000000.0,Accounts Receivable,5019000000.0,Inventory,25195000000.0,Net PPE,3156000000.0,Accounts Payable,3968000000.0,Current Debt,14734000000.0,Long Term Debt,58527000000.0,Total Assets,33898000000.0,Total Liabilities Net Minority Interest,16852000000.0,Current Assets,11596000000.0,Current Liabilities,24629000000.0,Total Equity Gross Minority Interest,24629000000.0,Total Equity Gross Minority Interest,1320000000.0,Minority Interest,2025-09-30,Q,11069000000.0,Total Revenue,6760000000.0,Cost Of Revenue,2338000000.0,Operating Expense,209000000.0,Interest Expense,1496000000.0,Net Income,428000000.0,Tax Provision,601000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,9654000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1380000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,592000000.0,Capital Expenditure,249000000.0,Cash Dividends Paid,572000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,601000000.0,Depreciation,91.25,CRH,Materials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,24629000000.0,1,0.0,0.0,1994000000.0,16480000000.0,4472000000.0,7568000000.0,2025,9,23.127414245349897,0.08117262576170603,0.389285391634294,0.21122052579275455,46.50295871352426,67.74907544378698,42.601331360946745,0.0534826994308429,0.024720302731161565,0.37925738549101096,0.31954482546516993,0.18014274098834582,1.0,0.4040112024573132,0.6837112656969916,46.50295871352426,67.74907544378698,42.601331360946745,0.0534826994308429,0.024720302731161565,0.16644385026737968,-0.0516758514770982,0.37925738549101096,0.013216973376335926,0.013216973376335926,0.22245322245322247,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
4096000000.0,Cash And Cash Equivalents,4296000000.0,Accounts Receivable,5251000000.0,Inventory,26408000000.0,Net PPE,3263000000.0,Accounts Payable,1175000000.0,Current Debt,16478000000.0,Long Term Debt,58329000000.0,Total Assets,32851000000.0,Total Liabilities Net Minority Interest,15254000000.0,Current Assets,8754000000.0,Current Liabilities,25478000000.0,Total Equity Gross Minority Interest,25478000000.0,Total Equity Gross Minority Interest,1474000000.0,Minority Interest,2025-12-31,Q,9416000000.0,Total Revenue,6060000000.0,Cost Of Revenue,1914000000.0,Operating Expense,220000000.0,Interest Expense,1022000000.0,Net Income,246000000.0,Tax Provision,550000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,8157000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,15660000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,821000000.0,Capital Expenditure,247000000.0,Cash Dividends Paid,502000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,550000000.0,Depreciation,91.25,CRH,Materials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,25478000000.0,1,0.0,0.0,1611000000.0,16667000000.0,4316000000.0,7619000000.0,2025,12,22.965676206904387,-0.1617380384455096,0.3564146134239592,0.20327102803738317,41.63232795242141,79.06827557755776,49.13345709570957,0.08719201359388275,0.02182972812065886,0.43500424808836025,0.30264533936806737,0.17109175870858115,1.0,0.45836873406966866,0.8091546304163126,41.63232795242141,79.06827557755776,49.13345709570957,0.08719201359388275,0.02182972812065886,0.24168297455968688,-0.053313508920985554,0.43500424808836025,0.011763447759597903,0.011763447759597903,0.19400630914826497,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
