C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,899070000.0,Current Debt,,,,,,,,,,,,,,,,,2021-05-31,A,,,,,,,,,0.0,Net Income Discontinuous Operations,,,,,,,,,,,,,,,,,,,365.0,CTAS,Industrials,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,,,,,,,2021,5,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,1.0,6.123233995736766e-17,1.0,0.0
90471000.0,Cash And Cash Equivalents,1006220000.0,Accounts Receivable,1388856000.0,Inventory,1493676000.0,Net PPE,251504000.0,Accounts Payable,311574000.0,Current Debt,2483932000.0,Long Term Debt,8147256000.0,Total Assets,4839060000.0,Total Liabilities Net Minority Interest,2631983000.0,Current Assets,1432890000.0,Current Liabilities,3308196000.0,Total Equity Gross Minority Interest,3308196000.0,Total Equity Gross Minority Interest,3308196000.0,Total Equity Gross Minority Interest,2022-05-31,A,7854459000.0,Total Revenue,4222213000.0,Cost Of Revenue,2044876000.0,Operating Expense,88844000.0,Interest Expense,1235757000.0,Net Income,263011000.0,Tax Provision,249376000.0,,0.0,Net Common Stock Issuance,3571518000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,4800000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,240672000.0,Capital Expenditure,375119000.0,Cash Dividends Paid,3051746000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,249376000.0,Depreciation,365.0,CTAS,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3308196000.0,1,0.0,0.0,146436000.0,4021597000.0,869812000.0,922238000.0,2022,5,22.784347232953028,,0.4624438169452536,0.2603458748718403,46.759464910314,120.06320855911343,21.74190643626932,0.030641448379831127,,0.011518425393779508,0.34312239605580086,0.018643677432143957,0.5120145130301145,0.11074117262563851,0.11741585257495138,46.759464910314,120.06320855911343,21.74190643626932,0.030641448379831127,,0.30355401587852626,-0.38853675345431177,0.011518425393779508,0.09881766714493866,0.09881766714493866,0.17548479818090593,0.2,1.0,6.123233995736766e-17,1.0,0.0
124149000.0,Cash And Cash Equivalents,1152993000.0,Accounts Receivable,1518522000.0,Inventory,1574940000.0,Net PPE,302292000.0,Accounts Payable,43710000.0,Current Debt And Capital Lease Obligation,2486405000.0,Long Term Debt,8546356000.0,Total Assets,4682370000.0,Total Liabilities Net Minority Interest,2938459000.0,Current Assets,1230062000.0,Current Liabilities,3863986000.0,Total Equity Gross Minority Interest,3863986000.0,Total Equity Gross Minority Interest,3863986000.0,Total Equity Gross Minority Interest,2023-05-31,A,8815769000.0,Total Revenue,4642401000.0,Cost Of Revenue,2370704000.0,Operating Expense,111232000.0,Interest Expense,1348010000.0,Net Income,345138000.0,Tax Provision,267223000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,200000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,331109000.0,Capital Expenditure,449917000.0,Cash Dividends Paid,797730000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,267223000.0,Depreciation,365.0,CTAS,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3863986000.0,1,0.0,0.0,142795000.0,4032957000.0,884060000.0,965903000.0,2023,5,22.899807886654337,0.11546065370130876,0.4733980665781964,0.26891630213994944,47.73746283506294,119.39092077569344,23.767136875939844,0.037558720061743905,0.1789029213832183,0.01408260583960401,0.2960460575243999,0.01619767940834203,0.457470811678482,0.10028166572876399,0.10956537087121952,47.73746283506294,119.39092077569344,23.767136875939844,0.037558720061743905,0.1789029213832183,0.33376384448186586,-0.09048898626994423,0.01408260583960401,0.0397895765560868,0.0397895765560868,0.20384396402440896,0.4,1.0,6.123233995736766e-17,1.0,0.0
342015000.0,Cash And Cash Equivalents,1244182000.0,Accounts Receivable,1450345000.0,Inventory,1722121000.0,Net PPE,339166000.0,Accounts Payable,449595000.0,Current Debt,2025934000.0,Long Term Debt,9168817000.0,Total Assets,4852445000.0,Total Liabilities Net Minority Interest,3185207000.0,Current Assets,1828519000.0,Current Liabilities,4316372000.0,Total Equity Gross Minority Interest,4316372000.0,Total Equity Gross Minority Interest,4316372000.0,Total Equity Gross Minority Interest,2024-05-31,A,9596615000.0,Total Revenue,4910199000.0,Cost Of Revenue,2617783000.0,Operating Expense,100740000.0,Interest Expense,1571592000.0,Net Income,402043000.0,Tax Provision,280866000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,53800000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,409469000.0,Capital Expenditure,530909000.0,Cash Dividends Paid,1400066000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,280866000.0,Depreciation,365.0,CTAS,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4316372000.0,1,0.0,0.0,148665000.0,4261489000.0,1039758000.0,997992000.0,2024,5,22.98467626907407,0.0848683824197316,0.4883405242369314,0.2727819132058544,47.321522224242614,107.8115011224596,25.21192929247878,0.042668065771107835,0.17833441273953293,0.03563912900538367,0.2699943733199168,0.015491399832128308,0.4440616821660554,0.10834632836682517,0.10399416877721988,47.321522224242614,107.8115011224596,25.21192929247878,0.042668065771107835,0.17833441273953293,0.3378160489490911,-0.1458916503371241,0.03563912900538367,0.03981637198309168,0.03981637198309168,0.2037068657578529,0.6,1.0,6.123233995736766e-17,1.0,0.0
,,,,,,,,,,615702000.0,Current Debt,,,,,,,,,,,,,,,,,2024-08-31,Q,,,,,,,,,,,,,,,,,332000000.0,Issuance Of Debt+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,,,,,,,,,91.25,CTAS,Industrials,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,,,,,,,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
122395000.0,Cash And Cash Equivalents,1370493000.0,Accounts Receivable,1488644000.0,Inventory,1774847000.0,Net PPE,418259000.0,Accounts Payable,630808000.0,Current Debt,2026963000.0,Long Term Debt,9366529000.0,Total Assets,5073423000.0,Total Liabilities Net Minority Interest,3170391000.0,Current Assets,2007767000.0,Current Liabilities,4293106000.0,Total Equity Gross Minority Interest,4293106000.0,Total Equity Gross Minority Interest,4293106000.0,Total Equity Gross Minority Interest,2024-11-30,Q,2561783000.0,Total Revenue,1285080000.0,Cost Of Revenue,685313000.0,Operating Expense,26665000.0,Interest Expense,448495000.0,Net Income,117192000.0,Tax Provision,75502000.0,,0.0,Net Common Stock Issuance,30000000.0,Issuance Of Debt+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,101416000.0,Capital Expenditure,157327000.0,Cash Dividends Paid,73432000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,75502000.0,Depreciation,91.25,CTAS,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4293106000.0,1,0.0,0.0,188859000.0,4421291000.0,958700000.0,1038693000.0,2024,11,21.663969337380202,,0.4983650059353193,0.2675140712542788,48.8165805807908,105.70452034114608,29.699422409499796,0.039588052539969235,,0.04777727075244078,0.283751964041322,0.07372170086225102,1.0,0.3742315410790063,0.40545705861893844,48.8165805807908,105.70452034114608,29.699422409499796,0.039588052539969235,,0.3507887490384508,-0.02866441068583873,0.04777727075244078,0.04330828875007715,0.04330828875007715,0.20716756793067545,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
243428000.0,Cash And Cash Equivalents,1397824000.0,Accounts Receivable,1520865000.0,Inventory,1819813000.0,Net PPE,408461000.0,Accounts Payable,449915000.0,Current Debt,2027477000.0,Long Term Debt,9611136000.0,Total Assets,5018888000.0,Total Liabilities Net Minority Interest,3341428000.0,Current Assets,1941146000.0,Current Liabilities,4592248000.0,Total Equity Gross Minority Interest,4592248000.0,Total Equity Gross Minority Interest,4592248000.0,Total Equity Gross Minority Interest,2025-02-28,Q,2609159000.0,Total Revenue,1289818000.0,Cost Of Revenue,709488000.0,Operating Expense,24764000.0,Interest Expense,463497000.0,Net Income,122941000.0,Tax Provision,76374000.0,,0.0,Net Common Stock Issuance,,,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,99923000.0,Capital Expenditure,158139000.0,Cash Dividends Paid,53222000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,76374000.0,Depreciation,91.25,CTAS,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,4592248000.0,1,0.0,0.0,179311000.0,4449895000.0,1082770000.0,1050265000.0,2025,2,21.682293784134057,0.018324446753855028,0.5056575701212536,0.2719221021026315,48.886035691960515,107.59574703562828,28.897151574873355,0.03829701447861169,0.04303131481192463,0.09329749547651178,0.2577626619787713,0.06872367686292787,1.0,0.4149881245259488,0.40253008728099743,48.886035691960515,107.59574703562828,28.897151574873355,0.03829701447861169,0.04303131481192463,0.3411866743474068,-0.020398143616391334,0.09329749547651178,0.009317582289821057,0.009317582289821057,0.2096402347733264,0.8,0.0,1.0,0.25,0.0
263973000.0,Cash And Cash Equivalents,1417381000.0,Accounts Receivable,1584769000.0,Inventory,1876857000.0,Net PPE,485109000.0,Accounts Payable,50744000.0,Current Debt And Capital Lease Obligation,2424999000.0,Long Term Debt,9825241000.0,Total Assets,5140760000.0,Total Liabilities Net Minority Interest,3436169000.0,Current Assets,1644502000.0,Current Liabilities,4684481000.0,Total Equity Gross Minority Interest,4684481000.0,Total Equity Gross Minority Interest,4684481000.0,Total Equity Gross Minority Interest,2025-05-31,Q,2667652000.0,Total Revenue,1341663000.0,Cost Of Revenue,728537000.0,Operating Expense,24060000.0,Interest Expense,448256000.0,Net Income,127159000.0,Tax Provision,77663000.0,,0.0,Net Common Stock Issuance,,,1800000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,114624000.0,Capital Expenditure,157924000.0,Cash Dividends Paid,513342000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,77663000.0,Depreciation,91.25,CTAS,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,4684481000.0,1,0.0,0.0,170046000.0,4512215000.0,1108649000.0,1071259000.0,2025,5,21.704464521709824,0.022170737575766708,0.4970622105132154,0.2731004643784122,48.483091591406975,107.78427313714398,32.99352836740672,0.042968123278448615,0.04267636290102335,0.09895331175130789,0.25197783952576835,0.06374369670406785,1.0,0.4155898145635188,0.4015737435017761,48.483091591406975,107.78427313714398,32.99352836740672,0.042968123278448615,0.04267636290102335,0.35230760993717875,-0.19243214632193403,0.09895331175130789,0.009711825984745247,0.009711825984745247,0.2209865922855678,0.8,1.0,6.123233995736766e-17,0.25,0.0
138143000.0,Cash And Cash Equivalents,1421047000.0,Accounts Receivable,1622060000.0,Inventory,1921088000.0,Net PPE,462315000.0,Accounts Payable,51691000.0,Current Debt And Capital Lease Obligation,2425757000.0,Long Term Debt,9837690000.0,Total Assets,5081990000.0,Total Liabilities Net Minority Interest,3375926000.0,Current Assets,1507819000.0,Current Liabilities,4755700000.0,Total Equity Gross Minority Interest,4755700000.0,Total Equity Gross Minority Interest,4755700000.0,Total Equity Gross Minority Interest,2025-08-31,Q,2718122000.0,Total Revenue,1351561000.0,Cost Of Revenue,748702000.0,Operating Expense,24161000.0,Interest Expense,491140000.0,Net Income,104767000.0,Tax Provision,77589000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Issuance Of Debt,,,101957000.0,Capital Expenditure,157766000.0,Cash Dividends Paid,532194000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,77589000.0,Depreciation,91.25,CTAS,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,4755700000.0,1,0.0,0.0,194676000.0,4540676000.0,993813000.0,1148414000.0,2025,8,21.723207037613566,0.01874251590374243,0.5027592580465483,0.27544826906224223,47.70593032615902,109.51261171341878,31.212977993594073,0.03751008968692354,0.041339857005621636,0.05082295790990986,0.2518322898973235,0.07162150926264531,1.0,0.36562486893524276,0.42250274270249827,47.70593032615902,109.51261171341878,31.212977993594073,0.03751008968692354,0.041339857005621636,0.32122409089058107,-0.1957947435766312,0.05082295790990986,0.009759090503335767,0.009759090503335767,0.1758109906411571,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
200842000.0,Cash And Cash Equivalents,1484328000.0,Accounts Receivable,1661110000.0,Inventory,1956951000.0,Net PPE,503273000.0,Accounts Payable,550750000.0,Current Debt,2426529000.0,Long Term Debt,10132881000.0,Total Assets,5677534000.0,Total Liabilities Net Minority Interest,3540088000.0,Current Assets,2075985000.0,Current Liabilities,4455347000.0,Total Equity Gross Minority Interest,4455347000.0,Total Equity Gross Minority Interest,4455347000.0,Total Equity Gross Minority Interest,2025-11-30,Q,2799992000.0,Total Revenue,1387507000.0,Cost Of Revenue,756771000.0,Operating Expense,28076000.0,Interest Expense,495343000.0,Net Income,133161000.0,Tax Provision,79296000.0,,0.0,Net Common Stock Issuance,1101500000.0,Issuance Of Debt+Issuance Of Debt,,,106252000.0,Capital Expenditure,182343000.0,Cash Dividends Paid,1271140000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,79296000.0,Depreciation,91.25,CTAS,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,4455347000.0,1,0.0,0.0,193808000.0,4635842000.0,1021962000.0,1175020000.0,2025,11,21.75288239698063,0.029675359367065113,0.5044603698867711,0.2702761293603696,48.37332749522142,109.24362003218722,33.09796725349854,0.03794725127786079,0.04127660992104474,0.0717294906556876,0.29382354337330124,0.0692173406209732,1.0,0.36498747139277543,0.41965119900342573,48.37332749522142,109.24362003218722,33.09796725349854,0.03794725127786079,0.04127660992104474,0.3681146195666437,-0.45397986851391003,0.0717294906556876,0.011332629383139423,0.011332629383139423,0.2118697733029543,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
