C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
5640000000.0,Cash And Cash Equivalents,18419000000.0,Accounts Receivable,6795000000.0,Inventory,146961000000.0,Net PPE,16454000000.0,Accounts Payable,208000000.0,Current Debt,30664000000.0,Long Term Debt,239535000000.0,Total Assets,99595000000.0,Total Liabilities Net Minority Interest,33738000000.0,Current Assets,26791000000.0,Current Liabilities,139940000000.0,Total Equity Gross Minority Interest,139940000000.0,Total Equity Gross Minority Interest,873000000.0,Minority Interest,2021-12-31,A,155606000000.0,Total Revenue,110174000000.0,Cost Of Revenue,29252000000.0,Operating Expense,712000000.0,Interest Expense,15625000000.0,Net Income,5950000000.0,Tax Provision,16895000000.0,,0.0,Net Common Stock Issuance,8896000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,59516000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,8056000000.0,Capital Expenditure,10179000000.0,Cash Dividends Paid,2766000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,16895000000.0,Depreciation,365.0,CVX,Energy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,139940000000.0,1,0.0,0.0,2884000000.0,58836000000.0,10129000000.0,42140000000.0,2021,12,25.77059300835858,,0.2919681760343431,0.18798760973227255,43.20485713918487,22.511436455061993,54.51113692885799,0.05177178257907793,,0.03624538899528296,0.12888304423153193,0.018533989691914193,0.37810881328483475,0.06509389098106756,0.2708121794789404,43.20485713918487,22.511436455061993,54.51113692885799,0.05177178257907793,,0.651456,-0.017775664177473876,0.03624538899528296,,,0.27578215527230593,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
17678000000.0,Cash And Cash Equivalents,20456000000.0,Accounts Receivable,8247000000.0,Inventory,143591000000.0,Net PPE,18955000000.0,Accounts Payable,1919000000.0,Current Debt,20972000000.0,Long Term Debt,257709000000.0,Total Assets,97467000000.0,Total Liabilities Net Minority Interest,50343000000.0,Current Assets,34208000000.0,Current Liabilities,160242000000.0,Total Equity Gross Minority Interest,160242000000.0,Total Equity Gross Minority Interest,960000000.0,Minority Interest,2022-12-31,A,235717000000.0,Total Revenue,161735000000.0,Cost Of Revenue,34032000000.0,Operating Expense,516000000.0,Interest Expense,35465000000.0,Net Income,14066000000.0,Tax Provision,14809000000.0,,0.0,Net Common Stock Issuance,526000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,34968000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,11974000000.0,Capital Expenditure,10968000000.0,Cash Dividends Paid,22510000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,14809000000.0,Depreciation,365.0,CVX,Energy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,160242000000.0,1,0.0,0.0,3962000000.0,63775000000.0,13334000000.0,42287000000.0,2022,12,26.18589776987094,0.41530476151235973,0.3138594161642987,0.14437651930068685,31.67544131310003,18.611648684576622,42.777228181902494,0.050798202929784445,0.10076823102727935,0.07499671215907211,0.0888249925303346,0.016808291298463836,0.2705574905501088,0.05656783346131166,0.17939732815197887,31.67544131310003,18.611648684576622,42.777228181902494,0.050798202929784445,0.10076823102727935,0.30926265332017483,-0.09549587004755702,0.07499671215907211,0.0167141746566468,0.0167141746566468,0.2839837677414145,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
8178000000.0,Cash And Cash Equivalents,19921000000.0,Accounts Receivable,8612000000.0,Inventory,153619000000.0,Net PPE,20423000000.0,Accounts Payable,469000000.0,Current Debt,19733000000.0,Long Term Debt,261632000000.0,Total Assets,99703000000.0,Total Liabilities Net Minority Interest,41128000000.0,Current Assets,32258000000.0,Current Liabilities,161929000000.0,Total Equity Gross Minority Interest,161929000000.0,Total Equity Gross Minority Interest,972000000.0,Minority Interest,2023-12-31,A,196913000000.0,Total Revenue,136522000000.0,Cost Of Revenue,34162000000.0,Operating Expense,469000000.0,Interest Expense,21369000000.0,Net Income,8173000000.0,Tax Provision,14553000000.0,,0.0,Net Common Stock Issuance,720000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,17360000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,15829000000.0,Capital Expenditure,11336000000.0,Cash Dividends Paid,29878000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,14553000000.0,Depreciation,365.0,CVX,Energy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,161929000000.0,1,0.0,0.0,4417000000.0,66885000000.0,11366000000.0,47712000000.0,2023,12,26.006027843774156,-0.1798699260967851,0.30668874071290364,0.17348778394519407,36.925774326733126,23.024713965514717,54.60215203410439,0.08038575411476134,0.10135036318432214,0.041531031470751045,0.07721532534246575,0.022431225972891582,0.33966777206177345,0.05772092243782787,0.2422998989401411,36.925774326733126,23.024713965514717,54.60215203410439,0.08038575411476134,0.10135036318432214,0.5304880902241564,-0.15173198316007577,0.041531031470751045,0.020488401555196364,0.020488401555196364,0.2766569629679778,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,CVX,Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
4699000000.0,Cash And Cash Equivalents,19591000000.0,Accounts Receivable,9725000000.0,Inventory,147891000000.0,Net PPE,20037000000.0,Accounts Payable,5144000000.0,Current Debt,20697000000.0,Long Term Debt,259232000000.0,Total Assets,102202000000.0,Total Liabilities Net Minority Interest,38187000000.0,Current Assets,35718000000.0,Current Liabilities,157030000000.0,Total Equity Gross Minority Interest,157030000000.0,Total Equity Gross Minority Interest,828000000.0,Minority Interest,2024-09-30,Q,48926000000.0,Total Revenue,34664000000.0,Cost Of Revenue,9303000000.0,Operating Expense,164000000.0,Interest Expense,4487000000.0,Net Income,1993000000.0,Tax Provision,4214000000.0,,0.0,Net Common Stock Issuance,5292000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,48000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,4055000000.0,Capital Expenditure,2933000000.0,Cash Dividends Paid,9500000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,4214000000.0,Depreciation,91.25,CVX,Energy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,157030000000.0,1,0.0,0.0,4172000000.0,73154000000.0,10537000000.0,45787000000.0,2024,9,24.613574789467805,,0.29150145117115644,0.19014429955442913,36.53842026734252,25.600226459727672,52.745679956150475,0.08288026816007849,,0.09604300371990353,0.09968290951734354,0.08527163471364918,1.0,0.21536606303396966,0.9358418836610392,36.53842026734252,25.600226459727672,52.745679956150475,0.08288026816007849,,0.6536661466458659,-0.19417078853779177,0.09604300371990353,,,0.30756172839506174,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
6781000000.0,Cash And Cash Equivalents,20684000000.0,Accounts Receivable,9074000000.0,Inventory,147799000000.0,Net PPE,22079000000.0,Accounts Payable,4348000000.0,Current Debt,19589000000.0,Long Term Debt,256938000000.0,Total Assets,103781000000.0,Total Liabilities Net Minority Interest,40911000000.0,Current Assets,38558000000.0,Current Liabilities,153157000000.0,Total Equity Gross Minority Interest,153157000000.0,Total Equity Gross Minority Interest,839000000.0,Minority Interest,2024-12-31,Q,48334000000.0,Total Revenue,35121000000.0,Cost Of Revenue,10797000000.0,Operating Expense,199000000.0,Interest Expense,3239000000.0,Net Income,2800000000.0,Tax Provision,3887000000.0,,0.0,Net Common Stock Issuance,411000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,5384000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,4338000000.0,Capital Expenditure,2887000000.0,Cash Dividends Paid,9000000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,3887000000.0,Depreciation,91.25,CVX,Energy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,153157000000.0,1,0.0,0.0,4372000000.0,68228000000.0,12131000000.0,45634000000.0,2024,12,24.6014010837072,-0.012173705760606168,0.2733686431911284,0.22338312574998964,39.04942690445649,23.57570968935964,57.36478887275419,0.08975048620019034,0.026282870492457283,0.1402946166259776,0.09316255283375756,0.0904539247734514,1.0,0.2509827450655853,0.9441387015351512,39.04942690445649,23.57570968935964,57.36478887275419,0.08975048620019034,0.026282870492457283,0.8913244828650818,-0.18620432821616253,0.1402946166259776,0.007700940366084904,0.007700940366084904,0.4636529226693161,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
4638000000.0,Cash And Cash Equivalents,19560000000.0,Accounts Receivable,9167000000.0,Inventory,148124000000.0,Net PPE,20878000000.0,Accounts Payable,4076000000.0,Current Debt,25605000000.0,Long Term Debt,256397000000.0,Total Assets,106317000000.0,Total Liabilities Net Minority Interest,38574000000.0,Current Assets,35702000000.0,Current Liabilities,150080000000.0,Total Equity Gross Minority Interest,150080000000.0,Total Equity Gross Minority Interest,836000000.0,Minority Interest,2025-03-31,Q,46101000000.0,Total Revenue,32733000000.0,Cost Of Revenue,9071000000.0,Operating Expense,212000000.0,Interest Expense,3500000000.0,Net Income,2071000000.0,Tax Provision,4123000000.0,,0.0,Net Common Stock Issuance,21107000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,8395000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,3927000000.0,Capital Expenditure,2984000000.0,Cash Dividends Paid,7834000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,4123000000.0,Depreciation,91.25,CVX,Energy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,150080000000.0,1,0.0,0.0,5209000000.0,69699000000.0,10748000000.0,45010000000.0,2025,3,24.554100478687715,-0.0473006050194833,0.2899720179605648,0.19676362768703498,38.71607991149867,25.55490636360859,58.2017383069074,0.08518253400143164,0.02789599388358514,0.10060519294592309,0.11576188488944879,0.11299104140908006,1.0,0.2331402789527342,0.9763345697490293,38.71607991149867,25.55490636360859,58.2017383069074,0.08518253400143164,0.02789599388358514,0.8525714285714285,-0.16993123793410123,0.10060519294592309,0.008856581860717718,0.008856581860717718,0.3717465446059953,0.8,0.0,1.0,0.25,0.0
4061000000.0,Cash And Cash Equivalents,17663000000.0,Accounts Receivable,8813000000.0,Inventory,147442000000.0,Net PPE,18609000000.0,Accounts Payable,6191000000.0,Current Debt,23276000000.0,Long Term Debt,250820000000.0,Total Assets,103562000000.0,Total Liabilities Net Minority Interest,34691000000.0,Current Assets,34827000000.0,Current Liabilities,147258000000.0,Total Equity Gross Minority Interest,147258000000.0,Total Equity Gross Minority Interest,841000000.0,Minority Interest,2025-06-30,Q,44375000000.0,Total Revenue,31202000000.0,Cost Of Revenue,9116000000.0,Operating Expense,274000000.0,Interest Expense,2490000000.0,Net Income,1632000000.0,Tax Provision,4344000000.0,,0.0,Net Common Stock Issuance,8924000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,16873000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,3712000000.0,Capital Expenditure,2934000000.0,Cash Dividends Paid,5196000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,4344000000.0,Depreciation,91.25,CVX,Energy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,147258000000.0,1,0.0,0.0,4154000000.0,68687000000.0,10027000000.0,45459000000.0,2025,6,24.51594208474199,-0.038158393945725066,0.296856338028169,0.20543098591549297,36.321098591549294,25.773548169989102,54.42187199538491,0.08365070422535212,0.029326780265183226,0.09151549295774648,0.11748265688541584,0.0936112676056338,1.0,0.2259605633802817,1.0,36.321098591549294,25.773548169989102,54.42187199538491,0.08365070422535212,0.029326780265183226,1.0,-0.11709295774647888,0.09151549295774648,0.009231494895724538,0.009231494895724538,0.39592430858806404,0.8,1.0,6.123233995736766e-17,0.25,0.0
7725000000.0,Cash And Cash Equivalents,17887000000.0,Accounts Receivable,10436000000.0,Inventory,219494000000.0,Net PPE,19073000000.0,Accounts Payable,3591000000.0,Current Debt,37953000000.0,Long Term Debt,326501000000.0,Total Assets,130901000000.0,Total Liabilities Net Minority Interest,40866000000.0,Current Assets,35472000000.0,Current Liabilities,195600000000.0,Total Equity Gross Minority Interest,195600000000.0,Total Equity Gross Minority Interest,5757000000.0,Minority Interest,2025-09-30,Q,48169000000.0,Total Revenue,33179000000.0,Cost Of Revenue,10693000000.0,Operating Expense,370000000.0,Interest Expense,3539000000.0,Net Income,1801000000.0,Tax Provision,5781000000.0,,0.0,Net Common Stock Issuance,17025000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,11754000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,4444000000.0,Capital Expenditure,3429000000.0,Cash Dividends Paid,5132000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,5781000000.0,Depreciation,91.25,CVX,Energy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,195600000000.0,1,0.0,0.0,4818000000.0,66141000000.0,12808000000.0,57476000000.0,2025,9,24.597981497564042,0.08203941282205207,0.31119599742573023,0.22198924619568602,33.884630156324604,28.701437656348894,52.4552050996112,0.09225850650833524,0.039208637972897815,0.1603728539101912,0.12724003908104417,0.10002283626398721,1.0,0.26589715377109757,1.0,33.884630156324604,28.701437656348894,52.4552050996112,0.09225850650833524,0.039208637972897815,0.9689177733823114,-0.10654155162033672,0.1603728539101912,0.012556419045033428,0.012556419045033428,0.33726591760299623,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-31,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,CVX,Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2025,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
