C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-31,A,,,,,,,,,,,,,,,,,18200000.0,Issuance Of Debt+Issuance Of Debt,152038000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,,,,,,,,,365.0,DECK,Consumer Discretionary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,,,,,,,2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,0.0
843527000.0,Cash And Cash Equivalents,302688000.0,Accounts Receivable,506796000.0,Inventory,404908000.0,Net PPE,327487000.0,Accounts Payable,50098000.0,Current Debt And Capital Lease Obligation,171972000.0,Long Term Debt And Capital Lease Obligation,2332250000.0,Total Assets,793425000.0,Total Liabilities Net Minority Interest,1752128000.0,Current Assets,541684000.0,Current Liabilities,1538825000.0,Total Equity Gross Minority Interest,1538825000.0,Total Equity Gross Minority Interest,1538825000.0,Total Equity Gross Minority Interest,2022-03-31,A,3150339000.0,Total Revenue,1542788000.0,Cost Of Revenue,1042844000.0,Operating Expense,2083000.0,Interest Expense,451949000.0,Net Income,112689000.0,Tax Provision,42878000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,51017000.0,Capital Expenditure,,,741354000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,42878000.0,Depreciation,365.0,DECK,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1538825000.0,1,0.0,0.0,99117000.0,175214000.0,164099000.0,79769000.0,2022,3,21.870775903041057,,0.5102787350821609,0.3310259626027548,35.06959727191264,119.90016774825835,77.4784059767123,0.016194130219001828,,0.26775753339561237,0.09521706506592346,0.031462328339902465,0.05561750656040509,0.05208931483246724,0.025320767066655366,35.06959727191264,119.90016774825835,77.4784059767123,0.016194130219001828,,,-0.23532515072187468,0.26775753339561237,,,0.1995774283700353,0.2,0.0,1.0,1.0,0.0
981795000.0,Cash And Cash Equivalents,301511000.0,Accounts Receivable,532852000.0,Inventory,479981000.0,Net PPE,265605000.0,Accounts Payable,50765000.0,Current Debt And Capital Lease Obligation,195723000.0,Long Term Debt And Capital Lease Obligation,2556203000.0,Total Assets,790470000.0,Total Liabilities Net Minority Interest,1910253000.0,Current Assets,497380000.0,Current Liabilities,1765733000.0,Total Equity Gross Minority Interest,1765733000.0,Total Equity Gross Minority Interest,1765733000.0,Total Equity Gross Minority Interest,2023-03-31,A,3627286000.0,Total Revenue,1801916000.0,Cost Of Revenue,1172619000.0,Operating Expense,3442000.0,Interest Expense,516822000.0,Net Income,149260000.0,Tax Provision,45117000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,81025000.0,Capital Expenditure,,,628120000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,45117000.0,Depreciation,365.0,DECK,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1765733000.0,1,0.0,0.0,94095000.0,165969000.0,181010000.0,97367000.0,2023,3,22.011750547185034,0.1409746441439772,0.5032329956887878,0.32327723813341436,30.339905648465546,107.93565293831676,53.80152293447641,0.022337637561526718,0.111425311428769,0.2706693103328494,0.09642739641569938,0.025940882522084003,0.04575569723479207,0.04990232366568283,0.026842934359187557,30.339905648465546,107.93565293831676,53.80152293447641,0.022337637561526718,0.111425311428769,,-0.1731652811495978,0.2706693103328494,0.015499617237807899,0.015499617237807899,0.22408652388144404,0.4,0.0,1.0,1.0,0.0
1502051000.0,Cash And Cash Equivalents,296565000.0,Accounts Receivable,474311000.0,Inventory,527791000.0,Net PPE,378503000.0,Accounts Payable,53581000.0,Current Debt And Capital Lease Obligation,213298000.0,Long Term Debt And Capital Lease Obligation,3135579000.0,Total Assets,1028111000.0,Total Liabilities Net Minority Interest,2443483000.0,Current Assets,719993000.0,Current Liabilities,2107468000.0,Total Equity Gross Minority Interest,2107468000.0,Total Equity Gross Minority Interest,2107468000.0,Total Equity Gross Minority Interest,2024-03-31,A,4287763000.0,Total Revenue,1902275000.0,Cost Of Revenue,1457974000.0,Operating Expense,2564000.0,Interest Expense,759563000.0,Net Income,219378000.0,Tax Provision,54958000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,,,89365000.0,Capital Expenditure,,,849810000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,54958000.0,Depreciation,365.0,DECK,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,2107468000.0,1,0.0,0.0,170556000.0,164305000.0,287909000.0,94820000.0,2024,3,22.17903098866505,0.16728044148001686,0.5563479138189308,0.3400313869959697,25.24538436476083,91.00866856789897,72.62545898989367,0.02084187022463695,0.11450036563947323,0.35031110628082757,0.08511314816179086,0.03977738508401701,0.03831951532768952,0.06714666832098695,0.02211409539193281,25.24538436476083,91.00866856789897,72.62545898989367,0.02084187022463695,0.11450036563947323,,-0.1981942565388992,0.35031110628082757,0.010402129109733536,0.010402129109733536,0.22409726428865478,0.6,0.0,1.0,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,DECK,Consumer Discretionary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,DECK,Consumer Discretionary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
2240923000.0,Cash And Cash Equivalents,303079000.0,Accounts Receivable,576669000.0,Inventory,542289000.0,Net PPE,586371000.0,Accounts Payable,46014000.0,Current Debt And Capital Lease Obligation,211015000.0,Long Term Debt And Capital Lease Obligation,3964353000.0,Total Assets,1333434000.0,Total Liabilities Net Minority Interest,3274112000.0,Current Assets,1032882000.0,Current Liabilities,2630919000.0,Total Equity Gross Minority Interest,2630919000.0,Total Equity Gross Minority Interest,2630919000.0,Total Equity Gross Minority Interest,2024-12-31,Q,1827165000.0,Total Revenue,724542000.0,Cost Of Revenue,535349000.0,Operating Expense,610000.0,Interest Expense,456734000.0,Net Income,127208000.0,Tax Provision,17161000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,,,24362000.0,Capital Expenditure,,,91826000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,17161000.0,Depreciation,91.25,DECK,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,2630919000.0,1,0.0,0.0,153441000.0,147952000.0,400497000.0,89537000.0,2024,12,21.326031422251262,,0.6034610995722882,0.29299433822342263,15.13599414940632,72.62663344568017,73.84851913346638,0.013333223874143823,,1.2264480766652164,0.06483504370069972,0.08397763748758322,0.08097353003149688,0.2191903851047935,0.04900323725552974,15.13599414940632,72.62663344568017,73.84851913346638,0.013333223874143823,,,-0.05025599767946518,0.5,,,0.21784355295560176,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
1889188000.0,Cash And Cash Equivalents,332872000.0,Accounts Receivable,495226000.0,Inventory,562951000.0,Net PPE,417955000.0,Accounts Payable,54453000.0,Current Debt And Capital Lease Obligation,222522000.0,Long Term Debt And Capital Lease Obligation,3570252000.0,Total Assets,1057239000.0,Total Liabilities Net Minority Interest,2860475000.0,Current Assets,769941000.0,Current Liabilities,2513013000.0,Total Equity Gross Minority Interest,2513013000.0,Total Equity Gross Minority Interest,2513013000.0,Total Equity Gross Minority Interest,2025-03-31,A,4985612000.0,Total Revenue,2099949000.0,Cost Of Revenue,1706571000.0,Operating Expense,3517000.0,Interest Expense,966091000.0,Net Income,277208000.0,Tax Provision,67579000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,,,86171000.0,Capital Expenditure,,,1164242000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,67579000.0,Depreciation,365.0,DECK,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,2513013000.0,1,0.0,0.0,143189000.0,146826000.0,297533000.0,64776000.0,2025,3,22.329822001129717,1.003790578878455,0.57879814955516,0.34229920017843346,24.36978248608195,86.07708568160464,72.64632379167304,0.017283936254967294,0.12461805421094656,0.3789280032220718,0.0775785574799762,0.028720445955280918,0.029449945162198742,0.05967833036345387,0.012992587469702816,24.36978248608195,86.07708568160464,72.64632379167304,0.017283936254967294,0.12461805421094656,,-0.23352037824042465,0.3789280032220718,0.013683280874920729,0.013683280874920729,0.22296165282848293,0.8,0.0,1.0,1.0,0.0
1720416000.0,Cash And Cash Equivalents,376474000.0,Accounts Receivable,849351000.0,Inventory,601559000.0,Net PPE,732881000.0,Accounts Payable,65254000.0,Current Debt And Capital Lease Obligation,246817000.0,Long Term Debt And Capital Lease Obligation,3839271000.0,Total Assets,1371792000.0,Total Liabilities Net Minority Interest,3074828000.0,Current Assets,1046996000.0,Current Liabilities,2467479000.0,Total Equity Gross Minority Interest,2467479000.0,Total Equity Gross Minority Interest,2467479000.0,Total Equity Gross Minority Interest,2025-06-30,Q,964538000.0,Total Revenue,426632000.0,Cost Of Revenue,372619000.0,Operating Expense,935000.0,Interest Expense,139203000.0,Net Income,43863000.0,Tax Provision,19424000.0,,0.0,Net Common Stock Issuance,,,,,23940000.0,Capital Expenditure,,,366456000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,19424000.0,Depreciation,91.25,DECK,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,2467479000.0,1,0.0,0.0,128587000.0,162884000.0,248861000.0,77979000.0,2025,6,20.687159788186104,-1.6426622129436126,0.5576825381685325,0.3863186313032768,35.616276911847955,181.6630696947252,156.75193433685237,0.024820172974004136,0.034503891102422767,1.7836684505949998,0.08128392082767796,0.13331460243142312,0.1688725586757598,0.2580105708639784,0.08084595941269292,35.616276911847955,181.6630696947252,156.75193433685237,0.024820172974004136,0.034503891102422767,,-0.37992904374944275,0.5,0.003375755934651142,0.003375755934651142,0.23960211071416865,0.8,1.0,6.123233995736766e-17,0.25,0.0
1414479000.0,Cash And Cash Equivalents,538764000.0,Accounts Receivable,835595000.0,Inventory,638857000.0,Net PPE,590316000.0,Accounts Payable,75916000.0,Current Debt And Capital Lease Obligation,274756000.0,Long Term Debt And Capital Lease Obligation,3784279000.0,Total Assets,1318249000.0,Total Liabilities Net Minority Interest,2971475000.0,Current Assets,968798000.0,Current Liabilities,2466030000.0,Total Equity Gross Minority Interest,2466030000.0,Total Equity Gross Minority Interest,2466030000.0,Total Equity Gross Minority Interest,2025-09-30,Q,1430840000.0,Total Revenue,627018000.0,Cost Of Revenue,477301000.0,Operating Expense,521000.0,Interest Expense,268152000.0,Net Income,74204000.0,Tax Provision,19747000.0,,0.0,Net Common Stock Issuance,,,,,22003000.0,Capital Expenditure,,,578866000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,19747000.0,Depreciation,91.25,DECK,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,2466030000.0,1,0.0,0.0,182637000.0,173947000.0,302566000.0,74695000.0,2025,9,21.0815275213464,0.39436773316029416,0.5617832881384361,0.3335809734142182,34.35898842637891,121.60423424845858,85.90875381567993,0.015377680243772889,0.032826372807987246,0.9885654580526124,0.09266547207539402,0.12764320259428028,0.12156984708283246,0.21146040088339715,0.052203600682116796,34.35898842637891,121.60423424845858,85.90875381567993,0.015377680243772889,0.032826372807987246,,-0.4045637527606161,0.5,0.0016694918784507372,0.0016694918784507372,0.21674514248326304,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
