C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,547000000.0,Other Operating Expenses,,,,,,,,,,,,,,,,,,,,,,,365.0,DHR,Health Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
5995000000.0,Cash And Cash Equivalents,4102000000.0,Accounts Receivable,2765000000.0,Inventory,3709000000.0,Net PPE,1856000000.0,Accounts Payable,591000000.0,Current Debt,19086000000.0,Long Term Debt,84350000000.0,Total Assets,34260000000.0,Total Liabilities Net Minority Interest,15883000000.0,Current Assets,8389000000.0,Current Liabilities,50090000000.0,Total Equity Gross Minority Interest,50090000000.0,Total Equity Gross Minority Interest,8000000.0,Minority Interest,2022-12-31,A,26643000000.0,Total Revenue,10455000000.0,Cost Of Revenue,8652000000.0,Operating Expense,204000000.0,Interest Expense,7209000000.0,Net Income,818000000.0,Tax Provision,698000000.0,,155000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,3860000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,1118000000.0,Capital Expenditure,818000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,698000000.0,Depreciation,365.0,DHR,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,50090000000.0,1,0.0,0.0,3021000000.0,64758000000.0,5942000000.0,6785000000.0,2022,12,24.005792288890888,,0.6075892354464587,0.3247382051570769,56.195998949067295,96.53036824485892,64.79579148732664,0.041962241489321775,,0.22501219832601435,0.2332780082987552,0.11338813196712082,1.0,0.22302293285290695,0.25466351386855834,56.195998949067295,96.53036824485892,64.79579148732664,0.041962241489321775,,0.11346927451796365,0.005817663176068761,0.22501219832601435,,,0.10190606702379469,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
5864000000.0,Cash And Cash Equivalents,3922000000.0,Accounts Receivable,2594000000.0,Inventory,4553000000.0,Net PPE,1766000000.0,Accounts Payable,1695000000.0,Current Debt,16707000000.0,Long Term Debt,84488000000.0,Total Assets,30998000000.0,Total Liabilities Net Minority Interest,13937000000.0,Current Assets,8274000000.0,Current Liabilities,53490000000.0,Total Equity Gross Minority Interest,53490000000.0,Total Equity Gross Minority Interest,4000000.0,Minority Interest,2023-12-31,A,23890000000.0,Total Revenue,9856000000.0,Cost Of Revenue,8832000000.0,Operating Expense,286000000.0,Interest Expense,4764000000.0,Net Income,823000000.0,Tax Provision,675000000.0,,340000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2480000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,1383000000.0,Capital Expenditure,1248000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,675000000.0,Depreciation,365.0,DHR,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,53490000000.0,1,0.0,0.0,1557000000.0,65998000000.0,4813000000.0,6017000000.0,2023,12,23.89672579828413,-0.10906649060675733,0.5874424445374633,0.36969443281707826,59.92172457095019,96.0643262987013,65.4007711038961,0.05789033068229385,0.1819897546508493,0.24545835077438258,0.21780607896979454,0.06517371285056509,1.0,0.20146504813729593,0.2518627040602763,59.92172457095019,96.0643262987013,65.4007711038961,0.05789033068229385,0.1819897546508493,0.2619647355163728,0.014231896190874843,0.24545835077438258,0.014534735986176755,0.014534735986176755,0.147306246643995,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,0.0,Net Income Discontinuous Operations,,,,,,,,,,,,,,,,,,,91.25,DHR,Health Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,0.0,Net Income Discontinuous Operations,,,,,,,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,,,,,,,,,91.25,DHR,Health Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
2078000000.0,Cash And Cash Equivalents,3537000000.0,Accounts Receivable,2330000000.0,Inventory,4990000000.0,Net PPE,1753000000.0,Accounts Payable,505000000.0,Current Debt,15500000000.0,Long Term Debt,77542000000.0,Total Assets,27992000000.0,Total Liabilities Net Minority Interest,9497000000.0,Current Assets,6798000000.0,Current Liabilities,49550000000.0,Total Equity Gross Minority Interest,49550000000.0,Total Equity Gross Minority Interest,7000000.0,Minority Interest,2024-12-31,A,23875000000.0,Total Revenue,9669000000.0,Cost Of Revenue,9343000000.0,Operating Expense,278000000.0,Interest Expense,3899000000.0,Net Income,747000000.0,Tax Provision,721000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,6696000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,1392000000.0,Capital Expenditure,768000000.0,Cash Dividends Paid,11958000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,721000000.0,Depreciation,365.0,DHR,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,49550000000.0,1,0.0,0.0,1552000000.0,63055000000.0,4540000000.0,5694000000.0,2024,12,23.896097723313204,,0.5950157068062827,0.3913298429319372,54.07350785340314,87.95635536249871,66.17488881994001,0.05830366492146597,,0.08703664921465969,0.206404271233654,0.06500523560209424,1.0,0.19015706806282723,0.23849214659685863,54.07350785340314,87.95635536249871,66.17488881994001,0.05830366492146597,,0.19697358296999232,-0.5008586387434555,0.08703664921465969,,,0.16078346965131296,0.6,-1.0,-1.8369701987210297e-16,1.0,0.0
1993000000.0,Cash And Cash Equivalents,3506000000.0,Accounts Receivable,2532000000.0,Inventory,5110000000.0,Net PPE,1722000000.0,Accounts Payable,501000000.0,Current Debt,15976000000.0,Long Term Debt,79116000000.0,Total Assets,28259000000.0,Total Liabilities Net Minority Interest,9525000000.0,Current Assets,6645000000.0,Current Liabilities,50857000000.0,Total Equity Gross Minority Interest,50857000000.0,Total Equity Gross Minority Interest,8000000.0,Minority Interest,2025-03-31,Q,5741000000.0,Total Revenue,2230000000.0,Cost Of Revenue,2237000000.0,Operating Expense,72000000.0,Interest Expense,954000000.0,Net Income,175000000.0,Tax Provision,181000000.0,,0.0,Net Common Stock Issuance,12000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,245000000.0,Capital Expenditure,194000000.0,Cash Dividends Paid,2156000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,181000000.0,Depreciation,91.25,DHR,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,50857000000.0,1,0.0,0.0,1494000000.0,64481000000.0,4422000000.0,5638000000.0,2025,3,22.47089924813191,-1.4251984751812934,0.6115659292806132,0.38965337049294546,55.72591882947222,103.60762331838565,70.46300448430493,0.04267549207455147,0.03627254509018036,0.34715206410033095,0.20826381515749026,0.26023340881379553,1.0,0.5,0.9820588747604947,55.72591882947222,103.60762331838565,70.46300448430493,0.04267549207455147,0.03627254509018036,0.20335429769392033,-0.37554433025605294,0.34715206410033095,0.004498594189315839,0.004498594189315839,0.1550044286979628,0.8,0.0,1.0,0.25,0.0
2957000000.0,Cash And Cash Equivalents,3564000000.0,Accounts Receivable,2689000000.0,Inventory,5309000000.0,Net PPE,1725000000.0,Accounts Payable,502000000.0,Current Debt,16853000000.0,Long Term Debt,81620000000.0,Total Assets,29278000000.0,Total Liabilities Net Minority Interest,10999000000.0,Current Assets,6792000000.0,Current Liabilities,52342000000.0,Total Equity Gross Minority Interest,52342000000.0,Total Equity Gross Minority Interest,8000000.0,Minority Interest,2025-06-30,Q,5936000000.0,Total Revenue,2413000000.0,Cost Of Revenue,2763000000.0,Operating Expense,71000000.0,Interest Expense,555000000.0,Net Income,100000000.0,Tax Provision,185000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,248000000.0,Capital Expenditure,229000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,185000000.0,Depreciation,91.25,DHR,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,52342000000.0,1,0.0,0.0,1789000000.0,65312000000.0,4565000000.0,5633000000.0,2025,6,22.50430134281149,0.03340209467958033,0.5934973045822103,0.4654649595687331,54.786893530997304,101.68721508495649,65.23259428097803,0.04177897574123989,0.036203522504892366,0.4981469002695418,0.21263170791472677,0.3013814016172507,1.0,0.5,0.948955525606469,54.786893530997304,101.68721508495649,65.23259428097803,0.04177897574123989,0.036203522504892366,0.4126126126126126,0.0,0.4981469002695418,0.0043090368392304425,0.0043090368392304425,0.15267175572519084,0.8,1.0,6.123233995736766e-17,0.25,0.0
1528000000.0,Cash And Cash Equivalents,3755000000.0,Accounts Receivable,2674000000.0,Inventory,5376000000.0,Net PPE,1698000000.0,Accounts Payable,23000000.0,Current Debt,16833000000.0,Long Term Debt,79897000000.0,Total Assets,28817000000.0,Total Liabilities Net Minority Interest,9606000000.0,Current Assets,6324000000.0,Current Liabilities,51080000000.0,Total Equity Gross Minority Interest,51080000000.0,Total Equity Gross Minority Interest,9000000.0,Minority Interest,2025-09-30,Q,6053000000.0,Total Revenue,2530000000.0,Cost Of Revenue,2369000000.0,Operating Expense,67000000.0,Interest Expense,908000000.0,Net Income,168000000.0,Tax Provision,189000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,292000000.0,Capital Expenditure,229000000.0,Cash Dividends Paid,4020000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,189000000.0,Depreciation,91.25,DHR,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,51080000000.0,1,0.0,0.0,1649000000.0,64915000000.0,4603000000.0,5660000000.0,2025,9,22.52381985385596,0.019518511044470443,0.5820254419296217,0.39137617710226336,56.60726086238229,96.44367588932806,61.24209486166008,0.048240541880059475,0.03559992465624411,0.2524368081942838,0.21097162596843436,0.2724268957541715,1.0,0.5,0.9350735172641665,56.60726086238229,96.44367588932806,61.24209486166008,0.048240541880059475,0.03559992465624411,0.2522026431718062,-0.6641334875268462,0.2524368081942838,0.003860558916738692,0.003860558916738692,0.15613382899628253,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
4615000000.0,Cash And Cash Equivalents,3913000000.0,Accounts Receivable,2489000000.0,Inventory,5531000000.0,Net PPE,1844000000.0,Accounts Payable,2000000.0,Current Debt,18416000000.0,Long Term Debt,83464000000.0,Total Assets,30923000000.0,Total Liabilities Net Minority Interest,12756000000.0,Current Assets,6807000000.0,Current Liabilities,52541000000.0,Total Equity Gross Minority Interest,52541000000.0,Total Equity Gross Minority Interest,7000000.0,Minority Interest,2025-12-31,A,24568000000.0,Total Revenue,10045000000.0,Cost Of Revenue,9833000000.0,Operating Expense,265000000.0,Interest Expense,3614000000.0,Net Income,633000000.0,Tax Provision,750000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,4668000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,1156000000.0,Capital Expenditure,878000000.0,Cash Dividends Paid,6176000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,750000000.0,Depreciation,365.0,DHR,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,52541000000.0,1,0.0,0.0,1739000000.0,65177000000.0,4961000000.0,5700000000.0,2025,12,23.924710620084934,1.4008907662289722,0.5911348095083035,0.4002360794529469,58.134361771409964,90.44151319064211,67.00447984071677,0.0470530771735591,0.13950892857142858,0.1878459785086291,0.22066998945653216,0.07078313253012049,1.0,0.20192933897753174,0.23200911755128623,58.134361771409964,90.44151319064211,67.00447984071677,0.0470530771735591,0.13950892857142858,0.24294410625345877,-0.25138391403451643,0.1878459785086291,0.01572140484100617,0.01572140484100617,0.14904638568401224,0.8,-1.0,-1.8369701987210297e-16,1.0,0.0
