C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,,,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,,,,,,,,,365.0,DOV,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
380868000.0,Cash And Cash Equivalents,1516871000.0,Accounts Receivable,1366608000.0,Inventory,1004825000.0,Net PPE,1068144000.0,Accounts Payable,735772000.0,Current Debt,2942513000.0,Long Term Debt,10896519000.0,Total Assets,6610153000.0,Total Liabilities Net Minority Interest,3423465000.0,Current Assets,2773274000.0,Current Liabilities,4286366000.0,Total Equity Gross Minority Interest,4286366000.0,Total Equity Gross Minority Interest,4286366000.0,Total Equity Gross Minority Interest,2022-12-31,A,7844174000.0,Total Revenue,4939221000.0,Cost Of Revenue,1625312000.0,Operating Expense,116456000.0,Interest Expense,1065376000.0,Net Income,200291000.0,Tax Provision,143722000.0,,0.0,Net Common Stock Issuance,,,,,211082000.0,Capital Expenditure,287551000.0,Cash Dividends Paid,1170000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,143722000.0,Depreciation,365.0,DOV,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,4286366000.0,1,0.0,0.0,159118000.0,6468229000.0,969358000.0,894366000.0,2022,12,22.7830369275944,,0.3703325550912052,0.20719989128237085,70.58205427365584,100.98999822036714,78.93401813767798,0.02690939798122785,,0.04855425185621839,0.3375651435105101,0.020284863645299047,0.8245901990445393,0.12357680999937024,0.11401659371655957,70.58205427365584,100.98999822036714,78.93401813767798,0.02690939798122785,,0.2699056483344847,-0.1491552839087965,0.04855425185621839,,,0.1582493657494428,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
398561000.0,Cash And Cash Equivalents,1321107000.0,Accounts Receivable,1144089000.0,Inventory,978472000.0,Net PPE,854465000.0,Accounts Payable,468282000.0,Current Debt,2991759000.0,Long Term Debt,11348513000.0,Total Assets,6241908000.0,Total Liabilities Net Minority Interest,3390235000.0,Current Assets,2413770000.0,Current Liabilities,5106605000.0,Total Equity Gross Minority Interest,5106605000.0,Total Equity Gross Minority Interest,5106605000.0,Total Equity Gross Minority Interest,2023-12-31,A,7684476000.0,Total Revenue,4816932000.0,Cost Of Revenue,1648204000.0,Operating Expense,131304000.0,Interest Expense,1056828000.0,Net Income,179136000.0,Tax Provision,151271000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,183406000.0,Capital Expenditure,284297000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,151271000.0,Depreciation,365.0,DOV,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,5106605000.0,1,0.0,0.0,526478000.0,6979806000.0,1091023000.0,836379000.0,2023,12,22.762468026836746,-0.020568900757652386,0.3731606423131518,0.214484891357589,62.7504146021147,86.69262613630418,64.74654925583339,0.023867079551032497,0.15054462219789516,0.0518657355426707,0.30488937184986264,0.06851189332883595,0.9082995379255527,0.14197754017320113,0.10884008226455519,62.7504146021147,86.69262613630418,64.74654925583339,0.023867079551032497,0.15054462219789516,0.26900971586672573,0.0,0.0518657355426707,0.03569707078162785,0.03569707078162785,0.1449362602794256,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,41701000.0,,,,,,,,,,,,,,41701000.0,Depreciation,91.25,DOV,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,0.04261849087148125,,,,,,,,,,,0.04261849087148125,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,218488000.0,Other Current Liabilities,,,,,,,2024-09-30,Q,,,,,,,,,,,,,35683000.0,,,,,,,,,,,,,,35683000.0,Depreciation,91.25,DOV,Industrials,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
1844877000.0,Cash And Cash Equivalents,1354225000.0,Accounts Receivable,1144838000.0,Inventory,987924000.0,Net PPE,848006000.0,Accounts Payable,400056000.0,Current Debt,2529346000.0,Long Term Debt,12509160000.0,Total Assets,5555164000.0,Total Liabilities Net Minority Interest,4484497000.0,Current Assets,2196527000.0,Current Liabilities,6953996000.0,Total Equity Gross Minority Interest,6953996000.0,Total Equity Gross Minority Interest,6953996000.0,Total Equity Gross Minority Interest,2024-12-31,Q,1929866000.0,Total Revenue,1184142000.0,Cost Of Revenue,450660000.0,Operating Expense,28304000.0,Interest Expense,1435983000.0,Net Income,65267000.0,Tax Provision,39239000.0,,0.0,Net Common Stock Issuance,,,,,53907000.0,Capital Expenditure,70750000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,39239000.0,Depreciation,91.25,DOV,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,6953996000.0,1,0.0,0.0,140557000.0,7036739000.0,948465000.0,829291000.0,2024,12,21.380716407401014,,0.38641232085543764,0.23351880389622906,64.03192307134277,88.22123317980444,65.34735487804672,0.027933027474446412,,0.9559611910878787,0.2341805524911345,0.07283251790538825,1.0,0.49146676505000864,0.4297142910440414,64.03192307134277,88.22123317980444,65.34735487804672,0.027933027474446412,,0.049269385501081835,0.0,0.5,,,0.04347510407993339,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
1805320000.0,Cash And Cash Equivalents,1379232000.0,Accounts Receivable,1209291000.0,Inventory,1015834000.0,Net PPE,844063000.0,Accounts Payable,400262000.0,Current Debt,2572540000.0,Long Term Debt,12648548000.0,Total Assets,5510781000.0,Total Liabilities Net Minority Interest,4553630000.0,Current Assets,2138933000.0,Current Liabilities,7137767000.0,Total Equity Gross Minority Interest,7137767000.0,Total Equity Gross Minority Interest,7137767000.0,Total Equity Gross Minority Interest,2025-03-31,Q,1866059000.0,Total Revenue,1120559000.0,Cost Of Revenue,449191000.0,Operating Expense,27608000.0,Interest Expense,230821000.0,Net Income,56140000.0,Tax Provision,38669000.0,,0.0,Net Common Stock Issuance,,,,,48192000.0,Capital Expenditure,71399000.0,Cash Dividends Paid,81400000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,38669000.0,Depreciation,91.25,DOV,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,7137767000.0,1,0.0,0.0,159787000.0,7079084000.0,894608000.0,799308000.0,2025,3,21.347094557306868,-0.03362185009414631,0.3995050531628421,0.24071639749868573,67.44423407834371,98.47567486406338,68.73421992951732,0.02582554999600763,0.039141674865677926,0.9674506540254086,0.23503108815335957,0.08562805356100744,1.0,0.47941035090530365,0.42834015430380284,67.44423407834371,98.47567486406338,68.73421992951732,0.02582554999600763,0.039141674865677926,0.30932627447242667,-0.043621343162247285,0.5,0.009424449085513016,0.009424449085513016,0.19563634082680226,0.8,0.0,1.0,0.25,0.0
1264893000.0,Cash And Cash Equivalents,1481097000.0,Accounts Receivable,1305811000.0,Inventory,1079756000.0,Net PPE,869907000.0,Accounts Payable,400477000.0,Current Debt,2668666000.0,Long Term Debt,13161284000.0,Total Assets,5719979000.0,Total Liabilities Net Minority Interest,4220637000.0,Current Assets,2165724000.0,Current Liabilities,7441305000.0,Total Equity Gross Minority Interest,7441305000.0,Total Equity Gross Minority Interest,7441305000.0,Total Equity Gross Minority Interest,2025-06-30,Q,2049592000.0,Total Revenue,1231330000.0,Cost Of Revenue,463665000.0,Operating Expense,26791000.0,Interest Expense,279064000.0,Net Income,71967000.0,Tax Provision,94383000.0,,0.0,Net Common Stock Issuance,,,,,60932000.0,Capital Expenditure,70620000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,94383000.0,Depreciation And Amortization,91.25,DOV,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,7441305000.0,1,0.0,0.0,168836000.0,7860891000.0,895340000.0,885589000.0,2025,6,21.440906585898503,0.09381202859163551,0.3992316519580482,0.22622307268958894,65.94000232729246,96.7695530442692,64.46607631585358,0.029728843594237293,0.09291183402012533,0.6171438022786975,0.2331948007504435,0.08237541910780292,1.0,0.4368381609608156,0.43208062873001063,65.94000232729246,96.7695530442692,64.46607631585358,0.029728843594237293,0.09291183402012533,0.2530602299114182,0.0,0.5,0.009012036455841997,0.009012036455841997,0.20501608120080564,0.8,1.0,6.123233995736766e-17,0.25,0.0
1552804000.0,Cash And Cash Equivalents,1451935000.0,Accounts Receivable,1321751000.0,Inventory,1099070000.0,Net PPE,861570000.0,Accounts Payable,400646000.0,Current Debt,2670362000.0,Long Term Debt,13420643000.0,Total Assets,5757707000.0,Total Liabilities Net Minority Interest,4502857000.0,Current Assets,2205568000.0,Current Liabilities,7662936000.0,Total Equity Gross Minority Interest,7662936000.0,Total Equity Gross Minority Interest,7662936000.0,Total Equity Gross Minority Interest,2025-09-30,Q,2077841000.0,Total Revenue,1244247000.0,Cost Of Revenue,456441000.0,Operating Expense,27239000.0,Interest Expense,301996000.0,Net Income,82951000.0,Tax Provision,98461000.0,,0.0,Net Common Stock Issuance,,,,,54150000.0,Capital Expenditure,71162000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,98461000.0,Depreciation And Amortization,91.25,DOV,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,7662936000.0,1,0.0,0.0,176367000.0,7818716000.0,943352000.0,881777000.0,2025,9,21.454595210815302,0.013688624916799341,0.40118276615005677,0.21967080253012622,63.76285228273001,96.93395181985571,63.18541455193382,0.026060704356108095,0.09118819436983912,0.7473160843394658,0.22882718808629363,0.08487993065879439,1.0,0.45400586474133486,0.4243717397048186,63.76285228273001,96.93395181985571,63.18541455193382,0.026060704356108095,0.09118819436983912,0.23563888263420707,0.0,0.5,0.008875115952563956,0.008875115952563956,0.21548680727476768,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
1676808000.0,Cash And Cash Equivalents,1371352000.0,Accounts Receivable,1272784000.0,Inventory,1119623000.0,Net PPE,875678000.0,Accounts Payable,706677000.0,Current Debt,2621295000.0,Long Term Debt,13422423000.0,Total Assets,6017217000.0,Total Liabilities Net Minority Interest,4506940000.0,Current Assets,2518489000.0,Current Liabilities,7405206000.0,Total Equity Gross Minority Interest,7405206000.0,Total Equity Gross Minority Interest,7405206000.0,Total Equity Gross Minority Interest,2025-12-31,Q,2099079000.0,Total Revenue,1278266000.0,Cost Of Revenue,475511000.0,Operating Expense,28134000.0,Interest Expense,282075000.0,Net Income,65765000.0,Tax Provision,44727000.0,,0.0,Net Common Stock Issuance,,,,,56989000.0,Capital Expenditure,69826000.0,Cash Dividends Paid,1000000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,44727000.0,Depreciation,91.25,DOV,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,7405206000.0,1,0.0,0.0,185996000.0,7795860000.0,936134000.0,877433000.0,2025,12,21.46476451404664,0.010169303231336357,0.39103483003736406,0.22653316049562688,59.61465480813252,90.8586632203313,62.510946469670635,0.02714952605404561,0.04069531513006451,0.7988303441652268,0.24794122491892856,0.0886083849154796,1.0,0.4459736865549129,0.41800856470861747,59.61465480813252,90.8586632203313,62.510946469670635,0.02714952605404561,0.04069531513006451,0.24754409288309848,-0.4763994113608873,0.5,0.009161161416707479,0.009161161416707479,0.1890668123275069,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
