C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
1441000000.0,Cash And Cash Equivalents,5347000000.0,Accounts Receivable,,,,,450000000.0,Accounts Payable,2346000000.0,Current Debt,3089000000.0,Long Term Debt,38185000000.0,Total Assets,28045000000.0,Total Liabilities Net Minority Interest,,,,,10140000000.0,Total Equity Gross Minority Interest,10140000000.0,Total Equity Gross Minority Interest,10140000000.0,Total Equity Gross Minority Interest,2021-12-31,A,11328000000.0,Total Revenue,,,96000000.0,Other Operating Expenses,70000000.0,Interest Expense,1379000000.0,Net Income,167000000.0,Tax Provision,,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,3531000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,,,247000000.0,Cash Dividends Paid,450000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,365.0,EG,Financials,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,10140000000.0,1,0.0,0.0,,,,,2021,12,23.150543373897776,,,0.00847457627118644,172.28592867231637,,,,,0.1272069209039548,0.14233337698048973,,,,,172.28592867231637,,,,,0.1791153009427121,-0.03972457627118644,0.1272069209039548,,,0.10802069857697283,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
1398000000.0,Cash And Cash Equivalents,5860000000.0,Accounts Receivable,,,,,567000000.0,Accounts Payable,2347000000.0,Current Debt,3084000000.0,Long Term Debt,39966000000.0,Total Assets,31525000000.0,Total Liabilities Net Minority Interest,,,,,8441000000.0,Total Equity Gross Minority Interest,8441000000.0,Total Equity Gross Minority Interest,8441000000.0,Total Equity Gross Minority Interest,2022-12-31,A,11985000000.0,Total Revenue,,,61000000.0,Other Operating Expenses,101000000.0,Interest Expense,597000000.0,Net Income,-9000000.0,Tax Provision,,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,,,255000000.0,Cash Dividends Paid,122000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,365.0,EG,Financials,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,8441000000.0,1,0.0,0.0,,,,,2022,12,23.20692170483276,0.05637833093498301,,0.005089695452649145,178.4647476011681,,,,,0.11664580725907384,0.13589050693089125,,,,,178.4647476011681,,,,,0.4271356783919598,-0.01017939090529829,0.11664580725907384,0.01858325666973321,0.01858325666973321,0.015306122448979591,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
1437000000.0,Cash And Cash Equivalents,7030000000.0,Accounts Receivable,,,,,650000000.0,Accounts Payable,2349000000.0,Current Debt,3386000000.0,Long Term Debt,49399000000.0,Total Assets,36197000000.0,Total Liabilities Net Minority Interest,,,,,13202000000.0,Total Equity Gross Minority Interest,13202000000.0,Total Equity Gross Minority Interest,13202000000.0,Total Equity Gross Minority Interest,2023-12-31,A,14464000000.0,Total Revenue,,,73000000.0,Other Operating Expenses,134000000.0,Interest Expense,2517000000.0,Net Income,-363000000.0,Tax Provision,,,7225000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,900000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,,,288000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,365.0,EG,Financials,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,13202000000.0,1,0.0,0.0,,,,,2023,12,23.39492864059623,0.18800693576347172,,0.005047013274336283,177.40251659292036,,,,,0.09935011061946902,0.11609546751958541,,,,,177.40251659292036,,,,,0.11442193087008343,0.49951603982300885,0.09935011061946902,0.024673172528079542,0.024673172528079542,0.16852367688022285,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,2349000000.0,Current Debt,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,EG,Financials,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
1599000000.0,Cash And Cash Equivalents,7887000000.0,Accounts Receivable,,,,,979000000.0,Accounts Payable,2350000000.0,Current Debt,3387000000.0,Long Term Debt,55864000000.0,Total Assets,40528000000.0,Total Liabilities Net Minority Interest,,,,,15336000000.0,Total Equity Gross Minority Interest,15336000000.0,Total Equity Gross Minority Interest,15336000000.0,Total Equity Gross Minority Interest,2024-09-30,Q,4259000000.0,Total Revenue,,,34000000.0,Other Operating Expenses,38000000.0,Interest Expense,509000000.0,Net Income,68000000.0,Tax Provision,,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,,,,,86000000.0,Cash Dividends Paid,200000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,91.25,EG,Financials,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,15336000000.0,1,0.0,0.0,,,,,2024,9,22.172300227887487,,,0.007983094623150975,168.980687954919,,,,,0.3754402441887767,0.10269583273664613,,,,,168.980687954919,,,,,0.16895874263261296,-0.0469593801361822,0.3754402441887767,0.016177096636866752,0.016177096636866752,0.11785095320623917,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
1549000000.0,Cash And Cash Equivalents,8500000000.0,Accounts Receivable,,,,,701000000.0,Accounts Payable,2350000000.0,Current Debt,3587000000.0,Long Term Debt,56341000000.0,Total Assets,42465000000.0,Total Liabilities Net Minority Interest,,,,,13876000000.0,Total Equity Gross Minority Interest,13876000000.0,Total Equity Gross Minority Interest,13876000000.0,Total Equity Gross Minority Interest,2024-12-31,Q,4614000000.0,Total Revenue,,,26000000.0,Other Operating Expenses,37000000.0,Interest Expense,-593000000.0,Net Income,-155000000.0,Tax Provision,,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,,,,,85000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,91.25,EG,Financials,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,13876000000.0,1,0.0,0.0,,,,,2024,12,22.252360996697973,0.08006076881048685,,0.005635023840485479,168.1025140875596,,,,,0.335717381881231,0.10537619140590333,,,,,168.1025140875596,,,,,0.0,0.0,0.335717381881231,0.00644936377897856,0.00644936377897856,0.0,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
1567000000.0,Cash And Cash Equivalents,9171000000.0,Accounts Receivable,,,,,781000000.0,Accounts Payable,2350000000.0,Current Debt,3587000000.0,Long Term Debt,58132000000.0,Total Assets,43992000000.0,Total Liabilities Net Minority Interest,,,,,14140000000.0,Total Equity Gross Minority Interest,14140000000.0,Total Equity Gross Minority Interest,14140000000.0,Total Equity Gross Minority Interest,2025-03-31,Q,4238000000.0,Total Revenue,,,21000000.0,Other Operating Expenses,38000000.0,Interest Expense,210000000.0,Net Income,39000000.0,Tax Provision,,,0.0,Net Common Stock Issuance,,,,,,,85000000.0,Cash Dividends Paid,400000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,91.25,EG,Financials,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,14140000000.0,1,0.0,0.0,,,,,2025,3,22.167357296792517,-0.08500369990545664,,0.004955167531854649,197.46431099575273,,,,,0.3697498820198207,0.10212963600082571,,,,,197.46431099575273,,,,,0.40476190476190477,-0.09438414346389806,0.3697498820198207,0.006400538992757285,0.006400538992757285,0.1566265060240964,0.8,0.0,1.0,0.25,0.0
1902000000.0,Cash And Cash Equivalents,9806000000.0,Accounts Receivable,,,,,918000000.0,Accounts Payable,,,3588000000.0,Long Term Debt,60519000000.0,Total Assets,45499000000.0,Total Liabilities Net Minority Interest,,,,,15020000000.0,Total Equity Gross Minority Interest,15020000000.0,Total Equity Gross Minority Interest,15020000000.0,Total Equity Gross Minority Interest,2025-06-30,Q,4404000000.0,Total Revenue,,,33000000.0,Other Operating Expenses,38000000.0,Interest Expense,680000000.0,Net Income,135000000.0,Tax Provision,,,0.0,Net Common Stock Issuance,,,,,,,84000000.0,Cash Dividends Paid,400000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,91.25,EG,Financials,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,15020000000.0,1,0.0,0.0,,,,,2025,6,22.205779055806843,0.03842175901432654,,0.007493188010899182,203.17836058128972,,,,,0.4318801089918256,0.059287166013979084,,,,,203.17836058128972,,,,,0.12352941176470589,-0.09082652134423251,0.4318801089918256,0.006400538992757285,0.006400538992757285,0.1656441717791411,0.8,1.0,6.123233995736766e-17,0.25,0.0
1539000000.0,Cash And Cash Equivalents,9906000000.0,Accounts Receivable,,,,,1084000000.0,Accounts Payable,,,3588000000.0,Long Term Debt,62240000000.0,Total Assets,46864000000.0,Total Liabilities Net Minority Interest,,,,,15376000000.0,Total Equity Gross Minority Interest,15376000000.0,Total Equity Gross Minority Interest,15376000000.0,Total Equity Gross Minority Interest,2025-09-30,Q,4254000000.0,Total Revenue,,,39000000.0,Other Operating Expenses,38000000.0,Interest Expense,255000000.0,Net Income,14000000.0,Tax Provision,,,0.0,Net Common Stock Issuance,,,,,,,84000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,91.25,EG,Financials,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,15376000000.0,1,0.0,0.0,,,,,2025,9,22.17112555372446,-0.034653502082385046,,0.009167842031029619,212.487658674189,,,,,0.3617771509167842,0.057647814910025706,,,,,212.487658674189,,,,,0.32941176470588235,0.0,0.3617771509167842,0.010590858416945374,0.010590858416945374,0.05204460966542751,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-31,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,EG,Financials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2025,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
