C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
12188000.0,Restricted Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,EQIX,Real Estate,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
1906421000.0,Cash And Cash Equivalents,855380000.0,Accounts Receivable,,,18077484000.0,Net PPE,115953000.0,Accounts Payable,9847000.0,Current Debt,12752247000.0,Long Term Debt,30310742000.0,Total Assets,18804910000.0,Total Liabilities Net Minority Interest,3305255000.0,Current Assets,1838298000.0,Current Liabilities,11505832000.0,Total Equity Gross Minority Interest,11505832000.0,Total Equity Gross Minority Interest,-134000.0,Minority Interest,2022-12-31,A,7263000000.0,Total Revenue,3751000000.0,Cost Of Revenue,2286000000.0,Operating Expense,356000000.0,Interest Expense,705000000.0,Net Income,124000000.0,Tax Provision,1532000000.0,,3980000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,5613000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2888000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,2278000000.0,Capital Expenditure,1152000000.0,Cash Dividends Paid,,,1532000000.0,Depreciation,365.0,EQIX,Real Estate,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,11505832000.0,1,0.0,0.0,,8928003000.0,1712498000.0,4214365000.0,2022,12,22.706058803570443,,0.4835467437697921,0.31474597273853777,42.9868787002616,,11.283083177819249,0.31364449951810547,,0.26248395979622746,0.4210419527176207,,1.0,0.23578383588049015,0.5802512735784111,42.9868787002616,,11.283083177819249,0.31364449951810547,,1.0,,0.26248395979622746,,,0.14957780458383596,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
2096000000.0,Cash And Cash Equivalents,1004000000.0,Accounts Receivable,,,20050000000.0,Net PPE,162000000.0,Accounts Payable,1006000000.0,Current Debt,12725000000.0,Long Term Debt,32651000000.0,Total Assets,20137000000.0,Total Liabilities Net Minority Interest,3568000000.0,Current Assets,3162000000.0,Current Liabilities,12514000000.0,Total Equity Gross Minority Interest,12514000000.0,Total Equity Gross Minority Interest,25000000.0,Minority Interest,2023-12-31,A,8188000000.0,Total Revenue,4228000000.0,Cost Of Revenue,2509000000.0,Operating Expense,402000000.0,Interest Expense,969000000.0,Net Income,155000000.0,Tax Provision,1844000000.0,,3670000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,2706000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,596000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,2781000000.0,Capital Expenditure,1375000000.0,Cash Dividends Paid,,,1844000000.0,Depreciation,365.0,EQIX,Real Estate,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,12514000000.0,1,0.0,0.0,,9033000000.0,1994000000.0,4250000000.0,2023,12,22.825935504745456,0.11987670117501281,0.4836345872007817,0.30642403517342454,44.75574010747435,,13.985335856196784,0.33964338055691257,0.10200534543413231,0.25598436736687835,0.4205384214878564,,1.0,0.24352711284807035,0.5190522716170005,44.75574010747435,,13.985335856196784,0.33964338055691257,0.10200534543413231,1.0,,0.25598436736687835,0.03149953291364254,0.03149953291364254,0.13790035587188612,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,EQIX,Real Estate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,EQIX,Real Estate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
3081000000.0,Cash And Cash Equivalents,949000000.0,Accounts Receivable,,,20668000000.0,Net PPE,133000000.0,Accounts Payable,1204000000.0,Current Debt,14007000000.0,Long Term Debt,35085000000.0,Total Assets,21533000000.0,Total Liabilities Net Minority Interest,5447000000.0,Current Assets,3349000000.0,Current Liabilities,13552000000.0,Total Equity Gross Minority Interest,13552000000.0,Total Equity Gross Minority Interest,24000000.0,Minority Interest,2024-12-31,Q,2261000000.0,Total Revenue,1196000000.0,Cost Of Revenue,660000000.0,Operating Expense,126000000.0,Interest Expense,-14000000.0,Net Income,14000000.0,Tax Provision,445000000.0,,3485000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,3732000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,4160000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,987000000.0,Capital Expenditure,413000000.0,Cash Dividends Paid,,,445000000.0,Depreciation,91.25,EQIX,Real Estate,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,13552000000.0,1,0.0,0.0,,8970000000.0,2012000000.0,4177000000.0,2024,12,21.539073030242243,,0.4710305174701459,0.291906236178682,38.299977885891195,,10.147366220735785,0.43653250773993807,,1.362671384343211,0.43354709990024226,,1.0,0.5,1.0,38.299977885891195,,10.147366220735785,0.43653250773993807,,0.0,,0.5,,,0.0,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
2950000000.0,Cash And Cash Equivalents,1089000000.0,Accounts Receivable,,,21494000000.0,Net PPE,1105000000.0,Accounts Payable,1204000000.0,Current Debt,14560000000.0,Long Term Debt,36079000000.0,Total Assets,22166000000.0,Total Liabilities Net Minority Interest,5505000000.0,Current Assets,3327000000.0,Current Liabilities,13913000000.0,Total Equity Gross Minority Interest,13913000000.0,Total Equity Gross Minority Interest,24000000.0,Minority Interest,2025-03-31,Q,2225000000.0,Total Revenue,1084000000.0,Cost Of Revenue,667000000.0,Operating Expense,122000000.0,Interest Expense,343000000.0,Net Income,49000000.0,Tax Provision,431000000.0,,495000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,1110000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,132000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,750000000.0,Capital Expenditure,468000000.0,Cash Dividends Paid,,,431000000.0,Depreciation,91.25,EQIX,Real Estate,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,13913000000.0,1,0.0,0.0,,9080000000.0,1018000000.0,4279000000.0,2025,3,21.523022752564614,-0.016050277677628344,0.512808988764045,0.2997752808988764,44.66123595505618,,93.01775830258302,0.33707865168539325,0.020853493323011417,1.3258426966292134,0.4369300701238948,,1.0,0.45752808988764043,1.0,44.66123595505618,,93.01775830258302,0.33707865168539325,0.020853493323011417,1.0,,0.5,0.00802051147196108,0.00802051147196108,0.125,0.8,0.0,1.0,0.25,0.0
3660000000.0,Cash And Cash Equivalents,1137000000.0,Accounts Receivable,,,22688000000.0,Net PPE,1213000000.0,Accounts Payable,1913000000.0,Current Debt,16022000000.0,Long Term Debt,38849000000.0,Total Assets,24742000000.0,Total Liabilities Net Minority Interest,6550000000.0,Current Assets,4241000000.0,Current Liabilities,14107000000.0,Total Equity Gross Minority Interest,14107000000.0,Total Equity Gross Minority Interest,23000000.0,Minority Interest,2025-06-30,Q,2256000000.0,Total Revenue,1084000000.0,Cost Of Revenue,672000000.0,Operating Expense,135000000.0,Interest Expense,368000000.0,Net Income,38000000.0,Tax Provision,449000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,5088000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,156000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,989000000.0,Capital Expenditure,460000000.0,Cash Dividends Paid,,,449000000.0,Depreciation,91.25,EQIX,Real Estate,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,14107000000.0,1,0.0,0.0,,9611000000.0,1115000000.0,4479000000.0,2025,6,21.536859170582222,0.013836418017607599,0.5195035460992907,0.2978723404255319,45.989029255319146,,102.10908671586716,0.438386524822695,0.02088955057225272,1.622340425531915,0.4616592447682051,,1.0,0.4942375886524823,1.0,45.989029255319146,,102.10908671586716,0.438386524822695,0.02088955057225272,1.0,,0.5,0.008563816290281655,0.008563816290281655,0.09359605911330049,0.8,1.0,6.123233995736766e-17,0.25,0.0
2077000000.0,Cash And Cash Equivalents,1144000000.0,Accounts Receivable,,,23336000000.0,Net PPE,1275000000.0,Accounts Payable,716000000.0,Current Debt,16476000000.0,Long Term Debt,38060000000.0,Total Assets,23880000000.0,Total Liabilities Net Minority Interest,4966000000.0,Current Assets,3069000000.0,Current Liabilities,14180000000.0,Total Equity Gross Minority Interest,14180000000.0,Total Equity Gross Minority Interest,23000000.0,Minority Interest,2025-09-30,Q,2316000000.0,Total Revenue,1142000000.0,Cost Of Revenue,689000000.0,Operating Expense,128000000.0,Interest Expense,374000000.0,Net Income,25000000.0,Tax Provision,635000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,1500000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,4956000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,1136000000.0,Capital Expenditure,467000000.0,Cash Dividends Paid,,,635000000.0,Depreciation,91.25,EQIX,Real Estate,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,14180000000.0,1,0.0,0.0,,9758000000.0,1078000000.0,4335000000.0,2025,9,21.56310739665716,0.026248226074937264,0.5069084628670121,0.2974956822107081,45.073402417962,,101.87718914185639,0.4905008635578584,0.02798836389280677,0.896804835924007,0.45170782974251183,,1.0,0.46545768566493956,1.0,45.073402417962,,101.87718914185639,0.4905008635578584,0.02798836389280677,1.0,,0.5,0.0071368831892946755,0.0071368831892946755,0.06265664160401002,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
1727000000.0,Cash And Cash Equivalents,1001000000.0,Accounts Receivable,,,24976000000.0,Net PPE,127000000.0,Accounts Payable,1316000000.0,Current Debt,17596000000.0,Long Term Debt,40141000000.0,Total Assets,25963000000.0,Total Liabilities Net Minority Interest,5125000000.0,Current Assets,3893000000.0,Current Liabilities,14178000000.0,Total Equity Gross Minority Interest,14178000000.0,Total Equity Gross Minority Interest,22000000.0,Minority Interest,2025-12-31,Q,2420000000.0,Total Revenue,1198000000.0,Cost Of Revenue,715000000.0,Operating Expense,142000000.0,Interest Expense,265000000.0,Net Income,48000000.0,Tax Provision,551000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,5235000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,176000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,1436000000.0,Capital Expenditure,461000000.0,Cash Dividends Paid,,,551000000.0,Depreciation,91.25,EQIX,Real Estate,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,14178000000.0,1,0.0,0.0,,10040000000.0,2450000000.0,4474000000.0,2025,12,21.607033377115005,0.043925980457846237,0.5049586776859505,0.29545454545454547,37.74431818181818,,9.673414023372287,0.5933884297520661,0.02361158724717175,0.7136363636363636,0.471139234199447,,1.0,0.5,1.0,37.74431818181818,,9.673414023372287,0.5933884297520661,0.02361158724717175,1.0,,0.5,0.008259655653792462,0.008259655653792462,0.15335463258785942,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
