C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,410000000.0,Non Current Accounts Receivable,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,1676702000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Common Stock Issuance,,,8386000000.0,Short Term Debt Payments,,,,,,,1676702000.0,Depreciation,365.0,EQT,Energy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
1458644000.0,Cash And Cash Equivalents,1608089000.0,Accounts Receivable,,,18167333000.0,Net PPE,1574610000.0,Accounts Payable,422632000.0,Current Debt,5256333000.0,Long Term Debt,22669926000.0,Total Assets,11456598000.0,Total Liabilities Net Minority Interest,4014441000.0,Current Assets,3732220000.0,Current Liabilities,11213328000.0,Total Equity Gross Minority Interest,11213328000.0,Total Equity Gross Minority Interest,40854000.0,Minority Interest,2022-12-31,A,12140621000.0,Total Revenue,4081326000.0,Cost Of Revenue,299229000.0,Operating Expense,249655000.0,Interest Expense,1770965000.0,Net Income,553720000.0,Tax Provision,1665962000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,33726000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,54878156000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,1400443000.0,Capital Expenditure,203629000.0,Cash Dividends Paid,818970000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,1665962000.0,Depreciation,365.0,EQT,Energy,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,11213328000.0,1,0.0,0.0,,488152000.0,1734978000.0,2468045000.0,2022,12,23.219822774482004,,0.6638288931019262,0.024646927039399386,48.34616655935475,,140.82007906253997,0.1153518423810446,,0.12014574872240885,0.250506552160779,,0.040208157391619426,0.14290685789466617,0.20328820082597093,48.34616655935475,,140.82007906253997,0.1153518423810446,,0.11498194487186364,-0.06745701064220685,0.12014574872240885,,,0.23819141087932344,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
80977000.0,Cash And Cash Equivalents,823695000.0,Accounts Receivable,,,22950170000.0,Net PPE,1272522000.0,Accounts Payable,292432000.0,Current Debt,5502681000.0,Long Term Debt,25285098000.0,Total Assets,10504281000.0,Total Liabilities Net Minority Interest,2012975000.0,Current Assets,2036840000.0,Current Liabilities,14780817000.0,Total Equity Gross Minority Interest,14780817000.0,Total Equity Gross Minority Interest,7617000.0,Minority Interest,2023-12-31,A,5069982000.0,Total Revenue,4128403000.0,Cost Of Revenue,282980000.0,Operating Expense,219660000.0,Interest Expense,1735232000.0,Net Income,368954000.0,Tax Provision,1732142000.0,,0.0,Net Common Stock Issuance,6771000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,9098344000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,2019037000.0,Capital Expenditure,228339000.0,Cash Dividends Paid,402058000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,1732142000.0,Depreciation,365.0,EQT,Energy,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,14780817000.0,1,0.0,0.0,,321953000.0,471886000.0,2964760000.0,2023,12,22.346603104247343,-0.8732196702346613,0.18571643844100427,0.05581479381978082,59.29975195178208,,112.50610223856538,0.39823356374835256,0.09534376895056638,0.01597185157659337,0.22919084592830133,,0.06350180335945965,0.09307449217768426,0.5847673620931988,59.29975195178208,,112.50610223856538,0.39823356374835256,0.09534376895056638,0.13158989691292,-0.07930166221497434,0.01597185157659337,0.0386795833395698,0.0386795833395698,0.1753428641764559,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,465982000.0,,0.0,Net Common Stock Issuance,,,,,,,,,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,465982000.0,Depreciation,91.25,EQT,Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,0,,,,,,,2024,6,,,,,,,,,0.02030407617895641,,,,,,,,,,,0.02030407617895641,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,400150000.0,Current Debt,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,0.0,Net Common Stock Issuance,,,,,,,,,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,91.25,EQT,Energy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
202093000.0,Cash And Cash Equivalents,1132608000.0,Accounts Receivable,,,31747818000.0,Net PPE,1177656000.0,Accounts Payable,320800000.0,Current Debt,9003377000.0,Long Term Debt,39830255000.0,Total Assets,15552119000.0,Total Liabilities Net Minority Interest,1714679000.0,Current Assets,2461549000.0,Current Liabilities,24278136000.0,Total Equity Gross Minority Interest,24278136000.0,Total Equity Gross Minority Interest,3680508000.0,Minority Interest,2024-12-31,A,5222192000.0,Total Revenue,4454973000.0,Cost Of Revenue,490297000.0,Operating Expense,454825000.0,Interest Expense,230577000.0,Net Income,22079000.0,Tax Provision,2162350000.0,,0.0,Net Common Stock Issuance,22911000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,47060268000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,2253709000.0,Capital Expenditure,326581000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,2162350000.0,Depreciation,365.0,EQT,Energy,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,24278136000.0,1,0.0,0.0,,6367758000.0,963093000.0,4087193000.0,2024,12,22.376183074069463,,0.14691512682796803,0.093887202921685,79.1625279193105,,96.48642988408685,0.43156379543302886,,0.03869888353396428,0.23409784848226556,,1.0,0.18442313112960995,0.7826585081513663,79.1625279193105,,96.48642988408685,0.43156379543302886,,1.0,0.0,0.03869888353396428,0.5,0.5,0.08738759419922741,0.6,-1.0,-1.8369701987210297e-16,1.0,0.0
281764000.0,Cash And Cash Equivalents,1206163000.0,Accounts Receivable,,,31660705000.0,Net PPE,1336689000.0,Accounts Payable,285000000.0,Current Debt And Capital Lease Obligation,8107783000.0,Long Term Debt,39703364000.0,Total Assets,15300095000.0,Total Liabilities Net Minority Interest,1739099000.0,Current Assets,3062273000.0,Current Liabilities,24403269000.0,Total Equity Gross Minority Interest,24403269000.0,Total Equity Gross Minority Interest,3685389000.0,Minority Interest,2025-03-31,Q,2418769000.0,Total Revenue,1087422000.0,Cost Of Revenue,153286000.0,Operating Expense,117569000.0,Interest Expense,242139000.0,Net Income,78668000.0,Tax Provision,620775000.0,,,,4272000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,9439260000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,499649000.0,Capital Expenditure,94097000.0,Cash Dividends Paid,,,620775000.0,Depreciation,91.25,EQT,Energy,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,24403269000.0,1,0.0,0.0,,6303560000.0,1440584000.0,4130039000.0,2025,3,21.60652457000867,-0.7696585040607928,0.5504233765192128,0.06337355902940711,45.5034663293601,,112.16700715085771,0.2065716072928006,0.019553312293777166,0.11649066115863069,0.21138720134646524,,1.0,0.5,1.0,45.5034663293601,,112.16700715085771,0.2065716072928006,0.019553312293777166,0.3886073701468991,,0.11649066115863069,0.012609048498328593,0.012609048498328593,0.24521908811216714,0.8,0.0,1.0,0.25,0.0
555492000.0,Cash And Cash Equivalents,817402000.0,Accounts Receivable,,,31624191000.0,Net PPE,1151663000.0,Accounts Payable,391801000.0,Current Debt,7923236000.0,Long Term Debt,39666748000.0,Total Assets,14568898000.0,Total Liabilities Net Minority Interest,1631336000.0,Current Assets,2306407000.0,Current Liabilities,25097850000.0,Total Equity Gross Minority Interest,25097850000.0,Total Equity Gross Minority Interest,3674590000.0,Minority Interest,2025-06-30,Q,1837755000.0,Total Revenue,1104105000.0,Cost Of Revenue,313332000.0,Operating Expense,105668000.0,Interest Expense,784147000.0,Net Income,235615000.0,Tax Provision,623471000.0,,,,2430000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,3603216000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,549640000.0,Capital Expenditure,94275000.0,Cash Dividends Paid,,,623471000.0,Depreciation,91.25,EQT,Energy,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,25097850000.0,1,0.0,0.0,,6411221000.0,762943000.0,4339255000.0,2025,6,21.33181055493304,-0.27471401507563087,0.39920990556412583,0.1704971554967882,40.58643970496611,,95.18048441950721,0.29908230422444776,0.019692265222773783,0.30226662422357714,0.20962235169870744,,1.0,0.41514946225149707,1.0,40.58643970496611,,95.18048441950721,0.29908230422444776,0.019692265222773783,0.12022618208065579,,0.30226662422357714,0.012590341010842292,0.012590341010842292,0.2310490094747598,0.8,1.0,6.123233995736766e-17,0.25,0.0
235736000.0,Cash And Cash Equivalents,803909000.0,Accounts Receivable,,,33609995000.0,Net PPE,1119957000.0,Accounts Payable,506690000.0,Current Debt,7711132000.0,Long Term Debt,41195290000.0,Total Assets,14404987000.0,Total Liabilities Net Minority Interest,1266992000.0,Current Assets,2191446000.0,Current Liabilities,26790303000.0,Total Equity Gross Minority Interest,26790303000.0,Total Equity Gross Minority Interest,3638681000.0,Minority Interest,2025-09-30,Q,1822787000.0,Total Revenue,1224119000.0,Cost Of Revenue,133389000.0,Operating Expense,109929000.0,Interest Expense,335862000.0,Net Income,129266000.0,Tax Provision,688382000.0,,,,2352000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,3423516000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,626402000.0,Capital Expenditure,98290000.0,Cash Dividends Paid,,,688382000.0,Depreciation Amortization Depletion,91.25,EQT,Energy,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,26790303000.0,1,0.0,0.0,,6318303000.0,564799000.0,4502409000.0,2025,9,21.323632485443557,-0.008178069489481743,0.32843552208787974,0.07317859958404356,40.24425028815764,,83.48540971098399,0.3436506843641084,0.021767576599825113,0.1293272335165875,0.19948450417511324,,1.0,0.30985463468852914,1.0,40.24425028815764,,83.48540971098399,0.3436506843641084,0.021767576599825113,0.2926499574229892,,0.1293272335165875,0.01322050641506466,0.01322050641506466,0.27791489654460705,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
110795000.0,Cash And Cash Equivalents,1457959000.0,Accounts Receivable,,,33557808000.0,Net PPE,1367431000.0,Accounts Payable,507119000.0,Current Debt,7293209000.0,Long Term Debt,41792874000.0,Total Assets,14432726000.0,Total Liabilities Net Minority Interest,1895151000.0,Current Assets,2484841000.0,Current Liabilities,27360148000.0,Total Equity Gross Minority Interest,27360148000.0,Total Equity Gross Minority Interest,3607471000.0,Minority Interest,2025-12-31,A,8353217000.0,Total Revenue,4746307000.0,Cost Of Revenue,592504000.0,Operating Expense,438695000.0,Interest Expense,2039247000.0,Net Income,651884000.0,Tax Provision,2600390000.0,,0.0,Net Common Stock Issuance,10587000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,20165692000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,2288425000.0,Capital Expenditure,389633000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,2600390000.0,Depreciation Amortization Depletion,365.0,EQT,Energy,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,27360148000.0,1,0.0,0.0,,6339915000.0,610291000.0,4654676000.0,2025,12,22.845912571073033,1.5222800856294754,0.43179891052752495,0.07093123523547874,63.706597709600985,,105.15803444657078,0.2739573268598194,0.0773695443870194,0.01326375215680378,0.1866425362371585,,0.7589788461140181,0.07306059449910136,0.5572315432485473,63.706597709600985,,105.15803444657078,0.2739573268598194,0.0773695443870194,0.19106709486393753,0.0,0.01326375215680378,0.05338336605489873,0.05338336605489873,0.24223421305020082,0.8,-1.0,-1.8369701987210297e-16,1.0,0.0
