C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,F,Consumer Discretionary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
25134000000.0,Cash And Cash Equivalents,54449000000.0,Accounts Receivable,14080000000.0,Inventory,60037000000.0,Net PPE,25605000000.0,Accounts Payable,50164000000.0,Current Debt,88805000000.0,Long Term Debt,255884000000.0,Total Assets,212717000000.0,Total Liabilities Net Minority Interest,116476000000.0,Current Assets,96866000000.0,Current Liabilities,43167000000.0,Total Equity Gross Minority Interest,43167000000.0,Total Equity Gross Minority Interest,-75000000.0,Minority Interest,2022-12-31,A,158057000000.0,Total Revenue,140893000000.0,Cost Of Revenue,10888000000.0,Operating Expense,1282000000.0,Interest Expense,-1981000000.0,Net Income,-864000000.0,Tax Provision,7642000000.0,,0.0,Net Common Stock Issuance,136410000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,182620000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,6866000000.0,Capital Expenditure,2009000000.0,Cash Dividends Paid,968000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,7642000000.0,Depreciation,365.0,F,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,43167000000.0,1,0.0,0.0,22813000000.0,79371000000.0,21097000000.0,27046000000.0,2022,12,25.78622156440899,,0.10859373517148874,0.06888654093143613,125.73872084121551,36.47590724876325,66.33278445345049,0.04344002480117932,,0.15901858190399665,0.5430937456034766,0.14433400608641186,0.5021669397748914,0.1334771633018468,0.17111548365463092,125.73872084121551,36.47590724876325,66.33278445345049,0.04344002480117932,,0.0,-0.006124372852831573,0.15901858190399665,,,0.0,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
24862000000.0,Cash And Cash Equivalents,62026000000.0,Accounts Receivable,15651000000.0,Inventory,62205000000.0,Net PPE,25992000000.0,Accounts Payable,49669000000.0,Current Debt,99562000000.0,Long Term Debt,273310000000.0,Total Assets,230512000000.0,Total Liabilities Net Minority Interest,121481000000.0,Current Assets,101531000000.0,Current Liabilities,42798000000.0,Total Equity Gross Minority Interest,42798000000.0,Total Equity Gross Minority Interest,25000000.0,Minority Interest,2023-12-31,A,176191000000.0,Total Revenue,160031000000.0,Cost Of Revenue,10702000000.0,Operating Expense,1318000000.0,Interest Expense,4347000000.0,Net Income,-362000000.0,Tax Provision,7690000000.0,,0.0,Net Common Stock Issuance,154977000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,167860000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,8236000000.0,Capital Expenditure,4995000000.0,Cash Dividends Paid,670000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,7690000000.0,Depreciation,365.0,F,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,42798000000.0,1,0.0,0.0,18942000000.0,89624000000.0,25870000000.0,29419000000.0,2023,12,25.89483447082386,0.10861290641486931,0.09171864624186254,0.06074090050002554,128.494020693452,35.696927470302626,59.28276396448188,0.046744725894058155,0.12808767926445358,0.14110822913769716,0.5460136840949837,0.10750832902929207,0.5086752444790029,0.14682929321020938,0.16697220629884613,128.494020693452,35.696927470302626,59.28276396448188,0.046744725894058155,0.12808767926445358,1.0,-0.0038026913974039535,0.14110822913769716,0.00948412955407321,0.00948412955407321,0.09084065244667504,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,F,Consumer Discretionary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,F,Consumer Discretionary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
22935000000.0,Cash And Cash Equivalents,66573000000.0,Accounts Receivable,14951000000.0,Inventory,64875000000.0,Net PPE,24128000000.0,Accounts Payable,54949000000.0,Current Debt,103573000000.0,Long Term Debt,285196000000.0,Total Assets,240338000000.0,Total Liabilities Net Minority Interest,124474000000.0,Current Assets,106859000000.0,Current Liabilities,44858000000.0,Total Equity Gross Minority Interest,44858000000.0,Total Equity Gross Minority Interest,23000000.0,Minority Interest,2024-12-31,Q,48211000000.0,Total Revenue,44203000000.0,Cost Of Revenue,2777000000.0,Operating Expense,292000000.0,Interest Expense,1824000000.0,Net Income,483000000.0,Tax Provision,1931000000.0,,0.0,Net Common Stock Issuance,41199000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,40468000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,2498000000.0,Capital Expenditure,596000000.0,Cash Dividends Paid,300000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,1931000000.0,Depreciation,91.25,F,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,44858000000.0,1,0.0,0.0,20015000000.0,95847000000.0,27782000000.0,29906000000.0,2024,12,24.598853047733343,,0.08313455435481532,0.0576009624359586,126.0041536163946,30.86394023030111,49.808384046331696,0.051813901391798554,,0.47572130841509197,0.5558352852073661,0.41515421791707285,1.0,0.5,0.6203148659019726,126.0041536163946,30.86394023030111,49.808384046331696,0.051813901391798554,,0.3267543859649123,-0.006222646284043061,0.47572130841509197,,,0.2093628088426528,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
20864000000.0,Cash And Cash Equivalents,65222000000.0,Accounts Receivable,17895000000.0,Inventory,66291000000.0,Net PPE,26259000000.0,Accounts Payable,54440000000.0,Current Debt,100830000000.0,Long Term Debt,284539000000.0,Total Assets,239879000000.0,Total Liabilities Net Minority Interest,123054000000.0,Current Assets,108732000000.0,Current Liabilities,44660000000.0,Total Equity Gross Minority Interest,44660000000.0,Total Equity Gross Minority Interest,25000000.0,Minority Interest,2025-03-31,Q,40659000000.0,Total Revenue,37909000000.0,Cost Of Revenue,2431000000.0,Operating Expense,305000000.0,Interest Expense,471000000.0,Net Income,148000000.0,Tax Provision,1848000000.0,,0.0,Net Common Stock Issuance,35937000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,64892000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,1818000000.0,Capital Expenditure,1196000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,1848000000.0,Depreciation,91.25,F,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,44660000000.0,1,0.0,0.0,19073000000.0,95194000000.0,28033000000.0,30317000000.0,2025,3,24.4284860506484,-0.17036699708494396,0.06763570181263678,0.05978996040237094,146.37614058388056,43.07469862038038,63.20751668469229,0.044713347598317715,0.028485549132947978,0.5131459209523107,0.5456896945585666,0.4690966329717898,1.0,0.5,0.7456405715831673,146.37614058388056,43.07469862038038,63.20751668469229,0.044713347598317715,0.028485549132947978,1.0,0.0,0.5,0.0019240231639772397,0.0019240231639772397,0.23909531502423265,0.8,0.0,1.0,0.25,0.0
23020000000.0,Cash And Cash Equivalents,67302000000.0,Accounts Receivable,17270000000.0,Inventory,69213000000.0,Net PPE,27756000000.0,Accounts Payable,56872000000.0,Current Debt,100855000000.0,Long Term Debt,292725000000.0,Total Assets,247644000000.0,Total Liabilities Net Minority Interest,126612000000.0,Current Assets,114988000000.0,Current Liabilities,45081000000.0,Total Equity Gross Minority Interest,45081000000.0,Total Equity Gross Minority Interest,24000000.0,Minority Interest,2025-06-30,Q,50184000000.0,Total Revenue,46967000000.0,Cost Of Revenue,2706000000.0,Operating Expense,297000000.0,Interest Expense,-36000000.0,Net Income,570000000.0,Tax Provision,1899000000.0,,0.0,Net Common Stock Issuance,25470000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,34420000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,2088000000.0,Capital Expenditure,597000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,1899000000.0,Depreciation,91.25,F,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,45081000000.0,1,0.0,0.0,19020000000.0,96900000000.0,30360000000.0,31801000000.0,2025,6,24.638962087740854,0.21047603709245521,0.0641040969233222,0.05392156862745098,122.37580703012912,33.55307982200268,53.92584154832116,0.04160688665710186,0.028646422591301988,0.4587119400605771,0.5388231275087539,0.3790052606408417,1.0,0.5,0.6336880280567512,122.37580703012912,33.55307982200268,53.92584154832116,0.04160688665710186,0.028646422591301988,0.0,0.0,0.4587119400605771,0.0019127970631802667,0.0019127970631802667,0.5,0.8,1.0,6.123233995736766e-17,0.25,0.0
26788000000.0,Cash And Cash Equivalents,67413000000.0,Accounts Receivable,16509000000.0,Inventory,71780000000.0,Net PPE,27868000000.0,Accounts Payable,57628000000.0,Current Debt,104312000000.0,Long Term Debt,300990000000.0,Total Assets,253573000000.0,Total Liabilities Net Minority Interest,130720000000.0,Current Assets,116648000000.0,Current Liabilities,47417000000.0,Total Equity Gross Minority Interest,47417000000.0,Total Equity Gross Minority Interest,25000000.0,Minority Interest,2025-09-30,Q,50534000000.0,Total Revenue,46236000000.0,Cost Of Revenue,2740000000.0,Operating Expense,328000000.0,Interest Expense,2447000000.0,Net Income,-630000000.0,Tax Provision,1975000000.0,,0.0,Net Common Stock Issuance,49530000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,50852000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,2125000000.0,Capital Expenditure,597000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,1975000000.0,Depreciation,91.25,F,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,47417000000.0,1,0.0,0.0,20010000000.0,98490000000.0,31152000000.0,32613000000.0,2025,9,24.645912214011688,0.006950126270833579,0.0850516483951399,0.054220920568330236,121.72866288043693,32.58167337139891,54.999459295786835,0.04205089642616852,0.028535101787236502,0.5300985475125658,0.5380245190870129,0.39597102940594453,1.0,0.5,0.6453674753631219,121.72866288043693,32.58167337139891,54.999459295786835,0.04205089642616852,0.028535101787236502,0.24397221087045362,0.0,0.5,0.002079542500649857,0.002079542500649857,0.3467253714914695,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
23356000000.0,Cash And Cash Equivalents,64528000000.0,Accounts Receivable,15285000000.0,Inventory,65828000000.0,Net PPE,25809000000.0,Accounts Payable,57302000000.0,Current Debt,106034000000.0,Long Term Debt,289160000000.0,Total Assets,253180000000.0,Total Liabilities Net Minority Interest,123487000000.0,Current Assets,114890000000.0,Current Liabilities,35980000000.0,Total Equity Gross Minority Interest,35980000000.0,Total Equity Gross Minority Interest,28000000.0,Minority Interest,2025-12-31,Q,45890000000.0,Total Revenue,54475000000.0,Cost Of Revenue,2972000000.0,Operating Expense,404000000.0,Interest Expense,-11064000000.0,Net Income,-3756000000.0,Tax Provision,10252000000.0,,0.0,Net Common Stock Issuance,38127000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,51048000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,2784000000.0,Capital Expenditure,599000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,10252000000.0,Depreciation,91.25,F,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,35980000000.0,1,0.0,0.0,20318000000.0,99845000000.0,31779000000.0,32256000000.0,2025,12,24.549513065353153,-0.09639914865853427,0.0,0.06476356504685117,128.31074308128132,25.603602569986233,43.23214777420835,0.06066681194159948,0.14282529952633044,0.5089561996077577,0.5648637432563287,0.4427544127260841,1.0,0.5,0.7028982349095664,128.31074308128132,25.603602569986233,43.23214777420835,0.06066681194159948,0.14282529952633044,0.0,0.0,0.5,0.0024947511423984194,0.0024947511423984194,0.0,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
