C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,45000000.0,Current Debt,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,,,,,1000000000.0,Short Term Debt Payments,,,,,,,,,365.0,FANG,Energy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
157000000.0,Cash And Cash Equivalents,722000000.0,Accounts Receivable,67000000.0,Inventory,23759000000.0,Net PPE,127000000.0,Accounts Payable,10000000.0,Current Debt,6238000000.0,Long Term Debt,26209000000.0,Total Assets,10519000000.0,Total Liabilities Net Minority Interest,1392000000.0,Current Assets,1716000000.0,Current Liabilities,15690000000.0,Total Equity Gross Minority Interest,15690000000.0,Total Equity Gross Minority Interest,681000000.0,Minority Interest,2022-12-31,A,9566000000.0,Total Revenue,2865000000.0,Cost Of Revenue,179000000.0,Operating Expense,148000000.0,Interest Expense,4386000000.0,Net Income,1174000000.0,Tax Provision,1344000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,23112000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,37395000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,3613000000.0,Capital Expenditure,1572000000.0,Cash Dividends Paid,2502000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,1344000000.0,Depreciation,365.0,FANG,Energy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,15690000000.0,1,0.0,0.0,446000000.0,1058000000.0,1579000000.0,2565000000.0,2022,12,22.981480982204516,,0.7005017771273259,0.018712105373196737,27.548609659209703,8.535776614310645,16.179755671902267,0.37769182521430067,,0.016412293539619486,0.23839139226983097,0.046623458080702486,0.11060004181476062,0.16506376750993101,0.2681371524148024,27.548609659209703,8.535776614310645,16.179755671902267,0.37769182521430067,,0.35841313269493846,-0.2615513276186494,0.016412293539619486,0.5,0.5,0.21115107913669065,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
582000000.0,Cash And Cash Equivalents,846000000.0,Accounts Receivable,63000000.0,Inventory,26674000000.0,Net PPE,261000000.0,Accounts Payable,160000000.0,Current Debt And Capital Lease Obligation,6641000000.0,Long Term Debt,29001000000.0,Total Assets,11571000000.0,Total Liabilities Net Minority Interest,1621000000.0,Current Assets,2108000000.0,Current Liabilities,17430000000.0,Total Equity Gross Minority Interest,17430000000.0,Total Equity Gross Minority Interest,805000000.0,Minority Interest,2023-12-31,A,8339000000.0,Total Revenue,3541000000.0,Cost Of Revenue,228000000.0,Operating Expense,175000000.0,Interest Expense,3143000000.0,Net Income,912000000.0,Tax Provision,1746000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,15537000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,23876000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,4714000000.0,Capital Expenditure,1444000000.0,Cash Dividends Paid,1680000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,1746000000.0,Depreciation,365.0,FANG,Energy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,17430000000.0,1,0.0,0.0,130000000.0,706000000.0,1687000000.0,2822000000.0,2023,12,22.84420914205126,-0.13727184015325733,0.5753687492505096,0.027341407842666986,37.029619858496226,6.493928268850607,26.90341711380966,0.565295598992685,0.07348794141167557,0.06979254107207099,0.23450915485672907,0.015589399208538194,0.08466242954790743,0.20230243434464565,0.33840988128072913,37.029619858496226,6.493928268850607,26.90341711380966,0.565295598992685,0.07348794141167557,0.4594336621062679,-0.2014630051564936,0.06979254107207099,0.028008962868117798,0.028008962868117798,0.2249075215782984,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,FANG,Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,,,1073000000.0,Short Term Debt Payments,,,,,,,,,91.25,FANG,Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
161000000.0,Cash And Cash Equivalents,1585000000.0,Accounts Receivable,116000000.0,Inventory,64472000000.0,Net PPE,943000000.0,Accounts Payable,900000000.0,Current Debt,12075000000.0,Long Term Debt,67292000000.0,Total Assets,27430000000.0,Total Liabilities Net Minority Interest,2110000000.0,Current Assets,4811000000.0,Current Liabilities,39862000000.0,Total Equity Gross Minority Interest,39862000000.0,Total Equity Gross Minority Interest,2126000000.0,Minority Interest,2024-12-31,A,11023000000.0,Total Revenue,6029000000.0,Cost Of Revenue,598000000.0,Operating Expense,288000000.0,Interest Expense,3338000000.0,Net Income,800000000.0,Tax Provision,2850000000.0,,1421000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,29625000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,14008000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,11787000000.0,Capital Expenditure,1578000000.0,Cash Dividends Paid,1918000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,2850000000.0,Depreciation,365.0,FANG,Energy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,39862000000.0,1,0.0,0.0,248000000.0,710000000.0,2968000000.0,10544000000.0,2024,12,23.123249835927588,,0.4530527079742357,0.05425020411866098,52.48344370860927,7.0227235030685025,57.0898988223586,0.8,,0.01460582418579334,0.1928163823337098,0.022498412410414587,0.06441077746529983,0.26925519368592943,0.9565454050621428,52.48344370860927,7.0227235030685025,57.0898988223586,0.8,,0.47273816656680645,-0.04508754422570988,0.01460582418579334,,,0.1933301111648139,0.6,-1.0,-1.8369701987210297e-16,1.0,0.0
1816000000.0,Cash And Cash Equivalents,1591000000.0,Accounts Receivable,117000000.0,Inventory,64896000000.0,Net PPE,124000000.0,Accounts Payable,914000000.0,Current Debt,12996000000.0,Long Term Debt,70066000000.0,Total Assets,28323000000.0,Total Liabilities Net Minority Interest,4083000000.0,Current Assets,4753000000.0,Current Liabilities,41743000000.0,Total Equity Gross Minority Interest,41743000000.0,Total Equity Gross Minority Interest,3270000000.0,Minority Interest,2025-03-31,Q,4031000000.0,Total Revenue,2217000000.0,Cost Of Revenue,104000000.0,Operating Expense,40000000.0,Interest Expense,1405000000.0,Net Income,403000000.0,Tax Provision,1088000000.0,,5585000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,10431000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,10152000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,1692000000.0,Capital Expenditure,290000000.0,Cash Dividends Paid,1150000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,1088000000.0,Depreciation,91.25,FANG,Energy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,41743000000.0,1,0.0,0.0,559000000.0,1087000000.0,3715000000.0,10574000000.0,2025,3,22.11728032108144,-1.0059695148461465,0.4500124038700074,0.02580004961548003,36.01556685685934,4.815629228687415,5.103743797925124,0.41974696105184817,0.016875542871323986,0.45050855867030515,0.19852710301715526,0.13867526668320515,0.26966013396179606,0.5,1.0,36.01556685685934,4.815629228687415,5.103743797925124,0.41974696105184817,0.016875542871323986,0.20640569395017794,1.0,0.45050855867030515,0.0030828516377649326,0.0030828516377649326,0.22289823008849557,0.8,0.0,1.0,0.25,0.0
219000000.0,Cash And Cash Equivalents,1534000000.0,Accounts Receivable,115000000.0,Inventory,69229000000.0,Net PPE,210000000.0,Accounts Payable,14000000.0,Current Debt,15119000000.0,Long Term Debt,71941000000.0,Total Assets,29122000000.0,Total Liabilities Net Minority Interest,2066000000.0,Current Assets,3759000000.0,Current Liabilities,42819000000.0,Total Equity Gross Minority Interest,42819000000.0,Total Equity Gross Minority Interest,3938000000.0,Minority Interest,2025-06-30,Q,3651000000.0,Total Revenue,2387000000.0,Cost Of Revenue,85000000.0,Operating Expense,56000000.0,Interest Expense,699000000.0,Net Income,204000000.0,Tax Provision,1253000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,9513000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,4950000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,3989000000.0,Capital Expenditure,291000000.0,Cash Dividends Paid,796000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,1253000000.0,Depreciation,91.25,FANG,Energy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,42819000000.0,1,0.0,0.0,198000000.0,646000000.0,3535000000.0,10244000000.0,2025,6,22.01826693961991,-0.09901338146153194,0.34620651876198305,0.023281292796494112,38.33949602848535,4.396208630079598,8.027859237536656,0.8,0.019307815581854043,0.0599835661462613,0.2103529280938547,0.054231717337715694,0.17693782525335525,0.5,1.0,38.33949602848535,4.396208630079598,8.027859237536656,0.8,0.019307815581854043,0.41630901287553645,-0.21802245960010955,0.0599835661462613,0.00402588066139468,0.00402588066139468,0.22591362126245848,0.8,1.0,6.123233995736766e-17,0.25,0.0
159000000.0,Cash And Cash Equivalents,1625000000.0,Accounts Receivable,86000000.0,Inventory,72533000000.0,Net PPE,426000000.0,Accounts Payable,394000000.0,Current Debt,15848000000.0,Long Term Debt,76213000000.0,Total Assets,30579000000.0,Total Liabilities Net Minority Interest,2581000000.0,Current Assets,4142000000.0,Current Liabilities,45634000000.0,Total Equity Gross Minority Interest,45634000000.0,Total Equity Gross Minority Interest,6546000000.0,Minority Interest,2025-09-30,Q,3906000000.0,Total Revenue,2565000000.0,Cost Of Revenue,88000000.0,Operating Expense,70000000.0,Interest Expense,1018000000.0,Net Income,287000000.0,Tax Provision,1274000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,10900000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,10367000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,2310000000.0,Capital Expenditure,289000000.0,Cash Dividends Paid,1206000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,1274000000.0,Depreciation,91.25,FANG,Energy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,45634000000.0,1,0.0,0.0,711000000.0,1099000000.0,3322000000.0,10589000000.0,2025,9,22.0857796694009,0.0675127297809901,0.3433179723502304,0.022529441884280594,37.962429595494115,3.0594541910331383,15.154970760233919,0.5913978494623656,0.018402692513253115,0.040706605222734255,0.21311324839594295,0.18202764976958524,0.28136200716845877,0.5,1.0,37.962429595494115,3.0594541910331383,15.154970760233919,0.5913978494623656,0.018402692513253115,0.28388998035363455,-0.3087557603686636,0.040706605222734255,0.004625652547412939,0.004625652547412939,0.21992337164750958,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
104000000.0,Cash And Cash Equivalents,1386000000.0,Accounts Receivable,86000000.0,Inventory,68621000000.0,Net PPE,1168000000.0,Accounts Payable,763000000.0,Current Debt,13726000000.0,Long Term Debt,71059000000.0,Total Assets,28092000000.0,Total Liabilities Net Minority Interest,1915000000.0,Current Assets,4600000000.0,Current Liabilities,42967000000.0,Total Equity Gross Minority Interest,42967000000.0,Total Equity Gross Minority Interest,5995000000.0,Minority Interest,2025-12-31,A,14929000000.0,Total Revenue,9708000000.0,Cost Of Revenue,303000000.0,Operating Expense,265000000.0,Interest Expense,1664000000.0,Net Income,327000000.0,Tax Provision,5038000000.0,,4150000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,45126000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,53868000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,9461000000.0,Capital Expenditure,1156000000.0,Cash Dividends Paid,4020000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,5038000000.0,Depreciation,365.0,FANG,Energy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,42967000000.0,1,0.0,0.0,339000000.0,523000000.0,2669000000.0,9766000000.0,2025,12,23.426571467017865,1.3407917976169657,0.3497220175497354,0.020296068055462524,33.886395605867776,3.233415739596209,43.91429748660898,0.6337330028803001,0.0694580397887858,0.006966307187353473,0.20390098368961004,0.022707482081854108,0.03503248710563333,0.17877955656775404,0.6541630383816732,33.886395605867776,3.233415739596209,43.91429748660898,0.6337330028803001,0.0694580397887858,0.6947115384615384,0.008707883984191842,0.006966307187353473,0.01631572466445019,0.01631572466445019,0.16423907584128578,0.8,-1.0,-1.8369701987210297e-16,1.0,0.0
