C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,0.0,Net Common Stock Issuance,,,,,,,,,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,365.0,FAST,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
230100000.0,Cash And Cash Equivalents,1013200000.0,Accounts Receivable,1708000000.0,Inventory,1253000000.0,Net PPE,255000000.0,Accounts Payable,201800000.0,Current Debt,353200000.0,Long Term Debt,4548600000.0,Total Assets,1385400000.0,Total Liabilities Net Minority Interest,3124800000.0,Current Assets,789800000.0,Current Liabilities,3163200000.0,Total Equity Gross Minority Interest,3163200000.0,Total Equity Gross Minority Interest,3163200000.0,Total Equity Gross Minority Interest,2022-12-31,A,6980600000.0,Total Revenue,3764800000.0,Cost Of Revenue,1762200000.0,Operating Expense,14300000.0,Interest Expense,1086900000.0,Net Income,353100000.0,Tax Provision,165900000.0,,0.0,Net Common Stock Issuance,5385000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,6520000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,173800000.0,Capital Expenditure,711300000.0,Cash Dividends Paid,475600000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,165900000.0,Depreciation,365.0,FAST,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3163200000.0,1,0.0,0.0,173500000.0,170800000.0,333000000.0,242400000.0,2022,12,22.66640070991174,,0.4606767326590837,0.25244248345414433,52.977967509956166,165.59179770505736,24.722428814279642,0.024897573274503624,,0.03296278256883362,0.12201556522886163,0.024854597026043607,0.024467810789903448,0.04770363579061972,0.03472480875569435,52.977967509956166,165.59179770505736,24.722428814279642,0.024897573274503624,,0.6544300303615788,-0.06813167922528149,0.03296278256883362,,,0.24520833333333333,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
221300000.0,Cash And Cash Equivalents,1087600000.0,Accounts Receivable,1522700000.0,Inventory,1281300000.0,Net PPE,264100000.0,Accounts Payable,60000000.0,Current Debt,200000000.0,Long Term Debt,4462900000.0,Total Assets,1114100000.0,Total Liabilities Net Minority Interest,3020900000.0,Current Assets,661300000.0,Current Liabilities,3348800000.0,Total Equity Gross Minority Interest,3348800000.0,Total Equity Gross Minority Interest,3348800000.0,Total Equity Gross Minority Interest,2023-12-31,A,7346700000.0,Total Revenue,3992200000.0,Cost Of Revenue,1825800000.0,Operating Expense,10800000.0,Interest Expense,1155000000.0,Net Income,367000000.0,Tax Provision,166600000.0,,0.0,Net Common Stock Issuance,2640000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,4700000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,172800000.0,Capital Expenditure,1016800000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,166600000.0,Depreciation,365.0,FAST,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3348800000.0,1,0.0,0.0,189300000.0,160700000.0,337200000.0,252800000.0,2023,12,22.717517069757804,0.051116359846062664,0.4565995617079778,0.2485197435583323,54.03432833789321,139.21784980712388,24.14621010971394,0.02352076442484381,0.1329608938547486,0.03012236786584453,0.058258083309059135,0.02576667075013271,0.021873766452965276,0.04589815835681326,0.03441000721412335,54.03432833789321,139.21784980712388,24.14621010971394,0.02352076442484381,0.1329608938547486,0.8803463203463203,0.0,0.03012236786584453,0.01945945945945946,0.01945945945945946,0.24113009198423127,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,FAST,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,FAST,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
255800000.0,Cash And Cash Equivalents,1108600000.0,Accounts Receivable,1645000000.0,Inventory,1335800000.0,Net PPE,287700000.0,Accounts Payable,75000000.0,Current Debt,125000000.0,Long Term Debt,4698000000.0,Total Assets,1081700000.0,Total Liabilities Net Minority Interest,3211900000.0,Current Assets,687100000.0,Current Liabilities,3616300000.0,Total Equity Gross Minority Interest,3616300000.0,Total Equity Gross Minority Interest,3616300000.0,Total Equity Gross Minority Interest,2024-12-31,Q,1824500000.0,Total Revenue,1006300000.0,Cost Of Revenue,473400000.0,Operating Expense,1700000.0,Interest Expense,262100000.0,Net Income,82200000.0,Tax Provision,41700000.0,,,,555000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,900000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,60200000.0,Capital Expenditure,223400000.0,Cash Dividends Paid,,,41700000.0,Depreciation,91.25,FAST,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,3616300000.0,1,0.0,0.0,202500000.0,150300000.0,324400000.0,269600000.0,2024,12,21.324571813840777,,0.4484516305837216,0.25946834749246367,55.445190463140584,149.16650104342642,26.088268905892875,0.03299534118936695,,0.14020279528637983,0.04257130693912303,0.11098931214031242,0.08237873389969855,0.17780213757193752,0.1477665113729789,55.445190463140584,149.16650104342642,26.088268905892875,0.03299534118936695,,0.8523464326592903,,0.14020279528637983,,,0.2387452802788266,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
231800000.0,Cash And Cash Equivalents,1278700000.0,Accounts Receivable,1673900000.0,Inventory,1365200000.0,Net PPE,341100000.0,Accounts Payable,75000000.0,Current Debt,125000000.0,Long Term Debt,4870900000.0,Total Assets,1180600000.0,Total Liabilities Net Minority Interest,3358000000.0,Current Assets,785200000.0,Current Liabilities,3690300000.0,Total Equity Gross Minority Interest,3690300000.0,Total Equity Gross Minority Interest,3690300000.0,Total Equity Gross Minority Interest,2025-03-31,Q,1959400000.0,Total Revenue,1075500000.0,Cost Of Revenue,490000000.0,Operating Expense,1700000.0,Interest Expense,298700000.0,Net Income,94400000.0,Tax Provision,42000000.0,,,,465000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,620000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,55700000.0,Capital Expenditure,246700000.0,Cash Dividends Paid,,,42000000.0,Depreciation,91.25,FAST,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,3690300000.0,1,0.0,0.0,173600000.0,147700000.0,369100000.0,270400000.0,2025,3,21.395904140874816,0.07133232703403891,0.45110748188220884,0.2500765540471573,59.549543227518626,142.02080427708043,28.940376569037657,0.028427069511074817,0.03144183260967211,0.11830152087373685,0.041060173684534684,0.08859855057670715,0.07538021843421455,0.1883739920383791,0.13800142900888027,59.549543227518626,142.02080427708043,28.940376569037657,0.028427069511074817,0.03144183260967211,0.825912286575159,,0.11830152087373685,0.0085,0.0085,0.2401424573899771,0.8,0.0,1.0,0.25,0.0
237800000.0,Cash And Cash Equivalents,1324200000.0,Accounts Receivable,1726300000.0,Inventory,1409300000.0,Net PPE,319300000.0,Accounts Payable,130000000.0,Current Debt,100000000.0,Long Term Debt,5016200000.0,Total Assets,1208800000.0,Total Liabilities Net Minority Interest,3461700000.0,Current Assets,820300000.0,Current Liabilities,3807400000.0,Total Equity Gross Minority Interest,3807400000.0,Total Equity Gross Minority Interest,3807400000.0,Total Equity Gross Minority Interest,2025-06-30,Q,2080300000.0,Total Revenue,1137500000.0,Cost Of Revenue,506700000.0,Operating Expense,2200000.0,Interest Expense,330300000.0,Net Income,106300000.0,Tax Provision,42400000.0,,,,1560000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1960000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,69300000.0,Capital Expenditure,252500000.0,Cash Dividends Paid,,,42400000.0,Depreciation,91.25,FAST,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,3807400000.0,1,0.0,0.0,173400000.0,145200000.0,371000000.0,288500000.0,2025,6,21.45577795102861,0.059873810153796114,0.45320386482718844,0.24357063885016583,58.08453107724847,138.48340659340658,25.614175824175824,0.03331250300437437,0.031057720480515676,0.11431043599480845,0.04585144133009051,0.08335336249579388,0.06979762534249868,0.17833966254867087,0.13868192087679662,58.08453107724847,138.48340659340658,25.614175824175824,0.03331250300437437,0.031057720480515676,0.7644565546472903,,0.11431043599480845,0.011,0.011,0.2434722858451672,0.8,1.0,6.123233995736766e-17,0.25,0.0
288100000.0,Cash And Cash Equivalents,1347300000.0,Accounts Receivable,1722800000.0,Inventory,1427600000.0,Net PPE,344800000.0,Accounts Payable,95000000.0,Current Debt,100000000.0,Long Term Debt,5116300000.0,Total Assets,1221800000.0,Total Liabilities Net Minority Interest,3546100000.0,Current Assets,832700000.0,Current Liabilities,3894500000.0,Total Equity Gross Minority Interest,3894500000.0,Total Equity Gross Minority Interest,3894500000.0,Total Equity Gross Minority Interest,2025-09-30,Q,2133300000.0,Total Revenue,1167500000.0,Cost Of Revenue,524300000.0,Operating Expense,1600000.0,Interest Expense,335500000.0,Net Income,105100000.0,Tax Provision,42300000.0,,,,1095000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1600000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,60300000.0,Capital Expenditure,252500000.0,Cash Dividends Paid,,,42300000.0,Depreciation,91.25,FAST,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,3894500000.0,1,0.0,0.0,187900000.0,142600000.0,392900000.0,289100000.0,2025,9,21.480935913521858,0.02515796249324609,0.45272582384099747,0.24576946514789294,57.62955280551259,134.65139186295502,26.949036402569593,0.02826606665729152,0.030014901014688143,0.13504898514039282,0.03811348044485272,0.08807950124220691,0.06684479444991329,0.18417475273051143,0.135517742464726,57.62955280551259,134.65139186295502,26.949036402569593,0.02826606665729152,0.030014901014688143,0.7526080476900149,,0.13504898514039282,0.006956521739130435,0.006956521739130435,0.23853835678620064,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
276800000.0,Cash And Cash Equivalents,1245300000.0,Accounts Receivable,1748000000.0,Inventory,1440600000.0,Net PPE,316800000.0,Accounts Payable,25000000.0,Current Debt,100000000.0,Long Term Debt,5052900000.0,Total Assets,1109300000.0,Total Liabilities Net Minority Interest,3472100000.0,Current Assets,715600000.0,Current Liabilities,3943600000.0,Total Equity Gross Minority Interest,3943600000.0,Total Equity Gross Minority Interest,3943600000.0,Total Equity Gross Minority Interest,2025-12-31,Q,2027400000.0,Total Revenue,1128700000.0,Cost Of Revenue,514400000.0,Operating Expense,900000.0,Interest Expense,294000000.0,Net Income,90600000.0,Tax Provision,41800000.0,,,,195000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,540000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,60000000.0,Capital Expenditure,252600000.0,Cash Dividends Paid,,,41800000.0,Depreciation,91.25,FAST,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,3943600000.0,1,0.0,0.0,202000000.0,140200000.0,373800000.0,293700000.0,2025,12,21.430020020912572,-0.05091589260928586,0.4432771036795896,0.2537239814540791,56.04894199467298,141.3174448480553,25.6117657482059,0.02959455460195324,0.029279910339030542,0.13652954523034427,0.024738269112786718,0.09963500049324257,0.06915260925323075,0.18437407517016868,0.1448653447765611,56.04894199467298,141.3174448480553,25.6117657482059,0.02959455460195324,0.029279910339030542,0.8591836734693877,,0.13652954523034427,0.004615384615384616,0.004615384615384616,0.23556942277691106,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
