C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
835000000.0,Cash And Cash Equivalents,2860000000.0,Accounts Receivable,,,1742000000.0,Net PPE,593000000.0,Accounts Payable,240000000.0,Current Debt,20201000000.0,Long Term Debt,76249000000.0,Total Assets,44299000000.0,Total Liabilities Net Minority Interest,18870000000.0,Current Assets,18295000000.0,Current Liabilities,31950000000.0,Total Equity Gross Minority Interest,31950000000.0,Total Equity Gross Minority Interest,998000000.0,Minority Interest,2021-12-31,A,16226000000.0,Total Revenue,8128000000.0,Cost Of Revenue,5810000000.0,Operating Expense,696000000.0,Interest Expense,1334000000.0,Net Income,363000000.0,Tax Provision,1158000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,19305000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,31524000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,1160000000.0,Capital Expenditure,,,5572000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,1158000000.0,Depreciation,365.0,FISV,Financials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,31950000000.0,1,0.0,0.0,,55637000000.0,17462000000.0,5803000000.0,2021,12,23.509880730919285,,0.4990755577468261,0.35806729939603105,64.33501787255022,,26.62955216535433,0.07149020091211636,,0.051460618760014794,0.26808220435677843,,1.0,0.5,0.35763589301121657,64.33501787255022,,26.62955216535433,0.07149020091211636,,,-0.34339948231233824,0.051460618760014794,,,0.2139068945197407,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
902000000.0,Cash And Cash Equivalents,3585000000.0,Accounts Receivable,,,1958000000.0,Net PPE,652000000.0,Accounts Payable,198000000.0,Current Debt,20411000000.0,Long Term Debt,83869000000.0,Total Assets,52181000000.0,Total Liabilities Net Minority Interest,27544000000.0,Current Assets,26458000000.0,Current Liabilities,31688000000.0,Total Equity Gross Minority Interest,31688000000.0,Total Equity Gross Minority Interest,860000000.0,Minority Interest,2022-12-31,A,17737000000.0,Total Revenue,7992000000.0,Cost Of Revenue,6059000000.0,Operating Expense,746000000.0,Interest Expense,2530000000.0,Net Income,551000000.0,Tax Provision,1320000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,4872000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,13260000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,1479000000.0,Capital Expenditure,,,5354000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,1320000000.0,Depreciation,365.0,FISV,Financials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,31688000000.0,1,0.0,0.0,,54367000000.0,25608000000.0,5312000000.0,2022,12,23.59891869016986,0.08903795925057523,0.5494164740373231,0.34160230027625865,73.77374978857755,,29.77727727727728,0.08338501437672662,0.5,0.05085414669899081,0.24572845747534847,,1.0,0.5,0.29948694818740484,73.77374978857755,,29.77727727727728,0.08338501437672662,0.5,,-0.3018548796301517,0.05085414669899081,0.03649527909593464,0.03649527909593464,0.17883803959753328,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
1204000000.0,Cash And Cash Equivalents,3582000000.0,Accounts Receivable,,,2161000000.0,Net PPE,449000000.0,Accounts Payable,442000000.0,Current Debt,21711000000.0,Long Term Debt,90890000000.0,Total Assets,60221000000.0,Total Liabilities Net Minority Interest,34811000000.0,Current Assets,33552000000.0,Current Liabilities,30669000000.0,Total Equity Gross Minority Interest,30669000000.0,Total Equity Gross Minority Interest,812000000.0,Minority Interest,2023-12-31,A,19093000000.0,Total Revenue,7670000000.0,Cost Of Revenue,6576000000.0,Operating Expense,1004000000.0,Interest Expense,3068000000.0,Net Income,754000000.0,Tax Provision,1479000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,16701000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,12060000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,1388000000.0,Capital Expenditure,,,9654000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,1479000000.0,Depreciation,365.0,FISV,Financials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,30669000000.0,1,0.0,0.0,,53918000000.0,32661000000.0,4958000000.0,2023,12,23.672587612677738,0.07366892250787771,0.5982820929136332,0.3444194207301105,68.47692871733096,,21.36701434159061,0.07269679987429949,0.5,0.0630597601215105,0.2437341841786775,,1.0,0.5,0.2596763211648248,68.47692871733096,,21.36701434159061,0.07269679987429949,0.5,,-0.5056303357251348,0.0630597601215105,0.04871658013489252,0.04871658013489252,0.19727891156462585,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
586000000.0,Restricted Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,FISV,Financials,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
617000000.0,Cash And Cash Equivalents,3714000000.0,Accounts Receivable,,,2377000000.0,Net PPE,483000000.0,Accounts Payable,868000000.0,Current Debt,23426000000.0,Long Term Debt,79792000000.0,Total Assets,51389000000.0,Total Liabilities Net Minority Interest,25125000000.0,Current Assets,23565000000.0,Current Liabilities,28403000000.0,Total Equity Gross Minority Interest,28403000000.0,Total Equity Gross Minority Interest,652000000.0,Minority Interest,2024-09-30,Q,5215000000.0,Total Revenue,2007000000.0,Cost Of Revenue,1606000000.0,Operating Expense,339000000.0,Interest Expense,564000000.0,Net Income,74000000.0,Tax Provision,433000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,8856000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,12832000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,402000000.0,Capital Expenditure,,,2522000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,433000000.0,Depreciation,91.25,FISV,Financials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,28403000000.0,1,0.0,0.0,,52290000000.0,22214000000.0,4398000000.0,2024,9,22.374804925399147,,0.6151486097794823,0.3079578139980825,64.98609779482263,,21.96001494768311,0.07708533077660594,,0.11831255992329817,0.3044666131943052,,1.0,0.5,0.8433365292425695,64.98609779482263,,21.96001494768311,0.07708533077660594,,,-0.4836049856184084,0.11831255992329817,,,0.11598746081504702,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
1236000000.0,Cash And Cash Equivalents,3725000000.0,Accounts Receivable,,,2374000000.0,Net PPE,511000000.0,Accounts Payable,784000000.0,Current Debt,23074000000.0,Long Term Debt,77176000000.0,Total Assets,49490000000.0,Total Liabilities Net Minority Interest,23477000000.0,Current Assets,22157000000.0,Current Liabilities,27686000000.0,Total Equity Gross Minority Interest,27686000000.0,Total Equity Gross Minority Interest,618000000.0,Minority Interest,2024-12-31,A,20456000000.0,Total Revenue,8013000000.0,Cost Of Revenue,6564000000.0,Operating Expense,1238000000.0,Interest Expense,3131000000.0,Net Income,641000000.0,Tax Provision,1672000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,20349000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,21584000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,1569000000.0,Capital Expenditure,,,11674000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,1672000000.0,Depreciation,365.0,FISV,Financials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,27686000000.0,1,0.0,0.0,,51325000000.0,20862000000.0,4259000000.0,2024,12,23.741542074935296,1.3667371495361493,0.6082811888932342,0.3208838482596793,66.46582909659757,,23.276550605266443,0.07670121235823231,0.5,0.060422369964802505,0.3091375557168031,,1.0,0.5,0.20820297223308565,66.46582909659757,,23.276550605266443,0.07670121235823231,0.5,,-0.5706883066093078,0.060422369964802505,0.050959084547624926,0.050959084547624926,0.16993637327677624,0.6,-1.0,-1.8369701987210297e-16,1.0,0.0
641000000.0,Cash And Cash Equivalents,3935000000.0,Accounts Receivable,,,2427000000.0,Net PPE,663000000.0,Accounts Payable,856000000.0,Current Debt,25800000000.0,Long Term Debt,80402000000.0,Total Assets,53881000000.0,Total Liabilities Net Minority Interest,25591000000.0,Current Assets,23293000000.0,Current Liabilities,26521000000.0,Total Equity Gross Minority Interest,26521000000.0,Total Equity Gross Minority Interest,637000000.0,Minority Interest,2025-03-31,Q,5130000000.0,Total Revenue,2073000000.0,Cost Of Revenue,1682000000.0,Operating Expense,339000000.0,Interest Expense,851000000.0,Net Income,190000000.0,Tax Provision,437000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,2328000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,3820000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,335000000.0,Capital Expenditure,,,4704000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,437000000.0,Depreciation,91.25,FISV,Financials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,26521000000.0,1,0.0,0.0,,52384000000.0,21774000000.0,4788000000.0,2025,3,22.358371496129088,-1.383170578806208,0.5959064327485379,0.3278752436647174,69.99390838206628,,29.184153400868308,0.06530214424951267,0.18407750631844988,0.12495126705653022,0.3315340414417552,,1.0,0.5,0.9333333333333333,69.99390838206628,,29.184153400868308,0.06530214424951267,0.18407750631844988,,-0.9169590643274854,0.12495126705653022,0.014209070332802415,0.014209070332802415,0.18251681075888568,0.8,0.0,1.0,0.25,0.0
532000000.0,Cash And Cash Equivalents,4116000000.0,Accounts Receivable,,,2585000000.0,Net PPE,768000000.0,Accounts Payable,1100000000.0,Current Debt,26749000000.0,Long Term Debt,81531000000.0,Total Assets,55768000000.0,Total Liabilities Net Minority Interest,26474000000.0,Current Assets,24318000000.0,Current Liabilities,25763000000.0,Total Equity Gross Minority Interest,25763000000.0,Total Equity Gross Minority Interest,548000000.0,Minority Interest,2025-06-30,Q,5516000000.0,Total Revenue,2106000000.0,Cost Of Revenue,1711000000.0,Operating Expense,376000000.0,Interest Expense,1026000000.0,Net Income,246000000.0,Tax Provision,460000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,8709000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,5620000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,479000000.0,Capital Expenditure,,,4580000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,460000000.0,Depreciation,91.25,FISV,Financials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,25763000000.0,1,0.0,0.0,,52472000000.0,22450000000.0,4701000000.0,2025,6,22.430918796877467,0.07254730074837923,0.6182015953589557,0.31018854242204497,68.09010152284264,,33.27635327635328,0.08683828861493836,0.1895344046147507,0.09644670050761421,0.34157559701217943,,1.0,0.5,0.8522480058013053,68.09010152284264,,33.27635327635328,0.08683828861493836,0.1895344046147507,,-0.8303118201595359,0.09644670050761421,0.014105642256902761,0.014105642256902761,0.19339622641509435,0.8,1.0,6.123233995736766e-17,0.25,0.0
884000000.0,Cash And Cash Equivalents,3957000000.0,Accounts Receivable,,,2968000000.0,Net PPE,717000000.0,Accounts Payable,876000000.0,Current Debt,27276000000.0,Long Term Debt,79370000000.0,Total Assets,54226000000.0,Total Liabilities Net Minority Interest,24157000000.0,Current Assets,22375000000.0,Current Liabilities,25144000000.0,Total Equity Gross Minority Interest,25144000000.0,Total Equity Gross Minority Interest,23000000.0,Minority Interest,2025-09-30,Q,5263000000.0,Total Revenue,2165000000.0,Cost Of Revenue,1762000000.0,Operating Expense,432000000.0,Interest Expense,792000000.0,Net Income,173000000.0,Tax Provision,468000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,6222000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,3968000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,507000000.0,Capital Expenditure,,,2106000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,468000000.0,Depreciation,91.25,FISV,Financials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,25144000000.0,1,0.0,0.0,,52245000000.0,20782000000.0,4575000000.0,2025,9,22.38396704331805,-0.04695175355941572,0.588637659129774,0.33479004370131105,68.60654569637089,,30.21997690531178,0.0963328899866996,0.18104448742746615,0.16796503895116854,0.3546932090210407,,1.0,0.5,0.8692760782823484,68.60654569637089,,30.21997690531178,0.0963328899866996,0.18104448742746615,,-0.40015200456013683,0.16796503895116854,0.015512226650867177,0.015512226650867177,0.17927461139896372,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-31,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,FISV,Financials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2025,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
