C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,-503000.0,Receivables Adjustments Allowances,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,,,,,125000000.0,Short Term Debt Payments,,,,,,,,,365.0,FIX,Industrials,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
57214000.0,Cash And Cash Equivalents,1024082000.0,Accounts Receivable,35309000.0,Inventory,274615000.0,Net PPE,337385000.0,Accounts Payable,9000000.0,Current Debt,247245000.0,Long Term Debt,2597478000.0,Total Assets,1597555000.0,Total Liabilities Net Minority Interest,1307671000.0,Current Assets,1170802000.0,Current Liabilities,999923000.0,Total Equity Gross Minority Interest,999923000.0,Total Equity Gross Minority Interest,999923000.0,Total Equity Gross Minority Interest,2022-12-31,A,4140364000.0,Total Revenue,3398756000.0,Cost Of Revenue,489344000.0,Operating Expense,12098000.0,Interest Expense,245947000.0,Net Income,-10089000.0,Tax Provision,33552000.0,,0.0,Net Common Stock Issuance,1665000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2772620000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,48359000.0,Capital Expenditure,20077000.0,Cash Dividends Paid,76432000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,33552000.0,Depreciation,365.0,FIX,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,999923000.0,1,0.0,0.0,191066000.0,1015192000.0,824417000.0,179508000.0,2022,12,22.144049543623975,,0.17911661873207285,0.1181886423512522,90.27948508875065,3.791912393828801,36.23252890175111,0.011679890946786321,,0.013818591795310751,0.09865146114808288,0.04614715034716754,0.24519390082611095,0.19911703415448498,0.043355608347478626,90.27948508875065,3.791912393828801,36.23252890175111,0.011679890946786321,,0.08163140839286513,-0.018460212676953042,0.013818591795310751,,,0.042775737944017164,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
205150000.0,Cash And Cash Equivalents,1318926000.0,Accounts Receivable,65538000.0,Inventory,414280000.0,Net PPE,419962000.0,Accounts Payable,4867000.0,Current Debt,39345000.0,Long Term Debt,3305579000.0,Total Assets,2027750000.0,Total Liabilities Net Minority Interest,1911100000.0,Current Assets,1721205000.0,Current Liabilities,1277829000.0,Total Equity Gross Minority Interest,1277829000.0,Total Equity Gross Minority Interest,1277829000.0,Total Equity Gross Minority Interest,2023-12-31,A,5206760000.0,Total Revenue,4216251000.0,Cost Of Revenue,574423000.0,Operating Expense,8872000.0,Interest Expense,323398000.0,Net Income,64796000.0,Tax Provision,38162000.0,,0.0,Net Common Stock Issuance,855000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2048132000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,94838000.0,Capital Expenditure,30379000.0,Cash Dividends Paid,42368000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,38162000.0,Depreciation,365.0,FIX,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1277829000.0,1,0.0,0.0,321486000.0,980199000.0,1296376000.0,267200000.0,2023,12,22.373223618265413,0.22917407464143835,0.19023519424747826,0.11032254223355792,92.45826387235056,5.673611461936209,36.35602576791562,0.01821439820540989,0.1389654607359394,0.039400702164109735,0.013374963962440468,0.06174396361652928,0.1882550760933863,0.24897940369826918,0.051317902111869956,92.45826387235056,5.673611461936209,36.35602576791562,0.01821439820540989,0.1389654607359394,0.09393688272654747,-0.008137114059415067,0.039400702164109735,0.034623114597358,0.034623114597358,0.16691654172913542,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,FIX,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,FIX,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
549939000.0,Cash And Cash Equivalents,1861212000.0,Accounts Receivable,59224000.0,Inventory,506286000.0,Net PPE,654943000.0,Accounts Payable,6042000.0,Current Debt,62293000.0,Long Term Debt,4711088000.0,Total Assets,3006412000.0,Total Liabilities Net Minority Interest,2790241000.0,Current Assets,2582770000.0,Current Liabilities,1704676000.0,Total Equity Gross Minority Interest,1704676000.0,Total Equity Gross Minority Interest,1704676000.0,Total Equity Gross Minority Interest,2024-12-31,A,7027476000.0,Total Revenue,5551065000.0,Cost Of Revenue,730072000.0,Operating Expense,5050000.0,Interest Expense,522433000.0,Net Income,144128000.0,Tax Provision,48219000.0,,0.0,Net Common Stock Issuance,547920000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,834304000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,111071000.0,Capital Expenditure,42766000.0,Cash Dividends Paid,115824000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,48219000.0,Depreciation,365.0,FIX,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1704676000.0,1,0.0,0.0,319866000.0,1414561000.0,1921785000.0,361349000.0,2024,12,22.67309344558438,,0.2100912190948785,0.10388822388009579,96.66946994909695,3.894164453127463,43.06456418723254,0.015805247858548362,,0.07825555007231615,0.014505141912016926,0.04551648415448164,0.20129005065260985,0.27346731600364055,0.0514194569999243,96.66946994909695,3.894164453127463,43.06456418723254,0.015805247858548362,,0.08185930061845251,-0.01648159310682811,0.07825555007231615,,,0.21622627186409046,0.6,-1.0,-1.8369701987210297e-16,1.0,0.0
204758000.0,Cash And Cash Equivalents,1736976000.0,Accounts Receivable,63045000.0,Inventory,521718000.0,Net PPE,560663000.0,Accounts Payable,4066000.0,Current Debt,63776000.0,Long Term Debt,4569218000.0,Total Assets,2792205000.0,Total Liabilities Net Minority Interest,2597499000.0,Current Assets,2411244000.0,Current Liabilities,1777013000.0,Total Equity Gross Minority Interest,1777013000.0,Total Equity Gross Minority Interest,1777013000.0,Total Equity Gross Minority Interest,2025-03-31,Q,1831286000.0,Total Revenue,1427870000.0,Cost Of Revenue,194874000.0,Operating Expense,1619000.0,Interest Expense,169289000.0,Net Income,38723000.0,Tax Provision,14010000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,23972000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,22208000.0,Capital Expenditure,14162000.0,Cash Dividends Paid,182738000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,14010000.0,Depreciation,91.25,FIX,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1777013000.0,1,0.0,0.0,592720000.0,1450001000.0,1846515000.0,317185000.0,2025,3,21.328284289239495,-1.344809156344887,0.22029109598391516,0.10641374422127402,86.55068623906915,4.028977603003074,35.82994162633853,0.012126997093845527,0.02767210627984973,0.11181104426069986,0.014847617250916897,0.3236632617734204,0.7917938541549491,0.5,0.17320342098394242,86.55068623906915,4.028977603003074,35.82994162633853,0.012126997093845527,0.02767210627984973,0.08365576026794416,-0.0997867072647309,0.11181104426069986,0.023692105070608035,0.023692105070608035,0.18615752937330537,0.8,0.0,1.0,0.25,0.0
331710000.0,Cash And Cash Equivalents,2162345000.0,Accounts Receivable,70732000.0,Inventory,537679000.0,Net PPE,573267000.0,Accounts Payable,11689000.0,Current Debt,61331000.0,Long Term Debt,5063729000.0,Total Assets,3092520000.0,Total Liabilities Net Minority Interest,3043279000.0,Current Assets,2699599000.0,Current Liabilities,1971209000.0,Total Equity Gross Minority Interest,1971209000.0,Total Equity Gross Minority Interest,1971209000.0,Total Equity Gross Minority Interest,2025-06-30,Q,2173319000.0,Total Revenue,1663422000.0,Cost Of Revenue,210466000.0,Operating Expense,1605000.0,Interest Expense,230848000.0,Net Income,65636000.0,Tax Provision,14856000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,88000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,31273000.0,Capital Expenditure,15871000.0,Cash Dividends Paid,39842000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,14856000.0,Depreciation,91.25,FIX,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1971209000.0,1,0.0,0.0,478492000.0,1482771000.0,2114643000.0,331590000.0,2025,6,21.49952132910309,0.17123703986359473,0.23461673136801364,0.09684082272321734,90.78924044284341,3.880130838716814,31.44759041902776,0.014389512078070453,0.02847515324370637,0.15262830721122855,0.014420202976897065,0.22016648269306072,0.6822610946667287,0.5,0.15257309212315356,90.78924044284341,3.880130838716814,31.44759041902776,0.014389512078070453,0.02847515324370637,0.06875086637094538,-0.01833232949235708,0.15262830721122855,0.023657911028566375,0.023657911028566375,0.22138125497497335,0.8,1.0,6.123233995736766e-17,0.25,0.0
860523000.0,Cash And Cash Equivalents,2306295000.0,Accounts Receivable,78830000.0,Inventory,612149000.0,Net PPE,665132000.0,Accounts Payable,4676000.0,Current Debt,131322000.0,Long Term Debt,5777851000.0,Total Assets,3544465000.0,Total Liabilities Net Minority Interest,3703528000.0,Current Assets,3032223000.0,Current Liabilities,2233386000.0,Total Equity Gross Minority Interest,2233386000.0,Total Equity Gross Minority Interest,2233386000.0,Total Equity Gross Minority Interest,2025-09-30,Q,2450969000.0,Total Revenue,1843098000.0,Cost Of Revenue,229579000.0,Operating Expense,2974000.0,Interest Expense,291615000.0,Net Income,78843000.0,Tax Provision,16048000.0,,0.0,Net Common Stock Issuance,600000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,548088000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,35332000.0,Capital Expenditure,17641000.0,Cash Dividends Paid,26272000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,16048000.0,Depreciation,91.25,FIX,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2233386000.0,1,0.0,0.0,457880000.0,1462174000.0,2362415000.0,380920000.0,2025,9,21.619749293513586,0.12022796441049621,0.2480125207621965,0.09366866737196594,85.86376194476551,3.902797084040024,32.9300422440912,0.01441552300335092,0.02984680450603427,0.3510950158896339,0.023537817088048828,0.18681590832034187,0.596569764856267,0.5,0.15541608237395088,85.86376194476551,3.902797084040024,32.9300422440912,0.01441552300335092,0.02984680450603427,0.06049414467705708,-0.01071902582203202,0.3510950158896339,0.04072856751574911,0.04072856751574911,0.21282574542863159,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
981898000.0,Cash And Cash Equivalents,2577858000.0,Accounts Receivable,84066000.0,Inventory,710874000.0,Net PPE,696348000.0,Accounts Payable,6163000.0,Current Debt,139063000.0,Long Term Debt,6441169000.0,Total Assets,3992395000.0,Total Liabilities Net Minority Interest,4110553000.0,Current Assets,3393850000.0,Current Liabilities,2448774000.0,Total Equity Gross Minority Interest,2448774000.0,Total Equity Gross Minority Interest,2448774000.0,Total Equity Gross Minority Interest,2025-12-31,A,9101641000.0,Total Revenue,6905742000.0,Cost Of Revenue,883284000.0,Operating Expense,6981000.0,Interest Expense,1022558000.0,Net Income,270895000.0,Tax Provision,62379000.0,,0.0,Net Common Stock Issuance,600000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,572236000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,154903000.0,Capital Expenditure,68833000.0,Cash Dividends Paid,431998000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,62379000.0,Depreciation,365.0,FIX,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2448774000.0,1,0.0,0.0,466731000.0,1619742000.0,2691339000.0,459482000.0,2025,12,22.931720563882106,1.3119712703685202,0.2412640753464128,0.09704667542918909,103.3789588053407,4.443271990178608,36.805171696249296,0.017019238618618336,0.10190166119686547,0.10788142489909237,0.022546528432959918,0.05127987359642069,0.1779615346287554,0.29569821529985635,0.0504834238133541,103.3789588053407,4.443271990178608,36.805171696249296,0.017019238618618336,0.10190166119686547,0.06731451907862439,-0.04746374857017542,0.10788142489909237,0.051331637229959266,0.051331637229959266,0.2094355187239119,0.8,-1.0,-1.8369701987210297e-16,1.0,0.0
