C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
1319100000.0,Cash And Cash Equivalents,807700000.0,Accounts Receivable,175800000.0,Inventory,687600000.0,Net PPE,148400000.0,Accounts Payable,,,988400000.0,Long Term Debt,5919100000.0,Total Assets,5120700000.0,Total Liabilities Net Minority Interest,3600600000.0,Current Assets,2318100000.0,Current Liabilities,798400000.0,Total Equity Gross Minority Interest,798400000.0,Total Equity Gross Minority Interest,16700000.0,Minority Interest,2021-12-31,A,3342200000.0,Total Revenue,783000000.0,Cost Of Revenue,1908800000.0,Operating Expense,14900000.0,Interest Expense,606800000.0,Net Income,14100000.0,Tax Provision,65900000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,2968200000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,78000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,295900000.0,Capital Expenditure,,,1483600000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,65900000.0,Depreciation,365.0,FTNT,Information Technology,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,798400000.0,1,0.0,0.0,1298000000.0,1630900000.0,,1814200000.0,2021,12,21.929895109733557,,0.7657231763509066,0.5711208186224642,88.20851534917121,81.95019157088123,69.17752234993614,0.08853449823469571,,0.394680150798875,0.1669848456691051,0.38836694392914844,0.48797199449464423,,0.5428161091496619,88.20851534917121,81.95019157088123,69.17752234993614,0.08853449823469571,,,-0.443899228053378,0.394680150798875,,,0.02270897084876792,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
1682900000.0,Cash And Cash Equivalents,1261700000.0,Accounts Receivable,264600000.0,Inventory,898500000.0,Net PPE,243400000.0,Accounts Payable,,,990400000.0,Long Term Debt,6228000000.0,Total Assets,6509600000.0,Total Liabilities Net Minority Interest,3810400000.0,Current Assets,3078400000.0,Current Liabilities,-281600000.0,Total Equity Gross Minority Interest,-281600000.0,Total Equity Gross Minority Interest,0.0,Minority Interest,2022-12-31,A,4417400000.0,Total Revenue,1084900000.0,Cost Of Revenue,2362900000.0,Operating Expense,18000000.0,Interest Expense,857300000.0,Net Income,30800000.0,Tax Provision,81000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,281200000.0,Capital Expenditure,,,3982400000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,81000000.0,Depreciation,365.0,FTNT,Information Technology,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,-281600000.0,1,0.0,0.0,601200000.0,1519100000.0,,2440800000.0,2022,12,22.208817124663643,0.2789220149300853,0.7544030425136958,0.5349074115995834,104.25148277267171,89.02110793621532,81.88865333210434,0.06365735500520668,0.11780104712041885,0.38097070675057726,0.1590237636480411,0.13609815728709196,0.3438900710825372,,0.5525422194050799,104.25148277267171,89.02110793621532,81.88865333210434,0.06365735500520668,0.11780104712041885,,-0.9015257843980622,0.38097070675057726,0.018211250505868068,0.018211250505868068,0.034680779191532486,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
1397900000.0,Cash And Cash Equivalents,1402000000.0,Accounts Receivable,484800000.0,Inventory,1044400000.0,Net PPE,204300000.0,Accounts Payable,,,992300000.0,Long Term Debt,7258900000.0,Total Assets,7722300000.0,Total Liabilities Net Minority Interest,4428300000.0,Current Assets,3719000000.0,Current Liabilities,-463400000.0,Total Equity Gross Minority Interest,-463400000.0,Total Equity Gross Minority Interest,-463400000.0,Total Equity Gross Minority Interest,2023-12-31,A,5304800000.0,Total Revenue,1237200000.0,Cost Of Revenue,2826500000.0,Operating Expense,21000000.0,Interest Expense,1147800000.0,Net Income,143800000.0,Tax Provision,94500000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,204100000.0,Capital Expenditure,,,3001000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,94500000.0,Depreciation,365.0,FTNT,Information Technology,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,-463400000.0,1,0.0,0.0,1143600000.0,1786200000.0,,3011000000.0,2023,12,22.39187790801893,0.18306078335528753,0.7667772583320767,0.5328193334338712,96.4654652390288,143.02618816682832,60.27279340446169,0.038474589051425125,0.10517529215358931,0.26351606092595387,0.13670115306726915,0.21557834414115518,0.33671391946916,,0.5675991554818278,96.4654652390288,143.02618816682832,60.27279340446169,0.038474589051425125,0.10517529215358931,,-0.5657140702759764,0.26351606092595387,0.021203554119547656,0.021203554119547656,0.11133477856921647,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,-5700000.0,Allowance For Doubtful Accounts Receivable,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,FTNT,Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
2489300000.0,Cash And Cash Equivalents,1044100000.0,Accounts Receivable,354300000.0,Inventory,1273400000.0,Net PPE,177900000.0,Accounts Payable,,,993800000.0,Long Term Debt,8852000000.0,Total Assets,7943900000.0,Total Liabilities Net Minority Interest,5220600000.0,Current Assets,3883900000.0,Current Liabilities,908100000.0,Total Equity Gross Minority Interest,908100000.0,Total Equity Gross Minority Interest,908100000.0,Total Equity Gross Minority Interest,2024-09-30,Q,1508100000.0,Total Revenue,263400000.0,Cost Of Revenue,773800000.0,Operating Expense,5000000.0,Interest Expense,539900000.0,Net Income,81200000.0,Tax Provision,24500000.0,,99900000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,,,36300000.0,Capital Expenditure,,,1200000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,24500000.0,Depreciation,91.25,FTNT,Information Technology,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,908100000.0,1,0.0,0.0,1332900000.0,2358000000.0,,3066200000.0,2024,9,21.13411641733091,,0.8253431470061667,0.5130959485445262,63.17493866454479,122.74060364464692,61.63012528473804,0.024070021881838075,,1.650619985412108,0.1122684139177587,0.5,1.0,,1.0,63.17493866454479,122.74060364464692,61.63012528473804,0.024070021881838075,,,0.0654465884225184,0.5,,,0.1307357913379488,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
2875900000.0,Cash And Cash Equivalents,1463400000.0,Accounts Receivable,315500000.0,Inventory,1349500000.0,Net PPE,190900000.0,Accounts Payable,,,994300000.0,Long Term Debt,9763100000.0,Total Assets,8269300000.0,Total Liabilities Net Minority Interest,5971500000.0,Current Assets,4060700000.0,Current Liabilities,1493800000.0,Total Equity Gross Minority Interest,1493800000.0,Total Equity Gross Minority Interest,1493800000.0,Total Equity Gross Minority Interest,2024-12-31,Q,1660100000.0,Total Revenue,314500000.0,Cost Of Revenue,771500000.0,Operating Expense,4900000.0,Interest Expense,526200000.0,Net Income,86700000.0,Tax Provision,23700000.0,,117000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,,,97600000.0,Capital Expenditure,,,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,23700000.0,Depreciation,91.25,FTNT,Information Technology,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1493800000.0,1,0.0,0.0,1316700000.0,2442100000.0,,3214300000.0,2024,12,21.230143678464305,0.09602726113339344,0.8105535811095717,0.4647310402987772,80.4380760195169,91.54014308426073,55.38831478537361,0.058791639057888076,0.018611591016177164,1.7323655201493886,0.1018426524362139,0.5,1.0,,1.0,80.4380760195169,91.54014308426073,55.38831478537361,0.058791639057888076,0.018611591016177164,,0.07047768206734534,0.5,0.004930569531092775,0.004930569531092775,0.14145863925599608,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
3596600000.0,Cash And Cash Equivalents,1174000000.0,Accounts Receivable,362700000.0,Inventory,1403800000.0,Net PPE,224500000.0,Accounts Payable,498700000.0,Current Debt,496200000.0,Long Term Debt,10407000000.0,Total Assets,8444100000.0,Total Liabilities Net Minority Interest,6442600000.0,Current Assets,4727800000.0,Current Liabilities,1962900000.0,Total Equity Gross Minority Interest,1962900000.0,Total Equity Gross Minority Interest,1962900000.0,Total Equity Gross Minority Interest,2025-03-31,Q,1539700000.0,Total Revenue,293100000.0,Cost Of Revenue,792800000.0,Operating Expense,4900000.0,Interest Expense,433400000.0,Net Income,96500000.0,Tax Provision,24000000.0,,101000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,,,66500000.0,Capital Expenditure,,,,,24000000.0,Depreciation,91.25,FTNT,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1962900000.0,1,0.0,0.0,1309300000.0,2560600000.0,4004600000.0,3220100000.0,2025,3,21.15485342920015,-0.07529024926415673,0.8096382412158213,0.5149055010716374,69.57686562317335,112.91837256908904,69.89295462299556,0.043190231863350005,0.01778436457947388,2.335909592777814,0.0955991159796291,0.5,1.0,0.5,1.0,69.57686562317335,112.91837256908904,69.89295462299556,0.043190231863350005,0.01778436457947388,,,0.5,0.004928090113647792,0.004928090113647792,0.18210983204378184,0.8,0.0,1.0,0.25,0.0
3368500000.0,Cash And Cash Equivalents,1215700000.0,Accounts Receivable,405200000.0,Inventory,1544800000.0,Net PPE,245200000.0,Accounts Payable,499000000.0,Current Debt,496300000.0,Long Term Debt,10641400000.0,Total Assets,8581000000.0,Total Liabilities Net Minority Interest,6346300000.0,Current Assets,4777100000.0,Current Liabilities,2060400000.0,Total Equity Gross Minority Interest,2060400000.0,Total Equity Gross Minority Interest,2060400000.0,Total Equity Gross Minority Interest,2025-06-30,Q,1630000000.0,Total Revenue,314900000.0,Cost Of Revenue,857100000.0,Operating Expense,4600000.0,Interest Expense,440100000.0,Net Income,77100000.0,Tax Provision,25100000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,,,167800000.0,Capital Expenditure,,,,,25100000.0,Depreciation,91.25,FTNT,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,2060400000.0,1,0.0,0.0,1356900000.0,2750300000.0,4032900000.0,3307600000.0,2025,6,21.211845851765084,0.0569924225649352,0.8068098159509203,0.5258282208588957,68.05682515337423,117.41664020323913,71.05271514766592,0.10294478527607362,0.017880039891722467,2.066564417177914,0.09353092638186705,0.5,1.0,0.5,1.0,68.05682515337423,117.41664020323913,71.05271514766592,0.10294478527607362,0.017880039891722467,,,0.5,0.004623580259322545,0.004623580259322545,0.14907192575406034,0.8,1.0,6.123233995736766e-17,0.25,0.0
1995700000.0,Cash And Cash Equivalents,1168300000.0,Accounts Receivable,426600000.0,Inventory,1605200000.0,Net PPE,221300000.0,Accounts Payable,499400000.0,Current Debt,496500000.0,Long Term Debt,9361300000.0,Total Assets,8626200000.0,Total Liabilities Net Minority Interest,4913500000.0,Current Assets,4786100000.0,Current Liabilities,735100000.0,Total Equity Gross Minority Interest,735100000.0,Total Equity Gross Minority Interest,735100000.0,Total Equity Gross Minority Interest,2025-09-30,Q,1724900000.0,Total Revenue,331700000.0,Cost Of Revenue,845900000.0,Operating Expense,6200000.0,Interest Expense,473900000.0,Net Income,120700000.0,Tax Provision,25300000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,,,87700000.0,Capital Expenditure,,,3663000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,25300000.0,Depreciation,91.25,FTNT,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,735100000.0,1,0.0,0.0,1322900000.0,2842600000.0,4065400000.0,3343600000.0,2025,9,21.268434914734858,0.05658906296977406,0.8076989970433068,0.4904052408835295,61.80495970780915,117.35679831172746,60.87918299668375,0.05084352716099484,0.016377524598653548,1.1569946083830946,0.10638479698332497,0.5,1.0,0.5,1.0,61.80495970780915,117.35679831172746,60.87918299668375,0.05084352716099484,0.016377524598653548,,-1.0,0.5,0.0062292776047422884,0.0062292776047422884,0.20299360914900774,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-31,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,FTNT,Information Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2025,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
