C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
819300000.0,Cash And Cash Equivalents,930200000.0,Accounts Receivable,512700000.0,Inventory,395500000.0,Net PPE,557900000.0,Accounts Payable,2151700000.0,Current Debt,1807300000.0,Long Term Debt,16465500000.0,Total Assets,6948500000.0,Total Liabilities Net Minority Interest,2514900000.0,Current Assets,3714900000.0,Current Liabilities,9517000000.0,Total Equity Gross Minority Interest,9517000000.0,Total Equity Gross Minority Interest,4800000.0,Minority Interest,2021-12-31,A,5254700000.0,Total Revenue,2247600000.0,Cost Of Revenue,2194300000.0,Operating Expense,103200000.0,Interest Expense,608400000.0,Net Income,63300000.0,Tax Provision,74700000.0,,0.0,Net Common Stock Issuance,3729200000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2444400000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,50000000.0,Capital Expenditure,132200000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,74700000.0,Depreciation,365.0,FTV,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,9517000000.0,1,0.0,0.0,252700000.0,13555100000.0,1005300000.0,1426300000.0,2021,12,22.38238875115856,,0.5722686356975659,0.4175880640188783,64.61320341789255,83.26014415376402,90.60041822388325,0.009515291072753916,,0.15591755951814565,0.2404421365886247,0.04809028108169829,1.0,0.19131444230879022,0.2714331931413782,64.61320341789255,83.26014415376402,90.60041822388325,0.009515291072753916,,0.2172912557527942,0.0,0.15591755951814565,,,0.09423849933005807,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
709200000.0,Cash And Cash Equivalents,958500000.0,Accounts Receivable,536700000.0,Inventory,421900000.0,Net PPE,623000000.0,Accounts Payable,999700000.0,Current Debt,2251600000.0,Long Term Debt,15890600000.0,Total Assets,6202000000.0,Total Liabilities Net Minority Interest,2477000000.0,Current Assets,2727100000.0,Current Liabilities,9688600000.0,Total Equity Gross Minority Interest,9688600000.0,Total Equity Gross Minority Interest,5200000.0,Minority Interest,2022-12-31,A,5825700000.0,Total Revenue,2462300000.0,Cost Of Revenue,2358100000.0,Operating Expense,98300000.0,Interest Expense,755200000.0,Net Income,118300000.0,Tax Provision,83500000.0,,0.0,Net Common Stock Issuance,4182300000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,8626000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,95800000.0,Capital Expenditure,99500000.0,Cash Dividends Paid,885800000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,83500000.0,Depreciation,365.0,FTV,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,9688600000.0,1,0.0,0.0,272600000.0,12991700000.0,1104400000.0,1223300000.0,2022,12,22.485545000851957,0.1031562496933951,0.5773383456065366,0.4047753917984105,60.053298316082184,79.55793363928035,92.35064776834666,0.016444375783167688,0.2111251580278129,0.1217364436891704,0.20460523831699243,0.04679266010951474,1.0,0.18957378512453438,0.20998334964038656,60.053298316082184,79.55793363928035,92.35064776834666,0.016444375783167688,0.2111251580278129,0.1317531779661017,-0.15205039737713924,0.1217364436891704,0.024829502399595856,0.024829502399595856,0.13543216943331426,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
1888800000.0,Cash And Cash Equivalents,960800000.0,Accounts Receivable,536900000.0,Inventory,439800000.0,Net PPE,608600000.0,Accounts Payable,37600000.0,Current Debt And Capital Lease Obligation,3646200000.0,Long Term Debt,16911800000.0,Total Assets,6586500000.0,Total Liabilities Net Minority Interest,3671600000.0,Current Assets,1791300000.0,Current Liabilities,10325300000.0,Total Equity Gross Minority Interest,10325300000.0,Total Equity Gross Minority Interest,6400000.0,Minority Interest,2023-12-31,A,6065300000.0,Total Revenue,2471200000.0,Cost Of Revenue,2460400000.0,Operating Expense,123500000.0,Interest Expense,865800000.0,Net Income,125000000.0,Tax Provision,86400000.0,,0.0,Net Common Stock Issuance,1647900000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,4000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,107800000.0,Capital Expenditure,102000000.0,Cash Dividends Paid,545800000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,86400000.0,Depreciation,365.0,FTV,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,10325300000.0,1,0.0,0.0,285100000.0,12800400000.0,1145100000.0,1149000000.0,2023,12,22.525849842257614,0.040304841405657044,0.5925675564275469,0.40565182266334726,57.81939887557087,79.30094690838459,89.89114600194237,0.017773234629779235,0.20478786442284902,0.3114108123258536,0.21782424106245343,0.04700509455426772,1.0,0.18879527805714474,0.18943828005209964,57.81939887557087,79.30094690838459,89.89114600194237,0.017773234629779235,0.20478786442284902,0.11781011781011781,-0.0899873048324073,0.3114108123258536,0.037984806077568975,0.037984806077568975,0.12616067823980623,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,38700000.0,Interest Expense,,,,,,,,,,,,,,,,,,,,,91.25,FTV,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,0.01050545632227591,0.01050545632227591,,0.6,1.0,6.123233995736766e-17,0.25,0.0
811300000.0,Cash And Cash Equivalents,912200000.0,Accounts Receivable,563900000.0,Inventory,425100000.0,Net PPE,623800000.0,Accounts Payable,408100000.0,Current Debt,3451800000.0,Long Term Debt,17453600000.0,Total Assets,6892100000.0,Total Liabilities Net Minority Interest,2635200000.0,Current Assets,2100800000.0,Current Liabilities,10561500000.0,Total Equity Gross Minority Interest,10561500000.0,Total Equity Gross Minority Interest,6600000.0,Minority Interest,2024-09-30,Q,1003700000.0,Total Revenue,362200000.0,Cost Of Revenue,469500000.0,Operating Expense,37000000.0,Interest Expense,221600000.0,Net Income,-2400000.0,Tax Provision,-500000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,7900000.0,Capital Expenditure,27800000.0,Cash Dividends Paid,540200000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,-500000.0,Depreciation,91.25,FTV,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,10561500000.0,1,0.0,0.0,347800000.0,14393300000.0,1068900000.0,1339500000.0,2024,9,20.72695900878403,,0.6391351997608847,0.46776925376108397,82.93140380591811,142.06481225842077,157.1555770292656,0.00787087775231643,,0.8083092557537113,0.22115208323784205,0.3465178838298296,1.0,0.5,1.0,82.93140380591811,142.06481225842077,157.1555770292656,0.00787087775231643,,0.12545126353790614,-0.5382086280761184,0.5,,,0.010948905109489052,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
813300000.0,Cash And Cash Equivalents,945400000.0,Accounts Receivable,544800000.0,Inventory,433100000.0,Net PPE,677400000.0,Accounts Payable,376200000.0,Current Debt,3331100000.0,Long Term Debt,17016100000.0,Total Assets,6820500000.0,Total Liabilities Net Minority Interest,2592300000.0,Current Assets,2238400000.0,Current Liabilities,10195600000.0,Total Equity Gross Minority Interest,10195600000.0,Total Equity Gross Minority Interest,7000000.0,Minority Interest,2024-12-31,A,6231800000.0,Total Revenue,2500800000.0,Cost Of Revenue,2587500000.0,Operating Expense,152800000.0,Interest Expense,832900000.0,Net Income,136700000.0,Tax Provision,90600000.0,,0.0,Net Common Stock Issuance,5200500000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,4000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,120400000.0,Capital Expenditure,111200000.0,Cash Dividends Paid,1779200000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,90600000.0,Depreciation,365.0,FTV,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,10195600000.0,1,0.0,0.0,288800000.0,13990700000.0,1184800000.0,1251000000.0,2024,12,22.552931052573697,1.825972043789669,0.5987034243717706,0.41520908886678004,55.372605025835234,79.51535508637237,98.86876199616123,0.01932026059886389,0.21312632321806635,0.13050803941076414,0.21787013475473227,0.046342950672357906,1.0,0.19012163419878686,0.20074456818254757,55.372605025835234,79.51535508637237,98.86876199616123,0.01932026059886389,0.21312632321806635,0.1335094249009485,-0.2855033858596232,0.13050803941076414,0.03958651778543486,0.03958651778543486,0.14098597359735973,0.6,-1.0,-1.8369701987210297e-16,1.0,0.0
892100000.0,Cash And Cash Equivalents,929300000.0,Accounts Receivable,568000000.0,Inventory,433900000.0,Net PPE,669300000.0,Accounts Payable,933800000.0,Current Debt,2929100000.0,Long Term Debt,17137000000.0,Total Assets,6893700000.0,Total Liabilities Net Minority Interest,2704100000.0,Current Assets,2725700000.0,Current Liabilities,10243300000.0,Total Equity Gross Minority Interest,10243300000.0,Total Equity Gross Minority Interest,6900000.0,Minority Interest,2025-03-31,Q,1474200000.0,Total Revenue,593300000.0,Cost Of Revenue,647300000.0,Operating Expense,32000000.0,Interest Expense,171900000.0,Net Income,29500000.0,Tax Provision,23400000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,26700000.0,Capital Expenditure,27200000.0,Cash Dividends Paid,405200000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,23400000.0,Depreciation,91.25,FTV,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,10243300000.0,1,0.0,0.0,314700000.0,13999000000.0,1122600000.0,1238900000.0,2025,3,21.111381306719462,-1.4415497458542355,0.5975444308777642,0.4390856057522724,57.52179148012481,87.35884038429126,102.93885892465869,0.01811151811151811,0.054029092588316785,0.6051417718084384,0.2254128493902083,0.21347171347171348,1.0,0.5,0.8403880070546738,57.52179148012481,87.35884038429126,102.93885892465869,0.01811151811151811,0.054029092588316785,0.15823152995927864,-0.2748609415276082,0.5,0.008631618698244005,0.008631618698244005,0.1464746772591857,0.8,0.0,1.0,0.25,0.0
1832700000.0,Cash And Cash Equivalents,912200000.0,Accounts Receivable,610400000.0,Inventory,447900000.0,Net PPE,700500000.0,Accounts Payable,1905700000.0,Current Debt,2906500000.0,Long Term Debt,18244200000.0,Total Assets,7855000000.0,Total Liabilities Net Minority Interest,3683400000.0,Current Assets,3745600000.0,Current Liabilities,10389200000.0,Total Equity Gross Minority Interest,10389200000.0,Total Equity Gross Minority Interest,7100000.0,Minority Interest,2025-06-30,Q,1518800000.0,Total Revenue,623100000.0,Cost Of Revenue,673500000.0,Operating Expense,32100000.0,Interest Expense,166600000.0,Net Income,25400000.0,Tax Provision,24300000.0,,0.0,Net Common Stock Issuance,3440400000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,36700000.0,Capital Expenditure,27000000.0,Cash Dividends Paid,283800000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,24300000.0,Depreciation,91.25,FTV,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,10389200000.0,1,0.0,0.0,328100000.0,14112900000.0,1139400000.0,1202900000.0,2025,6,21.14118638632192,0.029805079602457596,0.5897419015011851,0.44344219120358175,54.80527390044772,89.39014604397369,102.5848579682234,0.024163813537002896,0.05600368748559576,1.206676323413221,0.2637660187895331,0.21602580984988148,1.0,0.5,0.7920068475111931,54.80527390044772,89.39014604397369,102.5848579682234,0.024163813537002896,0.05600368748559576,0.16206482593037214,-0.18685804582565183,0.5,0.008309819047865593,0.008309819047865593,0.13229166666666667,0.8,1.0,6.123233995736766e-17,0.25,0.0
430800000.0,Cash And Cash Equivalents,633600000.0,Accounts Receivable,310600000.0,Inventory,258700000.0,Net PPE,427600000.0,Accounts Payable,1189200000.0,Current Debt,2117100000.0,Long Term Debt,11886700000.0,Total Assets,5375200000.0,Total Liabilities Net Minority Interest,1731600000.0,Current Assets,2469500000.0,Current Liabilities,6511500000.0,Total Equity Gross Minority Interest,6511500000.0,Total Equity Gross Minority Interest,7600000.0,Minority Interest,2025-09-30,Q,1027100000.0,Total Revenue,377900000.0,Cost Of Revenue,489600000.0,Operating Expense,,,55000000.0,Net Income,18000000.0,Tax Provision,4300000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2862800000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,11300000.0,Capital Expenditure,19200000.0,Cash Dividends Paid,2001200000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,4300000.0,Depreciation,91.25,FTV,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,6511500000.0,1,0.0,0.0,356600000.0,9896400000.0,852700000.0,788600000.0,2025,9,20.750005134136032,-0.39118125218588773,0.6320708791743744,0.4766819199688443,56.29052672573265,74.99933844932522,103.25086001587722,0.01100184986856197,0.009600357222594329,0.41943335605101745,0.2781512110173555,0.3471911206309025,1.0,0.5,0.7677928147210593,56.29052672573265,74.99933844932522,103.25086001587722,0.01100184986856197,0.009600357222594329,0.3490909090909091,-1.0,0.41943335605101745,,,0.2465753424657534,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-31,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,FTV,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2025,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,-1.0,-1.8369701987210297e-16,1.0,0.0
