C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,,,,,1997000000.0,Short Term Debt Payments,,,,,,,,,365.0,GD,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
1242000000.0,Cash And Cash Equivalents,3008000000.0,Accounts Receivable,6322000000.0,Inventory,5900000000.0,Net PPE,3398000000.0,Accounts Payable,1253000000.0,Current Debt,9243000000.0,Long Term Debt,51585000000.0,Total Assets,33017000000.0,Total Liabilities Net Minority Interest,21063000000.0,Current Assets,15341000000.0,Current Liabilities,18568000000.0,Total Equity Gross Minority Interest,18568000000.0,Total Equity Gross Minority Interest,18568000000.0,Total Equity Gross Minority Interest,2022-12-31,A,39407000000.0,Total Revenue,32785000000.0,Cost Of Revenue,2411000000.0,Operating Expense,391000000.0,Interest Expense,3390000000.0,Net Income,646000000.0,Tax Provision,586000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,4000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,1114000000.0,Capital Expenditure,1369000000.0,Cash Dividends Paid,2458000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,586000000.0,Depreciation,365.0,GD,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,18568000000.0,1,0.0,0.0,10491000000.0,24622000000.0,10690000000.0,8433000000.0,2022,12,24.397209302444367,,0.1680412109523689,0.061182023498363235,27.861039916766057,70.38371206344365,37.830410248589295,0.02826908924810313,,0.03151724312939325,0.203470000969274,0.26622173725480247,0.6248128505087929,0.2712716014921207,0.21399751313218462,27.861039916766057,70.38371206344365,37.830410248589295,0.02826908924810313,,0.403834808259587,-0.062374705001649454,0.03151724312939325,,,0.16005946481665015,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
1913000000.0,Cash And Cash Equivalents,3004000000.0,Accounts Receivable,8578000000.0,Inventory,6198000000.0,Net PPE,3095000000.0,Accounts Payable,507000000.0,Current Debt,8754000000.0,Long Term Debt,54810000000.0,Total Assets,33511000000.0,Total Liabilities Net Minority Interest,23615000000.0,Current Assets,16432000000.0,Current Liabilities,21299000000.0,Total Equity Gross Minority Interest,21299000000.0,Total Equity Gross Minority Interest,21299000000.0,Total Equity Gross Minority Interest,2023-12-31,A,42272000000.0,Total Revenue,35600000000.0,Cost Of Revenue,2427000000.0,Operating Expense,399000000.0,Interest Expense,3315000000.0,Net Income,669000000.0,Tax Provision,608000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,5000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,904000000.0,Capital Expenditure,1428000000.0,Cash Dividends Paid,868000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,608000000.0,Depreciation,365.0,GD,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,21299000000.0,1,0.0,0.0,10120000000.0,24997000000.0,12830000000.0,8325000000.0,2023,12,24.467390765286325,0.07018146284195836,0.15783497350492048,0.057413890991672975,25.93820968962907,87.94859550561797,31.73244382022472,0.021385314155942466,0.10305084745762712,0.04525454201362604,0.16896551724137931,0.23940196820590462,0.5913370552611658,0.3035105980317941,0.1969388720666162,25.93820968962907,87.94859550561797,31.73244382022472,0.021385314155942466,0.10305084745762712,0.4307692307692308,-0.0205336866010598,0.04525454201362604,0.038014481707317076,0.038014481707317076,0.16792168674698796,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,0.0,Issuance Of Debt+Issuance Of Debt,,,,,,,,,,,91.25,GD,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,GD,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
1697000000.0,Cash And Cash Equivalents,2977000000.0,Accounts Receivable,9724000000.0,Inventory,6467000000.0,Net PPE,3344000000.0,Accounts Payable,1502000000.0,Current Debt,7260000000.0,Long Term Debt,55880000000.0,Total Assets,33817000000.0,Total Liabilities Net Minority Interest,24386000000.0,Current Assets,17824000000.0,Current Liabilities,22063000000.0,Total Equity Gross Minority Interest,22063000000.0,Total Equity Gross Minority Interest,22063000000.0,Total Equity Gross Minority Interest,2024-12-31,Q,13338000000.0,Total Revenue,11253000000.0,Cost Of Revenue,662000000.0,Operating Expense,,,1148000000.0,Net Income,220000000.0,Tax Provision,175000000.0,,0.0,Net Common Stock Issuance,,,2000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,355000000.0,Capital Expenditure,389000000.0,Cash Dividends Paid,2636000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,175000000.0,Depreciation,91.25,GD,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,22063000000.0,1,0.0,0.0,9988000000.0,25027000000.0,12978000000.0,8733000000.0,2024,12,23.313882941156525,,0.15632028789923524,0.049632628579997,20.366715399610136,78.85141739980449,27.116324535679375,0.02661568451042135,,0.12723046933573248,0.15680028632784537,0.5,1.0,0.5,0.6547458389563653,20.366715399610136,78.85141739980449,27.116324535679375,0.02661568451042135,,0.33885017421602787,-0.19763082920977657,0.12723046933573248,,,0.1608187134502924,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
1242000000.0,Cash And Cash Equivalents,3294000000.0,Accounts Receivable,9816000000.0,Inventory,6461000000.0,Net PPE,3357000000.0,Accounts Payable,2349000000.0,Current Debt,7260000000.0,Long Term Debt,56580000000.0,Total Assets,34355000000.0,Total Liabilities Net Minority Interest,25117000000.0,Current Assets,18760000000.0,Current Liabilities,22225000000.0,Total Equity Gross Minority Interest,22225000000.0,Total Equity Gross Minority Interest,22225000000.0,Total Equity Gross Minority Interest,2025-03-31,Q,12223000000.0,Total Revenue,10330000000.0,Cost Of Revenue,625000000.0,Operating Expense,,,994000000.0,Net Income,206000000.0,Tax Provision,162000000.0,,0.0,Net Common Stock Issuance,3180000000.0,Issuance Of Debt+Issuance Of Debt,3000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,142000000.0,Capital Expenditure,383000000.0,Cash Dividends Paid,1200000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,162000000.0,Depreciation,91.25,GD,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,22225000000.0,1,0.0,0.0,10765000000.0,25002000000.0,13054000000.0,8335000000.0,2025,3,23.226585259741537,-0.08729768141498795,0.15487196269328318,0.0511331097112002,24.59113965474924,86.70958373668925,29.654041626331075,0.011617442526384684,0.02505025514148755,0.10161171561809704,0.16983032873807,0.5,1.0,0.5,0.6819111511085658,24.59113965474924,86.70958373668925,29.654041626331075,0.011617442526384684,0.02505025514148755,0.3853118712273642,-0.09817557064550438,0.10161171561809704,,,0.17166666666666666,0.8,0.0,1.0,0.25,0.0
1523000000.0,Cash And Cash Equivalents,3613000000.0,Accounts Receivable,9889000000.0,Inventory,6556000000.0,Net PPE,3078000000.0,Accounts Payable,1204000000.0,Current Debt,7508000000.0,Long Term Debt,56888000000.0,Total Assets,33308000000.0,Total Liabilities Net Minority Interest,25066000000.0,Current Assets,18379000000.0,Current Liabilities,23580000000.0,Total Equity Gross Minority Interest,23580000000.0,Total Equity Gross Minority Interest,23580000000.0,Total Equity Gross Minority Interest,2025-06-30,Q,13041000000.0,Total Revenue,11092000000.0,Cost Of Revenue,644000000.0,Operating Expense,,,1014000000.0,Net Income,218000000.0,Tax Provision,163000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Issuance Of Debt,3000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,198000000.0,Capital Expenditure,402000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,163000000.0,Depreciation,91.25,GD,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,23580000000.0,1,0.0,0.0,10041000000.0,25266000000.0,14097000000.0,7421000000.0,2025,6,23.291364077621175,0.06477881787963824,0.1494517291618741,0.04938271604938271,25.28074917567671,81.35334024522179,25.32162820050487,0.01518288474810214,0.025228292833926635,0.11678552258262404,0.15314301785965406,0.5,1.0,0.5,0.5690514531094242,25.28074917567671,81.35334024522179,25.32162820050487,0.01518288474810214,0.025228292833926635,0.39644970414201186,0.0,0.11678552258262404,,,0.17694805194805194,0.8,1.0,6.123233995736766e-17,0.25,0.0
2520000000.0,Cash And Cash Equivalents,3303000000.0,Accounts Receivable,9813000000.0,Inventory,6602000000.0,Net PPE,3459000000.0,Accounts Payable,1006000000.0,Current Debt,7008000000.0,Long Term Debt,57599000000.0,Total Assets,33165000000.0,Total Liabilities Net Minority Interest,25852000000.0,Current Assets,18464000000.0,Current Liabilities,24434000000.0,Total Equity Gross Minority Interest,24434000000.0,Total Equity Gross Minority Interest,24434000000.0,Total Equity Gross Minority Interest,2025-09-30,Q,12907000000.0,Total Revenue,10939000000.0,Cost Of Revenue,637000000.0,Operating Expense,,,1059000000.0,Net Income,213000000.0,Tax Provision,165000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,212000000.0,Capital Expenditure,403000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,165000000.0,Depreciation,91.25,GD,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,24434000000.0,1,0.0,0.0,10216000000.0,25145000000.0,13999000000.0,7693000000.0,2025,9,23.281035636799462,-0.010328440821712803,0.1524754009452235,0.0493530642287131,23.351572789958936,81.85723100831886,28.853985739098636,0.016425195630278142,0.025167785234899327,0.19524289145424964,0.1391343599715273,0.5,1.0,0.5,0.596033160300612,23.351572789958936,81.85723100831886,28.853985739098636,0.016425195630278142,0.025167785234899327,0.380547686496695,0.0,0.19524289145424964,,,0.16745283018867924,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
2333000000.0,Cash And Cash Equivalents,2406000000.0,Accounts Receivable,9232000000.0,Inventory,7525000000.0,Net PPE,2678000000.0,Accounts Payable,1006000000.0,Current Debt,7007000000.0,Long Term Debt,57249000000.0,Total Assets,31627000000.0,Total Liabilities Net Minority Interest,24248000000.0,Current Assets,16796000000.0,Current Liabilities,25622000000.0,Total Equity Gross Minority Interest,25622000000.0,Total Equity Gross Minority Interest,25622000000.0,Total Equity Gross Minority Interest,2025-12-31,Q,14379000000.0,Total Revenue,12238000000.0,Cost Of Revenue,689000000.0,Operating Expense,,,1143000000.0,Net Income,256000000.0,Tax Provision,190000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,609000000.0,Capital Expenditure,405000000.0,Cash Dividends Paid,74000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,190000000.0,Depreciation,91.25,GD,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,25622000000.0,1,0.0,0.0,10277000000.0,25476000000.0,13112000000.0,7824000000.0,2025,12,23.389034645792016,0.10799900899255377,0.14889769803185204,0.04791710132832603,15.268620905487168,68.83641117829711,19.96792776597483,0.04235343208846234,0.028779157830960314,0.16225050420752488,0.13996751034952576,0.5,1.0,0.5,0.5441268516586689,15.268620905487168,68.83641117829711,19.96792776597483,0.04235343208846234,0.028779157830960314,0.3543307086614173,-0.005146394046873913,0.16225050420752488,,,0.182987848463188,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
