C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
76000000.0,Restricted Cash,13079000000.0,Gross Accounts Receivable,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,GE,Industrials,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
15810000000.0,Cash And Cash Equivalents,14831000000.0,Accounts Receivable,14891000000.0,Inventory,12193000000.0,Net PPE,10033000000.0,Accounts Payable,3739000000.0,Current Debt,20320000000.0,Long Term Debt,188851000000.0,Total Assets,153939000000.0,Total Liabilities Net Minority Interest,58382000000.0,Current Assets,49428000000.0,Current Liabilities,34912000000.0,Total Equity Gross Minority Interest,34912000000.0,Total Equity Gross Minority Interest,1216000000.0,Minority Interest,2022-12-31,A,29139000000.0,Total Revenue,18987000000.0,Cost Of Revenue,6556000000.0,Operating Expense,1339000000.0,Interest Expense,336000000.0,Net Income,169000000.0,Tax Provision,846000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,44352000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,662000000.0,Capital Expenditure,639000000.0,Cash Dividends Paid,2384000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,846000000.0,Depreciation,365.0,GE,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,34912000000.0,1,0.0,0.0,12850000000.0,118276000000.0,35656000000.0,84191000000.0,2022,12,24.095343320034715,,0.34839905281581385,0.2249905624764062,185.77559284807302,286.25980934323485,192.87117501448358,0.022718693160369265,,0.542571810974982,0.1273967307559928,0.4409897388379835,1.0,0.5,1.0,185.77559284807302,286.25980934323485,192.87117501448358,0.022718693160369265,,1.0,-0.08181474999142044,0.5,,,0.3346534653465347,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
15204000000.0,Cash And Cash Equivalents,6397000000.0,Accounts Receivable,8284000000.0,Inventory,7247000000.0,Net PPE,5290000000.0,Accounts Payable,1108000000.0,Current Debt,19417000000.0,Long Term Debt,173300000000.0,Total Assets,144695000000.0,Total Liabilities Net Minority Interest,42556000000.0,Current Assets,32102000000.0,Current Liabilities,28605000000.0,Total Equity Gross Minority Interest,28605000000.0,Total Equity Gross Minority Interest,1202000000.0,Minority Interest,2023-12-31,A,35348000000.0,Total Revenue,22939000000.0,Cost Of Revenue,7692000000.0,Operating Expense,1029000000.0,Interest Expense,9482000000.0,Net Income,994000000.0,Tax Provision,797000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,13128000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,862000000.0,Capital Expenditure,589000000.0,Cash Dividends Paid,14056000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,797000000.0,Depreciation,365.0,GE,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,28605000000.0,1,0.0,0.0,12671000000.0,123497000000.0,25704000000.0,93176000000.0,2023,12,24.28850765060217,0.19316433056745552,0.35105239334615823,0.21760778544755008,66.05479800837388,131.8130694450499,84.17324207681241,0.024386103881407717,0.06536537357500205,0.4301233450265927,0.11843623773802654,0.3584644109992079,1.0,0.5,1.0,66.05479800837388,131.8130694450499,84.17324207681241,0.024386103881407717,0.06536537357500205,0.06211769668846235,-0.397646260043001,0.4301233450265927,0.04276985743380855,0.04276985743380855,0.09488354333715159,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,,,,,,,,,91.25,GE,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,2660000000.0,Selling And Marketing Expense+Selling And Marketing Expense,,,,,,,,,,,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,,,,,,,,,91.25,GE,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
13619000000.0,Cash And Cash Equivalents,7385000000.0,Accounts Receivable,9763000000.0,Inventory,7278000000.0,Net PPE,4565000000.0,Accounts Payable,2039000000.0,Current Debt,17234000000.0,Long Term Debt,123140000000.0,Total Assets,103575000000.0,Total Liabilities Net Minority Interest,37635000000.0,Current Assets,34392000000.0,Current Liabilities,19565000000.0,Total Equity Gross Minority Interest,19565000000.0,Total Equity Gross Minority Interest,223000000.0,Minority Interest,2024-12-31,Q,10811000000.0,Total Revenue,6762000000.0,Cost Of Revenue,1444000000.0,Operating Expense,224000000.0,Interest Expense,1899000000.0,Net Income,395000000.0,Tax Provision,209000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,220000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,267000000.0,Capital Expenditure,306000000.0,Cash Dividends Paid,3336000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,209000000.0,Depreciation,91.25,GE,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,19565000000.0,1,0.0,0.0,6868000000.0,78227000000.0,27788000000.0,51949000000.0,2024,12,23.103829971257046,,0.37452594579594856,0.1335676625659051,62.33292479881602,131.7470792664892,61.602521443359954,0.024697067801313477,,1.259735454629544,0.15651291213253207,0.5,1.0,0.5,1.0,62.33292479881602,131.7470792664892,61.602521443359954,0.024697067801313477,,0.16113744075829384,-0.308574599944501,0.5,,,0.17218831734960768,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
12405000000.0,Cash And Cash Equivalents,7493000000.0,Accounts Receivable,10504000000.0,Inventory,7426000000.0,Net PPE,6795000000.0,Accounts Payable,2084000000.0,Current Debt,17487000000.0,Long Term Debt,124123000000.0,Total Assets,104655000000.0,Total Liabilities Net Minority Interest,37577000000.0,Current Assets,34941000000.0,Current Liabilities,19468000000.0,Total Equity Gross Minority Interest,19468000000.0,Total Equity Gross Minority Interest,217000000.0,Minority Interest,2025-03-31,Q,9934000000.0,Total Revenue,5995000000.0,Cost Of Revenue,1936000000.0,Operating Expense,210000000.0,Interest Expense,1978000000.0,Net Income,283000000.0,Tax Provision,210000000.0,,0.0,Net Common Stock Issuance,,,224000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,208000000.0,Capital Expenditure,302000000.0,Cash Dividends Paid,3930000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,210000000.0,Depreciation,91.25,GE,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,19468000000.0,1,0.0,0.0,7175000000.0,79120000000.0,26062000000.0,52227000000.0,2025,3,23.01922905363157,-0.08460091762547606,0.39651701228105496,0.1948862492450171,68.82788906784779,159.8815679733111,103.4268140116764,0.020938192067646466,0.028854080791426217,1.2487416951882424,0.1576742424852767,0.5,1.0,0.5,1.0,68.82788906784779,159.8815679733111,103.4268140116764,0.020938192067646466,0.028854080791426217,0.15267947421638017,-0.3956110328165895,0.5,0.010896072225393037,0.010896072225393037,0.1251658558160106,0.8,0.0,1.0,0.25,0.0
10861000000.0,Cash And Cash Equivalents,8305000000.0,Accounts Receivable,11297000000.0,Inventory,7524000000.0,Net PPE,7315000000.0,Accounts Payable,1889000000.0,Current Debt,16998000000.0,Long Term Debt,125256000000.0,Total Assets,105911000000.0,Total Liabilities Net Minority Interest,37801000000.0,Current Assets,36466000000.0,Current Liabilities,19345000000.0,Total Equity Gross Minority Interest,19345000000.0,Total Equity Gross Minority Interest,210000000.0,Minority Interest,2025-06-30,Q,11022000000.0,Total Revenue,6846000000.0,Cost Of Revenue,2077000000.0,Operating Expense,158000000.0,Interest Expense,2028000000.0,Net Income,388000000.0,Tax Provision,218000000.0,,0.0,Net Common Stock Issuance,,,4788000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,327000000.0,Capital Expenditure,386000000.0,Cash Dividends Paid,3490000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,218000000.0,Depreciation,91.25,GE,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,19345000000.0,1,0.0,0.0,7338000000.0,79931000000.0,27262000000.0,52447000000.0,2025,6,23.123159112407453,0.1039300587758838,0.37887860642351656,0.18844129921974234,68.7562375249501,150.57716184633364,97.5012781186094,0.029667936853565596,0.029356315647724212,0.9853928506623117,0.15078718783930511,0.5,1.0,0.5,1.0,68.7562375249501,150.57716184633364,97.5012781186094,0.029667936853565596,0.029356315647724212,0.1903353057199211,-0.3166394483759753,0.5,0.008073169485463185,0.008073169485463185,0.1605960264900662,0.8,1.0,6.123233995736766e-17,0.25,0.0
12501000000.0,Cash And Cash Equivalents,8507000000.0,Accounts Receivable,11667000000.0,Inventory,7607000000.0,Net PPE,7399000000.0,Accounts Payable,2066000000.0,Current Debt,18772000000.0,Long Term Debt,128243000000.0,Total Assets,109222000000.0,Total Liabilities Net Minority Interest,40075000000.0,Current Assets,37201000000.0,Current Liabilities,19021000000.0,Total Equity Gross Minority Interest,19021000000.0,Total Equity Gross Minority Interest,209000000.0,Minority Interest,2025-09-30,Q,12181000000.0,Total Revenue,7762000000.0,Cost Of Revenue,2110000000.0,Operating Expense,225000000.0,Interest Expense,2157000000.0,Net Income,344000000.0,Tax Provision,215000000.0,,0.0,Net Common Stock Issuance,,,204000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,307000000.0,Capital Expenditure,383000000.0,Cash Dividends Paid,3688000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,215000000.0,Depreciation,91.25,GE,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,19021000000.0,1,0.0,0.0,7400000000.0,80561000000.0,27736000000.0,53249000000.0,2025,9,23.223143197664232,0.0999840852567786,0.3627780970363681,0.1732205894425745,63.727423856826206,137.15714377737697,86.98257536717341,0.025203185288564158,0.028575225943646997,1.026270421147689,0.16248840092636635,0.5,1.0,0.5,1.0,63.727423856826206,137.15714377737697,86.98257536717341,0.025203185288564158,0.028575225943646997,0.17756142790913307,-0.302766603727116,0.5,0.0119129560014825,0.0119129560014825,0.13754498200719711,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
12392000000.0,Cash And Cash Equivalents,9269000000.0,Accounts Receivable,11868000000.0,Inventory,7987000000.0,Net PPE,5734000000.0,Accounts Payable,1686000000.0,Current Debt,18809000000.0,Long Term Debt,130169000000.0,Total Assets,111271000000.0,Total Liabilities Net Minority Interest,40595000000.0,Current Assets,38981000000.0,Current Liabilities,18898000000.0,Total Equity Gross Minority Interest,18898000000.0,Total Equity Gross Minority Interest,221000000.0,Minority Interest,2025-12-31,Q,12717000000.0,Total Revenue,8363000000.0,Cost Of Revenue,2085000000.0,Operating Expense,250000000.0,Interest Expense,2541000000.0,Net Income,390000000.0,Tax Provision,220000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2028000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,431000000.0,Capital Expenditure,381000000.0,Cash Dividends Paid,3994000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,220000000.0,Depreciation,91.25,GE,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,18898000000.0,1,0.0,0.0,7066000000.0,81587000000.0,31561000000.0,53481000000.0,2025,12,23.26620551798502,0.04306232032078938,0.34237634662263117,0.16395376267987732,66.50910198946292,129.49360277412413,62.564570130336,0.03389164111032476,0.02892073090574471,0.9744436580954627,0.15744916224293035,0.5,1.0,0.5,1.0,66.50910198946292,129.49360277412413,62.564570130336,0.03389164111032476,0.02892073090574471,0.14994096812278632,-0.3140677832822206,0.5,0.011997312601977157,0.011997312601977157,0.1330603889457523,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
