C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,,,,,7000000.0,Short Term Debt Payments,,,,,,,,,365.0,GEHC,Health Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
1440000000.0,Cash And Cash Equivalents,3112000000.0,Accounts Receivable,2155000000.0,Inventory,2314000000.0,Net PPE,2944000000.0,Accounts Payable,15000000.0,Current Debt,8234000000.0,Long Term Debt,27539000000.0,Total Assets,17947000000.0,Total Liabilities Net Minority Interest,8318000000.0,Current Assets,7191000000.0,Current Liabilities,9592000000.0,Total Equity Gross Minority Interest,9592000000.0,Total Equity Gross Minority Interest,235000000.0,Minority Interest,2022-12-31,A,18341000000.0,Total Revenue,11162000000.0,Cost Of Revenue,4657000000.0,Operating Expense,86000000.0,Interest Expense,1916000000.0,Net Income,563000000.0,Tax Provision,228000000.0,,,,24594000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,12000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,310000000.0,Capital Expenditure,0.0,Cash Dividends Paid,,,228000000.0,Depreciation,365.0,GEHC,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,9592000000.0,1,0.0,0.0,1611000000.0,16907000000.0,4232000000.0,2522000000.0,2022,12,23.632404827915305,,0.39141813423477456,0.25391200043618123,61.93119241044654,70.46900197097294,96.26948575524099,0.01690202279046944,,0.07851262199443869,0.29953883583281893,0.08783599585627828,0.9218145139305381,0.23073987241698926,0.1375061337985933,61.93119241044654,70.46900197097294,96.26948575524099,0.01690202279046944,,0.0,,0.07851262199443869,,,0.22710770471964503,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
2494000000.0,Cash And Cash Equivalents,3339000000.0,Accounts Receivable,1960000000.0,Inventory,2500000000.0,Net PPE,2947000000.0,Accounts Payable,1006000000.0,Current Debt,8436000000.0,Long Term Debt,32454000000.0,Total Assets,25144000000.0,Total Liabilities Net Minority Interest,9410000000.0,Current Assets,8981000000.0,Current Liabilities,7310000000.0,Total Equity Gross Minority Interest,7310000000.0,Total Equity Gross Minority Interest,177000000.0,Minority Interest,2023-12-31,A,19552000000.0,Total Revenue,11630000000.0,Cost Of Revenue,5487000000.0,Operating Expense,542000000.0,Interest Expense,1568000000.0,Net Income,743000000.0,Tax Provision,248000000.0,,0.0,Net Common Stock Issuance,6018000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,3420000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,387000000.0,Capital Expenditure,41000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,248000000.0,Depreciation,365.0,GEHC,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,7310000000.0,1,0.0,0.0,1617000000.0,20544000000.0,5028000000.0,7727000000.0,2023,12,23.696343419935594,0.06393859202028906,0.4051759410801964,0.28063625204582654,62.333009410801964,61.51332760103181,92.4896818572657,0.019793371522094927,0.10717372515125324,0.12755728314238954,0.2909348616503359,0.08270253682487726,1.0,0.2571603927986907,0.39520253682487727,62.333009410801964,61.51332760103181,92.4896818572657,0.019793371522094927,0.10717372515125324,0.02614795918367347,0.0,0.12755728314238954,0.06570493393138563,0.06570493393138563,0.3215058416270013,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,GEHC,Health Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,0.0,Net Income Discontinuous Operations,,,,,,,,,,,,,,,,,,,91.25,GEHC,Health Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
2874000000.0,Cash And Cash Equivalents,3382000000.0,Accounts Receivable,1939000000.0,Inventory,2551000000.0,Net PPE,3035000000.0,Accounts Payable,1502000000.0,Current Debt,7449000000.0,Long Term Debt,33089000000.0,Total Assets,24437000000.0,Total Liabilities Net Minority Interest,9901000000.0,Current Assets,9553000000.0,Current Liabilities,8652000000.0,Total Equity Gross Minority Interest,8652000000.0,Total Equity Gross Minority Interest,206000000.0,Minority Interest,2024-12-31,A,19672000000.0,Total Revenue,11467000000.0,Cost Of Revenue,5580000000.0,Operating Expense,505000000.0,Interest Expense,1993000000.0,Net Income,531000000.0,Tax Provision,268000000.0,,0.0,Net Common Stock Issuance,2985000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,5672000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,401000000.0,Capital Expenditure,55000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,268000000.0,Depreciation,365.0,GEHC,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,8652000000.0,1,0.0,0.0,1706000000.0,20637000000.0,5016000000.0,7435000000.0,2024,12,23.702462141860302,,0.4170902806018707,0.28365189101260674,62.750610004066694,61.7192814162379,96.605476584983,0.02038430256201708,,0.14609597397315982,0.2705128592583638,0.08672224481496543,1.0,0.2549816998779992,0.3779483529890199,62.750610004066694,61.7192814162379,96.605476584983,0.02038430256201708,,0.027596588058203714,0.0,0.14609597397315982,,,0.21038034865293184,0.6,-1.0,-1.8369701987210297e-16,1.0,0.0
2454000000.0,Cash And Cash Equivalents,3379000000.0,Accounts Receivable,2158000000.0,Inventory,2851000000.0,Net PPE,3152000000.0,Accounts Payable,2002000000.0,Current Debt,6757000000.0,Long Term Debt,33586000000.0,Total Assets,24168000000.0,Total Liabilities Net Minority Interest,9735000000.0,Current Assets,9969000000.0,Current Liabilities,9418000000.0,Total Equity Gross Minority Interest,9418000000.0,Total Equity Gross Minority Interest,231000000.0,Minority Interest,2025-03-31,Q,4777000000.0,Total Revenue,2765000000.0,Cost Of Revenue,1384000000.0,Operating Expense,111000000.0,Interest Expense,564000000.0,Net Income,104000000.0,Tax Provision,66000000.0,,,,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1028000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,152000000.0,Capital Expenditure,16000000.0,Cash Dividends Paid,,,66000000.0,Depreciation,91.25,GEHC,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,9418000000.0,1,0.0,0.0,1744000000.0,21000000000.0,4815000000.0,7442000000.0,2025,3,22.287078571354236,-1.4153835705060658,0.4211848440443793,0.28972158258321123,64.54547833368223,71.21790235081374,104.02169981916818,0.03181913334728909,0.025872206977655823,0.5137115344358384,0.2607931876377062,0.3650826878794222,1.0,0.5,1.0,64.54547833368223,71.21790235081374,104.02169981916818,0.03181913334728909,0.025872206977655823,0.028368794326241134,,0.5,0.012400849067143336,0.012400849067143336,0.15568862275449102,0.8,0.0,1.0,0.25,0.0
3737000000.0,Cash And Cash Equivalents,3337000000.0,Accounts Receivable,2283000000.0,Inventory,2962000000.0,Net PPE,2975000000.0,Accounts Payable,2005000000.0,Current Debt,8270000000.0,Long Term Debt,35500000000.0,Total Assets,25547000000.0,Total Liabilities Net Minority Interest,11308000000.0,Current Assets,9748000000.0,Current Liabilities,9953000000.0,Total Equity Gross Minority Interest,9953000000.0,Total Equity Gross Minority Interest,241000000.0,Minority Interest,2025-06-30,Q,5006000000.0,Total Revenue,3023000000.0,Cost Of Revenue,1331000000.0,Operating Expense,113000000.0,Interest Expense,486000000.0,Net Income,113000000.0,Tax Provision,72000000.0,,,,4481000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,16000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,86000000.0,Capital Expenditure,16000000.0,Cash Dividends Paid,,,72000000.0,Depreciation,91.25,GEHC,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,9953000000.0,1,0.0,0.0,1951000000.0,21230000000.0,4768000000.0,7529000000.0,2025,6,22.333903029955994,0.04682445860175832,0.3961246504194966,0.26588094286855773,60.8272572912505,68.9129176314919,89.80110817069136,0.017179384738314023,0.02525429673798667,0.7465041949660407,0.28943661971830986,0.38973232121454254,1.0,0.5,1.0,60.8272572912505,68.9129176314919,89.80110817069136,0.017179384738314023,0.02525429673798667,0.03292181069958848,,0.5,0.012901016097728051,0.012901016097728051,0.18864774624373956,0.8,1.0,6.123233995736766e-17,0.25,0.0
4005000000.0,Cash And Cash Equivalents,3474000000.0,Accounts Receivable,2304000000.0,Inventory,3010000000.0,Net PPE,2987000000.0,Accounts Payable,2005000000.0,Current Debt,8277000000.0,Long Term Debt,36127000000.0,Total Assets,25907000000.0,Total Liabilities Net Minority Interest,11893000000.0,Current Assets,10073000000.0,Current Liabilities,10220000000.0,Total Equity Gross Minority Interest,10220000000.0,Total Equity Gross Minority Interest,227000000.0,Minority Interest,2025-09-30,Q,5144000000.0,Total Revenue,3154000000.0,Cost Of Revenue,1337000000.0,Operating Expense,111000000.0,Interest Expense,446000000.0,Net Income,179000000.0,Tax Provision,75000000.0,,0.0,Net Common Stock Issuance,1000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,16000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,110000000.0,Capital Expenditure,16000000.0,Cash Dividends Paid,200000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,75000000.0,Depreciation,91.25,GEHC,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,10220000000.0,1,0.0,0.0,2110000000.0,21224000000.0,5081000000.0,7557000000.0,2025,9,22.36109682388173,0.027193793925736287,0.3868584758942457,0.2599144634525661,61.62568040435459,66.6582117945466,86.4184369055168,0.021384136858475893,0.025320729237002026,0.7785769828926905,0.28460708057685385,0.41018662519440124,1.0,0.5,1.0,61.62568040435459,66.6582117945466,86.4184369055168,0.021384136858475893,0.025320729237002026,0.03587443946188341,-0.038880248833592534,0.5,0.010802919708029197,0.010802919708029197,0.2864,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
4492000000.0,Cash And Cash Equivalents,3719000000.0,Accounts Receivable,2234000000.0,Inventory,3091000000.0,Net PPE,3250000000.0,Accounts Payable,508000000.0,Current Debt,9495000000.0,Long Term Debt,36906000000.0,Total Assets,26307000000.0,Total Liabilities Net Minority Interest,12501000000.0,Current Assets,9105000000.0,Current Liabilities,10599000000.0,Total Equity Gross Minority Interest,10599000000.0,Total Equity Gross Minority Interest,220000000.0,Minority Interest,2025-12-31,A,20625000000.0,Total Revenue,12378000000.0,Cost Of Revenue,5485000000.0,Operating Expense,440000000.0,Interest Expense,2084000000.0,Net Income,614000000.0,Tax Provision,287000000.0,,0.0,Net Common Stock Issuance,8202000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,7068000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,482000000.0,Capital Expenditure,64000000.0,Cash Dividends Paid,400000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,287000000.0,Depreciation,365.0,GEHC,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,10599000000.0,1,0.0,0.0,2056000000.0,21314000000.0,5347000000.0,7707000000.0,2025,12,23.749769769167155,1.3886729452854247,0.39985454545454546,0.2659393939393939,65.8150303030303,65.87574729358539,95.8353530457263,0.02336969696969697,0.09534883720930233,0.2177939393939394,0.271039939305262,0.09968484848484849,1.0,0.25924848484848484,0.37367272727272727,65.8150303030303,65.87574729358539,95.8353530457263,0.02336969696969697,0.09534883720930233,0.030710172744721688,-0.019393939393939394,0.2177939393939394,0.04279323088893212,0.04279323088893212,0.22757598220904374,0.8,-1.0,-1.8369701987210297e-16,1.0,0.0
