C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,172000000.0,Interest Expense,,,,,,,,,,,,,,,,,,,,,365.0,GEV,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
2067000000.0,Cash And Cash Equivalents,6500000000.0,Accounts Receivable,6746000000.0,Inventory,5105000000.0,Net PPE,4234000000.0,Accounts Payable,121000000.0,Current Debt,360000000.0,Long Term Debt,44471000000.0,Total Assets,32864000000.0,Total Liabilities Net Minority Interest,25901000000.0,Current Assets,26042000000.0,Current Liabilities,11607000000.0,Total Equity Gross Minority Interest,11607000000.0,Total Equity Gross Minority Interest,957000000.0,Minority Interest,2022-12-31,A,29654000000.0,Total Revenue,26196000000.0,Cost Of Revenue,6339000000.0,Operating Expense,151000000.0,Interest Expense,-2736000000.0,Net Income,248000000.0,Tax Provision,779000000.0,,,,,,,,513000000.0,Capital Expenditure,,,,,779000000.0,Depreciation,365.0,GEV,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,11607000000.0,1,0.0,0.0,10588000000.0,13465000000.0,21687000000.0,6462000000.0,2022,12,24.112862860542247,,0.1166115869697174,0.21376542793552303,80.0060700074189,93.9948847152237,58.99412123988395,0.017299521143859176,,0.06970391852701154,0.010816037417642959,0.35705132528495315,0.4540702771970055,0.5,0.21791326633843663,80.0060700074189,93.9948847152237,58.99412123988395,0.017299521143859176,,0.0,,0.06970391852701154,,,0.0,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
1551000000.0,Cash And Cash Equivalents,5952000000.0,Accounts Receivable,7199000000.0,Inventory,5228000000.0,Net PPE,4701000000.0,Accounts Payable,145000000.0,Current Debt,294000000.0,Long Term Debt,46121000000.0,Total Assets,37741000000.0,Total Liabilities Net Minority Interest,27428000000.0,Current Assets,29306000000.0,Current Liabilities,8380000000.0,Total Equity Gross Minority Interest,8380000000.0,Total Equity Gross Minority Interest,964000000.0,Minority Interest,2023-12-31,A,33239000000.0,Total Revenue,28421000000.0,Cost Of Revenue,5741000000.0,Operating Expense,98000000.0,Interest Expense,-438000000.0,Net Income,344000000.0,Tax Provision,724000000.0,,0.0,Net Common Stock Issuance,,,,,744000000.0,Capital Expenditure,0.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,724000000.0,Depreciation,365.0,GEV,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,8380000000.0,1,0.0,0.0,12726000000.0,13465000000.0,24460000000.0,8141000000.0,2023,12,24.226989722245257,0.11412686170301001,0.14495020909172962,0.17271879418755076,65.35936700863444,92.45399528517646,60.37313957988811,0.022383344865970697,0.14182174338883446,0.04666205361172117,0.009518440623577113,0.3828635037155149,0.4050964228767412,0.5,0.2449231324648756,65.35936700863444,92.45399528517646,60.37313957988811,0.022383344865970697,0.14182174338883446,0.0,0.0,0.04666205361172117,0.20374220374220375,0.20374220374220375,0.0,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,0.0,Net Common Stock Issuance,,,,,,,0.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,91.25,GEV,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,GEV,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
8205000000.0,Cash And Cash Equivalents,6312000000.0,Accounts Receivable,7818000000.0,Inventory,5150000000.0,Net PPE,4966000000.0,Accounts Payable,60000000.0,Current Debt,258000000.0,Long Term Debt,51485000000.0,Total Assets,40892000000.0,Total Liabilities Net Minority Interest,34153000000.0,Current Assets,31685000000.0,Current Liabilities,10593000000.0,Total Equity Gross Minority Interest,10593000000.0,Total Equity Gross Minority Interest,1047000000.0,Minority Interest,2024-12-31,Q,10558000000.0,Total Revenue,8435000000.0,Cost Of Revenue,1531000000.0,Operating Expense,,,484000000.0,Net Income,629000000.0,Tax Provision,180000000.0,,,,,,,,350000000.0,Capital Expenditure,,,,,180000000.0,Depreciation,91.25,GEV,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,10593000000.0,1,0.0,0.0,11818000000.0,12182000000.0,26659000000.0,8949000000.0,2024,12,23.080149703347836,,0.20107974995264255,0.1450085243417314,54.552945633642736,84.57528156490812,53.72228808535863,0.03315021784428869,,0.7771358211782534,0.006176556278527727,0.5,1.0,0.5,0.8476037128243986,54.552945633642736,84.57528156490812,53.72228808535863,0.03315021784428869,,,,0.5,,,0.5,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
8107000000.0,Cash And Cash Equivalents,5393000000.0,Accounts Receivable,8505000000.0,Inventory,5226000000.0,Net PPE,5205000000.0,Accounts Payable,,,,,51559000000.0,Total Assets,41887000000.0,Total Liabilities Net Minority Interest,33936000000.0,Current Assets,32677000000.0,Current Liabilities,9672000000.0,Total Equity Gross Minority Interest,9672000000.0,Total Equity Gross Minority Interest,1065000000.0,Minority Interest,2025-03-31,Q,8032000000.0,Total Revenue,6562000000.0,Cost Of Revenue,1427000000.0,Operating Expense,,,254000000.0,Net Income,68000000.0,Tax Provision,149000000.0,,0.0,Net Common Stock Issuance,,,,,186000000.0,Capital Expenditure,69000000.0,Cash Dividends Paid,2202000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,149000000.0,Depreciation,91.25,GEV,Industrials,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,9672000000.0,1,0.0,0.0,11931000000.0,12397000000.0,,,2025,3,22.806699399895784,-0.27345030345205146,0.1830179282868526,0.17766434262948208,61.26883092629482,118.26901097226455,72.37980036574216,0.023157370517928287,0.028932038834951455,1.0093376494023905,0.0,0.5,1.0,,,61.26883092629482,118.26901097226455,72.37980036574216,0.023157370517928287,0.028932038834951455,0.27165354330708663,-0.27415338645418325,0.5,,,0.2111801242236025,0.8,0.0,1.0,0.25,0.0
7892000000.0,Cash And Cash Equivalents,5381000000.0,Accounts Receivable,9038000000.0,Inventory,5418000000.0,Net PPE,5751000000.0,Accounts Payable,,,,,53078000000.0,Total Assets,43131000000.0,Total Liabilities Net Minority Interest,34709000000.0,Current Assets,33761000000.0,Current Liabilities,9947000000.0,Total Equity Gross Minority Interest,9947000000.0,Total Equity Gross Minority Interest,1070000000.0,Minority Interest,2025-06-30,Q,9111000000.0,Total Revenue,7265000000.0,Cost Of Revenue,1467000000.0,Operating Expense,,,514000000.0,Net Income,153000000.0,Tax Provision,145000000.0,,0.0,Net Common Stock Issuance,,,,,173000000.0,Capital Expenditure,70000000.0,Cash Dividends Paid,960000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,145000000.0,Depreciation,91.25,GEV,Industrials,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,9947000000.0,1,0.0,0.0,12398000000.0,12951000000.0,,,2025,6,22.932748311678132,0.12604891178234823,0.20261222697837777,0.16101415870925256,53.89268466688618,113.51927047487956,72.23382656572609,0.018988036439468774,0.02774588595484118,0.8662056854351883,0.0,0.5,1.0,,,53.89268466688618,113.51927047487956,72.23382656572609,0.018988036439468774,0.02774588595484118,0.13618677042801555,-0.10536713862364175,0.5,,,0.22938530734632684,0.8,1.0,6.123233995736766e-17,0.25,0.0
7945000000.0,Cash And Cash Equivalents,5661000000.0,Accounts Receivable,9221000000.0,Inventory,5554000000.0,Net PPE,5887000000.0,Accounts Payable,,,,,54398000000.0,Total Assets,44669000000.0,Total Liabilities Net Minority Interest,36278000000.0,Current Assets,35272000000.0,Current Liabilities,9729000000.0,Total Equity Gross Minority Interest,9729000000.0,Total Equity Gross Minority Interest,1083000000.0,Minority Interest,2025-09-30,Q,9969000000.0,Total Revenue,8071000000.0,Cost Of Revenue,1531000000.0,Operating Expense,,,452000000.0,Net Income,293000000.0,Tax Provision,152000000.0,,0.0,Net Common Stock Issuance,,,,,247000000.0,Capital Expenditure,68000000.0,Cash Dividends Paid,1320000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,152000000.0,Depreciation,91.25,GEV,Industrials,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,9729000000.0,1,0.0,0.0,13451000000.0,12566000000.0,,,2025,9,23.02274611498698,0.08999780330884732,0.1903902096499147,0.15357608586618518,51.817258501354196,104.25179655556933,66.55789245446661,0.02477680810512589,0.028054632705795498,0.7969706088875514,0.0,0.5,1.0,,,51.817258501354196,104.25179655556933,66.55789245446661,0.02477680810512589,0.028054632705795498,0.1504424778761062,-0.13241047246464038,0.5,,,0.3932885906040268,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
8848000000.0,Cash And Cash Equivalents,7866000000.0,Accounts Receivable,9644000000.0,Inventory,6006000000.0,Net PPE,5721000000.0,Accounts Payable,63000000.0,Current Debt,265000000.0,Long Term Debt,63016000000.0,Total Assets,50720000000.0,Total Liabilities Net Minority Interest,40216000000.0,Current Assets,40972000000.0,Current Liabilities,12296000000.0,Total Equity Gross Minority Interest,12296000000.0,Total Equity Gross Minority Interest,1118000000.0,Minority Interest,2025-12-31,Q,10956000000.0,Total Revenue,8634000000.0,Cost Of Revenue,1720000000.0,Operating Expense,,,3664000000.0,Net Income,-2565000000.0,Tax Provision,169000000.0,,0.0,Net Common Stock Issuance,,,,,671000000.0,Capital Expenditure,68000000.0,Cash Dividends Paid,2150000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,169000000.0,Depreciation,91.25,GEV,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,12296000000.0,1,0.0,0.0,13858000000.0,16794000000.0,35188000000.0,9483000000.0,2025,12,23.117153088347244,0.0944069733602646,0.21193866374589265,0.1569916027747353,65.51410186199342,101.924368774612,60.463429464906184,0.06124497991967871,0.030428519985595967,0.8075940124132895,0.005205027294655325,0.5,1.0,0.5,0.865553121577218,65.51410186199342,101.924368774612,60.463429464906184,0.06124497991967871,0.030428519985595967,0.018558951965065504,-0.19623950346841912,0.5,,,0.5,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
