C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,,,,,,,579000000.0,Capital Expenditure Reported,,,,,,,365.0,GILD,Health Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
5412000000.0,Cash And Cash Equivalents,4777000000.0,Accounts Receivable,1507000000.0,Inventory,5475000000.0,Net PPE,905000000.0,Accounts Payable,2273000000.0,Current Debt,22957000000.0,Long Term Debt,63171000000.0,Total Assets,41962000000.0,Total Liabilities Net Minority Interest,14443000000.0,Current Assets,11238000000.0,Current Liabilities,21209000000.0,Total Equity Gross Minority Interest,21209000000.0,Total Equity Gross Minority Interest,-31000000.0,Minority Interest,2022-12-31,A,27281000000.0,Total Revenue,5657000000.0,Cost Of Revenue,10650000000.0,Operating Expense,935000000.0,Interest Expense,4592000000.0,Net Income,1248000000.0,Tax Provision,323000000.0,,149000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,6000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,728000000.0,Capital Expenditure,3709000000.0,Cash Dividends Paid,2792000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,323000000.0,Depreciation,365.0,GILD,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,21209000000.0,1,0.0,0.0,2747000000.0,43253000000.0,8060000000.0,7767000000.0,2022,12,24.02945632614132,,0.7926395659983139,0.39038158425277664,63.91279645174297,97.2343998585823,58.39225738023688,0.02668523881089403,,0.19837982478648145,0.39939212613382724,0.10069278985374436,1.0,0.29544371540632675,0.28470363989589825,63.91279645174297,97.2343998585823,58.39225738023688,0.02668523881089403,,0.8077090592334495,-0.0968806128807595,0.19837982478648145,,,0.2136986301369863,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
6085000000.0,Cash And Cash Equivalents,4660000000.0,Accounts Receivable,1787000000.0,Inventory,5317000000.0,Net PPE,550000000.0,Accounts Payable,1798000000.0,Current Debt,23189000000.0,Long Term Debt,62125000000.0,Total Assets,39376000000.0,Total Liabilities Net Minority Interest,16085000000.0,Current Assets,11280000000.0,Current Liabilities,22749000000.0,Total Equity Gross Minority Interest,22749000000.0,Total Equity Gross Minority Interest,-84000000.0,Minority Interest,2023-12-31,A,27116000000.0,Total Revenue,6498000000.0,Cost Of Revenue,11780000000.0,Operating Expense,944000000.0,Interest Expense,5665000000.0,Net Income,1247000000.0,Tax Provision,354000000.0,,160000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,5940000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,9000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,585000000.0,Capital Expenditure,3809000000.0,Cash Dividends Paid,2000000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,354000000.0,Depreciation,365.0,GILD,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,22749000000.0,1,0.0,0.0,3553000000.0,40723000000.0,8932000000.0,4907000000.0,2023,12,24.02338979651513,-0.006066529626192363,0.7603628853813247,0.43442985691104885,62.726803363327925,100.37780855647891,30.894121268082486,0.021573978462900132,0.06465753424657535,0.22440625460982447,0.40220523138833,0.1310296503909131,1.0,0.3293996164626051,0.18096326891871958,62.726803363327925,100.37780855647891,30.894121268082486,0.021573978462900132,0.06465753424657535,0.6723742277140335,-0.06785661602006196,0.22440625460982447,0.037415774871185095,0.037415774871185095,0.18041087962962962,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,,,130000000.0,Capital Expenditure Reported,,,,,,,91.25,GILD,Health Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,1433000000.0,General And Administrative Expense+Selling And Marketing Expense,,,,,,,,,,,,,,,141000000.0,Capital Expenditure Reported,,,,,,,91.25,GILD,Health Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
9991000000.0,Cash And Cash Equivalents,4420000000.0,Accounts Receivable,1710000000.0,Inventory,5414000000.0,Net PPE,833000000.0,Accounts Payable,1815000000.0,Current Debt,24896000000.0,Long Term Debt,58995000000.0,Total Assets,39749000000.0,Total Liabilities Net Minority Interest,19173000000.0,Current Assets,12004000000.0,Current Liabilities,19246000000.0,Total Equity Gross Minority Interest,19246000000.0,Total Equity Gross Minority Interest,-84000000.0,Minority Interest,2024-12-31,Q,7569000000.0,Total Revenue,1581000000.0,Cost Of Revenue,3548000000.0,Operating Expense,249000000.0,Interest Expense,1783000000.0,Net Income,385000000.0,Tax Provision,95000000.0,,515000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,10392000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,28000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,147000000.0,Capital Expenditure,973000000.0,Cash Dividends Paid,700000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,95000000.0,Depreciation,91.25,GILD,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,19246000000.0,1,0.0,0.0,3052000000.0,34408000000.0,9356000000.0,2849000000.0,2024,12,22.74732679527344,,0.7911216805390409,0.46875412868278504,53.28643149689523,98.69544592030361,48.07795698924731,0.019421323820848196,,1.3199894305720703,0.4527671836596322,0.4032236755185626,1.0,0.5,0.37640375214691507,53.28643149689523,98.69544592030361,48.07795698924731,0.019421323820848196,,0.5457094784071789,-0.024441802087462015,0.5,,,0.1775830258302583,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
7926000000.0,Cash And Cash Equivalents,4388000000.0,Accounts Receivable,1759000000.0,Inventory,5421000000.0,Net PPE,737000000.0,Accounts Payable,2806000000.0,Current Debt,22146000000.0,Long Term Debt,56434000000.0,Total Assets,37356000000.0,Total Liabilities Net Minority Interest,16901000000.0,Current Assets,12343000000.0,Current Liabilities,19078000000.0,Total Equity Gross Minority Interest,19078000000.0,Total Equity Gross Minority Interest,-84000000.0,Minority Interest,2025-03-31,Q,6667000000.0,Total Revenue,1540000000.0,Cost Of Revenue,2637000000.0,Operating Expense,260000000.0,Interest Expense,1315000000.0,Net Income,334000000.0,Tax Provision,97000000.0,,530000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,7048000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,104000000.0,Capital Expenditure,1010000000.0,Cash Dividends Paid,1460000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,97000000.0,Depreciation,91.25,GILD,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,19078000000.0,1,0.0,0.0,2828000000.0,34112000000.0,8800000000.0,2867000000.0,2025,3,22.620435820582333,-0.12689097469110777,0.7690115494225289,0.39553022348882555,60.05774711264437,104.22646103896103,43.669642857142854,0.01559922003899805,0.01791651274473587,1.1888405579721013,0.44214480632242975,0.424178791060447,1.0,0.5,0.43002849857507125,60.05774711264437,104.22646103896103,43.669642857142854,0.01559922003899805,0.01791651274473587,0.7680608365019012,-0.13949302534873256,0.5,0.009733817528359104,0.009733817528359104,0.2025469981807156,0.8,0.0,1.0,0.25,0.0
5144000000.0,Cash And Cash Equivalents,4781000000.0,Accounts Receivable,1825000000.0,Inventory,5459000000.0,Net PPE,582000000.0,Accounts Payable,2806000000.0,Current Debt,22140000000.0,Long Term Debt,55721000000.0,Total Assets,36130000000.0,Total Liabilities Net Minority Interest,14718000000.0,Current Assets,11189000000.0,Current Liabilities,19591000000.0,Total Equity Gross Minority Interest,19591000000.0,Total Equity Gross Minority Interest,-84000000.0,Minority Interest,2025-06-30,Q,7081000000.0,Total Revenue,1501000000.0,Cost Of Revenue,2856000000.0,Operating Expense,254000000.0,Interest Expense,1960000000.0,Net Income,468000000.0,Tax Provision,93000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,36000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,107000000.0,Capital Expenditure,994000000.0,Cash Dividends Paid,1054000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,93000000.0,Depreciation,91.25,GILD,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,19591000000.0,1,0.0,0.0,2968000000.0,35544000000.0,7801000000.0,2801000000.0,2025,6,22.68068097761605,0.06024515703371591,0.7880242903544697,0.40333286259002965,61.61082474226804,110.94686875416389,35.38141239173884,0.015110860048015817,0.01715550636413946,0.7264510662335828,0.4476947649898602,0.4191498375935602,1.0,0.5,0.3955655980793673,61.61082474226804,110.94686875416389,35.38141239173884,0.015110860048015817,0.01715550636413946,0.5071428571428571,-0.14884903262251095,0.5,0.010179544725873678,0.010179544725873678,0.1927512355848435,0.8,1.0,6.123233995736766e-17,0.25,0.0
7330000000.0,Cash And Cash Equivalents,5095000000.0,Accounts Receivable,1785000000.0,Inventory,5500000000.0,Net PPE,808000000.0,Accounts Payable,2806000000.0,Current Debt,22135000000.0,Long Term Debt,58533000000.0,Total Assets,37077000000.0,Total Liabilities Net Minority Interest,17874000000.0,Current Assets,12297000000.0,Current Liabilities,21456000000.0,Total Equity Gross Minority Interest,21456000000.0,Total Equity Gross Minority Interest,-84000000.0,Minority Interest,2025-09-30,Q,7769000000.0,Total Revenue,1569000000.0,Cost Of Revenue,2703000000.0,Operating Expense,256000000.0,Interest Expense,3052000000.0,Net Income,589000000.0,Tax Provision,90000000.0,,50000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,36000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,147000000.0,Capital Expenditure,1005000000.0,Cash Dividends Paid,870000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,90000000.0,Depreciation,91.25,GILD,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,21456000000.0,1,0.0,0.0,3664000000.0,35159000000.0,8683000000.0,2645000000.0,2025,9,22.773407292914694,0.09272631529864483,0.7980435062427597,0.3479212253829322,59.84280473677436,103.81214149139579,46.99171446781389,0.01892135409962672,0.01648653599560359,0.9434933710902303,0.426101515384484,0.4716179688505599,1.0,0.5,0.3404556570987257,59.84280473677436,103.81214149139579,46.99171446781389,0.01892135409962672,0.01648653599560359,0.32929226736566186,-0.10554768953533274,0.5,0.010262166279162993,0.010262166279162993,0.16176874485031584,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
7564000000.0,Cash And Cash Equivalents,4913000000.0,Accounts Receivable,1774000000.0,Inventory,5606000000.0,Net PPE,715000000.0,Accounts Payable,2807000000.0,Current Debt,22129000000.0,Long Term Debt,59023000000.0,Total Assets,36405000000.0,Total Liabilities Net Minority Interest,18342000000.0,Current Assets,11813000000.0,Current Liabilities,22618000000.0,Total Equity Gross Minority Interest,22618000000.0,Total Equity Gross Minority Interest,-84000000.0,Minority Interest,2025-12-31,Q,7924000000.0,Total Revenue,1624000000.0,Cost Of Revenue,3312000000.0,Operating Expense,255000000.0,Interest Expense,2183000000.0,Net Income,-105000000.0,Tax Provision,90000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,32000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,205000000.0,Capital Expenditure,994000000.0,Cash Dividends Paid,460000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,90000000.0,Depreciation,91.25,GILD,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,22618000000.0,1,0.0,0.0,4091000000.0,35075000000.0,8291000000.0,2463000000.0,2025,12,22.793161965782716,0.019754672868021572,0.7950530035335689,0.41797072185764766,56.576381877839474,99.67826354679804,40.17472290640394,0.025870772337203432,0.016363636363636365,0.9545683997980817,0.42247937244802874,0.5,1.0,0.5,0.3108278647147905,56.576381877839474,99.67826354679804,40.17472290640394,0.025870772337203432,0.016363636363636365,0.45533669262482823,-0.05805148914689551,0.5,0.010224128944308568,0.010224128944308568,0.05052935514918191,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
