C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,0.0,Net Income Discontinuous Operations,,,,,,,,,,,,,,,,,,,365.0,GL,Financials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
92559000.0,Cash And Cash Equivalents,589171000.0,Receivables,,,212000000.0,Net PPE,509356000.0,Accounts Payable,449103000.0,Current Debt,1627952000.0,Long Term Debt,25986797000.0,Total Assets,22037220000.0,Total Liabilities Net Minority Interest,,,,,3949577000.0,Total Equity Gross Minority Interest,3949577000.0,Total Equity Gross Minority Interest,3949577000.0,Total Equity Gross Minority Interest,2022-12-31,A,5226740000.0,Total Revenue,,,16467000.0,Other Operating Expenses,90395000.0,Interest Expense,894386000.0,Net Income,207725000.0,Tax Provision,,,78322000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,751476000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,738867000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,27929000.0,Capital Expenditure,80547000.0,Cash Dividends Paid,909276000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,365.0,GL,Financials,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,3949577000.0,1,0.0,0.0,,,,,2022,12,22.37705359371438,,,0.0031505297757301876,41.143698557800846,,,0.005343483701121541,,0.017708743882420018,0.0799273184763786,,,,,41.143698557800846,,,0.005343483701121541,,0.09005843114717807,-0.158981315313178,0.017708743882420018,,,0.18847920037092453,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
103156000.0,Cash And Cash Equivalents,630223000.0,Receivables,,,240000000.0,Net PPE,514875000.0,Accounts Payable,486113000.0,Current Debt,1629559000.0,Long Term Debt,28051499000.0,Total Assets,23564696000.0,Total Liabilities Net Minority Interest,,,,,4486803000.0,Total Equity Gross Minority Interest,4486803000.0,Total Equity Gross Minority Interest,4486803000.0,Total Equity Gross Minority Interest,2023-12-31,A,5447533000.0,Total Revenue,,,15036000.0,Other Operating Expenses,102316000.0,Interest Expense,970755000.0,Net Income,223511000.0,Tax Provision,,,59300000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,575922000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,662448000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,49553000.0,Capital Expenditure,84116000.0,Cash Dividends Paid,1022200000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,365.0,GL,Financials,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,4486803000.0,1,0.0,0.0,,,,,2023,12,22.41842868258939,0.041375088875010846,,0.0027601484929049534,42.22670977853645,,,0.009096411164466557,,0.018936278128099452,0.07542099621841956,,,,,42.22670977853645,,,0.009096411164466557,,0.08665008163748834,-0.17675891086846102,0.018936278128099452,0.04926013032875875,0.04926013032875875,0.18715344822677696,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,0.0,Long Term Debt Issuance,,,,,,,,,,,91.25,GL,Financials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,547000000.0,Long Term Debt Issuance,0.0,Long Term Debt Payments+Long Term Debt Payments,,,,,,,,,91.25,GL,Financials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
165325000.0,Cash And Cash Equivalents,691907000.0,Receivables,,,285000000.0,Net PPE,532832000.0,Accounts Payable,415401000.0,Current Debt,2324251000.0,Long Term Debt,29076181000.0,Total Assets,23770661000.0,Total Liabilities Net Minority Interest,,,,,5305520000.0,Total Equity Gross Minority Interest,5305520000.0,Total Equity Gross Minority Interest,5305520000.0,Total Equity Gross Minority Interest,2024-12-31,Q,1466277000.0,Total Revenue,,,3250000.0,Other Operating Expenses,35698000.0,Interest Expense,255196000.0,Net Income,57237000.0,Tax Provision,,,33014000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,81072000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,213159000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,14998000.0,Capital Expenditure,20193000.0,Cash Dividends Paid,103322000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,91.25,GL,Financials,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,5305520000.0,1,0.0,0.0,,,,,2024,12,21.105992372084668,,,0.0022164979741208517,43.0590630215164,,,0.01022862665103524,,0.11275154694508609,0.09422324066561562,,,,,43.0590630215164,,,0.01022862665103524,,0.07912741579021615,-0.047950012173688876,0.11275154694508609,,,0.1831976775820736,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
232270000.0,Cash And Cash Equivalents,691523000.0,Receivables,,,,,546670000.0,Accounts Payable,476891000.0,Current Debt,2324945000.0,Long Term Debt,29705259000.0,Total Assets,24279843000.0,Total Liabilities Net Minority Interest,,,,,5425416000.0,Total Equity Gross Minority Interest,5425416000.0,Total Equity Gross Minority Interest,5425416000.0,Total Equity Gross Minority Interest,2025-03-31,Q,1480422000.0,Total Revenue,,,3050000.0,Other Operating Expenses,34992000.0,Interest Expense,254563000.0,Net Income,61518000.0,Tax Provision,,,142426000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,578940000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,578940000.0,Repayment Of Debt+Repayment Of Debt+Short Term Debt Payments,11746000.0,Capital Expenditure,20146000.0,Cash Dividends Paid,529088000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,91.25,GL,Financials,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,5425416000.0,1,0.0,0.0,,,,,2025,3,21.115593019214273,0.009600647129605733,,0.002060223368742156,42.623977318629414,,,0.007934224160408315,,0.15689445306811167,0.09432121093440053,,,,,42.623977318629414,,,0.007934224160408315,,0.07913954502421798,-0.2611836354769113,0.15689445306811167,0.012772425110926498,0.012772425110926498,0.1946273265397161,0.8,0.0,1.0,0.25,0.0
239122000.0,Cash And Cash Equivalents,690705000.0,Receivables,,,,,532179000.0,Accounts Payable,464540000.0,Current Debt,2325642000.0,Long Term Debt,29809348000.0,Total Assets,24390318000.0,Total Liabilities Net Minority Interest,,,,,5419030000.0,Total Equity Gross Minority Interest,5419030000.0,Total Equity Gross Minority Interest,5419030000.0,Total Equity Gross Minority Interest,2025-06-30,Q,1481287000.0,Total Revenue,,,108293000.0,Other Operating Expenses,34885000.0,Interest Expense,252749000.0,Net Income,60550000.0,Tax Provision,,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,407262000.0,Issuance Of Debt+Issuance Of Debt,647946000.0,Repayment Of Debt+Repayment Of Debt+Short Term Debt Payments,12941000.0,Capital Expenditure,22378000.0,Cash Dividends Paid,500622000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,91.25,GL,Financials,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,5419030000.0,1,0.0,0.0,,,,,2025,6,21.1161771414387,0.0005841222244278299,,0.07310737217028165,42.548696673905866,,,0.008736321860652258,,0.1614285415317896,0.0936009066686061,,,,,42.548696673905866,,,0.008736321860652258,,0.08853843140823504,-0.33796421625248857,0.1614285415317896,0.012450764427325511,0.012450764427325511,0.19326585785463726,0.8,1.0,6.123233995736766e-17,0.25,0.0
302716000.0,Cash And Cash Equivalents,729160000.0,Receivables,,,,,529911000.0,Accounts Payable,394349000.0,Current Debt,2320013000.0,Long Term Debt,30527616000.0,Total Assets,24838528000.0,Total Liabilities Net Minority Interest,,,,,5689088000.0,Total Equity Gross Minority Interest,5689088000.0,Total Equity Gross Minority Interest,5689088000.0,Total Equity Gross Minority Interest,2025-09-30,Q,1512988000.0,Total Revenue,,,111562000.0,Other Operating Expenses,36134000.0,Interest Expense,387843000.0,Net Income,89259000.0,Tax Provision,,,87026000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,101618000.0,Issuance Of Debt+Issuance Of Debt,363000000.0,Repayment Of Debt+Repayment Of Debt+Short Term Debt Payments,97292000.0,Capital Expenditure,21870000.0,Cash Dividends Paid,347728000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,91.25,GL,Financials,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,5689088000.0,1,0.0,0.0,,,,,2025,9,21.137352340458786,0.021175199020085245,,0.07373620940813806,43.97645586085283,,,0.06430454174124316,,0.20007825574294047,0.08891496800798333,,,,,43.97645586085283,,,0.06430454174124316,,0.056388796497551845,-0.17230936398702434,0.20007825574294047,0.012950409686536577,0.012950409686536577,0.18708578039915993,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
144704000.0,Cash And Cash Equivalents,768592000.0,Receivables,,,370000000.0,Net PPE,540832000.0,Accounts Payable,304656000.0,Current Debt,2320793000.0,Long Term Debt,30813692000.0,Total Assets,24839113000.0,Total Liabilities Net Minority Interest,,,,,5974579000.0,Total Equity Gross Minority Interest,5974579000.0,Total Equity Gross Minority Interest,5974579000.0,Total Equity Gross Minority Interest,2025-12-31,Q,1519621000.0,Total Revenue,,,5157000.0,Other Operating Expenses,37561000.0,Interest Expense,266083000.0,Net Income,63410000.0,Tax Provision,,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,97676000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,513093000.0,Repayment Of Debt+Repayment Of Debt+Short Term Debt Payments,20505000.0,Capital Expenditure,21673000.0,Cash Dividends Paid,384528000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,91.25,GL,Financials,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,5974579000.0,1,0.0,0.0,,,,,2025,12,21.14172679860842,0.004374458149634108,,0.0033936093275889184,46.15231034580333,,,0.013493496075666234,,0.09522374328862263,0.08520397361017304,,,,,46.15231034580333,,,0.013493496075666234,,0.081452028126562,-0.25304204140374476,0.09522374328862263,0.013837874240797653,0.013837874240797653,0.192447184006944,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
