C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,3472000000.0,Issuance Of Capital Stock+Issuance Of Capital Stock,,,,,,,,,,,,,365.0,GM,Consumer Discretionary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
19153000000.0,Cash And Cash Equivalents,46956000000.0,Accounts Receivable,15366000000.0,Inventory,77950000000.0,Net PPE,27486000000.0,Accounts Payable,38778000000.0,Current Debt,75921000000.0,Long Term Debt,264037000000.0,Total Assets,191753000000.0,Total Liabilities Net Minority Interest,100451000000.0,Current Assets,91173000000.0,Current Liabilities,72284000000.0,Total Equity Gross Minority Interest,72284000000.0,Total Equity Gross Minority Interest,4492000000.0,Minority Interest,2022-12-31,A,156735000000.0,Total Revenue,135754000000.0,Cost Of Revenue,10667000000.0,Operating Expense,987000000.0,Interest Expense,9934000000.0,Net Income,1888000000.0,Tax Provision,11290000000.0,,0.0,Net Common Stock Issuance,137439000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,158424000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,21187000000.0,Capital Expenditure,397000000.0,Cash Dividends Paid,5000000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,11290000000.0,Depreciation,365.0,GM,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,72284000000.0,1,0.0,0.0,18976000000.0,85636000000.0,24909000000.0,24659000000.0,2022,12,25.777822318100593,,0.13386288959071047,0.06805754936676556,109.34979423868313,41.314362744375856,73.90124784536735,0.13517720994034516,,0.12219989153667017,0.43440502656824614,0.12107059686732383,0.5463744536957285,0.15892429897597857,0.15732925000797524,109.34979423868313,41.314362744375856,73.90124784536735,0.13517720994034516,,0.03996376082142138,-0.031900979360066355,0.12219989153667017,,,0.15970225004229402,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
18853000000.0,Cash And Cash Equivalents,51454000000.0,Accounts Receivable,16461000000.0,Inventory,80903000000.0,Net PPE,28114000000.0,Accounts Payable,38968000000.0,Current Debt,82773000000.0,Long Term Debt,273064000000.0,Total Assets,204757000000.0,Total Liabilities Net Minority Interest,101618000000.0,Current Assets,94445000000.0,Current Liabilities,68307000000.0,Total Equity Gross Minority Interest,68307000000.0,Total Equity Gross Minority Interest,4021000000.0,Minority Interest,2023-12-31,A,171842000000.0,Total Revenue,152704000000.0,Cost Of Revenue,9840000000.0,Operating Expense,911000000.0,Interest Expense,10127000000.0,Net Income,563000000.0,Tax Provision,11888000000.0,,0.0,Net Common Stock Issuance,152889000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,178700000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,24610000000.0,Capital Expenditure,597000000.0,Cash Dividends Paid,22230000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,11888000000.0,Depreciation,365.0,GM,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,68307000000.0,1,0.0,0.0,14850000000.0,90543000000.0,27363000000.0,27539000000.0,2023,12,25.869841286932886,0.0920189688322921,0.11136974662771615,0.05726190337635735,109.29056924384027,39.345825911567474,67.19935299664711,0.1432129514321295,0.15250801796023092,0.10971124637748629,0.44583321126182873,0.08641659198566125,0.5268968005493418,0.15923348191943762,0.1602576785651936,109.29056924384027,39.345825911567474,67.19935299664711,0.1432129514321295,0.15250801796023092,0.05895131825812185,-0.12936301951792925,0.10971124637748629,0.007942527833721305,0.007942527833721305,0.05266604303086997,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,GM,Consumer Discretionary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,GM,Consumer Discretionary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
19872000000.0,Cash And Cash Equivalents,59189000000.0,Accounts Receivable,14564000000.0,Inventory,83490000000.0,Net PPE,25680000000.0,Accounts Payable,39432000000.0,Current Debt,90300000000.0,Long Term Debt,279761000000.0,Total Assets,214171000000.0,Total Liabilities Net Minority Interest,108545000000.0,Current Assets,96265000000.0,Current Liabilities,65590000000.0,Total Equity Gross Minority Interest,65590000000.0,Total Equity Gross Minority Interest,2518000000.0,Minority Interest,2024-12-31,Q,47702000000.0,Total Revenue,42851000000.0,Cost Of Revenue,3329000000.0,Operating Expense,215000000.0,Interest Expense,-2961000000.0,Net Income,318000000.0,Tax Provision,3233000000.0,,0.0,Net Common Stock Issuance,45816000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,45548000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,7269000000.0,Capital Expenditure,127000000.0,Cash Dividends Paid,9372000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,3233000000.0,Depreciation,91.25,GM,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,65590000000.0,1,0.0,0.0,14920000000.0,87726000000.0,31153000000.0,27606000000.0,2024,12,24.588239162682896,,0.1016938493144941,0.06978743029642363,113.22368558970274,31.013628620102214,54.68483816013629,0.15238354785962852,,0.4165863066538091,0.4637243933214422,0.31277514569619724,1.0,0.5,0.5787178734644249,113.22368558970274,31.013628620102214,54.68483816013629,0.15238354785962852,,0.0,-0.1964697496960295,0.4165863066538091,,,0.0,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
20570000000.0,Cash And Cash Equivalents,59453000000.0,Accounts Receivable,15253000000.0,Inventory,84367000000.0,Net PPE,26948000000.0,Accounts Payable,35934000000.0,Current Debt,96744000000.0,Long Term Debt,282104000000.0,Total Assets,215678000000.0,Total Liabilities Net Minority Interest,110006000000.0,Current Assets,90747000000.0,Current Liabilities,66426000000.0,Total Equity Gross Minority Interest,66426000000.0,Total Equity Gross Minority Interest,2054000000.0,Minority Interest,2025-03-31,Q,44020000000.0,Total Revenue,38682000000.0,Cost Of Revenue,1985000000.0,Operating Expense,152000000.0,Interest Expense,2784000000.0,Net Income,719000000.0,Tax Provision,2934000000.0,,0.0,Net Common Stock Issuance,50691000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,60864000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,6028000000.0,Capital Expenditure,175000000.0,Cash Dividends Paid,4024000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,2934000000.0,Depreciation,91.25,GM,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,66426000000.0,1,0.0,0.0,14730000000.0,87731000000.0,27865000000.0,28187000000.0,2025,3,24.507909913044728,-0.08032924963816868,0.1212630622444344,0.04509313948205361,123.24139595638346,35.98149656170829,63.569748203298694,0.13693775556565196,0.03514193316564858,0.46728759654702406,0.47031591186229194,0.33462062698773287,1.0,0.5,0.6403225806451613,123.24139595638346,35.98149656170829,63.569748203298694,0.13693775556565196,0.03514193316564858,0.06285919540229885,-0.09141299409359382,0.46728759654702406,0.0011716461628588166,0.0011716461628588166,0.20525264059377676,0.8,0.0,1.0,0.25,0.0
22381000000.0,Cash And Cash Equivalents,61195000000.0,Accounts Receivable,15454000000.0,Inventory,85355000000.0,Net PPE,27077000000.0,Accounts Payable,38314000000.0,Current Debt,97417000000.0,Long Term Debt,289384000000.0,Total Assets,220925000000.0,Total Liabilities Net Minority Interest,114285000000.0,Current Assets,93812000000.0,Current Liabilities,68459000000.0,Total Equity Gross Minority Interest,68459000000.0,Total Equity Gross Minority Interest,2096000000.0,Minority Interest,2025-06-30,Q,47122000000.0,Total Revenue,42856000000.0,Cost Of Revenue,2139000000.0,Operating Expense,198000000.0,Interest Expense,1895000000.0,Net Income,481000000.0,Tax Provision,3041000000.0,,0.0,Net Common Stock Issuance,41313000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,48400000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,6516000000.0,Capital Expenditure,144000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,3041000000.0,Depreciation,91.25,GM,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,68459000000.0,1,0.0,0.0,15255000000.0,89744000000.0,28421000000.0,29696000000.0,2025,6,24.576005820210717,0.0680959071659899,0.09053096218326895,0.04539281015237044,118.50184096600314,32.90501913384357,57.6529832462199,0.1382793599592547,0.036044899071912,0.4749586180552608,0.46903422442152987,0.3237341369211833,1.0,0.5,0.6301939646025211,118.50184096600314,32.90501913384357,57.6529832462199,0.1382793599592547,0.036044899071912,0.07598944591029023,0.0,0.4749586180552608,0.001492334825668159,0.001492334825668159,0.20244107744107745,0.8,1.0,6.123233995736766e-17,0.25,0.0
22910000000.0,Cash And Cash Equivalents,61646000000.0,Accounts Receivable,15318000000.0,Inventory,85547000000.0,Net PPE,27317000000.0,Accounts Payable,36477000000.0,Current Debt,96026000000.0,Long Term Debt,288168000000.0,Total Assets,219766000000.0,Total Liabilities Net Minority Interest,114636000000.0,Current Assets,93295000000.0,Current Liabilities,68402000000.0,Total Equity Gross Minority Interest,68402000000.0,Total Equity Gross Minority Interest,2028000000.0,Minority Interest,2025-09-30,Q,48591000000.0,Total Revenue,45478000000.0,Cost Of Revenue,2037000000.0,Operating Expense,209000000.0,Interest Expense,1327000000.0,Net Income,127000000.0,Tax Provision,4112000000.0,,0.0,Net Common Stock Issuance,19362000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,40300000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,6148000000.0,Capital Expenditure,200000000.0,Cash Dividends Paid,3000000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,4112000000.0,Depreciation,91.25,GM,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,68402000000.0,1,0.0,0.0,14762000000.0,87985000000.0,29501000000.0,30445000000.0,2025,9,24.60670416551878,0.030698345308064034,0.06406536189829393,0.04192134345866518,115.76624271984524,30.73502572672501,54.810595232859846,0.12652548825914264,0.04817526799835979,0.4714864892675598,0.4598116376558119,0.3038011154328991,1.0,0.5,0.6265563581733242,115.76624271984524,30.73502572672501,54.810595232859846,0.12652548825914264,0.04817526799835979,0.15071590052750566,-0.06173982836327715,0.4714864892675598,0.001539810360197744,0.001539810360197744,0.0873452544704264,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
20945000000.0,Cash And Cash Equivalents,58320000000.0,Accounts Receivable,14467000000.0,Inventory,85371000000.0,Net PPE,23919000000.0,Accounts Payable,35668000000.0,Current Debt,94609000000.0,Long Term Debt,281284000000.0,Total Assets,218116000000.0,Total Liabilities Net Minority Interest,108767000000.0,Current Assets,93342000000.0,Current Liabilities,63168000000.0,Total Equity Gross Minority Interest,63168000000.0,Total Equity Gross Minority Interest,2049000000.0,Minority Interest,2025-12-31,Q,45286000000.0,Total Revenue,46407000000.0,Cost Of Revenue,2526000000.0,Operating Expense,167000000.0,Interest Expense,-3310000000.0,Net Income,-988000000.0,Tax Provision,4501000000.0,,0.0,Net Common Stock Issuance,18207000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,32800000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,6404000000.0,Capital Expenditure,138000000.0,Cash Dividends Paid,5000000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,4501000000.0,Depreciation,91.25,GM,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,63168000000.0,1,0.0,0.0,15035000000.0,87146000000.0,33755000000.0,30165000000.0,2025,12,24.536263770896742,-0.07044039462203955,0.0,0.055778827893830325,117.51313871836771,28.446435882517722,47.031886353351865,0.14141235701982952,0.05261435234432534,0.46250496842291217,0.46315112128667113,0.3320010599302213,1.0,0.5,0.6660998984233538,117.51313871836771,28.446435882517722,47.031886353351865,0.14141235701982952,0.05261435234432534,0.0,-0.11040939804796185,0.46250496842291217,0.001260348822290816,0.001260348822290816,0.0,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
