C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,GPN,Financials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
1997566000.0,Cash And Cash Equivalents,998332000.0,Accounts Receivable,,,1838809000.0,Net PPE,229436000.0,Accounts Payable,1916441000.0,Current Debt,12289248000.0,Long Term Debt,44809014000.0,Total Assets,22268804000.0,Total Liabilities Net Minority Interest,6314148000.0,Current Assets,6898691000.0,Current Liabilities,22540210000.0,Total Equity Gross Minority Interest,22540210000.0,Total Equity Gross Minority Interest,236704000.0,Minority Interest,2022-12-31,A,8975515000.0,Total Revenue,3778617000.0,Cost Of Revenue,3524578000.0,Operating Expense,449433000.0,Interest Expense,111493000.0,Net Income,166694000.0,Tax Provision,399486000.0,,0.0,Net Common Stock Issuance,29436867000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,31580524000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,615652000.0,Capital Expenditure,273955000.0,Cash Dividends Paid,5919816000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,399486000.0,Depreciation,365.0,GPN,Financials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,22540210000.0,1,0.0,0.0,,36656057000.0,4752814000.0,3080865000.0,2022,12,22.917766151290092,,0.5790083354548458,0.39268810759048367,40.598358979958256,,22.16264310460679,0.06859238717778311,,0.2225572571601741,0.3170274846931468,,1.0,0.5,0.34325216993119617,40.598358979958256,,22.16264310460679,0.06859238717778311,,1.0,-0.6595516803214078,0.2225572571601741,,,0.5,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
2088887000.0,Cash And Cash Equivalents,1120078000.0,Accounts Receivable,,,2190005000.0,Net PPE,290437000.0,Accounts Payable,1601829000.0,Current Debt,15692297000.0,Long Term Debt,50570186000.0,Total Assets,26782671000.0,Total Liabilities Net Minority Interest,8073759000.0,Current Assets,8125729000.0,Current Liabilities,23787515000.0,Total Equity Gross Minority Interest,23787515000.0,Total Equity Gross Minority Interest,788305000.0,Minority Interest,2023-12-31,A,7379784000.0,Total Revenue,2068295000.0,Cost Of Revenue,3859131000.0,Operating Expense,644918000.0,Interest Expense,986233000.0,Net Income,186517000.0,Tax Provision,458157000.0,,0.0,Net Common Stock Issuance,31010550000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,36399752000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,658142000.0,Capital Expenditure,260431000.0,Cash Dividends Paid,918994000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,458157000.0,Depreciation,365.0,GPN,Financials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,23787515000.0,1,0.0,0.0,,40306422000.0,6233463000.0,2964645000.0,2023,12,22.722010206837783,-0.19575594445230848,0.7197350220548461,0.5229327850246024,55.39843307066982,,51.25453815824145,0.08918174298868368,0.2491596462710374,0.28305530351565844,0.34198264566398867,,1.0,0.5,0.4017251724440715,55.39843307066982,,51.25453815824145,0.08918174298868368,0.2491596462710374,0.2640664021585163,-0.12452857698816117,0.28305530351565844,0.04539857236069296,0.04539857236069296,0.159042421658495,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,74303000.0,Net Income Discontinuous Operations,,,,,,,,,,,,,,,,,,,91.25,GPN,Financials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,2730189000.0,Accounts Payable,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,GPN,Financials,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
2356470000.0,Cash And Cash Equivalents,787687000.0,Accounts Receivable,,,1421268000.0,Net PPE,254292000.0,Accounts Payable,1521734000.0,Current Debt,15079453000.0,Long Term Debt,46890255000.0,Total Assets,23873688000.0,Total Liabilities Net Minority Interest,6031232000.0,Current Assets,6252714000.0,Current Liabilities,23016567000.0,Total Equity Gross Minority Interest,23016567000.0,Total Equity Gross Minority Interest,735881000.0,Minority Interest,2024-12-31,Q,2515386000.0,Total Revenue,952297000.0,Cost Of Revenue,1003075000.0,Operating Expense,156776000.0,Interest Expense,567173000.0,Net Income,140540000.0,Tax Provision,124098000.0,,0.0,Net Common Stock Issuance,5991435000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,7022942000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,184004000.0,Capital Expenditure,62333000.0,Cash Dividends Paid,1416264000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,124098000.0,Depreciation,91.25,GPN,Financials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,23016567000.0,1,0.0,0.0,,39437755000.0,4476688000.0,2541521000.0,2024,12,21.645692107846646,,0.6214111869907839,0.3987757743741915,28.574715272327985,,24.366500156988838,0.07315139704204444,,0.9368224200977504,0.3540434361041543,,1.0,0.5,1.0,28.574715272327985,,24.366500156988838,0.07315139704204444,,0.10990121179957438,-0.5630404240144455,0.5,,,0.1985833240310691,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
2896024000.0,Cash And Cash Equivalents,1112308000.0,Accounts Receivable,,,2352656000.0,Net PPE,2925073000.0,Accounts Payable,1908383000.0,Current Debt,15014421000.0,Long Term Debt,47616106000.0,Total Assets,24591533000.0,Total Liabilities Net Minority Interest,6738560000.0,Current Assets,7140856000.0,Current Liabilities,23024573000.0,Total Equity Gross Minority Interest,23024573000.0,Total Equity Gross Minority Interest,776230000.0,Minority Interest,2025-03-31,Q,2412098000.0,Total Revenue,921195000.0,Cost Of Revenue,1024011000.0,Operating Expense,157110000.0,Interest Expense,305734000.0,Net Income,58678000.0,Tax Provision,122839000.0,,0.0,Net Common Stock Issuance,5322648000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,10186452000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,127577000.0,Capital Expenditure,61124000.0,Cash Dividends Paid,892572000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,122839000.0,Depreciation,91.25,GPN,Financials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,23024573000.0,1,0.0,0.0,,38524890000.0,2307400000.0,2436256000.0,2025,3,21.60376274516839,-0.041929362678256865,0.6180938751244767,0.42453125868020286,42.0787650418847,,289.74637427471924,0.05289047128267591,0.0864291604398326,1.2006245185726285,0.3554008385313994,,1.0,0.5,1.0,42.0787650418847,,289.74637427471924,0.05289047128267591,0.0864291604398326,0.19992542536976587,-0.3700396915879869,0.5,0.009463781113964924,0.009463781113964924,0.1610210421171641,0.8,0.0,1.0,0.25,0.0
2611662000.0,Cash And Cash Equivalents,864429000.0,Accounts Receivable,,,1414244000.0,Net PPE,2184784000.0,Accounts Payable,2496195000.0,Current Debt,14150983000.0,Long Term Debt,48518510000.0,Total Assets,25096921000.0,Total Liabilities Net Minority Interest,7752987000.0,Current Assets,8183375000.0,Current Liabilities,23421589000.0,Total Equity Gross Minority Interest,23421589000.0,Total Equity Gross Minority Interest,828514000.0,Minority Interest,2025-06-30,Q,1956747000.0,Total Revenue,498788000.0,Cost Of Revenue,1031020000.0,Operating Expense,152243000.0,Interest Expense,241640000.0,Net Income,118346000.0,Tax Provision,102266000.0,,0.0,Net Common Stock Issuance,2942688000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,4892004000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,152170000.0,Capital Expenditure,60377000.0,Cash Dividends Paid,564350000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,102266000.0,Depreciation,91.25,GPN,Financials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,23421589000.0,1,0.0,0.0,,39351279000.0,3502396000.0,2762563000.0,2025,6,21.39454923749358,-0.20921350767480718,0.7450932593738485,0.5269051134357176,40.31136690129077,,399.69193324618874,0.07776682422408211,0.043468318360185255,1.3346957986903774,0.3431098358131773,,1.0,0.5,1.0,40.31136690129077,,399.69193324618874,0.07776682422408211,0.043468318360185255,0.2498634332064228,-0.28841234968036233,0.5,0.008996322358871496,0.008996322358871496,0.3287516736761985,0.8,1.0,6.123233995736766e-17,0.25,0.0
2603047000.0,Cash And Cash Equivalents,878198000.0,Accounts Receivable,,,1440437000.0,Net PPE,2452553000.0,Payables And Accrued Expenses,2876635000.0,Current Debt,13322847000.0,Long Term Debt,47962419000.0,Total Assets,24464582000.0,Total Liabilities Net Minority Interest,7206927000.0,Current Assets,8433005000.0,Current Liabilities,23497837000.0,Total Equity Gross Minority Interest,23497837000.0,Total Equity Gross Minority Interest,829749000.0,Minority Interest,2025-09-30,Q,2007637000.0,Total Revenue,556682000.0,Cost Of Revenue,1016832000.0,Operating Expense,143773000.0,Interest Expense,635209000.0,Net Income,199309000.0,Tax Provision,94621000.0,,0.0,Net Common Stock Issuance,7310729000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,8812636000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,169809000.0,Capital Expenditure,57963000.0,Cash Dividends Paid,925256000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,94621000.0,Depreciation,91.25,GPN,Financials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,23497837000.0,1,0.0,0.0,,39315055000.0,3103817000.0,2708730000.0,2025,9,21.420224245541352,0.02567500804777012,0.7227178020727851,0.5064819984887706,39.915366921410595,,402.0167011866739,0.08458152544508793,0.066905710754297,1.296572537764546,0.33775364833037297,,1.0,0.5,1.0,39.915366921410595,,402.0167011866739,0.08458152544508793,0.066905710754297,0.09125028140344359,-0.4608681748742427,0.5,0.008636478807399067,0.008636478807399067,0.2388312774559686,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
8336402000.0,Cash And Cash Equivalents,784174000.0,Accounts Receivable,,,1501763000.0,Net PPE,278091000.0,Accounts Payable,2265799000.0,Current Debt,19541512000.0,Long Term Debt,53338484000.0,Total Assets,29559003000.0,Total Liabilities Net Minority Interest,12602671000.0,Current Assets,7456844000.0,Current Liabilities,23779481000.0,Total Equity Gross Minority Interest,23779481000.0,Total Equity Gross Minority Interest,890714000.0,Minority Interest,2025-12-31,Q,1932807000.0,Total Revenue,569046000.0,Cost Of Revenue,1129060000.0,Operating Expense,205470000.0,Interest Expense,217524000.0,Net Income,-111015000.0,Tax Provision,99111000.0,,0.0,Net Common Stock Issuance,21326779000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,4939164000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,168213000.0,Capital Expenditure,59057000.0,Cash Dividends Paid,79132000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,99111000.0,Depreciation,91.25,GPN,Financials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,23779481000.0,1,0.0,0.0,,39234050000.0,4912954000.0,2560647000.0,2025,12,21.382239187386954,-0.03798505815439768,0.7055857103166534,0.5841555830457982,37.021739625322134,,44.593589534062275,0.08703041741881108,0.06880620256213912,4.313106274966926,0.4088475967933397,,1.0,0.5,1.0,37.021739625322134,,44.593589534062275,0.08703041741881108,0.06880620256213912,0.2714964785494934,-0.0409414907955114,0.5,0.01268373889979939,0.01268373889979939,0.5,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
