C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,,,,,0.0,Short Term Debt Payments,,,,,,,,,365.0,HII,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
467000000.0,Cash And Cash Equivalents,636000000.0,Accounts Receivable,183000000.0,Inventory,3480000000.0,Net PPE,642000000.0,Accounts Payable,399000000.0,Current Debt,2506000000.0,Long Term Debt,10857000000.0,Total Assets,7368000000.0,Total Liabilities Net Minority Interest,2746000000.0,Current Assets,2895000000.0,Current Liabilities,3489000000.0,Total Equity Gross Minority Interest,3489000000.0,Total Equity Gross Minority Interest,3489000000.0,Total Equity Gross Minority Interest,2022-12-31,A,10676000000.0,Total Revenue,9236000000.0,Cost Of Revenue,923000000.0,Operating Expense,102000000.0,Interest Expense,579000000.0,Net Income,140000000.0,Tax Provision,218000000.0,,0.0,Net Common Stock Issuance,72000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1720000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,284000000.0,Capital Expenditure,192000000.0,Cash Dividends Paid,104000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,218000000.0,Depreciation,365.0,HII,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3489000000.0,1,0.0,0.0,1460000000.0,4631000000.0,1854000000.0,1967000000.0,2022,12,23.091264068488687,,0.1348819782690146,0.08645560134881979,21.74409891345073,7.232026851450844,25.371372888696406,0.02660172349194455,,0.04374297489696516,0.2675693101225016,0.13675533907830648,0.4337766953915324,0.1736605470213563,0.18424503559385538,21.74409891345073,7.232026851450844,25.371372888696406,0.02660172349194455,,0.3316062176165803,-0.009741476208317721,0.04374297489696516,,,0.19471488178025034,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
430000000.0,Cash And Cash Equivalents,461000000.0,Accounts Receivable,186000000.0,Inventory,3558000000.0,Net PPE,554000000.0,Accounts Payable,231000000.0,Current Debt,2214000000.0,Long Term Debt,11215000000.0,Total Assets,7122000000.0,Total Liabilities Net Minority Interest,2880000000.0,Current Assets,3032000000.0,Current Liabilities,4093000000.0,Total Equity Gross Minority Interest,4093000000.0,Total Equity Gross Minority Interest,4093000000.0,Total Equity Gross Minority Interest,2023-12-31,A,11454000000.0,Total Revenue,9808000000.0,Cost Of Revenue,902000000.0,Operating Expense,95000000.0,Interest Expense,681000000.0,Net Income,172000000.0,Tax Provision,219000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1920000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,292000000.0,Capital Expenditure,200000000.0,Cash Dividends Paid,150000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,219000000.0,Depreciation,365.0,HII,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4093000000.0,1,0.0,0.0,1803000000.0,4777000000.0,2247000000.0,1876000000.0,2023,12,23.161604850918078,0.07034078242939046,0.14370525580583204,0.07874978173563821,14.690501134974681,6.921900489396411,20.61684339314845,0.025493277457656713,0.06293103448275862,0.037541470228741054,0.21801159161836825,0.1574122577265584,0.4170595425178977,0.1961760083813515,0.16378557709097258,14.690501134974681,6.921900489396411,20.61684339314845,0.025493277457656713,0.06293103448275862,0.2936857562408223,-0.013095861707700367,0.037541470228741054,0.03270223752151463,0.03270223752151463,0.20164126611957797,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,942000000.0,Current Debt,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,-1000000.0,Other Operating Expenses,,,,,,,,,,,,,,,,,,,,,,,91.25,HII,Industrials,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,898000000.0,Current Debt,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,HII,Industrials,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
831000000.0,Cash And Cash Equivalents,212000000.0,Accounts Receivable,208000000.0,Inventory,3689000000.0,Net PPE,598000000.0,Accounts Payable,503000000.0,Current Debt,2700000000.0,Long Term Debt,12141000000.0,Total Assets,7475000000.0,Total Liabilities Net Minority Interest,3228000000.0,Current Assets,2991000000.0,Current Liabilities,4666000000.0,Total Equity Gross Minority Interest,4666000000.0,Total Equity Gross Minority Interest,4666000000.0,Total Equity Gross Minority Interest,2024-12-31,Q,3004000000.0,Total Revenue,2683000000.0,Cost Of Revenue,225000000.0,Operating Expense,27000000.0,Interest Expense,123000000.0,Net Income,8000000.0,Tax Provision,57000000.0,,0.0,Net Common Stock Issuance,2208000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,114000000.0,Capital Expenditure,52000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,57000000.0,Depreciation,91.25,HII,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4666000000.0,1,0.0,0.0,1977000000.0,5224000000.0,1890000000.0,1784000000.0,2024,12,21.8232105708483,,0.10685752330226361,0.07490013315579228,6.439747003994674,7.074170704435334,20.338240775251585,0.03794940079893475,,0.2766311584553928,0.26381681904291243,0.5,1.0,0.5,0.5938748335552596,6.439747003994674,7.074170704435334,20.338240775251585,0.03794940079893475,,0.42276422764227645,0.0,0.2766311584553928,0.030066815144766147,0.030066815144766147,0.061068702290076333,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
167000000.0,Cash And Cash Equivalents,387000000.0,Accounts Receivable,215000000.0,Inventory,3781000000.0,Net PPE,602000000.0,Accounts Payable,503000000.0,Current Debt,2699000000.0,Long Term Debt,12103000000.0,Total Assets,7330000000.0,Total Liabilities Net Minority Interest,3042000000.0,Current Assets,2856000000.0,Current Liabilities,4773000000.0,Total Equity Gross Minority Interest,4773000000.0,Total Equity Gross Minority Interest,4773000000.0,Total Equity Gross Minority Interest,2025-03-31,Q,2734000000.0,Total Revenue,2340000000.0,Cost Of Revenue,246000000.0,Operating Expense,28000000.0,Interest Expense,149000000.0,Net Income,38000000.0,Tax Provision,54000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,67000000.0,Capital Expenditure,53000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,54000000.0,Depreciation,91.25,HII,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4773000000.0,1,0.0,0.0,2273000000.0,5280000000.0,1751000000.0,1775000000.0,2025,3,21.729031575248168,-0.09417899560013154,0.14411119239209946,0.08997805413313825,12.91651426481346,8.384081196581196,23.47542735042735,0.024506217995610827,0.014638113309840065,0.06108266276517922,0.2645625051640089,0.5,1.0,0.5,0.6492318946598391,12.91651426481346,8.384081196581196,23.47542735042735,0.024506217995610827,0.014638113309840065,0.35570469798657717,0.0,0.06108266276517922,0.008741804558226662,0.008741804558226662,0.20320855614973263,0.8,0.0,1.0,0.25,0.0
343000000.0,Cash And Cash Equivalents,377000000.0,Accounts Receivable,215000000.0,Inventory,3818000000.0,Net PPE,650000000.0,Accounts Payable,3000000.0,Current Debt,2700000000.0,Long Term Debt,12098000000.0,Total Assets,7216000000.0,Total Liabilities Net Minority Interest,2973000000.0,Current Assets,2750000000.0,Current Liabilities,4882000000.0,Total Equity Gross Minority Interest,4882000000.0,Total Equity Gross Minority Interest,4882000000.0,Total Equity Gross Minority Interest,2025-06-30,Q,3082000000.0,Total Revenue,2687000000.0,Cost Of Revenue,240000000.0,Operating Expense,28000000.0,Interest Expense,152000000.0,Net Income,36000000.0,Tax Provision,56000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,96000000.0,Capital Expenditure,53000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,56000000.0,Depreciation,91.25,HII,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4882000000.0,1,0.0,0.0,2038000000.0,5307000000.0,2097000000.0,1766000000.0,2025,6,21.848844573844335,0.11981299859616712,0.12816353017521087,0.07787151200519143,11.161988968202467,7.301358392259025,22.073874209155193,0.031148604802076575,0.014810896588204179,0.11129136924075275,0.2234253595635642,0.5,1.0,0.5,0.573004542504867,11.161988968202467,7.301358392259025,22.073874209155193,0.031148604802076575,0.014810896588204179,0.34868421052631576,0.0,0.11129136924075275,0.008744534665833853,0.008744534665833853,0.19148936170212766,0.8,1.0,6.123233995736766e-17,0.25,0.0
312000000.0,Cash And Cash Equivalents,374000000.0,Accounts Receivable,221000000.0,Inventory,3904000000.0,Net PPE,680000000.0,Accounts Payable,,,2698000000.0,Long Term Debt,12309000000.0,Total Assets,7325000000.0,Total Liabilities Net Minority Interest,3078000000.0,Current Assets,2702000000.0,Current Liabilities,4984000000.0,Total Equity Gross Minority Interest,4984000000.0,Total Equity Gross Minority Interest,4984000000.0,Total Equity Gross Minority Interest,2025-09-30,Q,3192000000.0,Total Revenue,2798000000.0,Cost Of Revenue,245000000.0,Operating Expense,23000000.0,Interest Expense,145000000.0,Net Income,59000000.0,Tax Provision,54000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,105000000.0,Capital Expenditure,53000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,54000000.0,Depreciation,91.25,HII,Industrials,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4984000000.0,1,0.0,0.0,2171000000.0,5327000000.0,,1925000000.0,2025,9,21.883913516533973,0.03506894268963734,0.12343358395989978,0.07675438596491228,10.69157268170426,7.207380271622587,22.176554681915654,0.03289473684210526,0.014143530644316397,0.09774436090225563,0.2191892111463157,0.5,1.0,,0.6030701754385965,10.69157268170426,7.207380271622587,22.176554681915654,0.03289473684210526,0.014143530644316397,0.36551724137931035,0.0,0.09774436090225563,0.008509064002959674,0.008509064002959674,0.28921568627450983,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
774000000.0,Cash And Cash Equivalents,339000000.0,Accounts Receivable,219000000.0,Inventory,3993000000.0,Net PPE,556000000.0,Accounts Payable,,,2700000000.0,Long Term Debt,12749000000.0,Total Assets,7676000000.0,Total Liabilities Net Minority Interest,3451000000.0,Current Assets,3045000000.0,Current Liabilities,5073000000.0,Total Equity Gross Minority Interest,5073000000.0,Total Equity Gross Minority Interest,5073000000.0,Total Equity Gross Minority Interest,2025-12-31,Q,3476000000.0,Total Revenue,3074000000.0,Cost Of Revenue,243000000.0,Operating Expense,26000000.0,Interest Expense,159000000.0,Net Income,39000000.0,Tax Provision,61000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,134000000.0,Capital Expenditure,54000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,61000000.0,Depreciation,91.25,HII,Industrials,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,5073000000.0,1,0.0,0.0,2119000000.0,5305000000.0,,1931000000.0,2025,12,21.969148044349556,0.08523452781558305,0.1156501726121979,0.06990794016110471,8.899237629459149,6.500894599869876,16.50455432661028,0.03855005753739931,0.015625,0.22266973532796316,0.2117813161816613,0.5,1.0,,0.5555235903337169,8.899237629459149,6.500894599869876,16.50455432661028,0.03855005753739931,0.015625,0.33962264150943394,0.0,0.22266973532796316,0.009636767976278725,0.009636767976278725,0.19696969696969696,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
