C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
10959000000.0,Cash And Cash Equivalents,6830000000.0,Accounts Receivable,5138000000.0,Inventory,5562000000.0,Net PPE,6484000000.0,Accounts Payable,5345000000.0,Current Debt,14254000000.0,Long Term Debt,64470000000.0,Total Assets,45221000000.0,Total Liabilities Net Minority Interest,25372000000.0,Current Assets,19508000000.0,Current Liabilities,19249000000.0,Total Equity Gross Minority Interest,19249000000.0,Total Equity Gross Minority Interest,680000000.0,Minority Interest,2021-12-31,A,34392000000.0,Total Revenue,22061000000.0,Cost Of Revenue,6131000000.0,Operating Expense,343000000.0,Interest Expense,5542000000.0,Net Income,1625000000.0,Tax Provision,674000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,17939000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,35238000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,895000000.0,Capital Expenditure,2626000000.0,Cash Dividends Paid,6760000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,674000000.0,Depreciation,365.0,HON,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,19249000000.0,1,0.0,0.0,2445000000.0,33536000000.0,7679000000.0,11459000000.0,2021,12,24.26108981614039,,0.35854268434519654,0.17826820190742032,72.48633403117005,85.00838583926387,107.27800190381215,0.026023493835775763,,0.3186496859734822,0.30400186133085155,0.07109211444521982,0.9751104908118167,0.2232786694580135,0.3331879506862061,72.48633403117005,85.00838583926387,107.27800190381215,0.026023493835775763,,0.47383616023096353,-0.19655733891602697,0.3186496859734822,,,0.2267336402958002,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
9627000000.0,Cash And Cash Equivalents,7440000000.0,Accounts Receivable,5538000000.0,Inventory,5471000000.0,Net PPE,6329000000.0,Accounts Payable,4447000000.0,Current Debt,15123000000.0,Long Term Debt,62275000000.0,Total Assets,44949000000.0,Total Liabilities Net Minority Interest,24982000000.0,Current Assets,19938000000.0,Current Liabilities,17326000000.0,Total Equity Gross Minority Interest,17326000000.0,Total Equity Gross Minority Interest,629000000.0,Minority Interest,2022-12-31,A,35466000000.0,Total Revenue,22347000000.0,Cost Of Revenue,6692000000.0,Operating Expense,414000000.0,Interest Expense,4966000000.0,Net Income,1412000000.0,Tax Provision,657000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,24181000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,32741000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,766000000.0,Capital Expenditure,2719000000.0,Cash Dividends Paid,8400000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,657000000.0,Depreciation,365.0,HON,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,17326000000.0,1,0.0,0.0,2377000000.0,31822000000.0,9162000000.0,9888000000.0,2022,12,24.291840328016697,0.030750511876306064,0.36990356961597026,0.18868775728867085,76.569108441888,90.45375218150087,103.37338345191748,0.021598150341171827,0.11812297734627832,0.27144307223819997,0.3142513046969089,0.06702193650256584,0.897253707776462,0.2583319235323972,0.2788022331246828,76.569108441888,90.45375218150087,103.37338345191748,0.021598150341171827,0.11812297734627832,0.5475231574708015,-0.23684655726611403,0.27144307223819997,0.021123526710546455,0.021123526710546455,0.2213860144245845,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
7925000000.0,Cash And Cash Equivalents,7530000000.0,Accounts Receivable,6178000000.0,Inventory,5660000000.0,Net PPE,6849000000.0,Accounts Payable,3881000000.0,Current Debt,16562000000.0,Long Term Debt,61525000000.0,Total Assets,45084000000.0,Total Liabilities Net Minority Interest,23502000000.0,Current Assets,18539000000.0,Current Liabilities,16441000000.0,Total Equity Gross Minority Interest,16441000000.0,Total Equity Gross Minority Interest,585000000.0,Minority Interest,2023-12-31,A,36662000000.0,Total Revenue,22995000000.0,Cost Of Revenue,6583000000.0,Operating Expense,765000000.0,Interest Expense,5658000000.0,Net Income,1487000000.0,Tax Provision,659000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,34940000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,47913000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,1039000000.0,Capital Expenditure,2855000000.0,Cash Dividends Paid,7430000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,659000000.0,Depreciation,365.0,HON,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,16441000000.0,1,0.0,0.0,1869000000.0,32363000000.0,7809000000.0,9983000000.0,2023,12,24.325006633243586,0.03316630522688868,0.3727838088483989,0.1795592166275708,74.96726856145328,98.06349206349206,108.71428571428571,0.028339970541705308,0.12045329921403765,0.21616387540232393,0.3322714343762698,0.05097921553652283,0.8827396214063609,0.21299983634280725,0.2722982925099558,74.96726856145328,98.06349206349206,108.71428571428571,0.028339970541705308,0.12045329921403765,0.5045952633439378,-0.20266215700180024,0.21616387540232393,0.039090444557996935,0.039090444557996935,0.20811756473058082,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,1361000000.0,General And Administrative Expense,,,,,,,,,,,,,,,,,,,,,,,91.25,HON,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
10644000000.0,Cash And Cash Equivalents,7884000000.0,Accounts Receivable,6338000000.0,Inventory,5822000000.0,Net PPE,6640000000.0,Accounts Payable,4895000000.0,Current Debt,25934000000.0,Long Term Debt,73492000000.0,Total Assets,55511000000.0,Total Liabilities Net Minority Interest,28164000000.0,Current Assets,19534000000.0,Current Liabilities,17981000000.0,Total Equity Gross Minority Interest,17981000000.0,Total Equity Gross Minority Interest,575000000.0,Minority Interest,2024-09-30,Q,9728000000.0,Total Revenue,5979000000.0,Cost Of Revenue,1766000000.0,Operating Expense,297000000.0,Interest Expense,1413000000.0,Net Income,409000000.0,Tax Provision,171000000.0,,200000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,19137000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,15068000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,279000000.0,Capital Expenditure,715000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,171000000.0,Depreciation,91.25,HON,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,17981000000.0,1,0.0,0.0,3298000000.0,39506000000.0,7999000000.0,10043000000.0,2024,9,22.998274162170222,,0.3853824013157895,0.18153782894736842,73.95302220394737,96.72896805485867,101.33801639070079,0.028680098684210526,,1.0941611842105263,0.41948783541065693,0.33902138157894735,1.0,0.5,1.0,73.95302220394737,96.72896805485867,101.33801639070079,0.028680098684210526,,0.5060155697098372,0.02055921052631579,0.5,,,0.22447859495060374,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
10567000000.0,Cash And Cash Equivalents,7819000000.0,Accounts Receivable,6442000000.0,Inventory,6194000000.0,Net PPE,6880000000.0,Accounts Payable,5620000000.0,Current Debt,25479000000.0,Long Term Debt,75196000000.0,Total Assets,56035000000.0,Total Liabilities Net Minority Interest,27908000000.0,Current Assets,21256000000.0,Current Liabilities,19161000000.0,Total Equity Gross Minority Interest,19161000000.0,Total Equity Gross Minority Interest,542000000.0,Minority Interest,2024-12-31,A,38498000000.0,Total Revenue,23836000000.0,Cost Of Revenue,7002000000.0,Operating Expense,1058000000.0,Interest Expense,5705000000.0,Net Income,1473000000.0,Tax Provision,671000000.0,,1030000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,58900000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,41982000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,1164000000.0,Capital Expenditure,2902000000.0,Cash Dividends Paid,3310000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,671000000.0,Depreciation,365.0,HON,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,19161000000.0,1,0.0,0.0,3080000000.0,41094000000.0,8756000000.0,9300000000.0,2024,12,24.373872128838855,1.3755979666686322,0.38085095329627516,0.1818795781599044,74.13203283287443,98.64616546400403,105.3532471891257,0.030235336900618213,0.11525249055307454,0.2744817912618837,0.41357253045374753,0.08000415606005506,1.0,0.2274403865135851,0.2415709907008156,74.13203283287443,98.64616546400403,105.3532471891257,0.030235336900618213,0.11525249055307454,0.5086765994741455,-0.05922385578471609,0.2744817912618837,0.0343183366310941,0.0343183366310941,0.20521036500417944,0.6,-1.0,-1.8369701987210297e-16,1.0,0.0
9657000000.0,Cash And Cash Equivalents,8251000000.0,Accounts Receivable,6611000000.0,Inventory,6213000000.0,Net PPE,6734000000.0,Accounts Payable,7088000000.0,Current Debt,25744000000.0,Long Term Debt,75218000000.0,Total Assets,57187000000.0,Total Liabilities Net Minority Interest,27645000000.0,Current Assets,22071000000.0,Current Liabilities,18031000000.0,Total Equity Gross Minority Interest,18031000000.0,Total Equity Gross Minority Interest,568000000.0,Minority Interest,2025-03-31,Q,9822000000.0,Total Revenue,6037000000.0,Cost Of Revenue,1800000000.0,Operating Expense,286000000.0,Interest Expense,1449000000.0,Net Income,417000000.0,Tax Provision,174000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,9848000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,10415000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,251000000.0,Capital Expenditure,732000000.0,Cash Dividends Paid,3804000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,174000000.0,Depreciation,91.25,HON,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,18031000000.0,1,0.0,0.0,3126000000.0,41360000000.0,8249000000.0,9372000000.0,2025,3,23.007890604563464,-1.3659815242753908,0.3853593972714314,0.1832620647525962,76.6548309916514,99.92608083485175,101.78524101374855,0.025554876807167583,0.028091701646754924,0.9832009773976786,0.4364912653886038,0.3182651191203421,1.0,0.5,0.954184483811851,76.6548309916514,99.92608083485175,101.78524101374855,0.025554876807167583,0.028091701646754924,0.505175983436853,-0.38729383017715335,0.5,0.009196437184475385,0.009196437184475385,0.22347266881028938,0.8,0.0,1.0,0.25,0.0
10349000000.0,Cash And Cash Equivalents,8823000000.0,Accounts Receivable,7013000000.0,Inventory,6405000000.0,Net PPE,7111000000.0,Accounts Payable,6345000000.0,Current Debt,30167000000.0,Long Term Debt,78419000000.0,Total Assets,61765000000.0,Total Liabilities Net Minority Interest,27967000000.0,Current Assets,21619000000.0,Current Liabilities,16654000000.0,Total Equity Gross Minority Interest,16654000000.0,Total Equity Gross Minority Interest,559000000.0,Minority Interest,2025-06-30,Q,10352000000.0,Total Revenue,6329000000.0,Cost Of Revenue,1909000000.0,Operating Expense,330000000.0,Interest Expense,1570000000.0,Net Income,302000000.0,Tax Provision,198000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,25983000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,24791000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,303000000.0,Capital Expenditure,747000000.0,Cash Dividends Paid,3404000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,198000000.0,Depreciation,91.25,HON,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,16654000000.0,1,0.0,0.0,1782000000.0,44047000000.0,8163000000.0,9979000000.0,2025,6,23.060445574704957,0.05255497014149313,0.38862055641421944,0.18440880989180836,77.77229037867079,101.1117475114552,102.524687944383,0.029269706336939722,0.0318686624818928,0.9997102009273571,0.46560144862852115,0.17214064914992272,1.0,0.5,0.963968315301391,77.77229037867079,101.1117475114552,102.524687944383,0.029269706336939722,0.0318686624818928,0.47579617834394905,-0.32882534775888717,0.5,0.010051169590643274,0.010051169590643274,0.16132478632478633,0.8,1.0,6.123233995736766e-17,0.25,0.0
12930000000.0,Cash And Cash Equivalents,8923000000.0,Accounts Receivable,7118000000.0,Inventory,6681000000.0,Net PPE,7314000000.0,Accounts Payable,6945000000.0,Current Debt,30092000000.0,Long Term Debt,80917000000.0,Total Assets,63163000000.0,Total Liabilities Net Minority Interest,30747000000.0,Current Assets,22639000000.0,Current Liabilities,17754000000.0,Total Equity Gross Minority Interest,17754000000.0,Total Equity Gross Minority Interest,972000000.0,Minority Interest,2025-09-30,Q,10408000000.0,Total Revenue,6861000000.0,Cost Of Revenue,1793000000.0,Operating Expense,354000000.0,Interest Expense,1825000000.0,Net Income,363000000.0,Tax Provision,191000000.0,,110000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,14616000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,21147000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,374000000.0,Capital Expenditure,735000000.0,Cash Dividends Paid,200000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,191000000.0,Depreciation,91.25,HON,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,17754000000.0,1,0.0,0.0,1776000000.0,43489000000.0,8380000000.0,10432000000.0,2025,9,23.065840578156614,0.005395003451656777,0.34079554189085315,0.17227132974634896,78.23056783243659,94.66805130447456,97.27481416703104,0.03593389700230592,0.029820452771272443,1.2423136049192929,0.4577159311393156,0.1706379707916987,1.0,0.5,1.0,78.23056783243659,94.66805130447456,97.27481416703104,0.03593389700230592,0.029820452771272443,0.40273972602739727,-0.008647194465795541,0.5,0.0096954425942156,0.0096954425942156,0.16590493601462522,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-31,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,HON,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2025,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
