C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
855400000.0,Cash And Cash Equivalents,354900000.0,Accounts Receivable,370400000.0,Inventory,327300000.0,Net PPE,178800000.0,Accounts Payable,17600000.0,Current Debt And Capital Lease Obligation,1190300000.0,Long Term Debt,4917200000.0,Total Assets,2114100000.0,Total Liabilities Net Minority Interest,1678000000.0,Current Assets,480000000.0,Current Liabilities,2803100000.0,Total Equity Gross Minority Interest,2803100000.0,Total Equity Gross Minority Interest,0.0,Minority Interest,2021-12-31,A,2764800000.0,Total Revenue,1540300000.0,Cost Of Revenue,578200000.0,Operating Expense,41000000.0,Interest Expense,449400000.0,Net Income,130500000.0,Tax Provision,46600000.0,,68000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,1498200000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1400400000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,72700000.0,Capital Expenditure,161100000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,46600000.0,Depreciation,365.0,IEX,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2803100000.0,1,0.0,0.0,97300000.0,2911900000.0,283600000.0,443800000.0,2021,12,21.74023413657401,,0.4428891782407407,0.20912905092592593,46.852756076388886,87.77251184834124,42.3696682464455,0.02629484953703704,,0.3093894675925926,0.24564792971609858,0.03519241898148148,1.0,0.10257523148148148,0.16051793981481483,46.852756076388886,87.77251184834124,42.3696682464455,0.02629484953703704,,0.35847797062750336,0.02459490740740741,0.3093894675925926,,,0.22503879979306776,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
430200000.0,Cash And Cash Equivalents,431300000.0,Accounts Receivable,470900000.0,Inventory,382100000.0,Net PPE,208900000.0,Accounts Payable,21600000.0,Current Debt And Capital Lease Obligation,1468700000.0,Long Term Debt,5511900000.0,Total Assets,2472300000.0,Total Liabilities Net Minority Interest,1399300000.0,Current Assets,543600000.0,Current Liabilities,3039600000.0,Total Equity Gross Minority Interest,3039600000.0,Total Equity Gross Minority Interest,300000.0,Minority Interest,2022-12-31,A,3181900000.0,Total Revenue,1755000000.0,Cost Of Revenue,652700000.0,Operating Expense,40700000.0,Interest Expense,586900000.0,Net Income,162700000.0,Tax Provision,50700000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,1231200000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,675000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,68000000.0,Capital Expenditure,177400000.0,Cash Dividends Paid,296200000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,50700000.0,Depreciation,365.0,IEX,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3039600000.0,1,0.0,0.0,66900000.0,3730500000.0,313100000.0,460000000.0,2022,12,21.88074433959256,0.14051020301855033,0.44844275432917435,0.2051290109682894,49.47499921430592,97.93646723646724,43.446438746438744,0.021370879034539114,0.15490375802016498,0.13520223765674597,0.2703786353163156,0.021025173638392156,1.0,0.09840032684873817,0.14456771111599986,49.47499921430592,97.93646723646724,43.446438746438744,0.021370879034539114,0.15490375802016498,0.3022661441472142,-0.09308903485338949,0.13520223765674597,0.0336948422882689,0.0336948422882689,0.21704909284951973,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
534300000.0,Cash And Cash Equivalents,419000000.0,Accounts Receivable,420800000.0,Inventory,430300000.0,Net PPE,179700000.0,Accounts Payable,600000.0,Current Debt,1325100000.0,Long Term Debt,5865200000.0,Total Assets,2324000000.0,Total Liabilities Net Minority Interest,1446300000.0,Current Assets,500300000.0,Current Liabilities,3541200000.0,Total Equity Gross Minority Interest,3541200000.0,Total Equity Gross Minority Interest,-200000.0,Minority Interest,2023-12-31,A,3273900000.0,Total Revenue,1827000000.0,Cost Of Revenue,703500000.0,Operating Expense,51700000.0,Interest Expense,596100000.0,Net Income,164700000.0,Tax Provision,57200000.0,,83300000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,300000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,89900000.0,Capital Expenditure,190700000.0,Cash Dividends Paid,48400000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,57200000.0,Depreciation,365.0,IEX,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3541200000.0,1,0.0,0.0,72200000.0,3988600000.0,320000000.0,498600000.0,2023,12,21.909247771751428,0.028503432158867525,0.4419499679281591,0.21488133418858243,46.71339992058401,84.06787082649151,35.90065681444992,0.027459604752741378,0.14969903166710286,0.16319985338587006,0.2260280979335743,0.022053208711322887,1.0,0.09774275329118177,0.1522954274718226,46.71339992058401,84.06787082649151,35.90065681444992,0.027459604752741378,0.14969903166710286,0.31991276631437676,0.010660069030819511,0.16319985338587006,0.03469100181171576,0.03469100181171576,0.21648264984227128,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,800000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Common Stock Issuance,,,,,,,,,,,,,91.25,IEX,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
633200000.0,Cash And Cash Equivalents,467300000.0,Accounts Receivable,488200000.0,Inventory,468600000.0,Net PPE,210400000.0,Accounts Payable,600000.0,Current Debt,2075100000.0,Long Term Debt,6967500000.0,Total Assets,3149800000.0,Total Liabilities Net Minority Interest,1677800000.0,Current Assets,564600000.0,Current Liabilities,3817700000.0,Total Equity Gross Minority Interest,3817700000.0,Total Equity Gross Minority Interest,-600000.0,Minority Interest,2024-09-30,Q,798200000.0,Total Revenue,444300000.0,Cost Of Revenue,182900000.0,Operating Expense,10300000.0,Interest Expense,119100000.0,Net Income,35500000.0,Tax Provision,17400000.0,,13000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,2328000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,13700000.0,Capital Expenditure,52300000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,17400000.0,Depreciation,91.25,IEX,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3817700000.0,1,0.0,0.0,89100000.0,4821100000.0,353600000.0,510100000.0,2024,9,20.497869750578907,,0.4433725883237284,0.22914056627411677,53.42160486093711,100.26614899842448,43.211793832995724,0.01716361814081684,,0.7932848910047607,0.2979117330462863,0.11162615885742921,1.0,0.44299674267100975,0.6390628915058882,53.42160486093711,100.26614899842448,43.211793832995724,0.01716361814081684,,0.43912678421494544,0.016286644951140065,0.5,,,0.2296248382923674,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
620800000.0,Cash And Cash Equivalents,461000000.0,Accounts Receivable,429700000.0,Inventory,460400000.0,Net PPE,197800000.0,Accounts Payable,100700000.0,Current Debt,1859500000.0,Long Term Debt,6745300000.0,Total Assets,2951200000.0,Total Liabilities Net Minority Interest,1592700000.0,Current Assets,629700000.0,Current Liabilities,3794100000.0,Total Equity Gross Minority Interest,3794100000.0,Total Equity Gross Minority Interest,-600000.0,Minority Interest,2024-12-31,A,3268800000.0,Total Revenue,1823600000.0,Cost Of Revenue,758700000.0,Operating Expense,44500000.0,Interest Expense,505000000.0,Net Income,134700000.0,Tax Provision,68500000.0,,83500000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,2328000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,476400000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,65100000.0,Capital Expenditure,205300000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,68500000.0,Depreciation,365.0,IEX,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3794100000.0,1,0.0,0.0,81200000.0,4692200000.0,331200000.0,462000000.0,2024,12,21.90768878202763,1.4098190314487233,0.4421194322075379,0.2321035242290749,51.47607684777288,86.00597718797982,39.59037069532792,0.019915565345080762,0.14618011096884337,0.18991678903573175,0.290602345336753,0.024840920215369554,1.0,0.1013215859030837,0.14133627019089573,51.47607684777288,86.00597718797982,39.59037069532792,0.019915565345080762,0.14618011096884337,0.4065346534653465,0.025544542339696524,0.18991678903573175,0.021438550850315555,0.021438550850315555,0.21056745349382522,0.6,-1.0,-1.8369701987210297e-16,1.0,0.0
594100000.0,Cash And Cash Equivalents,475300000.0,Accounts Receivable,466300000.0,Inventory,459600000.0,Net PPE,208300000.0,Accounts Payable,100700000.0,Current Debt,1839100000.0,Long Term Debt,6795100000.0,Total Assets,2889200000.0,Total Liabilities Net Minority Interest,1626700000.0,Current Assets,583600000.0,Current Liabilities,3905900000.0,Total Equity Gross Minority Interest,3905900000.0,Total Equity Gross Minority Interest,-700000.0,Minority Interest,2025-03-31,Q,814300000.0,Total Revenue,445400000.0,Cost Of Revenue,209400000.0,Operating Expense,16100000.0,Interest Expense,95500000.0,Net Income,29100000.0,Tax Provision,18400000.0,,0.0,Net Common Stock Issuance,,,120800000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,14300000.0,Capital Expenditure,52400000.0,Cash Dividends Paid,101000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,18400000.0,Depreciation,91.25,IEX,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,3905900000.0,1,0.0,0.0,91000000.0,4708800000.0,274600000.0,466500000.0,2025,3,20.51783940643736,-1.3898493755902699,0.4530271398747391,0.25715338327397763,53.2618506692865,95.53182532555007,42.67484283789852,0.017561095419378607,0.03996524761077324,0.729583691514184,0.28547041250312727,0.11175242539604568,1.0,0.33722215399729827,0.5728846862335748,53.2618506692865,95.53182532555007,42.67484283789852,0.017561095419378607,0.03996524761077324,0.5486910994764398,-0.12403291170330345,0.5,0.008213447607387,0.008213447607387,0.23354735152487963,0.8,0.0,1.0,0.25,0.0
568200000.0,Cash And Cash Equivalents,468500000.0,Accounts Receivable,487800000.0,Inventory,464800000.0,Net PPE,204200000.0,Accounts Payable,800000.0,Current Debt,1847100000.0,Long Term Debt,6876100000.0,Total Assets,2865700000.0,Total Liabilities Net Minority Interest,1616500000.0,Current Assets,529800000.0,Current Liabilities,4010400000.0,Total Equity Gross Minority Interest,4010400000.0,Total Equity Gross Minority Interest,-1200000.0,Minority Interest,2025-06-30,Q,865400000.0,Total Revenue,473200000.0,Cost Of Revenue,203600000.0,Operating Expense,15600000.0,Interest Expense,131600000.0,Net Income,38800000.0,Tax Provision,19000000.0,,0.0,Net Common Stock Issuance,,,650000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,14800000.0,Capital Expenditure,53500000.0,Cash Dividends Paid,99400000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,19000000.0,Depreciation,91.25,IEX,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,4010400000.0,1,0.0,0.0,92000000.0,4794800000.0,324800000.0,488800000.0,2025,6,20.578702385755058,0.06086297931769735,0.4532008319852091,0.2352669285879362,49.399844002773285,94.06540574809806,39.377113271344044,0.0171019181881211,0.04134029590948651,0.6565749942223249,0.26874245575253414,0.10630922116940143,1.0,0.3753177721284955,0.5648255142130807,49.399844002773285,94.06540574809806,39.377113271344044,0.0171019181881211,0.04134029590948651,0.4065349544072948,-0.11486018026346198,0.5,0.008042066192390968,0.008042066192390968,0.22769953051643194,0.8,1.0,6.123233995736766e-17,0.25,0.0
593800000.0,Cash And Cash Equivalents,488700000.0,Accounts Receivable,495100000.0,Inventory,468600000.0,Net PPE,208100000.0,Accounts Payable,700000.0,Current Debt,1901600000.0,Long Term Debt,6969700000.0,Total Assets,2959600000.0,Total Liabilities Net Minority Interest,1654900000.0,Current Assets,564000000.0,Current Liabilities,4010100000.0,Total Equity Gross Minority Interest,4010100000.0,Total Equity Gross Minority Interest,-1300000.0,Minority Interest,2025-09-30,Q,878700000.0,Total Revenue,488100000.0,Cost Of Revenue,204700000.0,Operating Expense,16500000.0,Interest Expense,127800000.0,Net Income,42800000.0,Tax Provision,19100000.0,,0.0,Net Common Stock Issuance,441000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,372400000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,14800000.0,Capital Expenditure,53500000.0,Cash Dividends Paid,152000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,19100000.0,Depreciation,91.25,IEX,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4010100000.0,1,0.0,0.0,77300000.0,4846200000.0,355200000.0,494000000.0,2025,9,20.59395410046607,0.015251714711013165,0.4445203141003755,0.23295777853647434,50.74982929327415,92.55864576930956,38.90416922761729,0.016843063616706497,0.041092943201376936,0.6757710253784,0.2729385769832274,0.08797086605212245,1.0,0.404233526800956,0.5621941504495277,50.74982929327415,92.55864576930956,38.90416922761729,0.016843063616706497,0.041092943201376936,0.418622848200313,-0.1729828155229316,0.5,0.008929054602521781,0.008929054602521781,0.2508792497069168,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-31,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,IEX,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2025,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,-1.0,-1.8369701987210297e-16,1.0,0.0
