C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,991000000.0,Other Current Liabilities,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,,,,,,,4830000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,365.0,INTC,Information Technology,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
11144000000.0,Cash And Cash Equivalents,4133000000.0,Accounts Receivable,13224000000.0,Inventory,80860000000.0,Net PPE,9595000000.0,Accounts Payable,4323000000.0,Current Debt,37684000000.0,Long Term Debt,182103000000.0,Total Assets,78817000000.0,Total Liabilities Net Minority Interest,50407000000.0,Current Assets,32155000000.0,Current Liabilities,103286000000.0,Total Equity Gross Minority Interest,103286000000.0,Total Equity Gross Minority Interest,1863000000.0,Minority Interest,2022-12-31,A,63054000000.0,Total Revenue,36188000000.0,Cost Of Revenue,24530000000.0,Operating Expense,496000000.0,Interest Expense,8014000000.0,Net Income,-249000000.0,Tax Provision,11128000000.0,,5160000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,27534000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,19936000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,24844000000.0,Capital Expenditure,5997000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,11128000000.0,Depreciation,365.0,INTC,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,103286000000.0,1,0.0,0.0,21906000000.0,50836000000.0,18237000000.0,8978000000.0,2022,12,24.867257339057925,,0.42607923367272493,0.38903162368763283,23.924651885685286,133.38012600862163,96.77724660108323,0.3940114822215878,,0.17673739968915533,0.23067714425352684,0.3474165001427348,0.8062295809940686,0.2892282805214578,0.14238589145811525,23.924651885685286,133.38012600862163,96.77724660108323,0.3940114822215878,,0.7483154479660594,0.08183461794652203,0.17673739968915533,,,0.03206696716033484,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
7079000000.0,Cash And Cash Equivalents,3402000000.0,Accounts Receivable,11127000000.0,Inventory,96647000000.0,Net PPE,8578000000.0,Accounts Payable,2288000000.0,Current Debt,46978000000.0,Long Term Debt,191572000000.0,Total Assets,81607000000.0,Total Liabilities Net Minority Interest,43269000000.0,Current Assets,28053000000.0,Current Liabilities,109965000000.0,Total Equity Gross Minority Interest,109965000000.0,Total Equity Gross Minority Interest,4375000000.0,Minority Interest,2023-12-31,A,54228000000.0,Total Revenue,32517000000.0,Cost Of Revenue,21680000000.0,Operating Expense,878000000.0,Interest Expense,1689000000.0,Net Income,-913000000.0,Tax Provision,7847000000.0,,6044000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,34173000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,13524000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,25750000000.0,Capital Expenditure,3088000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,7847000000.0,Depreciation,365.0,INTC,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,109965000000.0,1,0.0,0.0,21661000000.0,51656000000.0,17187000000.0,6576000000.0,2023,12,24.716463217163554,-0.15079412189437136,0.400365125027661,0.39979346463081805,22.898318211993804,124.89943721745549,96.28717286342528,0.4748469425389098,0.09704427405392035,0.13054141771778416,0.257167018144614,0.39944309212952717,0.952570627719997,0.31693958840451425,0.12126576676255808,22.898318211993804,124.89943721745549,96.28717286342528,0.4748469425389098,0.09704427405392035,1.0,0.1114553367264144,0.13054141771778416,0.020901278358368844,0.020901278358368844,0.5,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,2609000000.0,Short Term Debt Payments,,,,,,,,,91.25,INTC,Information Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,,,4740000000.0,Short Term Debt Payments,,,,,,,,,91.25,INTC,Information Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
8249000000.0,Cash And Cash Equivalents,3478000000.0,Accounts Receivable,12198000000.0,Inventory,107919000000.0,Net PPE,12556000000.0,Accounts Payable,3729000000.0,Current Debt,46282000000.0,Long Term Debt,196485000000.0,Total Assets,91453000000.0,Total Liabilities Net Minority Interest,47324000000.0,Current Assets,35666000000.0,Current Liabilities,105032000000.0,Total Equity Gross Minority Interest,105032000000.0,Total Equity Gross Minority Interest,5762000000.0,Minority Interest,2024-12-31,Q,14260000000.0,Total Revenue,8676000000.0,Cost Of Revenue,5115000000.0,Operating Expense,234000000.0,Interest Expense,-126000000.0,Net Income,752000000.0,Tax Provision,2300000000.0,,,,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,5834000000.0,Capital Expenditure,0.0,Cash Dividends Paid,,,2300000000.0,Depreciation,91.25,INTC,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,105032000000.0,1,0.0,0.0,23399000000.0,41242000000.0,19381000000.0,9505000000.0,2024,12,23.380724251932563,,0.39158485273492283,0.358695652173913,22.25578541374474,128.292704011065,132.05797602581836,0.4091164095371669,,0.5784712482468444,0.25452833549634835,0.5,1.0,0.5,0.6665497896213184,22.25578541374474,128.292704011065,132.05797602581836,0.4091164095371669,,0.0,,0.5,,,0.5,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
8947000000.0,Cash And Cash Equivalents,3064000000.0,Accounts Receivable,12281000000.0,Inventory,109763000000.0,Net PPE,10896000000.0,Accounts Payable,5240000000.0,Current Debt,44911000000.0,Long Term Debt,192242000000.0,Total Assets,85829000000.0,Total Liabilities Net Minority Interest,42134000000.0,Current Assets,32174000000.0,Current Liabilities,106413000000.0,Total Equity Gross Minority Interest,106413000000.0,Total Equity Gross Minority Interest,6657000000.0,Minority Interest,2025-03-31,Q,12667000000.0,Total Revenue,7995000000.0,Cost Of Revenue,4817000000.0,Operating Expense,299000000.0,Interest Expense,-821000000.0,Net Income,301000000.0,Tax Provision,2425000000.0,,,,2992000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,6000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,5183000000.0,Capital Expenditure,0.0,Cash Dividends Paid,,,2425000000.0,Depreciation,91.25,INTC,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,106413000000.0,1,0.0,0.0,17842000000.0,40345000000.0,16038000000.0,8744000000.0,2025,3,23.262266023447907,-0.11845822848465559,0.36883239914739085,0.38027946632983345,22.07231388647667,140.16776110068793,124.36022514071294,0.40917344280413676,0.02247055662116958,0.7063235178021631,0.2608743146658899,0.5,1.0,0.5,0.6902976237467435,22.07231388647667,140.16776110068793,124.36022514071294,0.40917344280413676,0.02247055662116958,0.0,,0.5,0.005978684689368339,0.005978684689368339,0.0,0.8,0.0,1.0,0.25,0.0
9643000000.0,Cash And Cash Equivalents,2360000000.0,Accounts Receivable,11377000000.0,Inventory,109510000000.0,Net PPE,10666000000.0,Accounts Payable,6731000000.0,Current Debt,44026000000.0,Long Term Debt,192520000000.0,Total Assets,86769000000.0,Total Liabilities Net Minority Interest,43375000000.0,Current Assets,34966000000.0,Current Liabilities,105751000000.0,Total Equity Gross Minority Interest,105751000000.0,Total Equity Gross Minority Interest,7868000000.0,Minority Interest,2025-06-30,Q,12859000000.0,Total Revenue,9317000000.0,Cost Of Revenue,4828000000.0,Operating Expense,227000000.0,Interest Expense,-2918000000.0,Net Income,255000000.0,Tax Provision,2788000000.0,,,,3994000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2992000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,3550000000.0,Capital Expenditure,0.0,Cash Dividends Paid,,,2788000000.0,Depreciation,91.25,INTC,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,105751000000.0,1,0.0,0.0,19995000000.0,39635000000.0,17569000000.0,7777000000.0,2025,6,23.277309792234714,0.015043768786807021,0.27544910179640714,0.37545687845089043,16.74702542966016,111.42548567135344,104.46200493721155,0.2760712341550665,0.025400180388655557,0.7499027918189595,0.2636453355495533,0.5,1.0,0.5,0.6047904191616766,16.74702542966016,111.42548567135344,104.46200493721155,0.2760712341550665,0.025400180388655557,0.0,,0.5,0.004526330481944527,0.004526330481944527,0.0,0.8,1.0,6.123233995736766e-17,0.25,0.0
11141000000.0,Cash And Cash Equivalents,3202000000.0,Accounts Receivable,11489000000.0,Inventory,105047000000.0,Net PPE,10268000000.0,Accounts Payable,2496000000.0,Current Debt,44057000000.0,Long Term Debt,204514000000.0,Total Assets,87784000000.0,Total Liabilities Net Minority Interest,51731000000.0,Current Assets,32297000000.0,Current Liabilities,116730000000.0,Total Equity Gross Minority Interest,116730000000.0,Total Equity Gross Minority Interest,10354000000.0,Minority Interest,2025-09-30,Q,13653000000.0,Total Revenue,8435000000.0,Cost Of Revenue,4360000000.0,Operating Expense,282000000.0,Interest Expense,4063000000.0,Net Income,304000000.0,Tax Provision,2758000000.0,,,,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,14991000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,2425000000.0,Capital Expenditure,0.0,Cash Dividends Paid,,,2758000000.0,Depreciation,91.25,INTC,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,116730000000.0,1,0.0,0.0,25899000000.0,47736000000.0,19533000000.0,11430000000.0,2025,9,23.337225114649026,0.0599153224143123,0.38218706511389433,0.3193437339778803,21.40060792499817,124.28823355068168,111.07943094250149,0.17761664103127517,0.025184914619669437,0.8160111330843038,0.2276274484876341,0.5,1.0,0.5,0.8371786420566908,21.40060792499817,124.28823355068168,111.07943094250149,0.17761664103127517,0.025184914619669437,0.0,,0.5,0.005555883917489213,0.005555883917489213,0.06961300664071444,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
14265000000.0,Cash And Cash Equivalents,3839000000.0,Accounts Receivable,11618000000.0,Inventory,105414000000.0,Net PPE,9882000000.0,Accounts Payable,2499000000.0,Current Debt,44086000000.0,Long Term Debt,211429000000.0,Total Assets,85069000000.0,Total Liabilities Net Minority Interest,63688000000.0,Current Assets,31575000000.0,Current Liabilities,126360000000.0,Total Equity Gross Minority Interest,126360000000.0,Total Equity Gross Minority Interest,12079000000.0,Minority Interest,2025-12-31,Q,13674000000.0,Total Revenue,8731000000.0,Cost Of Revenue,4393000000.0,Operating Expense,283000000.0,Interest Expense,-591000000.0,Net Income,671000000.0,Tax Provision,2786000000.0,,,,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,3488000000.0,Capital Expenditure,0.0,Cash Dividends Paid,,,2786000000.0,Depreciation,91.25,INTC,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,126360000000.0,1,0.0,0.0,33966000000.0,42327000000.0,19194000000.0,9408000000.0,2025,12,23.338762056438014,0.001536941788987889,0.36148895714494667,0.3212666374140705,25.61860099458827,121.42280380254266,103.27940671171687,0.25508263858417435,0.02652146182185117,1.0432207108380869,0.22033401283646048,0.5,1.0,0.5,0.688021061869241,25.61860099458827,121.42280380254266,103.27940671171687,0.25508263858417435,0.02652146182185117,0.0,,0.5,0.006079092647090413,0.006079092647090413,0.5,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
