C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,87000000.0,Long Term Debt And Capital Lease Obligation,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,ISRG,Health Care,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
1581200000.0,Cash And Cash Equivalents,942100000.0,Accounts Receivable,893200000.0,Inventory,2374200000.0,Net PPE,147000000.0,Accounts Payable,,,,,12974000000.0,Total Assets,1861400000.0,Total Liabilities Net Minority Interest,6253000000.0,Current Assets,1422100000.0,Current Liabilities,11112600000.0,Total Equity Gross Minority Interest,11112600000.0,Total Equity Gross Minority Interest,70700000.0,Minority Interest,2022-12-31,A,6222200000.0,Total Revenue,2026200000.0,Cost Of Revenue,2618900000.0,Operating Expense,,,1322300000.0,Net Income,262400000.0,Tax Provision,338000000.0,,0.0,Net Common Stock Issuance,,,,,532400000.0,Capital Expenditure,,,5214800000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,338000000.0,Depreciation,365.0,ISRG,Health Care,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,11112600000.0,1,0.0,0.0,2836500000.0,4346800000.0,,,2022,12,22.551389378910393,,0.6743595512841117,0.4208961460576645,55.26445630162965,160.9011943539631,26.480604086467277,0.08556459130211179,,0.25412233615120056,0.0,0.45586769952749834,0.6985953521262576,,,55.26445630162965,160.9011943539631,26.480604086467277,0.08556459130211179,,,-0.8380958503423227,0.25412233615120056,,,0.16558339117814097,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
2750100000.0,Cash And Cash Equivalents,1130200000.0,Accounts Receivable,1220600000.0,Inventory,3537600000.0,Net PPE,188700000.0,Accounts Payable,,,,,15441500000.0,Total Assets,2044200000.0,Total Liabilities Net Minority Interest,7888000000.0,Current Assets,1658700000.0,Current Liabilities,13397300000.0,Total Equity Gross Minority Interest,13397300000.0,Total Equity Gross Minority Interest,89700000.0,Minority Interest,2023-12-31,A,7124100000.0,Total Revenue,2394600000.0,Cost Of Revenue,2962700000.0,Operating Expense,,,1798000000.0,Net Income,141600000.0,Tax Provision,401600000.0,,0.0,Net Common Stock Issuance,,,,,1064200000.0,Capital Expenditure,,,832600000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,401600000.0,Depreciation,365.0,ISRG,Health Care,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,13397300000.0,1,0.0,0.0,2787100000.0,4015900000.0,,,2023,12,22.68674923933314,0.13535986042274573,0.6638733313681728,0.41587007481646804,57.90527926334555,186.05153261505052,28.762841393134554,0.14938027259583667,0.16915171426164602,0.3860277087632122,0.0,0.39122134725789925,0.5637062927246951,,,57.90527926334555,186.05153261505052,28.762841393134554,0.14938027259583667,0.16915171426164602,,-0.11687090299125504,0.3860277087632122,,,0.07300474324603011,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,-17900000.0,Receivables Adjustments Allowances,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,0.0,Net Common Stock Issuance,,,,,,,,,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,91.25,ISRG,Health Care,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,-23600000.0,Receivables Adjustments Allowances,,,6244500000.0,Gross PPE,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,0.0,Net Common Stock Issuance,,,,,,,,,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,91.25,ISRG,Health Care,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
2027400000.0,Cash And Cash Equivalents,1225400000.0,Accounts Receivable,1487200000.0,Inventory,4646600000.0,Net PPE,193400000.0,Accounts Payable,,,,,18743200000.0,Total Assets,2213600000.0,Total Liabilities Net Minority Interest,7111000000.0,Current Assets,1745300000.0,Current Liabilities,16529600000.0,Total Equity Gross Minority Interest,16529600000.0,Total Equity Gross Minority Interest,95900000.0,Minority Interest,2024-12-31,A,8352100000.0,Total Revenue,2717900000.0,Cost Of Revenue,3285300000.0,Operating Expense,,,2322600000.0,Net Income,336300000.0,Tax Provision,445300000.0,,0.0,Net Common Stock Issuance,,,,,1111200000.0,Capital Expenditure,,,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,445300000.0,Depreciation,365.0,ISRG,Health Care,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,16529600000.0,1,0.0,0.0,2371000000.0,6985600000.0,,,2024,12,22.84577884119509,,0.6745848349516887,0.39335017540498796,53.55192107374193,199.72331579528313,25.972625924426946,0.13304438404712587,0.07131075346304748,0.24274134648770967,0.0,0.2838807006621089,0.836388453203386,,,53.55192107374193,199.72331579528313,25.972625924426946,0.13304438404712587,0.07131075346304748,,0.0,0.24274134648770967,,,0.12648087555003948,0.6,-1.0,-1.8369701987210297e-16,1.0,0.0
2573800000.0,Cash And Cash Equivalents,1090500000.0,Accounts Receivable,1553600000.0,Inventory,4799000000.0,Net PPE,276200000.0,Accounts Payable,,,,,19220400000.0,Total Assets,2012700000.0,Total Liabilities Net Minority Interest,7657800000.0,Current Assets,1538100000.0,Current Liabilities,17207700000.0,Total Equity Gross Minority Interest,17207700000.0,Total Equity Gross Minority Interest,101300000.0,Minority Interest,2025-03-31,Q,2253400000.0,Total Revenue,795700000.0,Cost Of Revenue,879600000.0,Operating Expense,,,698400000.0,Net Income,-35200000.0,Tax Provision,137500000.0,,,,,,,,116600000.0,Capital Expenditure,,,,,137500000.0,Depreciation,91.25,ISRG,Health Care,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,17207700000.0,1,0.0,0.0,2439900000.0,6763600000.0,,,2025,3,21.53570602369434,-1.3100728175007532,0.6468891452915595,0.3903434809621017,44.15910402059111,178.1651376146789,31.674311926605505,0.05174403124167924,0.02959152929023372,1.1421851424514067,0.0,0.5,1.0,,,44.15910402059111,178.1651376146789,31.674311926605505,0.05174403124167924,0.02959152929023372,,,0.5,,,0.05307599517490953,0.8,0.0,1.0,0.25,0.0
3403100000.0,Cash And Cash Equivalents,1132000000.0,Accounts Receivable,1667000000.0,Inventory,4985300000.0,Net PPE,266800000.0,Accounts Payable,,,,,20163200000.0,Total Assets,2210100000.0,Total Liabilities Net Minority Interest,8745900000.0,Current Assets,1692600000.0,Current Liabilities,17953100000.0,Total Equity Gross Minority Interest,17953100000.0,Total Equity Gross Minority Interest,107400000.0,Minority Interest,2025-06-30,Q,2440000000.0,Total Revenue,822100000.0,Cost Of Revenue,874500000.0,Operating Expense,,,658400000.0,Net Income,167900000.0,Tax Provision,152100000.0,,,,,,,,155300000.0,Capital Expenditure,,,,,152100000.0,Depreciation,91.25,ISRG,Health Care,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,17953100000.0,1,0.0,0.0,2543800000.0,6432000000.0,,,2025,6,21.61526387625152,0.0795578525571834,0.6630737704918033,0.3584016393442623,42.334016393442624,185.0307140250578,29.61379394234278,0.06364754098360656,0.031694102938112104,1.3947131147540983,0.0,0.5,1.0,,,42.334016393442624,185.0307140250578,29.61379394234278,0.06364754098360656,0.031694102938112104,,,0.5,,,0.20319496550889507,0.8,1.0,6.123233995736766e-17,0.25,0.0
2806600000.0,Cash And Cash Equivalents,1120000000.0,Accounts Receivable,1781900000.0,Inventory,5150900000.0,Net PPE,291200000.0,Accounts Payable,,,,,19351800000.0,Total Assets,2309700000.0,Total Liabilities Net Minority Interest,8525300000.0,Current Assets,1803200000.0,Current Liabilities,17042100000.0,Total Equity Gross Minority Interest,17042100000.0,Total Equity Gross Minority Interest,112400000.0,Minority Interest,2025-09-30,Q,2505100000.0,Total Revenue,842700000.0,Cost Of Revenue,902700000.0,Operating Expense,,,704400000.0,Net Income,146000000.0,Tax Provision,156700000.0,,0.0,Net Common Stock Issuance,,,,,105400000.0,Capital Expenditure,,,3826600000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,156700000.0,Depreciation,91.25,ISRG,Health Care,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,17042100000.0,1,0.0,0.0,2816800000.0,5675600000.0,,,2025,9,21.64159449084613,0.026330614594609614,0.663606243263742,0.3603448964113209,40.79677457985709,192.94929986946718,31.531980538744513,0.04207416869586045,0.03143241128919022,1.120354476867191,0.0,0.5,1.0,,,40.79677457985709,192.94929986946718,31.531980538744513,0.04207416869586045,0.03143241128919022,,-1.0,0.5,,,0.17168391345249295,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
3368000000.0,Cash And Cash Equivalents,1527300000.0,Accounts Receivable,1840000000.0,Inventory,5342400000.0,Net PPE,255100000.0,Accounts Payable,,,,,20458700000.0,Total Assets,2517000000.0,Total Liabilities Net Minority Interest,9779500000.0,Current Assets,2006200000.0,Current Liabilities,17941700000.0,Total Equity Gross Minority Interest,17941700000.0,Total Equity Gross Minority Interest,117700000.0,Minority Interest,2025-12-31,A,10064700000.0,Total Revenue,3422400000.0,Cost Of Revenue,3696800000.0,Operating Expense,,,2856000000.0,Net Income,434800000.0,Tax Provision,614700000.0,,0.0,Net Common Stock Issuance,,,,,539800000.0,Capital Expenditure,,,4590600000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,614700000.0,Depreciation,365.0,ISRG,Health Care,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,17941700000.0,1,0.0,0.0,3044200000.0,5336800000.0,,,2025,12,23.032300089334637,1.3907055984885055,0.6599600584220096,0.36730354605701115,55.38808906375749,196.23655913978496,27.206492519869098,0.05363299452542053,0.11933836805218505,0.3346349121185927,0.0,0.3024630639760748,0.5302492871123828,,,55.38808906375749,196.23655913978496,27.206492519869098,0.05363299452542053,0.11933836805218505,,-0.4561089749321887,0.3346349121185927,,,0.13212592682630364,0.8,-1.0,-1.8369701987210297e-16,1.0,0.0
