C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,53456000.0,Current Debt,,,,,,,,,,,,,,,,,2021-09-30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,J,Industrials,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2021,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.2246467991473532e-16,-1.0,1.0,0.0
1140479000.0,Cash And Cash Equivalents,1400088000.0,Accounts Receivable,,,823589000.0,Net PPE,966792000.0,Accounts Payable,50415000.0,Current Debt,3357256000.0,Long Term Debt,14660419000.0,Total Assets,7923505000.0,Total Liabilities Net Minority Interest,4721994000.0,Current Assets,3250845000.0,Current Liabilities,6736914000.0,Total Equity Gross Minority Interest,6736914000.0,Total Equity Gross Minority Interest,676858000.0,Minority Interest,2022-09-30,A,9783074000.0,Total Revenue,7203115000.0,Cost Of Revenue,2040075000.0,Operating Expense,100187000.0,Interest Expense,644039000.0,Net Income,66328000.0,Tax Provision,102454000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,9436500000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,9699741000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,127615000.0,Capital Expenditure,115948000.0,Cash Dividends Paid,563852000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,102454000.0,Depreciation,365.0,J,Industrials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,6736914000.0,1,0.0,0.0,,9114836000.0,2233638000.0,1315404000.0,2022,9,23.003919586534973,,0.2637165986887148,0.2085310813349669,52.23635434015934,,48.989788445693286,0.013044468435994657,,0.11657675286929241,0.23244021879592935,,0.9316944755809882,0.22831658024870302,0.13445712462156578,52.23635434015934,,48.989788445693286,0.013044468435994657,,0.18003257566700154,-0.05763546304566438,0.11657675286929241,0.5,0.5,0.09337145447353269,0.2,1.2246467991473532e-16,-1.0,1.0,0.0
770853000.0,Cash And Cash Equivalents,1128955000.0,Accounts Receivable,,,604606000.0,Net PPE,922355000.0,Accounts Payable,61430000.0,Current Debt,2813471000.0,Long Term Debt,14617109000.0,Total Assets,7384048000.0,Total Liabilities Net Minority Interest,4690353000.0,Current Assets,3422561000.0,Current Liabilities,7233061000.0,Total Equity Gross Minority Interest,7233061000.0,Total Equity Gross Minority Interest,686841000.0,Minority Interest,2023-09-30,A,10851420000.0,Total Revenue,8140560000.0,Cost Of Revenue,2034376000.0,Operating Expense,168085000.0,Interest Expense,665777000.0,Net Income,101336000.0,Tax Provision,103346000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,11607426000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,17956775000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,137486000.0,Capital Expenditure,128420000.0,Cash Dividends Paid,531428000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,103346000.0,Depreciation,365.0,J,Industrials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,7233061000.0,1,0.0,0.0,,9322150000.0,2438776000.0,1148016000.0,2023,9,23.107561783945457,0.1036421974104833,0.24981615309332783,0.18747555619448883,37.973700676962096,,41.35582502923632,0.01266986256176611,0.12548249187398083,0.07103706243053905,0.19668054743246424,,0.8590719002674304,0.22474256825374006,0.10579408040606667,37.973700676962096,,41.35582502923632,0.01266986256176611,0.12548249187398083,0.19288740824630468,-0.048973129783936115,0.07103706243053905,0.04932547772364175,0.04932547772364175,0.132100485847587,0.4,1.2246467991473532e-16,-1.0,1.0,0.0
,,,,,,,,,,825166000.0,Current Debt,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,J,Industrials,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,875760000.0,Current Debt,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,J,Industrials,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
1299657000.0,Cash And Cash Equivalents,1403877000.0,Accounts Receivable,,,580809000.0,Net PPE,984963000.0,Accounts Payable,818545000.0,Current Debt,1717270000.0,Long Term Debt,11610849000.0,Total Assets,6589290000.0,Total Liabilities Net Minority Interest,4946964000.0,Current Assets,3943095000.0,Current Liabilities,5021559000.0,Total Equity Gross Minority Interest,5021559000.0,Total Equity Gross Minority Interest,816200000.0,Minority Interest,2024-12-31,Q,2932956000.0,Total Revenue,2211689000.0,Cost Of Revenue,512849000.0,Operating Expense,34820000.0,Interest Expense,-18130000.0,Net Income,57149000.0,Tax Provision,20922000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,1767000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,900035000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,10333000.0,Capital Expenditure,36481000.0,Cash Dividends Paid,403252000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,20922000.0,Depreciation,91.25,J,Industrials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,5021559000.0,1,0.0,0.0,,6083076000.0,2139587000.0,928925000.0,2024,12,21.79927662512446,,0.24591811128431518,0.17485737938107493,43.67736040022421,,40.63766368146697,0.003523066830869607,,0.4431218879519502,0.21840048044720933,,1.0,0.5,0.31671971894566436,43.67736040022421,,40.63766368146697,0.003523066830869607,,0.0,-0.1374899589356267,0.4431218879519502,0.03975975153009957,0.03975975153009957,0.5,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
1204649000.0,Cash And Cash Equivalents,1298460000.0,Accounts Receivable,,,575211000.0,Net PPE,991668000.0,Accounts Payable,110000000.0,Current Debt And Capital Lease Obligation,2633620000.0,Long Term Debt,11210695000.0,Total Assets,6515994000.0,Total Liabilities Net Minority Interest,4444185000.0,Current Assets,2959460000.0,Current Liabilities,4694701000.0,Total Equity Gross Minority Interest,4694701000.0,Total Equity Gross Minority Interest,830257000.0,Minority Interest,2025-03-31,Q,2910415000.0,Total Revenue,2172070000.0,Cost Of Revenue,529697000.0,Operating Expense,38580000.0,Interest Expense,5612000.0,Net Income,50576000.0,Tax Provision,20039000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,3777603000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2850108000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,17270000.0,Capital Expenditure,39397000.0,Cash Dividends Paid,701552000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,20039000.0,Depreciation,91.25,J,Industrials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4694701000.0,1,0.0,0.0,,6191299000.0,1857792000.0,922914000.0,2025,3,21.791561519645583,-0.007715105478876438,0.25369062487652105,0.18200050508260848,40.710508638802374,,41.66058414323663,0.005933861665776186,0.034501875831813904,0.4139097001630352,0.2447323738626374,,1.0,0.5,0.3171073541058578,40.710508638802374,,41.66058414323663,0.005933861665776186,0.034501875831813904,1.0,-0.24104878513888914,0.4139097001630352,0.015214043611225582,0.015214043611225582,0.5,0.8,0.0,1.0,0.25,0.0
1293307000.0,Cash And Cash Equivalents,1475699000.0,Accounts Receivable,,,607285000.0,Net PPE,1125307000.0,Accounts Payable,110008000.0,Current Debt And Capital Lease Obligation,2508692000.0,Long Term Debt,11412840000.0,Total Assets,6673238000.0,Total Liabilities Net Minority Interest,4470683000.0,Current Assets,3205292000.0,Current Liabilities,4739602000.0,Total Equity Gross Minority Interest,4739602000.0,Total Equity Gross Minority Interest,917581000.0,Minority Interest,2025-06-30,Q,3031768000.0,Total Revenue,2273358000.0,Cost Of Revenue,523396000.0,Operating Expense,37051000.0,Interest Expense,179605000.0,Net Income,53752000.0,Tax Provision,21077000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,975000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1928000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,22052000.0,Capital Expenditure,38935000.0,Cash Dividends Paid,201690000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,21077000.0,Depreciation,91.25,J,Industrials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4739602000.0,1,0.0,0.0,,6334872000.0,1969977000.0,959254000.0,2025,6,21.832411784648553,0.04085026500296962,0.2501543653736038,0.17263722026223643,44.41551390145948,,45.16854087653594,0.007273643629723646,0.036642206077422024,0.42658508170809906,0.2294520908029903,,1.0,0.5,0.3164008591686435,44.41551390145948,,45.16854087653594,0.007273643629723646,0.036642206077422024,0.21678127000918682,-0.06652553889347734,0.42658508170809906,0.013504421166196484,0.013504421166196484,0.23034235099011385,0.8,1.0,6.123233995736766e-17,0.25,0.0
1235448000.0,Cash And Cash Equivalents,1386253000.0,Accounts Receivable,,,600973000.0,Net PPE,1261489000.0,Accounts Payable,111040000.0,Current Debt And Capital Lease Obligation,2236456000.0,Long Term Debt,11252535000.0,Total Assets,6585936000.0,Total Liabilities Net Minority Interest,4359319000.0,Current Assets,3350899000.0,Current Liabilities,4666599000.0,Total Equity Gross Minority Interest,4666599000.0,Total Equity Gross Minority Interest,1025792000.0,Minority Interest,2025-09-30,Q,3154644000.0,Total Revenue,2387731000.0,Cost Of Revenue,555358000.0,Operating Expense,35337000.0,Interest Expense,122250000.0,Net Income,54078000.0,Tax Provision,20021000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,855000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2180000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,29577000.0,Capital Expenditure,38214000.0,Cash Dividends Paid,201766000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,20021000.0,Depreciation,91.25,J,Industrials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4666599000.0,1,0.0,0.0,,6292243000.0,1978370000.0,998581000.0,2025,9,21.872141489806005,0.03972970515745189,0.24310603668749942,0.1760445869644879,40.0982127460341,,48.20931304657015,0.009375701346966567,0.03296804630445343,0.3916283422154766,0.20861930222834232,,1.0,0.5,0.31654316620195494,40.0982127460341,,48.20931304657015,0.009375701346966567,0.03296804630445343,0.3125889570552147,-0.06395840544923612,0.3916283422154766,0.013494100126016725,0.013494100126016725,0.3066898053627331,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
1552913000.0,Cash And Cash Equivalents,1567508000.0,Accounts Receivable,,,604903000.0,Net PPE,1262870000.0,Accounts Payable,111703000.0,Current Debt And Capital Lease Obligation,2486022000.0,Long Term Debt,11614495000.0,Total Assets,7073284000.0,Total Liabilities Net Minority Interest,4756698000.0,Current Assets,3577715000.0,Current Liabilities,4541211000.0,Total Equity Gross Minority Interest,4541211000.0,Total Equity Gross Minority Interest,1097311000.0,Minority Interest,2025-12-31,Q,3293281000.0,Total Revenue,2528031000.0,Cost Of Revenue,532689000.0,Operating Expense,34254000.0,Interest Expense,125508000.0,Net Income,73109000.0,Tax Provision,21613000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,2157000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1896000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,15821000.0,Capital Expenditure,38558000.0,Cash Dividends Paid,504164000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,21613000.0,Depreciation,91.25,J,Industrials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4541211000.0,1,0.0,0.0,,6252894000.0,2203142000.0,1009547000.0,2025,12,21.915150169223562,0.04300867941755726,0.23236705279628433,0.16175024238745495,43.43240221529836,,45.58365285077596,0.004804023707664181,0.035963346107063046,0.47153978054104706,0.22366232883995388,,1.0,0.5,0.30654748258651476,43.43240221529836,,45.58365285077596,0.004804023707664181,0.035963346107063046,0.30721547630429935,-0.15308866750210504,0.47153978054104706,0.014591718154152339,0.014591718154152339,0.36809034473383445,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
