C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,9000000.0,Other Current Liabilities,,,,,,,2021-03-31,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,MCK,Health Care,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,0.0
3532000000.0,Cash And Cash Equivalents,16438000000.0,Accounts Receivable,18702000000.0,Inventory,3640000000.0,Net PPE,38086000000.0,Accounts Payable,799000000.0,Current Debt,5080000000.0,Long Term Debt,63298000000.0,Total Assets,65090000000.0,Total Liabilities Net Minority Interest,46231000000.0,Current Assets,48466000000.0,Current Liabilities,-1792000000.0,Total Equity Gross Minority Interest,-1792000000.0,Total Equity Gross Minority Interest,480000000.0,Minority Interest,2022-03-31,A,263966000000.0,Total Revenue,250836000000.0,Cost Of Revenue,10537000000.0,Operating Expense,178000000.0,Interest Expense,1114000000.0,Net Income,636000000.0,Tax Provision,279000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,23878000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,40168000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,535000000.0,Capital Expenditure,277000000.0,Cash Dividends Paid,7032000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,279000000.0,Depreciation,365.0,MCK,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-1792000000.0,1,0.0,0.0,7559000000.0,13427000000.0,9581000000.0,11544000000.0,2022,3,26.299086143920068,,0.04974125455551093,0.039918019744967156,22.72970761385936,27.21391666268,55.42023473504601,0.0020267761757196004,,0.01338051112643295,0.09287813201049007,0.028636263761241978,0.05086639946053659,0.036296341195456994,0.043732904995340306,22.72970761385936,27.21391666268,55.42023473504601,0.0020267761757196004,,0.24865350089766608,-0.02663979451899108,0.01338051112643295,,,0.36342857142857143,0.2,0.0,1.0,1.0,0.0
4678000000.0,Cash And Cash Equivalents,17160000000.0,Accounts Receivable,19691000000.0,Inventory,3812000000.0,Net PPE,42490000000.0,Accounts Payable,968000000.0,Current Debt,4626000000.0,Long Term Debt,62320000000.0,Total Assets,63810000000.0,Total Liabilities Net Minority Interest,44292000000.0,Current Assets,47957000000.0,Current Liabilities,-1490000000.0,Total Equity Gross Minority Interest,-1490000000.0,Total Equity Gross Minority Interest,367000000.0,Minority Interest,2023-03-31,A,276711000000.0,Total Revenue,264353000000.0,Cost Of Revenue,7776000000.0,Operating Expense,248000000.0,Interest Expense,3560000000.0,Net Income,905000000.0,Tax Provision,248000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,19891000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,30446000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,558000000.0,Capital Expenditure,292000000.0,Cash Dividends Paid,7276000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,248000000.0,Depreciation,365.0,MCK,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-1490000000.0,1,0.0,0.0,2763000000.0,14216000000.0,4499000000.0,11227000000.0,2023,3,26.34623947719559,0.04715333327552074,0.04466031346784194,0.02810152108156163,22.635168099569587,27.187945663563493,58.66719878344486,0.0020165443368713207,0.06813186813186813,0.016905724745311896,0.08976251604621309,0.009985146958378958,0.05137490016659981,0.01625884045086751,0.04057301661300057,22.635168099569587,27.187945663563493,58.66719878344486,0.0020165443368713207,0.06813186813186813,0.08202247191011236,-0.026294581711605248,0.016905724745311896,0.04218404490559619,0.04218404490559619,0.2026875699888018,0.4,0.0,1.0,1.0,0.0
4583000000.0,Cash And Cash Equivalents,19439000000.0,Accounts Receivable,21139000000.0,Inventory,4045000000.0,Net PPE,47097000000.0,Accounts Payable,50000000.0,Current Debt,5579000000.0,Long Term Debt,67443000000.0,Total Assets,69042000000.0,Total Liabilities Net Minority Interest,47970000000.0,Current Assets,52357000000.0,Current Liabilities,-1599000000.0,Total Equity Gross Minority Interest,-1599000000.0,Total Equity Gross Minority Interest,372000000.0,Minority Interest,2024-03-31,A,308951000000.0,Total Revenue,296123000000.0,Cost Of Revenue,8657000000.0,Operating Expense,252000000.0,Interest Expense,3002000000.0,Net Income,629000000.0,Tax Provision,253000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,42901000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,63632000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,687000000.0,Capital Expenditure,314000000.0,Cash Dividends Paid,6050000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,253000000.0,Depreciation,365.0,MCK,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-1599000000.0,1,0.0,0.0,2809000000.0,15428000000.0,5210000000.0,11106000000.0,2024,3,26.456448525217866,0.11020904802227705,0.04152114736641088,0.028020624629795664,22.96556735534114,26.05584503736623,58.0515697868791,0.002223653589080469,0.06636935991605457,0.014834067538218034,0.0834630725204988,0.009092056669180549,0.04993672135710841,0.016863515573667023,0.03594744797718732,22.96556735534114,26.05584503736623,58.0515697868791,0.002223653589080469,0.06636935991605457,0.10459693537641572,-0.01958239332450777,0.014834067538218034,0.04504826599928495,0.04504826599928495,0.1732305150096392,0.6,0.0,1.0,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,0.0,Long Term Debt Payments+Long Term Debt Payments,,,,,,,,,91.25,MCK,Health Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,371000000.0,Other Current Liabilities,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,,,1002000000.0,Long Term Debt Payments+Long Term Debt Payments,,,,,,,,,91.25,MCK,Health Care,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
1131000000.0,Cash And Cash Equivalents,25831000000.0,Accounts Receivable,23837000000.0,Inventory,4155000000.0,Net PPE,49689000000.0,Accounts Payable,3590000000.0,Current Debt,4422000000.0,Long Term Debt,71081000000.0,Total Assets,73785000000.0,Total Liabilities Net Minority Interest,51741000000.0,Current Assets,58562000000.0,Current Liabilities,-2704000000.0,Total Equity Gross Minority Interest,-2704000000.0,Total Equity Gross Minority Interest,380000000.0,Minority Interest,2024-12-31,Q,95294000000.0,Total Revenue,92010000000.0,Cost Of Revenue,2028000000.0,Operating Expense,67000000.0,Interest Expense,879000000.0,Net Income,298000000.0,Tax Provision,58000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,9038000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,6318000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,196000000.0,Capital Expenditure,92000000.0,Cash Dividends Paid,1654000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,58000000.0,Depreciation,91.25,MCK,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-2704000000.0,1,0.0,0.0,942000000.0,15185000000.0,5283000000.0,10801000000.0,2024,12,25.28023268654796,,0.03446177094045799,0.021281507754947845,24.734807542972277,23.640107053581133,49.27857026410173,0.002056792662706991,,0.011868533171028607,0.11271647838381564,0.009885197389132579,0.15934896215921254,0.05543895733204609,0.1133439670913174,24.734807542972277,23.640107053581133,49.27857026410173,0.002056792662706991,,0.10466439135381114,-0.017356811551619198,0.011868533171028607,,,0.2531860662701784,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
5691000000.0,Cash And Cash Equivalents,22281000000.0,Accounts Receivable,23001000000.0,Inventory,4284000000.0,Net PPE,55330000000.0,Accounts Payable,1191000000.0,Current Debt,4463000000.0,Long Term Debt,75140000000.0,Total Assets,76834000000.0,Total Liabilities Net Minority Interest,55398000000.0,Current Assets,61604000000.0,Current Liabilities,-1694000000.0,Total Equity Gross Minority Interest,-1694000000.0,Total Equity Gross Minority Interest,380000000.0,Minority Interest,2025-03-31,Q,90823000000.0,Total Revenue,87184000000.0,Cost Of Revenue,1975000000.0,Operating Expense,45000000.0,Interest Expense,1260000000.0,Net Income,209000000.0,Tax Provision,60000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,7382000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,18384000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,278000000.0,Capital Expenditure,91000000.0,Cash Dividends Paid,600000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,60000000.0,Depreciation,91.25,MCK,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-1694000000.0,1,0.0,0.0,4425000000.0,15458000000.0,5083000000.0,10767000000.0,2025,3,25.232178394442382,-0.04805429210557932,0.040066943395395405,0.02174559307664358,22.385753058146065,24.07369758212516,57.91042507799596,0.003060898671041476,0.01444043321299639,0.06266033934135626,0.07524620708011712,0.048721138918555874,0.17019917862215517,0.05596599980181231,0.11854926615504884,22.385753058146065,24.07369758212516,57.91042507799596,0.003060898671041476,0.01444043321299639,0.07222222222222222,-0.006606256124549949,0.06266033934135626,0.005616575137294059,0.005616575137294059,0.14227365554799182,0.8,0.0,1.0,0.25,0.0
2418000000.0,Cash And Cash Equivalents,28158000000.0,Accounts Receivable,25065000000.0,Inventory,4742000000.0,Net PPE,57861000000.0,Accounts Payable,1249000000.0,Current Debt,6528000000.0,Long Term Debt,81311000000.0,Total Assets,82174000000.0,Total Liabilities Net Minority Interest,56801000000.0,Current Assets,64331000000.0,Current Liabilities,-863000000.0,Total Equity Gross Minority Interest,-863000000.0,Total Equity Gross Minority Interest,1104000000.0,Minority Interest,2025-06-30,Q,97827000000.0,Total Revenue,94548000000.0,Cost Of Revenue,2196000000.0,Operating Expense,49000000.0,Interest Expense,784000000.0,Net Income,220000000.0,Tax Provision,62000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,5970000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Repayment Of Debt+Short Term Debt Payments,189000000.0,Capital Expenditure,90000000.0,Cash Dividends Paid,1162000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,62000000.0,Depreciation,91.25,MCK,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-863000000.0,1,0.0,0.0,1160000000.0,19768000000.0,5221000000.0,11315000000.0,2025,6,25.306466449505507,0.07428805506312486,0.03351835382869761,0.022447790487288784,26.26491152749241,24.190688856453864,55.842706879045565,0.0019319819681682972,0.014472455648926238,0.024717102640375358,0.09564511566700692,0.01185766710621812,0.2020710028928619,0.05336972410479724,0.11566336491970519,26.26491152749241,24.190688856453864,55.842706879045565,0.0019319819681682972,0.014472455648926238,0.11479591836734694,-0.01187811135984953,0.024717102640375358,0.008666430845419171,0.008666430845419171,0.21912350597609562,0.8,1.0,6.123233995736766e-17,0.25,0.0
4004000000.0,Cash And Cash Equivalents,28286000000.0,Accounts Receivable,26134000000.0,Inventory,4618000000.0,Net PPE,60938000000.0,Accounts Payable,1747000000.0,Current Debt,6011000000.0,Long Term Debt,84160000000.0,Total Assets,84738000000.0,Total Liabilities Net Minority Interest,59887000000.0,Current Assets,68031000000.0,Current Liabilities,-578000000.0,Total Equity Gross Minority Interest,-578000000.0,Total Equity Gross Minority Interest,1161000000.0,Minority Interest,2025-09-30,Q,103150000000.0,Total Revenue,99608000000.0,Cost Of Revenue,2074000000.0,Operating Expense,74000000.0,Interest Expense,1110000000.0,Net Income,232000000.0,Tax Provision,62000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,4550000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,6829000000.0,Repayment Of Debt+Repayment Of Debt+Short Term Debt Payments,196000000.0,Capital Expenditure,89000000.0,Cash Dividends Paid,1636000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,62000000.0,Depreciation,91.25,MCK,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-578000000.0,1,0.0,0.0,1463000000.0,19655000000.0,5346000000.0,10696000000.0,2025,9,25.359450076463673,0.052983626958166496,0.03433834222006782,0.020106640814348035,25.022758119243818,23.94112420689101,55.82475805156212,0.0019001454192922927,0.013074652045550401,0.03881725642268541,0.09218155893536122,0.0141832283082889,0.19054774600096946,0.051827435773145906,0.10369365002423656,25.022758119243818,23.94112420689101,55.82475805156212,0.0019001454192922927,0.013074652045550401,0.08018018018018018,-0.015860397479398932,0.03881725642268541,0.009515237238009516,0.009515237238009516,0.17287630402384502,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
