C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,MMC,Financials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
1442000000.0,Cash And Cash Equivalents,5293000000.0,Accounts Receivable,,,2433000000.0,Net PPE,3278000000.0,Accounts Payable,268000000.0,Current Debt,11227000000.0,Long Term Debt,44114000000.0,Total Assets,33365000000.0,Total Liabilities Net Minority Interest,18959000000.0,Current Assets,17832000000.0,Current Liabilities,10749000000.0,Total Equity Gross Minority Interest,10749000000.0,Total Equity Gross Minority Interest,229000000.0,Minority Interest,2022-12-31,A,20720000000.0,Total Revenue,12071000000.0,Cost Of Revenue,4369000000.0,Operating Expense,469000000.0,Interest Expense,3050000000.0,Net Income,995000000.0,Tax Provision,381000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,2952000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1460000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,470000000.0,Capital Expenditure,1138000000.0,Cash Dividends Paid,3900000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,381000000.0,Depreciation,365.0,MMC,Financials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,10749000000.0,1,0.0,0.0,,22722000000.0,14286000000.0,4306000000.0,2022,12,23.754365254337692,,0.4174227799227799,0.21085907335907336,93.2405888030888,,99.11937701930246,0.022683397683397683,,0.06959459459459459,0.2605748741895997,,1.0,0.5,0.20781853281853283,93.2405888030888,,99.11937701930246,0.022683397683397683,,0.37311475409836065,-0.18822393822393824,0.06959459459459459,,,0.24598269468479605,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
3358000000.0,Cash And Cash Equivalents,5806000000.0,Accounts Receivable,,,2423000000.0,Net PPE,3403000000.0,Accounts Payable,1619000000.0,Current Debt,11844000000.0,Long Term Debt,48030000000.0,Total Assets,35660000000.0,Total Liabilities Net Minority Interest,21748000000.0,Current Assets,19795000000.0,Current Liabilities,12370000000.0,Total Equity Gross Minority Interest,12370000000.0,Total Equity Gross Minority Interest,179000000.0,Minority Interest,2023-12-31,A,22736000000.0,Total Revenue,13099000000.0,Cost Of Revenue,4355000000.0,Operating Expense,578000000.0,Interest Expense,3756000000.0,Net Income,1224000000.0,Tax Provision,370000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,6799000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1502000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,416000000.0,Capital Expenditure,1298000000.0,Cash Dividends Paid,2300000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,370000000.0,Depreciation,365.0,MMC,Financials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,12370000000.0,1,0.0,0.0,,23859000000.0,14773000000.0,4021000000.0,2023,12,23.847215408301157,0.09285015396346452,0.4238652357494722,0.19154644616467276,93.20856790992259,,94.82365066035575,0.018296973961998593,0.15207562679819153,0.14769528501055595,0.2803039766812409,,1.0,0.5,0.1768560872624912,93.20856790992259,,94.82365066035575,0.018296973961998593,0.15207562679819153,0.345580404685836,-0.10116115411681914,0.14769528501055595,0.050282731622444544,0.050282731622444544,0.2457831325301205,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,MMC,Financials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,MMC,Financials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
2398000000.0,Cash And Cash Equivalents,6533000000.0,Accounts Receivable,,,2357000000.0,Net PPE,3402000000.0,Accounts Payable,519000000.0,Current Debt,19428000000.0,Long Term Debt,56481000000.0,Total Assets,42946000000.0,Total Liabilities Net Minority Interest,22117000000.0,Current Assets,19518000000.0,Current Liabilities,13535000000.0,Total Equity Gross Minority Interest,13535000000.0,Total Equity Gross Minority Interest,193000000.0,Minority Interest,2024-12-31,A,24458000000.0,Total Revenue,13996000000.0,Cost Of Revenue,4645000000.0,Operating Expense,700000000.0,Interest Expense,4060000000.0,Net Income,1363000000.0,Tax Provision,369000000.0,,420000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,24510000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,6468000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,316000000.0,Capital Expenditure,1513000000.0,Cash Dividends Paid,1800000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,369000000.0,Depreciation,365.0,MMC,Financials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,13535000000.0,1,0.0,0.0,,32007000000.0,15597000000.0,4000000000.0,2024,12,23.92022319771359,,0.4277537002207866,0.18991740943658517,97.49550249407147,,88.72034867104887,0.012920107940142285,,0.09804562924196582,0.35316301056992616,,1.0,0.5,0.16354567012838336,97.49550249407147,,88.72034867104887,0.012920107940142285,,0.37266009852216747,-0.056423256194292254,0.09804562924196582,,,0.25133689839572193,0.6,-1.0,-1.8369701987210297e-16,1.0,0.0
1604000000.0,Cash And Cash Equivalents,7215000000.0,Accounts Receivable,,,2317000000.0,Net PPE,3450000000.0,Accounts Payable,1667000000.0,Current Debt,18862000000.0,Long Term Debt,57015000000.0,Total Assets,42747000000.0,Total Liabilities Net Minority Interest,22461000000.0,Current Assets,19775000000.0,Current Liabilities,14268000000.0,Total Equity Gross Minority Interest,14268000000.0,Total Equity Gross Minority Interest,203000000.0,Minority Interest,2025-03-31,Q,7061000000.0,Total Revenue,3850000000.0,Cost Of Revenue,1206000000.0,Operating Expense,245000000.0,Interest Expense,1381000000.0,Net Income,415000000.0,Tax Provision,88000000.0,,340000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,2096000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2020000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,55000000.0,Capital Expenditure,405000000.0,Cash Dividends Paid,600000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,88000000.0,Depreciation,91.25,MMC,Financials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,14268000000.0,1,0.0,0.0,,32237000000.0,14658000000.0,4110000000.0,2025,3,22.67785252148062,-1.2423706762329694,0.4547514516357456,0.17079733748760798,93.24015720152953,,81.76948051948052,0.007789264976632205,0.037335596096733134,0.22716329131851012,0.3600631412786109,,1.0,0.5,0.5820705282537885,93.24015720152953,,81.76948051948052,0.007789264976632205,0.037335596096733134,0.2932657494569153,-0.03682197988953406,0.22716329131851012,0.012282548754198626,0.012282548754198626,0.23106904231625836,0.8,0.0,1.0,0.25,0.0
1677000000.0,Cash And Cash Equivalents,7751000000.0,Accounts Receivable,,,2310000000.0,Net PPE,3434000000.0,Accounts Payable,769000000.0,Current Debt,18960000000.0,Long Term Debt,58555000000.0,Total Assets,42579000000.0,Total Liabilities Net Minority Interest,23334000000.0,Current Assets,19400000000.0,Current Liabilities,15976000000.0,Total Equity Gross Minority Interest,15976000000.0,Total Equity Gross Minority Interest,209000000.0,Minority Interest,2025-06-30,Q,6974000000.0,Total Revenue,3895000000.0,Cost Of Revenue,1250000000.0,Operating Expense,243000000.0,Interest Expense,1211000000.0,Net Income,415000000.0,Tax Provision,91000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,20000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,59000000.0,Capital Expenditure,405000000.0,Cash Dividends Paid,884000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,91000000.0,Depreciation,91.25,MMC,Financials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,15976000000.0,1,0.0,0.0,,32911000000.0,15197000000.0,4219000000.0,2025,6,22.66545478519987,-0.012397736280750138,0.44149698881560084,0.1792371666188701,101.41651132778892,,80.44993581514763,0.008459994264410669,0.03927492447129909,0.24046458273587612,0.3369310904278029,,1.0,0.5,0.6049612847720103,101.41651132778892,,80.44993581514763,0.008459994264410669,0.03927492447129909,0.3344343517753922,-0.12675652423286493,0.24046458273587612,0.01183691363437089,0.01183691363437089,0.25522755227552274,0.8,1.0,6.123233995736766e-17,0.25,0.0
2511000000.0,Cash And Cash Equivalents,7256000000.0,Accounts Receivable,,,2256000000.0,Net PPE,3355000000.0,Accounts Payable,1263000000.0,Current Debt,18317000000.0,Long Term Debt,58783000000.0,Total Assets,43424000000.0,Total Liabilities Net Minority Interest,23699000000.0,Current Assets,21098000000.0,Current Liabilities,15359000000.0,Total Equity Gross Minority Interest,15359000000.0,Total Equity Gross Minority Interest,206000000.0,Minority Interest,2025-09-30,Q,6351000000.0,Total Revenue,3894000000.0,Cost Of Revenue,1287000000.0,Operating Expense,237000000.0,Interest Expense,747000000.0,Net Income,253000000.0,Tax Provision,91000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,16000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,72000000.0,Capital Expenditure,445000000.0,Cash Dividends Paid,816000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,91000000.0,Depreciation,91.25,MMC,Financials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,15359000000.0,1,0.0,0.0,,32828000000.0,16480000000.0,4009000000.0,2025,9,22.57187811776725,-0.09357666743262172,0.3868682097307511,0.2026452527161077,104.25287356321839,,78.61935028248588,0.011336797354747285,0.03939393939393939,0.39537080774681155,0.3330894986645799,,1.0,0.5,0.6312391749330815,104.25287356321839,,78.61935028248588,0.011336797354747285,0.03939393939393939,0.5957161981258366,-0.12848370335380255,0.39537080774681155,0.012012773075168534,0.012012773075168534,0.253,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
2687000000.0,Cash And Cash Equivalents,7015000000.0,Accounts Receivable,,,2289000000.0,Net PPE,3652000000.0,Accounts Payable,1267000000.0,Current Debt,18320000000.0,Long Term Debt,58710000000.0,Total Assets,43395000000.0,Total Liabilities Net Minority Interest,23200000000.0,Current Assets,21060000000.0,Current Liabilities,15315000000.0,Total Equity Gross Minority Interest,15315000000.0,Total Equity Gross Minority Interest,215000000.0,Minority Interest,2025-12-31,A,26981000000.0,Total Revenue,15577000000.0,Cost Of Revenue,5181000000.0,Operating Expense,960000000.0,Interest Expense,4160000000.0,Net Income,1305000000.0,Tax Provision,361000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2076000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,291000000.0,Capital Expenditure,1699000000.0,Cash Dividends Paid,4024000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,361000000.0,Depreciation,365.0,MMC,Financials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,15315000000.0,1,0.0,0.0,,33221000000.0,16141000000.0,4015000000.0,2025,12,24.018398751531365,1.4465206337641163,0.422667803268967,0.19202401690078202,94.89918831770505,,85.57360210566861,0.010785367480819836,0.1600177304964539,0.09958859938475223,0.3336228921819111,,1.0,0.5,0.1488084207405211,94.89918831770505,,85.57360210566861,0.010785367480819836,0.1600177304964539,0.40841346153846153,-0.1491419888069382,0.09958859938475223,0.049029622063329927,0.049029622063329927,0.23879231473010065,0.8,-1.0,-1.8369701987210297e-16,1.0,0.0
