C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-06-30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,MSFT,Information Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2021,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,6.123233995736766e-17,1.0,0.0
13931000000.0,Cash And Cash Equivalents,44261000000.0,Accounts Receivable,3742000000.0,Inventory,87546000000.0,Net PPE,19000000000.0,Accounts Payable,2749000000.0,Current Debt,47032000000.0,Long Term Debt,364840000000.0,Total Assets,198298000000.0,Total Liabilities Net Minority Interest,169684000000.0,Current Assets,95082000000.0,Current Liabilities,166542000000.0,Total Equity Gross Minority Interest,166542000000.0,Total Equity Gross Minority Interest,166542000000.0,Total Equity Gross Minority Interest,2022-06-30,A,198270000000.0,Total Revenue,62650000000.0,Cost Of Revenue,52237000000.0,Operating Expense,2063000000.0,Interest Expense,72738000000.0,Net Income,10978000000.0,Tax Provision,14460000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,36092000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,23886000000.0,Capital Expenditure,18135000000.0,Cash Dividends Paid,65392000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,14460000000.0,Depreciation,365.0,MSFT,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,166542000000.0,1,0.0,0.0,107750000000.0,107610000000.0,73333000000.0,56184000000.0,2022,6,26.01289557509688,,0.684016744842891,0.2634639632823927,81.48113683361073,21.80095770151636,110.69433359936153,0.12047208352246935,,0.07026277298633177,0.13644611336476264,0.5,0.5427447420184597,0.3698643264235638,0.2833711605386594,81.48113683361073,21.80095770151636,110.69433359936153,0.12047208352246935,,0.24931947537738183,-0.32981288142432036,0.07026277298633177,,,0.13113383343685794,0.2,1.0,6.123233995736766e-17,1.0,0.0
34704000000.0,Cash And Cash Equivalents,48688000000.0,Accounts Receivable,2500000000.0,Inventory,109987000000.0,Net PPE,18095000000.0,Accounts Payable,5247000000.0,Current Debt,41990000000.0,Long Term Debt,411976000000.0,Total Assets,205753000000.0,Total Liabilities Net Minority Interest,184257000000.0,Current Assets,104149000000.0,Current Liabilities,206223000000.0,Total Equity Gross Minority Interest,206223000000.0,Total Equity Gross Minority Interest,206223000000.0,Total Equity Gross Minority Interest,2023-06-30,A,211915000000.0,Total Revenue,65863000000.0,Cost Of Revenue,57529000000.0,Operating Expense,1968000000.0,Interest Expense,72361000000.0,Net Income,16950000000.0,Tax Provision,13861000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,11000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,28107000000.0,Capital Expenditure,19800000000.0,Cash Dividends Paid,44490000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,13861000000.0,Depreciation,365.0,MSFT,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,206223000000.0,1,0.0,0.0,98365000000.0,117732000000.0,80807000000.0,59614000000.0,2023,6,26.079451087822903,0.06655551272602267,0.6892008588349102,0.27147205247386924,83.85966071302173,13.854516192703034,100.27898820278457,0.13263336715192411,0.15832819317844332,0.16376377321095723,0.11465959182088277,0.46417195573697,0.5555623717056367,0.38131798126607364,0.281310902956374,83.85966071302173,13.854516192703034,100.27898820278457,0.13263336715192411,0.15832819317844332,0.2736280593137187,-0.20994266569143288,0.16376377321095723,0.039533155219863,0.039533155219863,0.18978625253328257,0.4,1.0,6.123233995736766e-17,1.0,0.0
18315000000.0,Cash And Cash Equivalents,56924000000.0,Accounts Receivable,1246000000.0,Inventory,154552000000.0,Net PPE,21996000000.0,Accounts Payable,8942000000.0,Current Debt,42688000000.0,Long Term Debt,512163000000.0,Total Assets,243686000000.0,Total Liabilities Net Minority Interest,159734000000.0,Current Assets,125286000000.0,Current Liabilities,268477000000.0,Total Equity Gross Minority Interest,268477000000.0,Total Equity Gross Minority Interest,268477000000.0,Total Equity Gross Minority Interest,2024-06-30,A,245122000000.0,Total Revenue,74114000000.0,Cost Of Revenue,61575000000.0,Operating Expense,2935000000.0,Interest Expense,88136000000.0,Net Income,19651000000.0,Tax Provision,22287000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,73185000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,116280000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,44477000000.0,Capital Expenditure,21771000000.0,Cash Dividends Paid,34508000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,22287000000.0,Depreciation,365.0,MSFT,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,268477000000.0,1,0.0,0.0,83249000000.0,197877000000.0,94348000000.0,75712000000.0,2024,6,26.225021882734282,0.1455707949113787,0.6976444382797138,0.2512014425469766,84.76293437553545,6.136357503305718,108.32690179992984,0.18144842160230415,0.20263303844999864,0.07471789557852825,0.10080775065750552,0.3396227184830411,0.8072592423364692,0.3849022119597588,0.30887476440303197,84.76293437553545,6.136357503305718,108.32690179992984,0.18144842160230415,0.20263303844999864,0.24701597531088318,-0.14077887745693982,0.07471789557852825,0.06213349704680653,0.06213349704680653,0.18231326597827197,0.6,1.0,6.123233995736766e-17,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,,,,,,,,,91.25,MSFT,Information Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
17482000000.0,Cash And Cash Equivalents,48188000000.0,Accounts Receivable,909000000.0,Inventory,189718000000.0,Net PPE,22608000000.0,Accounts Payable,5248000000.0,Current Debt,39722000000.0,Long Term Debt,533898000000.0,Total Assets,231203000000.0,Total Liabilities Net Minority Interest,147080000000.0,Current Assets,108882000000.0,Current Liabilities,302695000000.0,Total Equity Gross Minority Interest,302695000000.0,Total Equity Gross Minority Interest,302695000000.0,Total Equity Gross Minority Interest,2024-12-31,Q,69632000000.0,Total Revenue,21799000000.0,Cost Of Revenue,16180000000.0,Operating Expense,594000000.0,Interest Expense,24108000000.0,Net Income,5257000000.0,Tax Provision,5667000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,15804000000.0,Capital Expenditure,6170000000.0,Cash Dividends Paid,9972000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,5667000000.0,Depreciation,91.25,MSFT,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,302695000000.0,1,0.0,0.0,80501000000.0,197100000000.0,81026000000.0,82599000000.0,2024,12,24.966490068739834,,0.6869399126838236,0.23236443014705882,63.1484805836397,3.8050483967154456,94.63645121335841,0.22696461397058823,,0.25106272977941174,0.08422957194070778,0.5,1.0,0.5,1.0,63.1484805836397,3.8050483967154456,94.63645121335841,0.22696461397058823,,0.25593164094906257,-0.14321001838235295,0.25106272977941174,,,0.17902264600715137,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
28828000000.0,Cash And Cash Equivalents,51700000000.0,Accounts Receivable,848000000.0,Inventory,208414000000.0,Net PPE,26250000000.0,Accounts Payable,2999000000.0,Current Debt,39882000000.0,Long Term Debt,562624000000.0,Total Assets,240733000000.0,Total Liabilities Net Minority Interest,156644000000.0,Current Assets,114206000000.0,Current Liabilities,321891000000.0,Total Equity Gross Minority Interest,321891000000.0,Total Equity Gross Minority Interest,321891000000.0,Total Equity Gross Minority Interest,2025-03-31,Q,70066000000.0,Total Revenue,21919000000.0,Cost Of Revenue,16147000000.0,Operating Expense,594000000.0,Interest Expense,25824000000.0,Net Income,5553000000.0,Tax Provision,8740000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,9000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,16745000000.0,Capital Expenditure,6169000000.0,Cash Dividends Paid,9562000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,8740000000.0,Depreciation,91.25,MSFT,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,321891000000.0,1,0.0,0.0,75268000000.0,197566000000.0,84957000000.0,86645000000.0,2025,3,24.972703491928026,0.006213423188192735,0.6871663859789341,0.23045414323637714,67.3311591927611,3.530270541539304,109.28019070213057,0.23898895327262867,0.04606837516735365,0.41144064168070105,0.07621608747582755,0.5,1.0,0.5,1.0,67.3311591927611,3.530270541539304,109.28019070213057,0.23898895327262867,0.04606837516735365,0.2388863073110285,-0.13647132703451031,0.41144064168070105,0.013208805870580386,0.013208805870580386,0.17697676642126398,0.8,0.0,1.0,0.25,0.0
30242000000.0,Cash And Cash Equivalents,69905000000.0,Accounts Receivable,938000000.0,Inventory,229789000000.0,Net PPE,27724000000.0,Accounts Payable,2999000000.0,Current Debt,40152000000.0,Long Term Debt,619003000000.0,Total Assets,275524000000.0,Total Liabilities Net Minority Interest,191131000000.0,Current Assets,141218000000.0,Current Liabilities,343479000000.0,Total Equity Gross Minority Interest,343479000000.0,Total Equity Gross Minority Interest,343479000000.0,Total Equity Gross Minority Interest,2025-06-30,A,281724000000.0,Total Revenue,87831000000.0,Cost Of Revenue,65365000000.0,Operating Expense,2385000000.0,Interest Expense,101832000000.0,Net Income,21795000000.0,Tax Provision,34153000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,12864000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,64551000000.0,Capital Expenditure,24082000000.0,Cash Dividends Paid,36840000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,34153000000.0,Depreciation,365.0,MSFT,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,343479000000.0,1,0.0,0.0,90046000000.0,198083000000.0,110495000000.0,94154000000.0,2025,6,26.364193705217783,1.3914902132897566,0.6882374238616518,0.23201786145305334,90.56851741420681,3.8980542177591055,115.21285195432137,0.22912850875324786,0.16387094916848197,0.10734619698712215,0.06971048605580264,0.31962488108929304,0.7031101361616334,0.3922101063452173,0.3342065283752893,90.56851741420681,3.8980542177591055,115.21285195432137,0.22912850875324786,0.16387094916848197,0.23648754811846964,-0.13076628189291647,0.10734619698712215,0.055619038735104126,0.055619038735104126,0.17629644009803683,0.8,1.0,6.123233995736766e-17,1.0,0.0
28849000000.0,Cash And Cash Equivalents,52894000000.0,Accounts Receivable,1130000000.0,Inventory,255652000000.0,Net PPE,32580000000.0,Accounts Payable,7832000000.0,Current Debt,35376000000.0,Long Term Debt,636351000000.0,Total Assets,273275000000.0,Total Liabilities Net Minority Interest,189066000000.0,Current Assets,134996000000.0,Current Liabilities,363076000000.0,Total Equity Gross Minority Interest,363076000000.0,Total Equity Gross Minority Interest,363076000000.0,Total Equity Gross Minority Interest,2025-09-30,Q,77673000000.0,Total Revenue,24043000000.0,Cost Of Revenue,15669000000.0,Operating Expense,698000000.0,Interest Expense,27747000000.0,Net Income,6554000000.0,Tax Provision,13061000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,19394000000.0,Capital Expenditure,6169000000.0,Cash Dividends Paid,11300000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,13061000000.0,Depreciation,91.25,MSFT,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,363076000000.0,1,0.0,0.0,106193000000.0,191633000000.0,94584000000.0,102903000000.0,2025,9,25.07577354358376,-1.288420161634022,0.6904587179586215,0.20173033100305127,62.13970749166377,4.288670299047539,123.6503348167866,0.24968779369922625,0.0568391002180261,0.37141606478441674,0.06789963400701814,0.5,1.0,0.5,1.0,62.13970749166377,4.288670299047539,123.6503348167866,0.24968779369922625,0.0568391002180261,0.22233034201895702,-0.14548169891725568,0.37141606478441674,0.016175754907186393,0.016175754907186393,0.191073146555494,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
24296000000.0,Cash And Cash Equivalents,56535000000.0,Accounts Receivable,1059000000.0,Inventory,286229000000.0,Net PPE,37328000000.0,Accounts Payable,4837000000.0,Current Debt,35425000000.0,Long Term Debt,665302000000.0,Total Assets,274427000000.0,Total Liabilities Net Minority Interest,180190000000.0,Current Assets,130005000000.0,Current Liabilities,390875000000.0,Total Equity Gross Minority Interest,390875000000.0,Total Equity Gross Minority Interest,390875000000.0,Total Equity Gross Minority Interest,2025-12-31,Q,81273000000.0,Total Revenue,25978000000.0,Cost Of Revenue,17020000000.0,Operating Expense,736000000.0,Interest Expense,38458000000.0,Net Income,9788000000.0,Tax Provision,9198000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,12000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,29876000000.0,Capital Expenditure,6762000000.0,Cash Dividends Paid,14830000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,9198000000.0,Depreciation,91.25,MSFT,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,390875000000.0,1,0.0,0.0,98300000000.0,198883000000.0,87840000000.0,108997000000.0,2025,12,25.121079695020622,0.04530615143686134,0.6803612515841669,0.20941764177525132,63.475185485954746,3.719830240973131,131.1178689660482,0.367600556150259,0.03597859590380674,0.29894306842370777,0.060516878049367055,0.5,1.0,0.5,1.0,63.475185485954746,3.719830240973131,131.1178689660482,0.367600556150259,0.03597859590380674,0.1758281761922097,-0.18247142347397044,0.29894306842370777,0.01703388261433068,0.01703388261433068,0.20287692243916594,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
