C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,699823000.0,Current Debt,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,NFLX,Communication Services,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
5147176000.0,Cash And Cash Equivalents,988898000.0,Accounts Receivable,,,1398257000.0,Net PPE,671513000.0,Accounts Payable,,,14353076000.0,Long Term Debt,48594768000.0,Total Assets,27817367000.0,Total Liabilities Net Minority Interest,9266473000.0,Current Assets,7930974000.0,Current Liabilities,20777401000.0,Total Equity Gross Minority Interest,20777401000.0,Total Equity Gross Minority Interest,20777401000.0,Total Equity Gross Minority Interest,2022-12-31,A,31615550000.0,Total Revenue,19168285000.0,Cost Of Revenue,6814434000.0,Operating Expense,706212000.0,Interest Expense,4491924000.0,Net Income,772005000.0,Tax Provision,336682000.0,,178730000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2800000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,407729000.0,Capital Expenditure,,,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,336682000.0,Depreciation,365.0,NFLX,Communication Services,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,20777401000.0,1,0.0,0.0,,37930038000.0,,5533317000.0,2022,12,24.176914925110978,,0.3937070523840326,0.2155405805054791,11.416779717575686,,12.786863561346255,0.012896470249608183,,0.1628052018705985,0.29536257895088625,,1.0,,0.1750188435753925,11.416779717575686,,12.786863561346255,0.012896470249608183,,,0.005653230767770923,0.1628052018705985,0.5,0.5,0.14665946292208729,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
7116913000.0,Cash And Cash Equivalents,1287054000.0,Accounts Receivable,,,1491444000.0,Net PPE,747412000.0,Accounts Payable,399844000.0,Current Debt,14143417000.0,Long Term Debt,48731992000.0,Total Assets,28143679000.0,Total Liabilities Net Minority Interest,9918133000.0,Current Assets,8860655000.0,Current Liabilities,20588313000.0,Total Equity Gross Minority Interest,20588313000.0,Total Equity Gross Minority Interest,20588313000.0,Total Equity Gross Minority Interest,2023-12-31,A,33723297000.0,Total Revenue,19715368000.0,Cost Of Revenue,7053926000.0,Operating Expense,748598000.0,Interest Expense,5407990000.0,Net Income,797415000.0,Tax Provision,356947000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,348552000.0,Capital Expenditure,,,12090694000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,356947000.0,Depreciation,365.0,NFLX,Communication Services,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,20588313000.0,1,0.0,0.0,,37322415000.0,7713399000.0,5139607000.0,2023,12,24.241454741101034,0.06453981599005587,0.41537839553469524,0.2091707106811057,13.93027229810893,,13.837194416051478,0.010335644228380162,0.25527996641532996,0.21103846993370784,0.29843354238423087,,1.0,0.228726123664599,0.1524052348736839,13.93027229810893,,13.837194416051478,0.010335644228380162,0.25527996641532996,,-0.3585264513134644,0.21103846993370784,0.052155928109068744,0.052155928109068744,0.12850329672277636,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,1800041000.0,Current Debt,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,NFLX,Communication Services,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,1820396000.0,Current Debt,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,5383380000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,,,,,,,,,91.25,NFLX,Communication Services,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
7804733000.0,Cash And Cash Equivalents,1335304000.0,Accounts Receivable,,,1593756000.0,Net PPE,899909000.0,Accounts Payable,1784453000.0,Current Debt,13798351000.0,Long Term Debt,53630374000.0,Total Assets,28886807000.0,Total Liabilities Net Minority Interest,13100379000.0,Current Assets,10755400000.0,Current Liabilities,24743567000.0,Total Equity Gross Minority Interest,24743567000.0,Total Equity Gross Minority Interest,24743567000.0,Total Equity Gross Minority Interest,2024-12-31,Q,10246513000.0,Total Revenue,5767364000.0,Cost Of Revenue,2206383000.0,Operating Expense,192603000.0,Interest Expense,1868607000.0,Net Income,265661000.0,Tax Provision,79539000.0,,546312000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,158674000.0,Capital Expenditure,,,1927496000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,79539000.0,Depreciation,91.25,NFLX,Communication Services,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,24743567000.0,1,0.0,0.0,,38936239000.0,8071038000.0,4333056000.0,2024,12,23.05020328952939,,0.43713885884885917,0.21533013230940126,11.891507871995087,,14.238167774740765,0.015485658389346698,,0.7616964912844009,0.29055930133920005,,1.0,0.5,0.4228810327962303,11.891507871995087,,14.238167774740765,0.015485658389346698,,,-0.13479551531335587,0.5,0.10580280334608513,0.10580280334608513,0.12447405855309643,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
7199848000.0,Cash And Cash Equivalents,1447986000.0,Accounts Receivable,,,1644346000.0,Net PPE,614489000.0,Accounts Payable,1005881000.0,Current Debt,14011037000.0,Long Term Debt,52087644000.0,Total Assets,28059571000.0,Total Liabilities Net Minority Interest,11697632000.0,Current Assets,9718519000.0,Current Liabilities,24028073000.0,Total Equity Gross Minority Interest,24028073000.0,Total Equity Gross Minority Interest,24028073000.0,Total Equity Gross Minority Interest,2025-03-31,Q,10542801000.0,Total Revenue,5263147000.0,Cost Of Revenue,1932655000.0,Operating Expense,184172000.0,Interest Expense,2890351000.0,Net Income,323375000.0,Tax Provision,80067000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,3200000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,128277000.0,Capital Expenditure,,,7072792000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,80067000.0,Depreciation,91.25,NFLX,Communication Services,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,24028073000.0,1,0.0,0.0,,38745666000.0,8098149000.0,4330015000.0,2025,3,23.078709094280093,0.0285058047507043,0.5007828564723928,0.18331513608195774,12.53260139312124,,10.653725090710937,0.012167259915083288,0.05023792851603382,0.6829160485908821,0.2883009644283393,,1.0,0.5,0.41070821691503046,12.53260139312124,,10.653725090710937,0.012167259915083288,0.05023792851603382,,-0.6708646023006599,0.5,0.011818925528422227,0.011818925528422227,0.10062307738743129,0.8,0.0,1.0,0.25,0.0
8177405000.0,Cash And Cash Equivalents,1579859000.0,Accounts Receivable,,,1743566000.0,Net PPE,632718000.0,Accounts Payable,,,14453206000.0,Long Term Debt,53099664000.0,Total Assets,28147765000.0,Total Liabilities Net Minority Interest,11993106000.0,Current Assets,8942335000.0,Current Liabilities,24951899000.0,Total Equity Gross Minority Interest,24951899000.0,Total Equity Gross Minority Interest,24951899000.0,Total Equity Gross Minority Interest,2025-06-30,Q,11079166000.0,Total Revenue,5325311000.0,Cost Of Revenue,1979161000.0,Operating Expense,182649000.0,Interest Expense,3125413000.0,Net Income,506262000.0,Tax Provision,80013000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,4133800000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,155889000.0,Capital Expenditure,,,3308654000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,80013000.0,Depreciation,91.25,NFLX,Communication Services,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,24951899000.0,1,0.0,0.0,,39362992000.0,,4752224000.0,2025,6,23.12833224467444,0.04962315039434628,0.5193400839016222,0.17863808521327326,13.01200232490424,,10.841717507202866,0.014070463426579222,0.048659467046473184,0.7380884987191274,0.2721901592446988,,1.0,,0.42893336917237274,13.01200232490424,,10.841717507202866,0.014070463426579222,0.048659467046473184,,-0.298637460617523,0.5,0.0121628818909446,0.0121628818909446,0.13940179118450852,0.8,1.0,6.123233995736766e-17,0.25,0.0
9287287000.0,Cash And Cash Equivalents,1688793000.0,Accounts Receivable,,,1837889000.0,Net PPE,793233000.0,Accounts Payable,,,14463020000.0,Long Term Debt,54934835000.0,Total Assets,28980800000.0,Total Liabilities Net Minority Interest,12962935000.0,Current Assets,9731859000.0,Current Liabilities,25954035000.0,Total Equity Gross Minority Interest,25954035000.0,Total Equity Gross Minority Interest,25954035000.0,Total Equity Gross Minority Interest,2025-09-30,Q,11510307000.0,Total Revenue,6164250000.0,Cost Of Revenue,2097810000.0,Operating Expense,175294000.0,Interest Expense,2546916000.0,Net Income,562494000.0,Tax Provision,87326000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,164719000.0,Capital Expenditure,,,3713770000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,87326000.0,Depreciation,91.25,NFLX,Communication Services,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,25954035000.0,1,0.0,0.0,,40134011000.0,,4785921000.0,2025,9,23.16650873178323,0.0381764871087924,0.4644582459877048,0.18225491292282647,13.388206000934641,,11.742306241635236,0.014310565304643917,0.050084711447688245,0.8068670105845135,0.2632759341135729,,1.0,,0.41579438324277534,13.388206000934641,,11.742306241635236,0.014310565304643917,0.050084711447688245,,-0.3226473455486461,0.5,0.012128381758344827,0.012128381758344827,0.18090055669725125,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
9033681000.0,Cash And Cash Equivalents,2031476000.0,Accounts Receivable,,,2004350000.0,Net PPE,900612000.0,Accounts Payable,998865000.0,Current Debt,13463971000.0,Long Term Debt,55596993000.0,Total Assets,28981505000.0,Total Liabilities Net Minority Interest,13020191000.0,Current Assets,10980930000.0,Current Liabilities,26615488000.0,Total Equity Gross Minority Interest,26615488000.0,Total Equity Gross Minority Interest,26615488000.0,Total Equity Gross Minority Interest,2025-12-31,Q,12050762000.0,Total Revenue,6522621000.0,Cost Of Revenue,2571478000.0,Operating Expense,234395000.0,Interest Expense,2418521000.0,Net Income,349220000.0,Tax Provision,85983000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,239335000.0,Capital Expenditure,,,4159118000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,85983000.0,Depreciation,91.25,NFLX,Communication Services,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,26615488000.0,1,0.0,0.0,,40572452000.0,9081453000.0,4536604000.0,2025,12,23.212393731398254,0.04588499961502279,0.4587378789822586,0.21338717003953775,15.38261107471876,,12.599359214646995,0.019860569812929673,0.046783565275160796,0.749635666192727,0.2601370185614175,,1.0,0.5,0.37645785386849395,15.38261107471876,,12.599359214646995,0.019860569812929673,0.046783565275160796,,-0.3451331957265441,0.5,0.01620650458894477,0.01620650458894477,0.12617510092165415,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
