C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-31,A,,,,,9911000000.0,Other Operating Expenses,,,,,,,,,,,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,,,,,,,,,365.0,NKE,Consumer Discretionary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,,,,,,,2021,5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,6.123233995736766e-17,1.0,0.0
8574000000.0,Cash And Cash Equivalents,4667000000.0,Accounts Receivable,8420000000.0,Inventory,7717000000.0,Net PPE,3358000000.0,Accounts Payable,510000000.0,Current Debt,8920000000.0,Long Term Debt,40321000000.0,Total Assets,25040000000.0,Total Liabilities Net Minority Interest,28213000000.0,Current Assets,10730000000.0,Current Liabilities,15281000000.0,Total Equity Gross Minority Interest,15281000000.0,Total Equity Gross Minority Interest,15281000000.0,Total Equity Gross Minority Interest,2022-05-31,A,46710000000.0,Total Revenue,25231000000.0,Cost Of Revenue,14804000000.0,Operating Expense,,,6046000000.0,Net Income,605000000.0,Tax Provision,717000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,758000000.0,Capital Expenditure,1837000000.0,Cash Dividends Paid,8028000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,717000000.0,Depreciation,365.0,NKE,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,15281000000.0,1,0.0,0.0,6552000000.0,4391000000.0,6862000000.0,5390000000.0,2022,5,24.567224111460426,,0.4598372939413402,0.3169342753157782,36.468743309783775,121.8065078673061,48.57793983591613,0.016227788482123744,,0.18355812459858703,0.23387316782817885,0.14026974951830443,0.09400556625990152,0.1469064440162706,0.11539284949689574,36.468743309783775,121.8065078673061,48.57793983591613,0.016227788482123744,,0.30383724776711873,-0.17186897880539498,0.18355812459858703,,,0.09096376484739137,0.2,1.0,6.123233995736766e-17,1.0,0.0
7441000000.0,Cash And Cash Equivalents,4131000000.0,Accounts Receivable,8454000000.0,Inventory,8004000000.0,Net PPE,2862000000.0,Accounts Payable,6000000.0,Current Debt,8927000000.0,Long Term Debt,37531000000.0,Total Assets,23527000000.0,Total Liabilities Net Minority Interest,25202000000.0,Current Assets,9256000000.0,Current Liabilities,14004000000.0,Total Equity Gross Minority Interest,14004000000.0,Total Equity Gross Minority Interest,14004000000.0,Total Equity Gross Minority Interest,2023-05-31,A,51217000000.0,Total Revenue,28925000000.0,Cost Of Revenue,16377000000.0,Operating Expense,,,5070000000.0,Net Income,1131000000.0,Tax Provision,703000000.0,,0.0,Net Common Stock Issuance,,,2000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,969000000.0,Capital Expenditure,2012000000.0,Cash Dividends Paid,10960000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,703000000.0,Depreciation,365.0,NKE,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,14004000000.0,1,0.0,0.0,5176000000.0,4325000000.0,6388000000.0,5344000000.0,2023,5,24.659337345131696,0.09211323367127022,0.435246109690142,0.3197571118964406,29.439736806138587,106.67968885047537,36.11512532411409,0.018919499384969833,0.09109757677854088,0.14528379249077455,0.23801657296634782,0.10106019485717632,0.08444461799793038,0.12472421266376399,0.10434035574125779,29.439736806138587,106.67968885047537,36.11512532411409,0.018919499384969833,0.09109757677854088,0.39684418145956607,-0.2139914481519808,0.14528379249077455,,,0.18238993710691823,0.4,1.0,6.123233995736766e-17,1.0,0.0
9860000000.0,Cash And Cash Equivalents,4427000000.0,Accounts Receivable,7519000000.0,Inventory,7718000000.0,Net PPE,2851000000.0,Accounts Payable,1006000000.0,Current Debt,7903000000.0,Long Term Debt,38110000000.0,Total Assets,23680000000.0,Total Liabilities Net Minority Interest,25382000000.0,Current Assets,10593000000.0,Current Liabilities,14430000000.0,Total Equity Gross Minority Interest,14430000000.0,Total Equity Gross Minority Interest,14430000000.0,Total Equity Gross Minority Interest,2024-05-31,A,51362000000.0,Total Revenue,28475000000.0,Cost Of Revenue,16576000000.0,Operating Expense,,,5700000000.0,Net Income,1000000000.0,Tax Provision,796000000.0,,0.0,Net Common Stock Issuance,,,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,812000000.0,Capital Expenditure,2169000000.0,Cash Dividends Paid,8500000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,796000000.0,Depreciation,365.0,NKE,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,14430000000.0,1,0.0,0.0,3576000000.0,5010000000.0,6736000000.0,5184000000.0,2024,5,24.66216443637991,0.0028270912482142307,0.4456018067832249,0.3227288656983762,31.460126163311397,96.38050921861281,36.54486391571554,0.01580935321833262,0.09945027486256872,0.19197071765118182,0.23377066386775125,0.06962345703048947,0.09754293057123944,0.13114754098360656,0.100930649118025,31.460126163311397,96.38050921861281,36.54486391571554,0.01580935321833262,0.09945027486256872,0.38052631578947366,-0.16549199797515673,0.19197071765118182,,,0.14925373134328357,0.6,1.0,6.123233995736766e-17,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-31,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,NKE,Consumer Discretionary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
7979000000.0,Cash And Cash Equivalents,5302000000.0,Accounts Receivable,7981000000.0,Inventory,7593000000.0,Net PPE,3255000000.0,Accounts Payable,1049000000.0,Current Debt,7973000000.0,Long Term Debt,37959000000.0,Total Assets,23922000000.0,Total Liabilities Net Minority Interest,24980000000.0,Current Assets,11246000000.0,Current Liabilities,14037000000.0,Total Equity Gross Minority Interest,14037000000.0,Total Equity Gross Minority Interest,14037000000.0,Total Equity Gross Minority Interest,2024-11-30,Q,12354000000.0,Total Revenue,6965000000.0,Cost Of Revenue,4005000000.0,Operating Expense,,,1163000000.0,Net Income,253000000.0,Tax Provision,190000000.0,,0.0,Net Common Stock Issuance,,,,,129000000.0,Capital Expenditure,557000000.0,Cash Dividends Paid,2192000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,190000000.0,Depreciation,91.25,NKE,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,14037000000.0,1,0.0,0.0,3718000000.0,5386000000.0,6942000000.0,4703000000.0,2024,11,23.237245734220117,,0.43621499109600126,0.3241864983001457,39.1620123037073,104.56083991385499,42.64447236180904,0.010441962117532783,,0.6458636878743726,0.2376774941384125,0.30095515622470453,0.4359721547676866,0.5,0.38068641735470293,39.1620123037073,104.56083991385499,42.64447236180904,0.010441962117532783,,0.47893379191745483,-0.17743241055528575,0.5,,,0.1786723163841808,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
8601000000.0,Cash And Cash Equivalents,4491000000.0,Accounts Receivable,7539000000.0,Inventory,7331000000.0,Net PPE,3106000000.0,Accounts Payable,1004000000.0,Current Debt,7956000000.0,Long Term Debt,37793000000.0,Total Assets,23786000000.0,Total Liabilities Net Minority Interest,24609000000.0,Current Assets,11223000000.0,Current Liabilities,14007000000.0,Total Equity Gross Minority Interest,14007000000.0,Total Equity Gross Minority Interest,14007000000.0,Total Equity Gross Minority Interest,2025-02-28,Q,11269000000.0,Total Revenue,6594000000.0,Cost Of Revenue,3887000000.0,Operating Expense,,,794000000.0,Net Income,50000000.0,Tax Provision,198000000.0,,0.0,Net Common Stock Issuance,,,,,81000000.0,Capital Expenditure,594000000.0,Cash Dividends Paid,1012000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,198000000.0,Depreciation,91.25,NKE,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,14007000000.0,1,0.0,0.0,3978000000.0,5853000000.0,7113000000.0,4607000000.0,2025,2,23.145321429916624,-0.09192430430349319,0.4148549117046766,0.3449285650900701,36.36558257165676,104.32722929936305,42.98187746436154,0.007187860502262845,0.026076649545634135,0.7632442985180584,0.23708094091498425,0.3530038157777975,0.5193894755524003,0.5,0.4088206584435176,36.36558257165676,104.32722929936305,42.98187746436154,0.007187860502262845,0.026076649545634135,0.7481108312342569,-0.08980388676901234,0.5,,,0.05924170616113744,0.8,0.0,1.0,0.25,0.0
7464000000.0,Cash And Cash Equivalents,4717000000.0,Accounts Receivable,7489000000.0,Inventory,7540000000.0,Net PPE,3479000000.0,Accounts Payable,5000000.0,Current Debt,7961000000.0,Long Term Debt,36579000000.0,Total Assets,23366000000.0,Total Liabilities Net Minority Interest,23362000000.0,Current Assets,10566000000.0,Current Liabilities,13213000000.0,Total Equity Gross Minority Interest,13213000000.0,Total Equity Gross Minority Interest,13213000000.0,Total Equity Gross Minority Interest,2025-05-31,A,46309000000.0,Total Revenue,26519000000.0,Cost Of Revenue,16088000000.0,Operating Expense,,,3219000000.0,Net Income,666000000.0,Tax Provision,775000000.0,,0.0,Net Common Stock Issuance,,,4000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,430000000.0,Capital Expenditure,2300000000.0,Cash Dividends Paid,5970000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,775000000.0,Depreciation,365.0,NKE,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,13213000000.0,1,0.0,0.0,3692000000.0,5677000000.0,7082000000.0,4839000000.0,2025,5,24.558602163597634,1.4132807336810096,0.42734673605562634,0.3474054719385001,37.178626184974846,103.07647347185038,47.883969983785214,0.009285452071951457,0.10571545491747374,0.16117817270940854,0.21777522622269607,0.07972532337126692,0.12258956142434516,0.1529292362175819,0.10449372692133278,37.178626184974846,103.07647347185038,47.883969983785214,0.009285452071951457,0.10571545491747374,0.7145076110593352,-0.12891662527802372,0.16117817270940854,,,0.17142857142857143,0.8,1.0,6.123233995736766e-17,1.0,0.0
7024000000.0,Cash And Cash Equivalents,4962000000.0,Accounts Receivable,8114000000.0,Inventory,7588000000.0,Net PPE,3772000000.0,Accounts Payable,4000000.0,Current Debt,7996000000.0,Long Term Debt,37334000000.0,Total Assets,23866000000.0,Total Liabilities Net Minority Interest,23898000000.0,Current Assets,10911000000.0,Current Liabilities,13468000000.0,Total Equity Gross Minority Interest,13468000000.0,Total Equity Gross Minority Interest,13468000000.0,Total Equity Gross Minority Interest,2025-08-31,Q,11720000000.0,Total Revenue,6777000000.0,Cost Of Revenue,4016000000.0,Operating Expense,,,727000000.0,Net Income,195000000.0,Tax Provision,190000000.0,,0.0,Net Common Stock Issuance,,,,,207000000.0,Capital Expenditure,591000000.0,Cash Dividends Paid,252000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,190000000.0,Depreciation,91.25,NKE,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,13468000000.0,1,0.0,0.0,3798000000.0,5848000000.0,7135000000.0,4959000000.0,2025,8,23.184562621095278,-1.3740395425023557,0.42175767918088736,0.34266211604095564,38.63331911262799,109.25225025822635,50.78869706359746,0.01766211604095563,0.025198938992042442,0.5993174061433447,0.21428188782343172,0.324061433447099,0.49897610921501706,0.5,0.423122866894198,38.63331911262799,109.25225025822635,50.78869706359746,0.01766211604095563,0.025198938992042442,0.81292984869326,-0.021501706484641638,0.5,,,0.21149674620390455,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
6974000000.0,Cash And Cash Equivalents,5738000000.0,Accounts Receivable,7726000000.0,Inventory,7737000000.0,Net PPE,3717000000.0,Accounts Payable,999000000.0,Current Debt,7016000000.0,Long Term Debt,37787000000.0,Total Assets,23702000000.0,Total Liabilities Net Minority Interest,24015000000.0,Current Assets,11640000000.0,Current Liabilities,14085000000.0,Total Equity Gross Minority Interest,14085000000.0,Total Equity Gross Minority Interest,14085000000.0,Total Equity Gross Minority Interest,2025-11-30,Q,12427000000.0,Total Revenue,7382000000.0,Cost Of Revenue,4039000000.0,Operating Expense,,,792000000.0,Net Income,207000000.0,Tax Provision,179000000.0,,0.0,Net Common Stock Issuance,,,,,193000000.0,Capital Expenditure,598000000.0,Cash Dividends Paid,40000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,179000000.0,Depreciation,91.25,NKE,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,14085000000.0,1,0.0,0.0,3577000000.0,6035000000.0,6924000000.0,5046000000.0,2025,11,23.24313736177027,0.05857474067499169,0.4059708698800998,0.32501810573750706,42.13345940291301,95.50223516662152,45.94638986724465,0.015530699283817494,0.023589878755930417,0.561197392773799,0.2121099849154471,0.2878409913897159,0.4856361149110807,0.5,0.40605133982457553,42.13345940291301,95.50223516662152,45.94638986724465,0.015530699283817494,0.023589878755930417,0.7550505050505051,-0.0032187977790295325,0.5,,,0.2072072072072072,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
