C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,68000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Common Stock Issuance,,,,,,,,,,,,,365.0,NSC,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
456000000.0,Cash And Cash Equivalents,895000000.0,Accounts Receivable,253000000.0,Inventory,32156000000.0,Net PPE,712000000.0,Accounts Payable,703000000.0,Current Debt,14479000000.0,Long Term Debt,38885000000.0,Total Assets,26152000000.0,Total Liabilities Net Minority Interest,2007000000.0,Current Assets,2649000000.0,Current Liabilities,12733000000.0,Total Equity Gross Minority Interest,12733000000.0,Total Equity Gross Minority Interest,12733000000.0,Total Equity Gross Minority Interest,2022-12-31,A,12745000000.0,Total Revenue,7506000000.0,Cost Of Revenue,34000000.0,Operating Expense,692000000.0,Interest Expense,3270000000.0,Net Income,860000000.0,Tax Provision,1221000000.0,,0.0,Net Common Stock Issuance,5496000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2212000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,1948000000.0,Capital Expenditure,1167000000.0,Cash Dividends Paid,6228000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,1221000000.0,Depreciation,365.0,NSC,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,12733000000.0,1,0.0,0.0,403000000.0,4722000000.0,1234000000.0,9024000000.0,2022,12,23.26840487477449,,0.41106316202432325,0.0026677128285602196,25.63162024323264,12.302824407140953,34.62296829203304,0.15284425264809728,,0.035778736759513534,0.3904333290471904,0.031620243232640254,0.37049823460180464,0.09682228324833268,0.7080423695566889,25.63162024323264,12.302824407140953,34.62296829203304,0.15284425264809728,,0.3568807339449541,-0.48866222047861907,0.035778736759513534,,,0.20823244552058112,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
1568000000.0,Cash And Cash Equivalents,882000000.0,Accounts Receivable,264000000.0,Inventory,33326000000.0,Net PPE,997000000.0,Accounts Payable,4000000.0,Current Debt,17175000000.0,Long Term Debt,41652000000.0,Total Assets,28871000000.0,Total Liabilities Net Minority Interest,3271000000.0,Current Assets,2632000000.0,Current Liabilities,12781000000.0,Total Equity Gross Minority Interest,12781000000.0,Total Equity Gross Minority Interest,12781000000.0,Total Equity Gross Minority Interest,2023-12-31,A,12156000000.0,Total Revenue,7721000000.0,Cost Of Revenue,109000000.0,Operating Expense,722000000.0,Interest Expense,1827000000.0,Net Income,493000000.0,Tax Provision,1298000000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,9879000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,5336000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,2327000000.0,Capital Expenditure,1225000000.0,Cash Dividends Paid,1244000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,1298000000.0,Depreciation,365.0,NSC,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,12781000000.0,1,0.0,0.0,557000000.0,5055000000.0,1631000000.0,9064000000.0,2023,12,23.22108871200096,-0.047316162773530124,0.3648404080289569,0.008966765383349786,26.483218163869694,12.480248672451754,47.13184820619091,0.191428101349128,0.04036571712899614,0.12898979927607765,0.41244117929511187,0.0458209937479434,0.4158440276406713,0.13417242513984864,0.7456400131622244,26.483218163869694,12.480248672451754,47.13184820619091,0.191428101349128,0.04036571712899614,0.6704980842911877,-0.10233629483382692,0.12898979927607765,0.04755631669081807,0.04755631669081807,0.2125,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,NSC,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,10000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,91.25,NSC,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
1641000000.0,Cash And Cash Equivalents,787000000.0,Accounts Receivable,277000000.0,Inventory,35831000000.0,Net PPE,985000000.0,Accounts Payable,555000000.0,Current Debt,16651000000.0,Long Term Debt,43682000000.0,Total Assets,29376000000.0,Total Liabilities Net Minority Interest,3188000000.0,Current Assets,3545000000.0,Current Liabilities,14306000000.0,Total Equity Gross Minority Interest,14306000000.0,Total Equity Gross Minority Interest,14306000000.0,Total Equity Gross Minority Interest,2024-12-31,Q,3024000000.0,Total Revenue,1859000000.0,Cost Of Revenue,-143000000.0,Operating Expense,199000000.0,Interest Expense,733000000.0,Net Income,195000000.0,Tax Provision,342000000.0,,11000000.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,4000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,675000000.0,Capital Expenditure,306000000.0,Cash Dividends Paid,,,342000000.0,Depreciation,91.25,NSC,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,14306000000.0,1,0.0,0.0,483000000.0,4663000000.0,2005000000.0,9180000000.0,2024,12,21.829846295263696,,0.3852513227513228,0.0,23.747933201058203,13.596691769768693,48.349246906939214,0.22321428571428573,,0.5426587301587301,0.3938922210521496,0.1597222222222222,1.0,0.5,1.0,23.747933201058203,13.596691769768693,48.349246906939214,0.22321428571428573,,0.417462482946794,,0.5,,,0.2101293103448276,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
1006000000.0,Cash And Cash Equivalents,863000000.0,Accounts Receivable,273000000.0,Inventory,35803000000.0,Net PPE,1445000000.0,Accounts Payable,555000000.0,Current Debt,16660000000.0,Long Term Debt,43800000000.0,Total Assets,29289000000.0,Total Liabilities Net Minority Interest,2701000000.0,Current Assets,3450000000.0,Current Liabilities,14511000000.0,Total Equity Gross Minority Interest,14511000000.0,Total Equity Gross Minority Interest,14511000000.0,Total Equity Gross Minority Interest,2025-03-31,Q,2993000000.0,Total Revenue,1927000000.0,Cost Of Revenue,39000000.0,Operating Expense,199000000.0,Interest Expense,750000000.0,Net Income,228000000.0,Tax Provision,346000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,4000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,449000000.0,Capital Expenditure,306000000.0,Cash Dividends Paid,514000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,346000000.0,Depreciation,91.25,NSC,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,14511000000.0,1,0.0,0.0,559000000.0,5296000000.0,1450000000.0,9179000000.0,2025,3,21.81954206581697,-0.010304229446724378,0.3561643835616438,0.013030404276645506,26.3109756097561,12.927477944992216,68.42566165023352,0.1500167056465085,0.009656442745108984,0.33611760775141997,0.3930365296803653,0.18676912796525225,1.0,0.48446374874707654,1.0,26.3109756097561,12.927477944992216,68.42566165023352,0.1500167056465085,0.009656442745108984,0.408,-0.17173404610758436,0.33611760775141997,0.011565732883877716,0.011565732883877716,0.2331288343558282,0.8,0.0,1.0,0.25,0.0
1303000000.0,Cash And Cash Equivalents,832000000.0,Accounts Receivable,313000000.0,Inventory,35921000000.0,Net PPE,1504000000.0,Accounts Payable,903000000.0,Current Debt,16464000000.0,Long Term Debt,44155000000.0,Total Assets,29368000000.0,Total Liabilities Net Minority Interest,2907000000.0,Current Assets,3667000000.0,Current Liabilities,14787000000.0,Total Equity Gross Minority Interest,14787000000.0,Total Equity Gross Minority Interest,14787000000.0,Total Equity Gross Minority Interest,2025-06-30,Q,3110000000.0,Total Revenue,1875000000.0,Cost Of Revenue,4000000.0,Operating Expense,201000000.0,Interest Expense,768000000.0,Net Income,230000000.0,Tax Provision,346000000.0,,0.0,Net Common Stock Issuance,1188000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1008000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,475000000.0,Capital Expenditure,303000000.0,Cash Dividends Paid,414000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,346000000.0,Depreciation,91.25,NSC,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,14787000000.0,1,0.0,0.0,459000000.0,5327000000.0,1260000000.0,9237000000.0,2025,6,21.857888563137553,0.03834649732058182,0.39710610932475887,0.0012861736334405145,24.411575562700964,15.232666666666667,73.19466666666666,0.1527331189710611,0.009663994637320894,0.4189710610932476,0.39331898992186615,0.14758842443729903,1.0,0.40514469453376206,1.0,24.411575562700964,15.232666666666667,73.19466666666666,0.1527331189710611,0.009663994637320894,0.39453125,-0.13311897106109324,0.4189710610932476,0.011675864072030206,0.011675864072030206,0.23046092184368738,0.8,1.0,6.123233995736766e-17,0.25,0.0
1418000000.0,Cash And Cash Equivalents,779000000.0,Accounts Receivable,297000000.0,Inventory,36112000000.0,Net PPE,1657000000.0,Accounts Payable,607000000.0,Current Debt,16476000000.0,Long Term Debt,44580000000.0,Total Assets,29439000000.0,Total Liabilities Net Minority Interest,3036000000.0,Current Assets,3524000000.0,Current Liabilities,15141000000.0,Total Equity Gross Minority Interest,15141000000.0,Total Equity Gross Minority Interest,15141000000.0,Total Equity Gross Minority Interest,2025-09-30,Q,3103000000.0,Total Revenue,1946000000.0,Cost Of Revenue,-32000000.0,Operating Expense,197000000.0,Interest Expense,711000000.0,Net Income,213000000.0,Tax Provision,348000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1204000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,551000000.0,Capital Expenditure,303000000.0,Cash Dividends Paid,140000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,348000000.0,Depreciation,91.25,NSC,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,15141000000.0,1,0.0,0.0,542000000.0,5432000000.0,1260000000.0,9439000000.0,2025,9,21.855635222412655,-0.002253340724898578,0.37286496938446667,0.0,22.90807283274251,13.926644398766701,77.69848406988694,0.17757009345794392,0.009687926282675872,0.4569771189171769,0.38319874383131447,0.17466967450854012,1.0,0.40605865291653237,1.0,22.90807283274251,13.926644398766701,77.69848406988694,0.17757009345794392,0.009687926282675872,0.42616033755274263,-0.045117628101836935,0.4569771189171769,0.011343352334888005,0.011343352334888005,0.2305194805194805,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
1530000000.0,Cash And Cash Equivalents,715000000.0,Accounts Receivable,271000000.0,Inventory,36479000000.0,Net PPE,1083000000.0,Accounts Payable,607000000.0,Current Debt,16480000000.0,Long Term Debt,45236000000.0,Total Assets,29689000000.0,Total Liabilities Net Minority Interest,3198000000.0,Current Assets,3775000000.0,Current Liabilities,15547000000.0,Total Equity Gross Minority Interest,15547000000.0,Total Equity Gross Minority Interest,15547000000.0,Total Equity Gross Minority Interest,2025-12-31,Q,2974000000.0,Total Revenue,2005000000.0,Cost Of Revenue,-189000000.0,Operating Expense,195000000.0,Interest Expense,644000000.0,Net Income,121000000.0,Tax Provision,353000000.0,,5000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,20000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,729000000.0,Capital Expenditure,303000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,353000000.0,Depreciation,91.25,NSC,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,15547000000.0,1,0.0,0.0,682000000.0,5559000000.0,2085000000.0,9434000000.0,2025,12,21.813173684984374,-0.04246153742828085,0.3258238063214526,0.0,21.938046402151983,12.33354114713217,49.28865336658354,0.24512441156691325,0.009775143996455472,0.5144586415601883,0.3777301264479618,0.2293207800941493,1.0,0.5,1.0,21.938046402151983,12.33354114713217,49.28865336658354,0.24512441156691325,0.009775143996455472,0.4704968944099379,0.0016812373907195697,0.5,0.011414856875256103,0.011414856875256103,0.15816993464052287,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
