C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
2364858000.0,Cash And Cash Equivalents,3853972000.0,Accounts Receivable,6011182000.0,Inventory,8114818000.0,Net PPE,1830241000.0,Accounts Payable,708723000.0,Current Debt,4782357000.0,Long Term Debt,25823072000.0,Total Assets,11219278000.0,Total Liabilities Net Minority Interest,12799557000.0,Current Assets,5157413000.0,Current Liabilities,14603794000.0,Total Equity Gross Minority Interest,14603794000.0,Total Equity Gross Minority Interest,587405000.0,Minority Interest,2021-12-31,A,36483939000.0,Total Revenue,25458525000.0,Cost Of Revenue,1706609000.0,Operating Expense,163121000.0,Interest Expense,6827461000.0,Net Income,2078488000.0,Tax Provision,735406000.0,,0.0,Net Common Stock Issuance,590970000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,1621989000.0,Capital Expenditure,483469000.0,Cash Dividends Paid,6552176000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,735406000.0,Depreciation,365.0,NUE,Materials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,14603794000.0,1,0.0,0.0,569545000.0,4908697000.0,2618449000.0,1279508000.0,2021,12,24.320137973297133,,0.30219911287539425,0.04677699411787746,38.556685998186765,86.18258245518938,26.240246243645302,0.0444576173641777,,0.06481915233988304,0.21264239978884,0.015610841800826386,0.13454405238425599,0.07176990949359936,0.03507044565555271,38.556685998186765,86.18258245518938,26.240246243645302,0.0444576173641777,,0.07081241474685832,-0.1795906960594359,0.06481915233988304,,,0.23338197872006677,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
4280852000.0,Cash And Cash Equivalents,3591030000.0,Accounts Receivable,5453531000.0,Inventory,9616920000.0,Net PPE,1649523000.0,Accounts Payable,59081000.0,Current Debt,6425301000.0,Long Term Debt,32479210000.0,Total Assets,12909304000.0,Total Liabilities Net Minority Interest,14691684000.0,Current Assets,4329744000.0,Current Liabilities,19569906000.0,Total Equity Gross Minority Interest,19569906000.0,Total Equity Gross Minority Interest,1155212000.0,Minority Interest,2022-12-31,A,41512000000.0,Total Revenue,29009000000.0,Cost Of Revenue,1997000000.0,Operating Expense,218911000.0,Interest Expense,7607000000.0,Net Income,2166000000.0,Tax Provision,827000000.0,,0.0,Net Common Stock Issuance,6276000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,4444000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,1948000000.0,Capital Expenditure,534000000.0,Cash Dividends Paid,5526000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,827000000.0,Depreciation,365.0,NUE,Materials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,19569906000.0,1,0.0,0.0,1366271000.0,8170606000.0,2621140000.0,2154259000.0,2022,12,24.44924837901185,0.12911040571471588,0.30119001734438233,0.048106571593756024,31.574627818462133,68.61797424937089,20.75479661484367,0.04692619001734438,0.10191232877927761,0.10312324147234535,0.1996471589056507,0.032912675852765465,0.19682515899017153,0.0631417421468491,0.051894849682019656,31.574627818462133,68.61797424937089,20.75479661484367,0.04692619001734438,0.10191232877927761,0.07019850138030762,-0.13311813451532087,0.10312324147234535,0.0398666564683086,0.0398666564683086,0.22163102425048603,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
6383000000.0,Cash And Cash Equivalents,2953000000.0,Accounts Receivable,5578000000.0,Inventory,11050000000.0,Net PPE,2020000000.0,Accounts Payable,179000000.0,Current Debt,6460000000.0,Long Term Debt,35340000000.0,Total Assets,13217000000.0,Total Liabilities Net Minority Interest,16386000000.0,Current Assets,4595000000.0,Current Liabilities,22123000000.0,Total Equity Gross Minority Interest,22123000000.0,Total Equity Gross Minority Interest,1183000000.0,Minority Interest,2023-12-31,A,34714000000.0,Total Revenue,26899000000.0,Cost Of Revenue,1585000000.0,Operating Expense,246000000.0,Interest Expense,4525000000.0,Net Income,1360000000.0,Tax Provision,931000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,40000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,2214000000.0,Capital Expenditure,515000000.0,Cash Dividends Paid,3108000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,931000000.0,Depreciation,365.0,NUE,Materials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,22123000000.0,1,0.0,0.0,1472000000.0,7904000000.0,2396000000.0,2162000000.0,2023,12,24.2704089007451,-0.17883947826674884,0.22512530967333066,0.04565881200668318,31.049288471510053,75.68943083386,27.409940889995912,0.06377830270207985,0.09680854161207539,0.1838739413493115,0.18786078098471987,0.04240364118223195,0.22768911678285417,0.0690211442069482,0.06228034798640318,31.049288471510053,75.68943083386,27.409940889995912,0.06377830270207985,0.09680854161207539,0.1138121546961326,-0.08953160108313649,0.1838739413493115,0.03793730844358028,0.03793730844358028,0.23109600679694137,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,24249189000.0,Gross PPE,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,,,,,,,,,91.25,NUE,Materials,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
4262799000.0,Cash And Cash Equivalents,2949190000.0,Accounts Receivable,5126493000.0,Inventory,12580243000.0,Net PPE,1902927000.0,Accounts Payable,1254131000.0,Current Debt,5684936000.0,Long Term Debt,34346191000.0,Total Assets,12789650000.0,Total Liabilities Net Minority Interest,13521217000.0,Current Assets,5216786000.0,Current Liabilities,21556541000.0,Total Equity Gross Minority Interest,21556541000.0,Total Equity Gross Minority Interest,1083683000.0,Minority Interest,2024-09-30,Q,7444000000.0,Total Revenue,6686000000.0,Cost Of Revenue,244000000.0,Operating Expense,65000000.0,Interest Expense,250000000.0,Net Income,86000000.0,Tax Provision,281000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,823000000.0,Capital Expenditure,130000000.0,Cash Dividends Paid,800000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,281000000.0,Depreciation,91.25,NUE,Materials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,21556541000.0,1,0.0,0.0,1182735000.0,8244731000.0,2059728000.0,1887928000.0,2024,9,22.730674175726417,,0.10182697474476088,0.03277807630306287,36.151744693713056,69.96597161980257,25.97099741998205,0.11055883933369157,0.011588016407476556,0.572648979043525,0.20203308716241636,0.15888433637829125,1.0,0.2766963997850618,0.25361740999462656,36.151744693713056,69.96597161980257,25.97099741998205,0.11055883933369157,0.011588016407476556,0.52,-0.10746910263299302,0.5,,,0.25595238095238093,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
3558000000.0,Cash And Cash Equivalents,2675000000.0,Accounts Receivable,5106000000.0,Inventory,13243000000.0,Net PPE,1832000000.0,Accounts Payable,1250000000.0,Current Debt,5492000000.0,Long Term Debt,33940000000.0,Total Assets,12523000000.0,Total Liabilities Net Minority Interest,12475000000.0,Current Assets,4977000000.0,Current Liabilities,21417000000.0,Total Equity Gross Minority Interest,21417000000.0,Total Equity Gross Minority Interest,1123000000.0,Minority Interest,2024-12-31,Q,7075585000.0,Total Revenue,6448754000.0,Cost Of Revenue,239868000.0,Operating Expense,52285000.0,Interest Expense,287032000.0,Net Income,45153000.0,Tax Provision,285209000.0,,0.0,Net Common Stock Issuance,,,20000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,879141000.0,Capital Expenditure,128163000.0,Cash Dividends Paid,630852000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,285209000.0,Depreciation,91.25,NUE,Materials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,21417000000.0,1,0.0,0.0,1136000000.0,8222000000.0,1895000000.0,2054000000.0,2024,12,22.679915962569822,-0.05075821315659468,0.08859069603432079,0.03390080113517115,34.49803090486511,72.25000364411481,25.922837186842607,0.12424993834432065,0.02267118369653114,0.5028559476000924,0.1986446670595168,0.16055209569244097,1.0,0.2678223779376546,0.2902940180917903,34.49803090486511,72.25000364411481,25.922837186842607,0.12424993834432065,0.02267118369653114,0.4465111903899217,-0.0891589882674012,0.5,0.0075348746452513,0.0075348746452513,0.13592726944323194,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
3156000000.0,Cash And Cash Equivalents,2965000000.0,Accounts Receivable,5256000000.0,Inventory,13759000000.0,Net PPE,2272000000.0,Accounts Payable,1191000000.0,Current Debt,6689000000.0,Long Term Debt,34699000000.0,Total Assets,13584000000.0,Total Liabilities Net Minority Interest,12760000000.0,Current Assets,5059000000.0,Current Liabilities,21115000000.0,Total Equity Gross Minority Interest,21115000000.0,Total Equity Gross Minority Interest,1046000000.0,Minority Interest,2025-03-31,Q,7830000000.0,Total Revenue,7225000000.0,Cost Of Revenue,281000000.0,Operating Expense,51000000.0,Interest Expense,156000000.0,Net Income,59000000.0,Tax Provision,303000000.0,,0.0,Net Common Stock Issuance,2991000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,16000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,859000000.0,Capital Expenditure,129000000.0,Cash Dividends Paid,600000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,303000000.0,Depreciation,91.25,NUE,Materials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,21115000000.0,1,0.0,0.0,1383000000.0,8180000000.0,1596000000.0,1836000000.0,2025,3,22.781228346949124,0.10131238437930179,0.07726692209450825,0.03588761174968071,34.55379948914432,66.38200692041522,28.694809688581316,0.10970625798212005,0.022880012081854563,0.40306513409961686,0.22709588172569814,0.17662835249042147,1.0,0.20383141762452106,0.23448275862068965,34.55379948914432,66.38200692041522,28.694809688581316,0.10970625798212005,0.022880012081854563,0.8269230769230769,-0.07662835249042145,0.40306513409961686,0.007564520913675467,0.007564520913675467,0.2744186046511628,0.8,0.0,1.0,0.25,0.0
1946000000.0,Cash And Cash Equivalents,3388000000.0,Accounts Receivable,5462000000.0,Inventory,14303000000.0,Net PPE,2183000000.0,Accounts Payable,189000000.0,Current Debt,6692000000.0,Long Term Debt,34217000000.0,Total Assets,12725000000.0,Total Liabilities Net Minority Interest,11719000000.0,Current Assets,4146000000.0,Current Liabilities,21492000000.0,Total Equity Gross Minority Interest,21492000000.0,Total Equity Gross Minority Interest,1103000000.0,Minority Interest,2025-06-30,Q,8456000000.0,Total Revenue,7233000000.0,Cost Of Revenue,304000000.0,Operating Expense,49000000.0,Interest Expense,603000000.0,Net Income,193000000.0,Tax Provision,303000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,4012000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,954000000.0,Capital Expenditure,129000000.0,Cash Dividends Paid,400000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,303000000.0,Depreciation,91.25,NUE,Materials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,21492000000.0,1,0.0,0.0,923000000.0,8195000000.0,1774000000.0,1887000000.0,2025,6,22.85814208551435,0.07691373856522432,0.1446310312204352,0.03595080416272469,36.56043046357616,68.90743813078944,27.54026683257293,0.11281929990539262,0.02202194926956901,0.23013245033112584,0.20109886898325394,0.10915326395458846,0.9691343424787133,0.2097918637653737,0.22315515610217598,36.56043046357616,68.90743813078944,27.54026683257293,0.11281929990539262,0.02202194926956901,0.21393034825870647,-0.04730368968779565,0.23013245033112584,0.006218274111675127,0.006218274111675127,0.24246231155778894,0.8,1.0,6.123233995736766e-17,0.25,0.0
2221000000.0,Cash And Cash Equivalents,3288000000.0,Accounts Receivable,5393000000.0,Inventory,14821000000.0,Net PPE,2145000000.0,Accounts Payable,167000000.0,Current Debt,6686000000.0,Long Term Debt,34776000000.0,Total Assets,12845000000.0,Total Liabilities Net Minority Interest,11808000000.0,Current Assets,4257000000.0,Current Liabilities,21931000000.0,Total Equity Gross Minority Interest,21931000000.0,Total Equity Gross Minority Interest,1161000000.0,Minority Interest,2025-09-30,Q,8521000000.0,Total Revenue,7333000000.0,Cost Of Revenue,300000000.0,Operating Expense,38000000.0,Interest Expense,607000000.0,Net Income,200000000.0,Tax Provision,304000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,20000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,807000000.0,Capital Expenditure,127000000.0,Cash Dividends Paid,200000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,304000000.0,Depreciation,91.25,NUE,Materials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,21931000000.0,1,0.0,0.0,906000000.0,8147000000.0,1945000000.0,1902000000.0,2025,9,22.86579954179223,0.007657456277883057,0.13942025583851658,0.03520713531275672,35.21065602628799,67.10912996045275,26.691838265375697,0.09470719399131557,0.021254282318394744,0.2606501584321089,0.197061191626409,0.10632554864452529,0.9561084379767633,0.22825959394437273,0.22321323788287759,35.21065602628799,67.10912996045275,26.691838265375697,0.09470719399131557,0.021254282318394744,0.20922570016474465,-0.023471423541837812,0.2606501584321089,0.0055224531318122366,0.0055224531318122366,0.24783147459727387,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-31,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,NUE,Materials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2025,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
