C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-31,A,,,,,,,,,,,,,,,,,0.0,Long Term Debt Issuance,,,,,,,,,,,365.0,PAYX,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,,,,,,,2021,5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,6.123233995736766e-17,1.0,0.0
370000000.0,Cash And Cash Equivalents,723800000.0,Accounts Receivable,,,480000000.0,Net PPE,105700000.0,Accounts Payable,8700000.0,Current Debt,797700000.0,Long Term Debt,9635200000.0,Total Assets,6550000000.0,Total Liabilities Net Minority Interest,6581600000.0,Current Assets,5269200000.0,Current Liabilities,3085200000.0,Total Equity Gross Minority Interest,3085200000.0,Total Equity Gross Minority Interest,3085200000.0,Total Equity Gross Minority Interest,2022-05-31,A,4611700000.0,Total Revenue,1356300000.0,Cost Of Revenue,1415400000.0,Operating Expense,36600000.0,Interest Expense,1392800000.0,Net Income,431800000.0,Tax Provision,133700000.0,,0.0,Net Common Stock Issuance,2600000.0,Issuance Of Debt+Issuance Of Debt,,,133800000.0,Capital Expenditure,999600000.0,Cash Dividends Paid,290400000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,133700000.0,Depreciation,365.0,PAYX,Industrials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,3085200000.0,1,0.0,0.0,,2573600000.0,5154800000.0,483100000.0,2022,5,22.251862389535884,,0.7059002103345837,0.30691502049135894,57.28625018973481,,28.44540293445403,0.029013162174469285,,0.08023071752282239,0.08369312520757223,,0.5580588503155018,0.5,0.10475529631155539,57.28625018973481,,28.44540293445403,0.029013162174469285,,0.7176909821941413,-0.06297027126656114,0.08023071752282239,,,0.23665460922942014,0.2,1.0,6.123233995736766e-17,1.0,0.0
1222000000.0,Cash And Cash Equivalents,873300000.0,Accounts Receivable,,,457800000.0,Net PPE,84700000.0,Accounts Payable,10200000.0,Current Debt,798200000.0,Long Term Debt,10546400000.0,Total Assets,7053200000.0,Total Liabilities Net Minority Interest,7528100000.0,Current Assets,5805400000.0,Current Liabilities,3493200000.0,Total Equity Gross Minority Interest,3493200000.0,Total Equity Gross Minority Interest,3493200000.0,Total Equity Gross Minority Interest,2023-05-31,A,5007100000.0,Total Revenue,1453000000.0,Cost Of Revenue,1521000000.0,Operating Expense,36700000.0,Interest Expense,1557300000.0,Net Income,490900000.0,Tax Provision,128400000.0,,0.0,Net Common Stock Issuance,4000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,143000000.0,Capital Expenditure,1175000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,128400000.0,Depreciation,365.0,PAYX,Industrials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,3493200000.0,1,0.0,0.0,,2560500000.0,5710500000.0,449600000.0,2023,5,22.334122742133925,0.08226035259804121,0.7098120668650516,0.30376864851910285,63.660502087036406,,21.27701307639367,0.028559445587266082,0.2675,0.2440534441093647,0.07665174846393082,,0.5113738491342293,0.5,0.08979249465758622,63.660502087036406,,21.27701307639367,0.028559445587266082,0.2675,0.7545110126500996,0.0,0.2440534441093647,0.045510912698412696,0.045510912698412696,0.23967385997461185,0.4,1.0,6.123233995736766e-17,1.0,0.0
1468900000.0,Cash And Cash Equivalents,1059600000.0,Accounts Receivable,,,458600000.0,Net PPE,104300000.0,Accounts Payable,18700000.0,Current Debt,798600000.0,Long Term Debt,10383100000.0,Total Assets,6582100000.0,Total Liabilities Net Minority Interest,7251500000.0,Current Assets,5309100000.0,Current Liabilities,3801000000.0,Total Equity Gross Minority Interest,3801000000.0,Total Equity Gross Minority Interest,3801000000.0,Total Equity Gross Minority Interest,2024-05-31,A,5278300000.0,Total Revenue,1479300000.0,Cost Of Revenue,1624900000.0,Operating Expense,37300000.0,Interest Expense,1690400000.0,Net Income,527600000.0,Tax Provision,127500000.0,,0.0,Net Common Stock Issuance,18000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,161400000.0,Capital Expenditure,1315300000.0,Cash Dividends Paid,338400000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,127500000.0,Depreciation,365.0,PAYX,Industrials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,3801000000.0,1,0.0,0.0,,2673000000.0,5186100000.0,474400000.0,2024,5,22.38686991312424,0.05274717099031534,0.7197393100051153,0.3078453289885001,73.2724551465434,,25.734807003312376,0.03057802701627418,0.27850589777195284,0.2782903586381979,0.07871444944188152,,0.5064130496561393,0.5,0.08987742265502151,73.2724551465434,,25.734807003312376,0.03057802701627418,0.27850589777195284,0.77809985802177,-0.06411155106757857,0.2782903586381979,0.04614052449282533,0.04614052449282533,0.23787195671776376,0.6,1.0,6.123233995736766e-17,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-31,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,PAYX,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
1202100000.0,Cash And Cash Equivalents,1256900000.0,Accounts Receivable,,,478400000.0,Net PPE,89200000.0,Accounts Payable,18200000.0,Current Debt,798900000.0,Long Term Debt,10554700000.0,Total Assets,6629000000.0,Total Liabilities Net Minority Interest,7429600000.0,Current Assets,5329200000.0,Current Liabilities,3925700000.0,Total Equity Gross Minority Interest,3925700000.0,Total Equity Gross Minority Interest,3925700000.0,Total Equity Gross Minority Interest,2024-11-30,Q,1316900000.0,Total Revenue,379100000.0,Cost Of Revenue,399700000.0,Operating Expense,9500000.0,Interest Expense,413400000.0,Net Income,130300000.0,Tax Provision,29300000.0,,0.0,Net Common Stock Issuance,,,,,47000000.0,Capital Expenditure,352800000.0,Cash Dividends Paid,1000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,29300000.0,Depreciation,91.25,PAYX,Industrials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,3925700000.0,1,0.0,0.0,,2646700000.0,5221800000.0,500900000.0,2024,11,20.998546326680447,,0.7121269648416737,0.3035158326372542,87.09250892246943,,21.470588235294116,0.03568987774318475,,0.9128255752145189,0.07741574843434679,,1.0,0.5,0.3803629736502392,87.09250892246943,,21.470588235294116,0.03568987774318475,,0.8534107402031931,-0.0007593591009188245,0.5,,,0.23965422107780027,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
1563800000.0,Cash And Cash Equivalents,1244800000.0,Accounts Receivable,,,499400000.0,Net PPE,118700000.0,Accounts Payable,17600000.0,Current Debt,799000000.0,Long Term Debt,11221600000.0,Total Assets,7105000000.0,Total Liabilities Net Minority Interest,8077000000.0,Current Assets,5799700000.0,Current Liabilities,4116600000.0,Total Equity Gross Minority Interest,4116600000.0,Total Equity Gross Minority Interest,4116600000.0,Total Equity Gross Minority Interest,2025-02-28,Q,1509000000.0,Total Revenue,387400000.0,Cost Of Revenue,429800000.0,Operating Expense,22600000.0,Interest Expense,519300000.0,Net Income,166500000.0,Tax Provision,30300000.0,,0.0,Net Common Stock Issuance,,,,,48700000.0,Capital Expenditure,353000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,30300000.0,Depreciation,91.25,PAYX,Industrials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,4116600000.0,1,0.0,0.0,,2645200000.0,5663400000.0,506300000.0,2025,2,21.134713016732125,0.13616669005167736,0.7432736911862161,0.2848243870112657,75.27369118621604,,27.959150748580278,0.03227302849569251,0.06333612040133779,1.0363154406891981,0.07277037142653454,,1.0,0.5,0.33552021206096755,75.27369118621604,,27.959150748580278,0.03227302849569251,0.06333612040133779,0.6797612170229155,0.0,0.5,0.027658793293354546,0.027658793293354546,0.24278215223097113,0.8,0.0,1.0,0.25,0.0
1628600000.0,Cash And Cash Equivalents,1330500000.0,Accounts Receivable,,,575300000.0,Net PPE,129800000.0,Accounts Payable,418400000.0,Current Debt,4548400000.0,Long Term Debt,16564100000.0,Total Assets,12436100000.0,Total Liabilities Net Minority Interest,8916500000.0,Current Assets,6956300000.0,Current Liabilities,4128000000.0,Total Equity Gross Minority Interest,4128000000.0,Total Equity Gross Minority Interest,4128000000.0,Total Equity Gross Minority Interest,2025-05-31,A,5571700000.0,Total Revenue,1540400000.0,Cost Of Revenue,1823600000.0,Operating Expense,105400000.0,Interest Expense,1657300000.0,Net Income,518600000.0,Tax Provision,118800000.0,,0.0,Net Common Stock Issuance,12542700000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,191800000.0,Capital Expenditure,1448500000.0,Cash Dividends Paid,209000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,118800000.0,Depreciation,365.0,PAYX,Industrials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,4128000000.0,1,0.0,0.0,,7072300000.0,6408100000.0,931400000.0,2025,5,22.44096605078278,1.3062530340506555,0.7235314177001633,0.32729687528043505,87.16056140854677,,30.756297065697222,0.034423963960730115,0.23788546255506607,0.2922985803255739,0.29985329719091286,,1.0,0.5,0.16716621497927023,87.16056140854677,,30.756297065697222,0.034423963960730115,0.23788546255506607,0.8740119471429434,-0.03751099305418454,0.2922985803255739,0.12907176096007839,0.12907176096007839,0.23833815892274463,0.8,1.0,6.123233995736766e-17,1.0,0.0
809000000.0,Cash And Cash Equivalents,1359300000.0,Accounts Receivable,,,589600000.0,Net PPE,120600000.0,Accounts Payable,418400000.0,Current Debt,4550300000.0,Long Term Debt,16663000000.0,Total Assets,12692400000.0,Total Liabilities Net Minority Interest,9040000000.0,Current Assets,7128700000.0,Current Liabilities,3970600000.0,Total Equity Gross Minority Interest,3970600000.0,Total Equity Gross Minority Interest,3970600000.0,Total Equity Gross Minority Interest,2025-08-31,Q,1540000000.0,Total Revenue,413800000.0,Cost Of Revenue,584300000.0,Operating Expense,68200000.0,Interest Expense,383800000.0,Net Income,113700000.0,Tax Provision,34500000.0,,0.0,Net Common Stock Issuance,,,,,55900000.0,Capital Expenditure,389100000.0,Cash Dividends Paid,320200000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,34500000.0,Depreciation,91.25,PAYX,Industrials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,3970600000.0,1,0.0,0.0,,7033400000.0,6589700000.0,1013400000.0,2025,8,21.155048253371948,-1.285917797410832,0.7312987012987013,0.37941558441558443,80.54293831168832,,26.594369260512323,0.036298701298701296,0.05996871197636016,0.5253246753246753,0.2981876012722799,,1.0,0.5,0.658051948051948,80.54293831168832,,26.594369260512323,0.036298701298701296,0.05996871197636016,1.0,-0.20792207792207792,0.5,0.013731175002013369,0.013731175002013369,0.2285427135678392,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
1485600000.0,Cash And Cash Equivalents,1355500000.0,Accounts Receivable,,,631300000.0,Net PPE,137600000.0,Accounts Payable,418100000.0,Current Debt,4552200000.0,Long Term Debt,16518900000.0,Total Assets,12638800000.0,Total Liabilities Net Minority Interest,8909400000.0,Current Assets,7041100000.0,Current Liabilities,3880100000.0,Total Equity Gross Minority Interest,3880100000.0,Total Equity Gross Minority Interest,3880100000.0,Total Equity Gross Minority Interest,2025-11-30,Q,1557600000.0,Total Revenue,412200000.0,Cost Of Revenue,573500000.0,Operating Expense,68500000.0,Interest Expense,395400000.0,Net Income,124800000.0,Tax Provision,34800000.0,,0.0,Net Common Stock Issuance,,,,,62100000.0,Capital Expenditure,387900000.0,Cash Dividends Paid,253000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,34800000.0,Depreciation,91.25,PAYX,Industrials,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,3880100000.0,1,0.0,0.0,,6978200000.0,6485400000.0,1045500000.0,2025,11,21.166412012022263,0.011363758650315248,0.735362095531587,0.36819465844889576,79.41023048279405,,30.460941290635613,0.03986902927580894,0.059023066485753055,0.9537750385208013,0.30088565219233726,,1.0,0.5,0.6712249614791987,79.41023048279405,,30.460941290635613,0.03986902927580894,0.059023066485753055,0.9810318664643399,-0.16242937853107345,0.5,0.013786302252098134,0.013786302252098134,0.23990772779700115,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
