C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,111000000.0,Non Current Accounts Receivable,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,PEP,Consumer Staples,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
4954000000.0,Cash And Cash Equivalents,8192000000.0,Accounts Receivable,5222000000.0,Inventory,26664000000.0,Net PPE,10732000000.0,Accounts Payable,3414000000.0,Current Debt,35657000000.0,Long Term Debt,92187000000.0,Total Assets,74914000000.0,Total Liabilities Net Minority Interest,21539000000.0,Current Assets,26785000000.0,Current Liabilities,17273000000.0,Total Equity Gross Minority Interest,17273000000.0,Total Equity Gross Minority Interest,124000000.0,Minority Interest,2022-12-31,A,86392000000.0,Total Revenue,40576000000.0,Cost Of Revenue,34459000000.0,Operating Expense,939000000.0,Interest Expense,8910000000.0,Net Income,1727000000.0,Tax Provision,3280000000.0,,0.0,Net Common Stock Issuance,14069000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,22642000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,5207000000.0,Capital Expenditure,6172000000.0,Cash Dividends Paid,3000000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,3280000000.0,Depreciation,365.0,PEP,Consumer Staples,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,17273000000.0,1,0.0,0.0,3171000000.0,43984000000.0,12639000000.0,12472000000.0,2022,12,25.18216091587687,,0.5303268821187147,0.39886795073617926,34.61061209371238,46.974319794952685,96.5393335962145,0.06027178442448375,,0.057343272525233815,0.4238233156518815,0.03670478748032225,0.5091212149273081,0.1462982683581813,0.14436521900175942,34.61061209371238,46.974319794952685,96.5393335962145,0.06027178442448375,,0.6927048260381594,-0.03472543754051301,0.057343272525233815,,,0.1623578076525336,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
9711000000.0,Cash And Cash Equivalents,8675000000.0,Accounts Receivable,5334000000.0,Inventory,29944000000.0,Net PPE,11635000000.0,Accounts Payable,6510000000.0,Current Debt,37595000000.0,Long Term Debt,100495000000.0,Total Assets,81858000000.0,Total Liabilities Net Minority Interest,26950000000.0,Current Assets,31647000000.0,Current Liabilities,18637000000.0,Total Equity Gross Minority Interest,18637000000.0,Total Equity Gross Minority Interest,134000000.0,Minority Interest,2023-12-31,A,91471000000.0,Total Revenue,41881000000.0,Cost Of Revenue,36677000000.0,Operating Expense,819000000.0,Interest Expense,9074000000.0,Net Income,2262000000.0,Tax Provision,3518000000.0,,0.0,Net Common Stock Issuance,27302000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,21425000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,5518000000.0,Capital Expenditure,6682000000.0,Cash Dividends Paid,2000000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,3518000000.0,Depreciation,365.0,PEP,Consumer Staples,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,18637000000.0,1,0.0,0.0,3230000000.0,43601000000.0,13502000000.0,12616000000.0,2023,12,25.239287819101115,0.057126903224244074,0.5421390386023985,0.4009686130030283,34.61616249959003,46.486712351663044,101.4009932905136,0.060325130369188046,0.13193819381938193,0.10616479539963486,0.43887755609731827,0.035311738146516385,0.47666473527128816,0.14760962490844093,0.1379234948781581,34.61616249959003,46.486712351663044,101.4009932905136,0.060325130369188046,0.13193819381938193,0.7363896848137536,-0.021864853341496213,0.10616479539963486,0.02096183870389803,0.02096183870389803,0.19954128440366972,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,PEP,Consumer Staples,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,PEP,Consumer Staples,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
8505000000.0,Cash And Cash Equivalents,8487000000.0,Accounts Receivable,5306000000.0,Inventory,31391000000.0,Net PPE,10997000000.0,Accounts Payable,7082000000.0,Current Debt,37224000000.0,Long Term Debt,99467000000.0,Total Assets,81296000000.0,Total Liabilities Net Minority Interest,25826000000.0,Current Assets,31536000000.0,Current Liabilities,18171000000.0,Total Equity Gross Minority Interest,18171000000.0,Total Equity Gross Minority Interest,130000000.0,Minority Interest,2024-12-31,Q,27784000000.0,Total Revenue,13181000000.0,Cost Of Revenue,12320000000.0,Operating Expense,264000000.0,Interest Expense,1523000000.0,Net Income,275000000.0,Tax Provision,1259000000.0,,0.0,Net Common Stock Issuance,4622000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,8398000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,2468000000.0,Capital Expenditure,1860000000.0,Cash Dividends Paid,480000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,1259000000.0,Depreciation,91.25,PEP,Consumer Staples,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,18171000000.0,1,0.0,0.0,3528000000.0,42250000000.0,13457000000.0,12536000000.0,2024,12,24.047726152388183,,0.5255902677800173,0.44342067376907573,27.87355132450331,36.732607541157726,76.13050982474775,0.08882810250503888,,0.30611143103944716,0.44543416409462433,0.12697955657932622,1.0,0.4843435070544198,0.45119493233515695,27.87355132450331,36.732607541157726,76.13050982474775,0.08882810250503888,,1.0,-0.017276130146847105,0.30611143103944716,,,0.15294771968854282,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
8268000000.0,Cash And Cash Equivalents,11162000000.0,Accounts Receivable,5660000000.0,Inventory,28213000000.0,Net PPE,22412000000.0,Accounts Payable,9099000000.0,Current Debt,39419000000.0,Long Term Debt,101737000000.0,Total Assets,83208000000.0,Total Liabilities Net Minority Interest,26288000000.0,Current Assets,31511000000.0,Current Liabilities,18529000000.0,Total Equity Gross Minority Interest,18529000000.0,Total Equity Gross Minority Interest,140000000.0,Minority Interest,2025-03-31,Q,17919000000.0,Total Revenue,7926000000.0,Cost Of Revenue,7410000000.0,Operating Expense,264000000.0,Interest Expense,1834000000.0,Net Income,499000000.0,Tax Provision,829000000.0,,0.0,Net Common Stock Issuance,18573000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,12521000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,603000000.0,Capital Expenditure,1882000000.0,Cash Dividends Paid,366000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,829000000.0,Depreciation,91.25,PEP,Consumer Staples,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,18529000000.0,1,0.0,0.0,1198000000.0,47236000000.0,0.0,12278000000.0,2025,3,23.60912743936469,-0.4385987130234916,0.5576762096099113,0.4135275405993638,56.8409230425805,65.16212465304062,258.0235932374464,0.03365143144148669,0.026408843299034757,0.46140967687929013,0.47689631107659947,0.06685640939784586,1.0,0.0,0.6851944862994587,56.8409230425805,65.16212465304062,258.0235932374464,0.03365143144148669,0.026408843299034757,1.0,-0.02042524694458396,0.46140967687929013,0.005958560917257256,0.005958560917257256,0.2138876982426061,0.8,0.0,1.0,0.25,0.0
7631000000.0,Cash And Cash Equivalents,12621000000.0,Accounts Receivable,6487000000.0,Inventory,28797000000.0,Net PPE,24340000000.0,Accounts Payable,12056000000.0,Current Debt,39328000000.0,Long Term Debt,105345000000.0,Total Assets,86786000000.0,Total Liabilities Net Minority Interest,28210000000.0,Current Assets,36396000000.0,Current Liabilities,18559000000.0,Total Equity Gross Minority Interest,18559000000.0,Total Equity Gross Minority Interest,141000000.0,Minority Interest,2025-06-30,Q,22726000000.0,Total Revenue,10304000000.0,Cost Of Revenue,8773000000.0,Operating Expense,260000000.0,Interest Expense,1263000000.0,Net Income,292000000.0,Tax Provision,977000000.0,,0.0,Net Common Stock Issuance,7368000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,5127000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,904000000.0,Capital Expenditure,1861000000.0,Cash Dividends Paid,622000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,977000000.0,Depreciation,91.25,PEP,Consumer Staples,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,18559000000.0,1,0.0,0.0,1471000000.0,48338000000.0,0.0,11062000000.0,2025,6,23.84677548044223,0.2376480410775379,0.5465986095221332,0.38603361788260143,50.676152864560414,57.44747185559006,215.54978649068323,0.03977822758074452,0.03462942615106511,0.33578280383701486,0.4877687597892639,0.06472762474698583,1.0,0.0,0.4867552582944645,50.676152864560414,57.44747185559006,215.54978649068323,0.03977822758074452,0.03462942615106511,1.0,-0.027369532693830856,0.33578280383701486,0.00535883589595614,0.00535883589595614,0.18778135048231512,0.8,1.0,6.123233995736766e-17,0.25,0.0
8126000000.0,Cash And Cash Equivalents,12879000000.0,Accounts Receivable,6093000000.0,Inventory,29053000000.0,Net PPE,24763000000.0,Accounts Payable,6736000000.0,Current Debt,44113000000.0,Long Term Debt,106558000000.0,Total Assets,87015000000.0,Total Liabilities Net Minority Interest,28722000000.0,Current Assets,31499000000.0,Current Liabilities,19543000000.0,Total Equity Gross Minority Interest,19543000000.0,Total Equity Gross Minority Interest,155000000.0,Minority Interest,2025-09-30,Q,23937000000.0,Total Revenue,11113000000.0,Cost Of Revenue,9122000000.0,Operating Expense,264000000.0,Interest Expense,2603000000.0,Net Income,713000000.0,Tax Provision,998000000.0,,0.0,Net Common Stock Issuance,10542000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,11583000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,992000000.0,Capital Expenditure,1949000000.0,Cash Dividends Paid,516000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,998000000.0,Depreciation,91.25,PEP,Consumer Staples,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,19543000000.0,1,0.0,0.0,1624000000.0,48783000000.0,0.0,11403000000.0,2025,9,23.898691215940666,0.05191573549843653,0.5357396499143585,0.381083677988052,49.09590800852237,50.030257356249436,203.3315711329074,0.041442118895433845,0.0346563878181755,0.33947445377449137,0.47719551793389514,0.06784475915946026,1.0,0.0,0.4763754856498308,49.09590800852237,50.030257356249436,203.3315711329074,0.041442118895433845,0.0346563878181755,0.7487514406454091,-0.02155658603835067,0.33947445377449137,0.005137786081270434,0.005137786081270434,0.21501809408926417,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
9159000000.0,Cash And Cash Equivalents,9265000000.0,Accounts Receivable,5845000000.0,Inventory,33650000000.0,Net PPE,11704000000.0,Accounts Payable,6861000000.0,Current Debt,42321000000.0,Long Term Debt,107399000000.0,Total Assets,86852000000.0,Total Liabilities Net Minority Interest,27949000000.0,Current Assets,32764000000.0,Current Liabilities,20547000000.0,Total Equity Gross Minority Interest,20547000000.0,Total Equity Gross Minority Interest,141000000.0,Minority Interest,2025-12-31,Q,29343000000.0,Total Revenue,13723000000.0,Cost Of Revenue,12063000000.0,Operating Expense,333000000.0,Interest Expense,2540000000.0,Net Income,445000000.0,Tax Provision,1374000000.0,,0.0,Net Common Stock Issuance,3206000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,10857000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,1916000000.0,Capital Expenditure,1946000000.0,Cash Dividends Paid,496000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,1374000000.0,Depreciation,91.25,PEP,Consumer Staples,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,20547000000.0,1,0.0,0.0,3680000000.0,45800000000.0,14199000000.0,11767000000.0,2025,12,24.102319853922875,0.20362863798220943,0.5323245748560134,0.4111031591861773,28.812025014483865,38.86586387816075,77.82481964585003,0.06529666359949562,0.047292878532337455,0.31213577343829874,0.45793722474138493,0.12541321609924003,1.0,0.48389735200899703,0.4010155744129775,28.812025014483865,38.86586387816075,77.82481964585003,0.06529666359949562,0.047292878532337455,0.7661417322834646,-0.016903520430767132,0.31213577343829874,0.006548801353025625,0.006548801353025625,0.1490787269681742,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
