C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,PFG,Financials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
4848000000.0,Cash And Cash Equivalents,25376000000.0,Accounts Receivable,,,996100000.0,Net PPE,20455300000.0,Payables,380600000.0,Current Debt,3697100000.0,Long Term Debt,290867000000.0,Total Assets,280587200000.0,Total Liabilities Net Minority Interest,,,,,10279800000.0,Total Equity Gross Minority Interest,10279800000.0,Total Equity Gross Minority Interest,303100000.0,Minority Interest,2022-12-31,A,17536100000.0,Total Revenue,,,4962200000.0,Other Operating Expenses,,,4756900000.0,Net Income,1189500000.0,Tax Provision,295900000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,46200000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1208000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,116300000.0,Capital Expenditure,642300000.0,Cash Dividends Paid,3390000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,295900000.0,Depreciation And Amortization,365.0,PFG,Financials,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,10279800000.0,1,0.0,0.0,,,,,2022,12,23.5875274502505,,,0.28297055787774933,528.1812945865956,,,0.0066320333483499755,,0.27645827749613655,0.014019122141734883,,,,,528.1812945865956,,,0.0066320333483499755,,0.1350249111816519,-0.19331550344717469,0.27645827749613655,,,0.2000369971747612,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
4707700000.0,Cash And Cash Equivalents,24610500000.0,Accounts Receivable,,,938400000.0,Net PPE,19641400000.0,Payables,61100000.0,Current Debt,3930900000.0,Long Term Debt,305046700000.0,Total Assets,293836100000.0,Total Liabilities Net Minority Interest,,,,,11210600000.0,Total Equity Gross Minority Interest,11210600000.0,Total Equity Gross Minority Interest,294600000.0,Minority Interest,2023-12-31,A,13665800000.0,Total Revenue,,,5072100000.0,Other Operating Expenses,,,623200000.0,Net Income,68700000.0,Tax Provision,272700000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,2074500000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,3056000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,102000000.0,Capital Expenditure,625500000.0,Cash Dividends Paid,1480800000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,272700000.0,Depreciation And Amortization,365.0,PFG,Financials,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,11210600000.0,1,0.0,0.0,,,,,2023,12,23.33816219833767,-0.2493652519128311,,0.37115280481201246,657.3221106704327,,,0.007463887953870246,0.2737676940066258,0.34448769921995054,0.01308652085074187,,,,,657.3221106704327,,,0.007463887953870246,0.2737676940066258,1.0,-0.10835809100089273,0.34448769921995054,,,0.09929180517415812,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2600000.0,Long Term Debt Payments+Short Term Debt Payments+Long Term Debt Payments,,,,,,,,,91.25,PFG,Financials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,200000.0,Long Term Debt Payments+Long Term Debt Payments,,,,,,,,,91.25,PFG,Financials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
4211900000.0,Cash And Cash Equivalents,23261600000.0,Accounts Receivable,,,769400000.0,Net PPE,18112300000.0,Payables,152700000.0,Current Debt,3955300000.0,Long Term Debt,313663600000.0,Total Assets,302194600000.0,Total Liabilities Net Minority Interest,,,,,11469000000.0,Total Equity Gross Minority Interest,11469000000.0,Total Equity Gross Minority Interest,382600000.0,Minority Interest,2024-12-31,A,16127700000.0,Total Revenue,,,5363900000.0,Other Operating Expenses,,,1571000000.0,Net Income,291700000.0,Tax Provision,256200000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,65400000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,400000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,68800000.0,Capital Expenditure,658400000.0,Cash Dividends Paid,2084800000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,256200000.0,Depreciation And Amortization,365.0,PFG,Financials,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,11469000000.0,1,0.0,0.0,,,,,2024,12,23.503804127471888,,,0.3325892718738568,526.4534930585266,,,0.004265952367665569,,0.2611593717641077,0.0130968336778638,,,,,526.4534930585266,,,0.004265952367665569,,0.41909611712285166,-0.12926827755972645,0.2611593717641077,,,0.1566006334890213,0.6,-1.0,-1.8369701987210297e-16,1.0,0.0
3875700000.0,Cash And Cash Equivalents,23118600000.0,Accounts Receivable,,,742700000.0,Net PPE,18220500000.0,Payables,28900000.0,Current Debt,4321300000.0,Long Term Debt,313003300000.0,Total Assets,301408300000.0,Total Liabilities Net Minority Interest,,,,,11595000000.0,Total Equity Gross Minority Interest,11595000000.0,Total Equity Gross Minority Interest,378200000.0,Minority Interest,2025-03-31,Q,3695900000.0,Total Revenue,,,1391000000.0,Other Operating Expenses,,,48100000.0,Net Income,-34000000.0,Tax Provision,,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,18900000.0,Repayment Of Debt+Repayment Of Debt+Short Term Debt Payments,16400000.0,Capital Expenditure,169000000.0,Cash Dividends Paid,480600000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,91.25,PFG,Financials,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,11595000000.0,1,0.0,0.0,,,,,2025,3,22.030489934082766,-1.4733141933891218,,0.37636299683432994,570.7871560377716,,,0.00443734949538678,,1.0486485023945453,0.013898256024776736,,,,,570.7871560377716,,,0.00443734949538678,,1.0,-0.13003598582212722,0.5,,,0.5,0.8,0.0,1.0,0.25,0.0
3659000000.0,Cash And Cash Equivalents,23125700000.0,Accounts Receivable,,,724700000.0,Net PPE,18029700000.0,Payables,24100000.0,Current Debt,3923000000.0,Long Term Debt,323103800000.0,Total Assets,311245300000.0,Total Liabilities Net Minority Interest,,,,,11858500000.0,Total Equity Gross Minority Interest,11858500000.0,Total Equity Gross Minority Interest,443200000.0,Minority Interest,2025-06-30,Q,3671300000.0,Total Revenue,,,1295400000.0,Other Operating Expenses,,,406200000.0,Net Income,69600000.0,Tax Provision,,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,815900000.0,Repayment Of Debt+Repayment Of Debt+Short Term Debt Payments,23200000.0,Capital Expenditure,169700000.0,Cash Dividends Paid,318600000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,91.25,PFG,Financials,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,11858500000.0,1,0.0,0.0,,,,,2025,6,22.023811659723822,-0.006678274358943526,,0.35284504126603655,574.7882562035246,,,0.006319287445863863,,0.9966496881213739,0.012216198014384233,,,,,574.7882562035246,,,0.006319287445863863,,0.4177744953225012,-0.08678124914880288,0.5,,,0.14627994955863807,0.8,1.0,6.123233995736766e-17,0.25,0.0
5137100000.0,Cash And Cash Equivalents,23029300000.0,Accounts Receivable,,,716200000.0,Net PPE,18139600000.0,Payables,13000000.0,Current Debt,3924600000.0,Long Term Debt,334491800000.0,Total Assets,322363800000.0,Total Liabilities Net Minority Interest,,,,,12128000000.0,Total Equity Gross Minority Interest,12128000000.0,Total Equity Gross Minority Interest,462500000.0,Minority Interest,2025-09-30,Q,3681600000.0,Total Revenue,,,1374200000.0,Other Operating Expenses,,,213800000.0,Net Income,14500000.0,Tax Provision,,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,22800000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,24000000.0,Capital Expenditure,172900000.0,Cash Dividends Paid,455400000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,91.25,PFG,Financials,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,12128000000.0,1,0.0,0.0,,,,,2025,9,22.026613277245374,0.0028016175215519468,,0.37326162538026947,570.7908585940895,,,0.00651890482398957,,1.3953444154715342,0.011771887980512527,,,,,570.7908585940895,,,0.00651890482398957,,0.8086997193638915,-0.12369621903520209,0.5,,,0.06351292159439334,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
4431000000.0,Cash And Cash Equivalents,22894600000.0,Accounts Receivable,,,701400000.0,Net PPE,17812900000.0,Payables,3951200000.0,Current Debt,2800000.0,Long Term Debt,341376500000.0,Total Assets,328985200000.0,Total Liabilities Net Minority Interest,,,,,12391300000.0,Total Equity Gross Minority Interest,12391300000.0,Total Equity Gross Minority Interest,507400000.0,Minority Interest,2025-12-31,A,15625500000.0,Total Revenue,,,5433800000.0,Other Operating Expenses,,,1185100000.0,Net Income,160500000.0,Tax Provision,251400000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1600400000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,98000000.0,Capital Expenditure,684000000.0,Cash Dividends Paid,1805400000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,251400000.0,Depreciation And Amortization,365.0,PFG,Financials,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,12391300000.0,1,0.0,0.0,,,,,2025,12,23.472170032056887,1.4455567548115127,,0.3477520719336981,534.800742376244,,,0.006271799302422322,0.35101926836079306,0.28357492560238073,0.01158251959346938,,,,,534.800742376244,,,0.006271799302422322,0.35101926836079306,0.5771664838410261,-0.1155419026591149,0.28357492560238073,,,0.11927764565992865,0.8,-1.0,-1.8369701987210297e-16,1.0,0.0
