C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
187100000.0,Cash And Cash Equivalents,14380000000.0,Accounts Receivable,,,1137300000.0,Net PPE,6069100000.0,Accounts Payable,,,4898800000.0,Long Term Debt,71132300000.0,Total Assets,52900700000.0,Total Liabilities Net Minority Interest,,,,,18231600000.0,Total Equity Gross Minority Interest,18231600000.0,Total Equity Gross Minority Interest,18231600000.0,Total Equity Gross Minority Interest,2021-12-31,A,47676500000.0,Total Revenue,,,,,218600000.0,Interest Expense,3350900000.0,Net Income,859100000.0,Tax Provision,279700000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2080000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,243500000.0,Capital Expenditure,3773300000.0,Cash Dividends Paid,446000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,279700000.0,Depreciation,365.0,PGR,Financials,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,18231600000.0,1,0.0,0.0,,,,,2021,12,24.587704450968882,,,,110.08987656392563,,,0.005107337996706973,,0.003924365253321867,0.06886885423359008,,,,,110.08987656392563,,,0.005107337996706973,,1.0,-0.009354713538116262,0.003924365253321867,,,0.20406175771971496,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
203500000.0,Cash And Cash Equivalents,16249000000.0,Accounts Receivable,,,1034000000.0,Net PPE,5532800000.0,Accounts Payable,,,6388300000.0,Long Term Debt,75465000000.0,Total Assets,59574000000.0,Total Liabilities Net Minority Interest,,,,,15891000000.0,Total Equity Gross Minority Interest,15891000000.0,Total Equity Gross Minority Interest,15891000000.0,Total Equity Gross Minority Interest,2022-12-31,A,49587000000.0,Total Revenue,,,,,244000000.0,Interest Expense,722000000.0,Net Income,200000000.0,Tax Provision,306000000.0,,0.0,Net Common Stock Issuance,4458000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,292000000.0,Capital Expenditure,261000000.0,Cash Dividends Paid,198000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,306000000.0,Depreciation,365.0,PGR,Financials,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,15891000000.0,1,0.0,0.0,,,,,2022,12,24.626994539549738,0.03929008858085581,,,119.6056426079416,,,0.005888640167785912,0.26905829596412556,0.00410389819912477,0.08465248790830186,,,,,119.6056426079416,,,0.005888640167785912,0.26905829596412556,0.36149584487534625,-0.003992982031580858,0.00410389819912477,0.049808116273373074,0.049808116273373074,0.21691973969631237,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
85000000.0,Cash And Cash Equivalents,17052000000.0,Accounts Receivable,,,881000000.0,Net PPE,,,,,6889000000.0,Long Term Debt,88691000000.0,Total Assets,68414000000.0,Total Liabilities Net Minority Interest,,,,,20277000000.0,Total Equity Gross Minority Interest,20277000000.0,Total Equity Gross Minority Interest,20277000000.0,Total Equity Gross Minority Interest,2023-12-31,A,62083000000.0,Total Revenue,,,,,268000000.0,Interest Expense,3903000000.0,Net Income,1001000000.0,Tax Provision,285000000.0,,0.0,Net Common Stock Issuance,1488000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,252000000.0,Capital Expenditure,277000000.0,Cash Dividends Paid,282000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,285000000.0,Depreciation,365.0,PGR,Financials,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,20277000000.0,1,0.0,0.0,,,,,2023,12,24.85173803639604,0.22474349684630113,,,100.25256511444357,,,0.004059082196414477,0.27562862669245647,0.0013691348678382166,0.07767417212569483,,,,,100.25256511444357,,,0.004059082196414477,0.27562862669245647,0.07097104791186266,-0.004542306267416201,0.0013691348678382166,0.04195169293865347,0.04195169293865347,0.20411908646003263,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,PGR,Financials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
136100000.0,Cash And Cash Equivalents,20016900000.0,Accounts Receivable,,,688800000.0,Net PPE,,,,,6891800000.0,Long Term Debt,105202500000.0,Total Assets,78043200000.0,Total Liabilities Net Minority Interest,,,,,27159300000.0,Total Equity Gross Minority Interest,27159300000.0,Total Equity Gross Minority Interest,27159300000.0,Total Equity Gross Minority Interest,2024-09-30,Q,19712000000.0,Total Revenue,,,,,70000000.0,Interest Expense,2334000000.0,Net Income,612000000.0,Tax Provision,70000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,57000000.0,Capital Expenditure,58000000.0,Cash Dividends Paid,172000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,70000000.0,Depreciation,91.25,PGR,Financials,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,27159300000.0,1,0.0,0.0,,,,,2024,9,23.70449342429752,,,,92.66143085430195,,,0.0028916396103896105,,0.006904423701298701,0.06550985005109194,,,,,92.66143085430195,,,0.0028916396103896105,,0.024850042844901457,-0.00872564935064935,0.006904423701298701,,,0.20773930753564154,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
143000000.0,Cash And Cash Equivalents,19134000000.0,Accounts Receivable,,,790000000.0,Net PPE,,,,,6893000000.0,Long Term Debt,105745000000.0,Total Assets,80154000000.0,Total Liabilities Net Minority Interest,,,,,25591000000.0,Total Equity Gross Minority Interest,25591000000.0,Total Equity Gross Minority Interest,25591000000.0,Total Equity Gross Minority Interest,2024-12-31,A,75343000000.0,Total Revenue,,,,,279000000.0,Interest Expense,8480000000.0,Net Income,2233000000.0,Tax Provision,284000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,285000000.0,Capital Expenditure,682000000.0,Cash Dividends Paid,1268000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,284000000.0,Depreciation,365.0,PGR,Financials,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,25591000000.0,1,0.0,0.0,,,,,2024,12,25.045316857902534,1.3408234336050135,,,92.69487543633781,,,0.003782700449942264,0.41231126596980255,0.0018979865415499782,0.0651851151354674,,,,,92.69487543633781,,,0.003782700449942264,0.41231126596980255,0.08042452830188679,-0.01682969884395365,0.0018979865415499782,0.04048289271307931,0.04048289271307931,0.2084383459348455,0.6,-1.0,-1.8369701987210297e-16,1.0,0.0
195000000.0,Cash And Cash Equivalents,21260000000.0,Accounts Receivable,,,854000000.0,Net PPE,,,,,6894000000.0,Long Term Debt,111409000000.0,Total Assets,82455000000.0,Total Liabilities Net Minority Interest,,,,,28954000000.0,Total Equity Gross Minority Interest,28954000000.0,Total Equity Gross Minority Interest,28954000000.0,Total Equity Gross Minority Interest,2025-03-31,Q,20402000000.0,Total Revenue,,,,,70000000.0,Interest Expense,2567000000.0,Net Income,669000000.0,Tax Provision,70000000.0,,0.0,Net Common Stock Issuance,,,,,59000000.0,Capital Expenditure,2695000000.0,Cash Dividends Paid,108000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,70000000.0,Depreciation,91.25,PGR,Financials,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,28954000000.0,1,0.0,0.0,,,,,2025,3,23.73889877220674,-1.306418085695796,,,95.08749142240957,,,0.0028918733457504167,0.08860759493670886,0.009557886481717478,0.06188009945336553,,,,,95.08749142240957,,,0.0028918733457504167,0.08860759493670886,1.0,-0.005293598666797373,0.009557886481717478,0.010155229943420862,0.010155229943420862,0.20673671199011126,0.8,0.0,1.0,0.25,0.0
125000000.0,Cash And Cash Equivalents,20603000000.0,Accounts Receivable,,,820000000.0,Net PPE,,,,,6895000000.0,Long Term Debt,115480000000.0,Total Assets,82876000000.0,Total Liabilities Net Minority Interest,,,,,32604000000.0,Total Equity Gross Minority Interest,32604000000.0,Total Equity Gross Minority Interest,32604000000.0,Total Equity Gross Minority Interest,2025-06-30,Q,21995000000.0,Total Revenue,,,,,69000000.0,Interest Expense,3175000000.0,Net Income,807000000.0,Tax Provision,79000000.0,,0.0,Net Common Stock Issuance,,,,,102000000.0,Capital Expenditure,59000000.0,Cash Dividends Paid,26000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,79000000.0,Depreciation,91.25,PGR,Financials,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,32604000000.0,1,0.0,0.0,,,,,2025,6,23.814080991747094,0.07518221954035553,,,85.47505114798818,,,0.004637417594907933,0.09250585480093677,0.005683109797681291,0.05970730862487011,,,,,85.47505114798818,,,0.004637417594907933,0.09250585480093677,0.01858267716535433,-0.0011820868379177085,0.005683109797681291,0.010008703220191472,0.010008703220191472,0.20266197890507281,0.8,1.0,6.123233995736766e-17,0.25,0.0
173000000.0,Cash And Cash Equivalents,20626000000.0,Accounts Receivable,,,790000000.0,Net PPE,,,,,6896000000.0,Long Term Debt,121535000000.0,Total Assets,86090000000.0,Total Liabilities Net Minority Interest,,,,,35445000000.0,Total Equity Gross Minority Interest,35445000000.0,Total Equity Gross Minority Interest,35445000000.0,Total Equity Gross Minority Interest,2025-09-30,Q,22502000000.0,Total Revenue,,,,,70000000.0,Interest Expense,2615000000.0,Net Income,708000000.0,Tax Provision,81000000.0,,0.0,Net Common Stock Issuance,,,,,66000000.0,Capital Expenditure,58000000.0,Cash Dividends Paid,80000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,81000000.0,Depreciation,91.25,PGR,Financials,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,35445000000.0,1,0.0,0.0,,,,,2025,9,23.83687003109529,0.022789039348197093,,,83.64245400408852,,,0.0029330726157674875,0.09878048780487805,0.007688205492845081,0.05674085654338257,,,,,83.64245400408852,,,0.0029330726157674875,0.09878048780487805,0.022179732313575527,-0.003555239534263621,0.007688205492845081,0.01015228426395939,0.01015228426395939,0.21306048751128498,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-31,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,PGR,Financials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2025,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,-1.0,-1.8369701987210297e-16,1.0,0.0
