C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09-30,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,ROK,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2021,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.2246467991473532e-16,-1.0,1.0,0.0
490700000.0,Cash And Cash Equivalents,1736700000.0,Accounts Receivable,1054200000.0,Inventory,907500000.0,Net PPE,1028000000.0,Accounts Payable,968400000.0,Current Debt,2867800000.0,Long Term Debt,10758700000.0,Total Assets,7742000000.0,Total Liabilities Net Minority Interest,3610700000.0,Current Assets,3572200000.0,Current Liabilities,3016700000.0,Total Equity Gross Minority Interest,3016700000.0,Total Equity Gross Minority Interest,291100000.0,Minority Interest,2022-09-30,A,7760400000.0,Total Revenue,4658400000.0,Cost Of Revenue,1766700000.0,Operating Expense,123200000.0,Interest Expense,932200000.0,Net Income,154500000.0,Tax Provision,126600000.0,,0.0,Net Common Stock Issuance,119200000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,630000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,141100000.0,Capital Expenditure,519400000.0,Cash Dividends Paid,602600000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,126600000.0,Depreciation,365.0,ROK,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3016700000.0,1,0.0,0.0,329100000.0,6240500000.0,1575800000.0,1302000000.0,2022,9,22.77229971620482,,0.3997216638317612,0.2276557909386114,81.68335395082728,82.59981968057703,80.54696891636614,0.018182052471522086,,0.06323127673831246,0.3565672432542965,0.04240760785526519,0.8041466934694088,0.20305654347714036,0.16777485696613575,81.68335395082728,82.59981968057703,80.54696891636614,0.018182052471522086,,0.5571765715511693,-0.07765063656512551,0.06323127673831246,,,0.1421735529584982,0.2,1.2246467991473532e-16,-1.0,1.0,0.0
1071800000.0,Cash And Cash Equivalents,2167400000.0,Accounts Receivable,1404900000.0,Inventory,1033600000.0,Net PPE,1150200000.0,Accounts Payable,103300000.0,Current Debt,2862900000.0,Long Term Debt,11304000000.0,Total Assets,7560600000.0,Total Liabilities Net Minority Interest,4910800000.0,Current Assets,3365300000.0,Current Liabilities,3743400000.0,Total Equity Gross Minority Interest,3743400000.0,Total Equity Gross Minority Interest,181800000.0,Minority Interest,2023-09-30,A,9058000000.0,Total Revenue,4635000000.0,Cost Of Revenue,2730000000.0,Operating Expense,135000000.0,Interest Expense,1387000000.0,Net Income,330000000.0,Tax Provision,134000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,3228000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,161000000.0,Capital Expenditure,542000000.0,Cash Dividends Paid,624000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,134000000.0,Depreciation,365.0,ROK,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3743400000.0,1,0.0,0.0,266700000.0,5359600000.0,2111800000.0,1332400000.0,2023,9,22.926914182080434,0.15461446587561412,0.48829763744756016,0.30139103554868624,87.33727092073305,110.63398058252427,90.57669902912622,0.01777434312210201,0.14765840220385676,0.11832634135570766,0.26240268931351735,0.029443585780525503,0.591697946566571,0.23314197394568337,0.14709648929123426,87.33727092073305,110.63398058252427,90.57669902912622,0.01777434312210201,0.14765840220385676,0.39077144917087236,-0.06888937955398543,0.11832634135570766,0.03519107450080809,0.03519107450080809,0.19219569015725102,0.4,1.2246467991473532e-16,-1.0,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,495700000.0,General And Administrative Expense,,,,,,,,,,,0.0,Long Term Debt Issuance,0.0,Long Term Debt Payments+Short Term Debt Payments+Long Term Debt Payments,,,,,,,,,91.25,ROK,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,,,0.0,Short Term Debt Payments,,,,,,,,,91.25,ROK,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
471000000.0,Cash And Cash Equivalents,1675000000.0,Accounts Receivable,1234000000.0,Inventory,1151000000.0,Net PPE,789000000.0,Accounts Payable,1049000000.0,Current Debt,2564000000.0,Long Term Debt,10944000000.0,Total Assets,7388000000.0,Total Liabilities Net Minority Interest,3748000000.0,Current Assets,3476000000.0,Current Liabilities,3556000000.0,Total Equity Gross Minority Interest,3556000000.0,Total Equity Gross Minority Interest,171000000.0,Minority Interest,2024-12-31,Q,1881000000.0,Total Revenue,1003000000.0,Cost Of Revenue,632000000.0,Operating Expense,39000000.0,Interest Expense,184000000.0,Net Income,35000000.0,Tax Provision,40000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Issuance Of Debt,84000000.0,Repayment Of Debt+Repayment Of Debt+Short Term Debt Payments,71000000.0,Capital Expenditure,149000000.0,Cash Dividends Paid,200000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,40000000.0,Depreciation,91.25,ROK,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3556000000.0,1,0.0,0.0,368000000.0,6045000000.0,1638000000.0,1348000000.0,2024,12,21.355069387265303,,0.4667729930887826,0.33599149388623073,81.25664540138224,112.26570289132601,71.7809072781655,0.037745879851143006,,0.2503987240829346,0.33013523391812866,0.19564061669324828,1.0,0.5,0.7166400850611377,81.25664540138224,112.26570289132601,71.7809072781655,0.037745879851143006,,0.8097826086956522,-0.1063264221158958,0.2503987240829346,,,0.1598173515981735,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
450000000.0,Cash And Cash Equivalents,1820000000.0,Accounts Receivable,1175000000.0,Inventory,1151000000.0,Net PPE,766000000.0,Accounts Payable,1114000000.0,Current Debt,2568000000.0,Long Term Debt,10993000000.0,Total Assets,7388000000.0,Total Liabilities Net Minority Interest,3770000000.0,Current Assets,3584000000.0,Current Liabilities,3605000000.0,Total Equity Gross Minority Interest,3605000000.0,Total Equity Gross Minority Interest,166000000.0,Minority Interest,2025-03-31,Q,2001000000.0,Total Revenue,1191000000.0,Cost Of Revenue,469000000.0,Operating Expense,39000000.0,Interest Expense,252000000.0,Net Income,51000000.0,Tax Provision,43000000.0,,0.0,Net Common Stock Issuance,690000000.0,Issuance Of Debt+Issuance Of Debt,544000000.0,Repayment Of Debt+Repayment Of Debt,28000000.0,Capital Expenditure,148000000.0,Cash Dividends Paid,264000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,43000000.0,Depreciation,91.25,ROK,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3605000000.0,1,0.0,0.0,325000000.0,6072000000.0,1704000000.0,1236000000.0,2025,3,21.41691289254801,0.06184350528270599,0.40479760119940034,0.23438280859570215,82.9960019990005,90.02413937867338,58.68807724601176,0.013993003498250875,0.03735881841876629,0.22488755622188905,0.3349404166287638,0.16241879060469766,1.0,0.5,0.6176911544227887,82.9960019990005,90.02413937867338,58.68807724601176,0.013993003498250875,0.03735881841876629,0.5873015873015873,-0.13193403298350825,0.22488755622188905,0.010794353722668144,0.010794353722668144,0.16831683168316833,0.8,0.0,1.0,0.25,0.0
495000000.0,Cash And Cash Equivalents,1867000000.0,Accounts Receivable,1253000000.0,Inventory,1148000000.0,Net PPE,840000000.0,Accounts Payable,848000000.0,Current Debt,2617000000.0,Long Term Debt,11193000000.0,Total Assets,7565000000.0,Total Liabilities Net Minority Interest,3911000000.0,Current Assets,3690000000.0,Current Liabilities,3628000000.0,Total Equity Gross Minority Interest,3628000000.0,Total Equity Gross Minority Interest,165000000.0,Minority Interest,2025-06-30,Q,2144000000.0,Total Revenue,1268000000.0,Cost Of Revenue,498000000.0,Operating Expense,41000000.0,Interest Expense,295000000.0,Net Income,49000000.0,Tax Provision,43000000.0,,0.0,Net Common Stock Issuance,366000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,796000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,38000000.0,Capital Expenditure,147000000.0,Cash Dividends Paid,248000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,43000000.0,Depreciation,91.25,ROK,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3628000000.0,1,0.0,0.0,296000000.0,6134000000.0,2002000000.0,1258000000.0,2025,6,21.485939080154967,0.06902618760695844,0.40858208955223885,0.23227611940298507,79.46070429104478,90.17054416403785,60.44952681388013,0.017723880597014924,0.03735881841876629,0.23087686567164178,0.30956848030018763,0.13805970149253732,1.0,0.5,0.5867537313432836,79.46070429104478,90.17054416403785,60.44952681388013,0.017723880597014924,0.03735881841876629,0.49830508474576274,-0.11567164179104478,0.23087686567164178,0.011135252580119501,0.011135252580119501,0.14244186046511628,0.8,1.0,6.123233995736766e-17,0.25,0.0
468000000.0,Cash And Cash Equivalents,1931000000.0,Accounts Receivable,1247000000.0,Inventory,1200000000.0,Net PPE,930000000.0,Accounts Payable,610000000.0,Current Debt,2614000000.0,Long Term Debt,11219000000.0,Total Assets,7508000000.0,Total Liabilities Net Minority Interest,3911000000.0,Current Assets,3445000000.0,Current Liabilities,3711000000.0,Total Equity Gross Minority Interest,3711000000.0,Total Equity Gross Minority Interest,57000000.0,Minority Interest,2025-09-30,Q,2316000000.0,Total Revenue,708000000.0,Cost Of Revenue,1150000000.0,Operating Expense,37000000.0,Interest Expense,138000000.0,Net Income,33000000.0,Tax Provision,47000000.0,,0.0,Net Common Stock Issuance,6000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,720000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,49000000.0,Capital Expenditure,147000000.0,Cash Dividends Paid,138000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,47000000.0,Depreciation,91.25,ROK,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3711000000.0,1,0.0,0.0,265000000.0,6108000000.0,1905000000.0,1449000000.0,2025,9,21.56310739665716,0.07716831650219191,0.694300518134715,0.49654576856649396,76.08106649395509,160.7185734463277,119.86228813559322,0.021157167530224525,0.040940766550522645,0.20207253886010362,0.287369640787949,0.11442141623488773,1.0,0.5,0.6256476683937824,76.08106649395509,160.7185734463277,119.86228813559322,0.021157167530224525,0.040940766550522645,1.0,-0.05958549222797927,0.20207253886010362,0.010678210678210679,0.010678210678210679,0.19298245614035087,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
444000000.0,Cash And Cash Equivalents,1773000000.0,Accounts Receivable,1218000000.0,Inventory,1193000000.0,Net PPE,774000000.0,Accounts Payable,826000000.0,Current Debt,2574000000.0,Long Term Debt,11230000000.0,Total Assets,7430000000.0,Total Liabilities Net Minority Interest,3989000000.0,Current Assets,3452000000.0,Current Liabilities,3800000000.0,Total Equity Gross Minority Interest,3800000000.0,Total Equity Gross Minority Interest,54000000.0,Minority Interest,2025-12-31,Q,2105000000.0,Total Revenue,1089000000.0,Cost Of Revenue,650000000.0,Operating Expense,32000000.0,Interest Expense,305000000.0,Net Income,40000000.0,Tax Provision,44000000.0,,0.0,Net Common Stock Issuance,364000000.0,Issuance Of Debt+Issuance Of Debt,210000000.0,Repayment Of Debt+Repayment Of Debt+Short Term Debt Payments,64000000.0,Capital Expenditure,156000000.0,Cash Dividends Paid,306000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,44000000.0,Depreciation,91.25,ROK,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3800000000.0,1,0.0,0.0,554000000.0,6048000000.0,1852000000.0,1404000000.0,2025,12,21.467581304080756,-0.09552609257640299,0.4826603325415677,0.3087885985748218,76.85807600950119,102.05922865013774,64.85537190082644,0.030403800475059382,0.03666666666666667,0.21092636579572446,0.3027604630454141,0.26318289786223276,1.0,0.5,0.6669833729216152,76.85807600950119,102.05922865013774,64.85537190082644,0.030403800475059382,0.03666666666666667,0.5114754098360655,-0.14536817102137767,0.21092636579572446,0.009925558312655087,0.009925558312655087,0.11594202898550725,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
