C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,340100000.0,Other Current Liabilities,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,ROP,Information Technology,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
792800000.0,Cash And Cash Equivalents,724500000.0,Accounts Receivable,111300000.0,Inventory,85300000.0,Net PPE,122600000.0,Accounts Payable,699200000.0,Current Debt,5962500000.0,Long Term Debt,26980800000.0,Total Assets,10943000000.0,Total Liabilities Net Minority Interest,1932400000.0,Current Assets,2892500000.0,Current Liabilities,16037800000.0,Total Equity Gross Minority Interest,16037800000.0,Total Equity Gross Minority Interest,16037800000.0,Total Equity Gross Minority Interest,2022-12-31,A,5371800000.0,Total Revenue,1619000000.0,Cost Of Revenue,2228300000.0,Operating Expense,192400000.0,Interest Expense,4544700000.0,Net Income,296400000.0,Tax Provision,37300000.0,,71500000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,3200000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,70300000.0,Capital Expenditure,262300000.0,Cash Dividends Paid,,,37300000.0,Depreciation,365.0,ROP,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,16037800000.0,1,0.0,0.0,303800000.0,24963100000.0,2070700000.0,2088000000.0,2022,12,22.404428884832438,,0.6986112662422279,0.41481440113183665,49.22791243158718,25.09234095120445,27.639901173563928,0.01308686101492982,,0.1475855392978145,0.24690520666548063,0.05655459994787594,1.0,0.3854760043188503,0.3886965263040322,49.22791243158718,25.09234095120445,27.639901173563928,0.01308686101492982,,0.05771558078641054,,0.1475855392978145,,,0.061225754477288216,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
214300000.0,Cash And Cash Equivalents,829900000.0,Accounts Receivable,118600000.0,Inventory,119600000.0,Net PPE,143000000.0,Accounts Payable,499500000.0,Current Debt,5830600000.0,Long Term Debt,28167500000.0,Total Assets,10722700000.0,Total Liabilities Net Minority Interest,1481400000.0,Current Assets,2963200000.0,Current Liabilities,17444800000.0,Total Equity Gross Minority Interest,17444800000.0,Total Equity Gross Minority Interest,17444800000.0,Total Equity Gross Minority Interest,2023-12-31,A,6177800000.0,Total Revenue,1870600000.0,Cost Of Revenue,2562000000.0,Operating Expense,164700000.0,Interest Expense,1384200000.0,Net Income,374700000.0,Tax Provision,35400000.0,,77500000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2800000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,108000000.0,Capital Expenditure,290200000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,35400000.0,Depreciation,365.0,ROP,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,17444800000.0,1,0.0,0.0,318600000.0,26566500000.0,2320700000.0,1928900000.0,2023,12,22.54422805798256,0.13979917315012358,0.6972061251578232,0.4147107384505811,49.032584415163974,23.1417726932535,27.90281193200043,0.01748195150377157,0.41500586166471276,0.03468872414128007,0.22473062927132334,0.05157175693612613,1.0,0.37565152643335814,0.31223089125578685,49.032584415163974,23.1417726932535,27.90281193200043,0.01748195150377157,0.41500586166471276,0.20965178442421614,0.012544918903169413,0.03468872414128007,0.0247234189471156,0.0247234189471156,0.21303087156745693,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,0.0,Net Income Discontinuous Operations,,,,,,,,,,,,,,,,,,,91.25,ROP,Information Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,0.0,Net Income Discontinuous Operations,,,,,,,2730000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,,,,,,,,,91.25,ROP,Information Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
188200000.0,Cash And Cash Equivalents,885100000.0,Accounts Receivable,120800000.0,Inventory,149700000.0,Net PPE,148100000.0,Accounts Payable,1043100000.0,Current Debt,6579900000.0,Long Term Debt,31334700000.0,Total Assets,12467100000.0,Total Liabilities Net Minority Interest,1542700000.0,Current Assets,3832200000.0,Current Liabilities,18867600000.0,Total Equity Gross Minority Interest,18867600000.0,Total Equity Gross Minority Interest,18867600000.0,Total Equity Gross Minority Interest,2024-12-31,Q,1877100000.0,Total Revenue,594800000.0,Cost Of Revenue,757600000.0,Operating Expense,70800000.0,Interest Expense,462300000.0,Net Income,128500000.0,Tax Provision,9200000.0,,20000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,38400000.0,Capital Expenditure,80800000.0,Cash Dividends Paid,,,9200000.0,Depreciation,91.25,ROP,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,18867600000.0,1,0.0,0.0,348600000.0,29642300000.0,2641000000.0,2055000000.0,2024,12,21.352993869636702,,0.6831282297160514,0.40360129987747057,43.026676788663366,18.532279757901815,22.720452252858102,0.020457088061371264,,0.10026104096744978,0.2432766230409099,0.18571200255713602,1.0,0.5,1.0,43.026676788663366,18.532279757901815,22.720452252858102,0.020457088061371264,,0.17477828250054078,,0.10026104096744978,,,0.21750169262017605,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
372800000.0,Cash And Cash Equivalents,813300000.0,Accounts Receivable,125500000.0,Inventory,150000000.0,Net PPE,152800000.0,Accounts Payable,999400000.0,Current Debt,6457000000.0,Long Term Debt,31418800000.0,Total Assets,12195200000.0,Total Liabilities Net Minority Interest,1704600000.0,Current Assets,3688000000.0,Current Liabilities,19223600000.0,Total Equity Gross Minority Interest,19223600000.0,Total Equity Gross Minority Interest,19223600000.0,Total Equity Gross Minority Interest,2025-03-31,Q,1882800000.0,Total Revenue,589100000.0,Cost Of Revenue,767900000.0,Operating Expense,62900000.0,Interest Expense,331100000.0,Net Income,86900000.0,Tax Provision,9100000.0,,36000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,,,21900000.0,Capital Expenditure,88600000.0,Cash Dividends Paid,,,9100000.0,Depreciation,91.25,ROP,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,19223600000.0,1,0.0,0.0,393000000.0,29564200000.0,2535800000.0,2050200000.0,2025,3,21.35602586749126,0.003031997854559876,0.6871149352028894,0.40785001062247717,39.41662683237731,19.439611271430998,23.668307587845867,0.011631612492033143,0.06078824315297261,0.19800297429360528,0.23732287674895286,0.20873167622689612,1.0,0.5,1.0,39.41662683237731,19.439611271430998,23.668307587845867,0.011631612492033143,0.06078824315297261,0.26759287224403505,,0.19800297429360528,0.008251344614980978,0.008251344614980978,0.20789473684210527,0.8,0.0,1.0,0.25,0.0
242400000.0,Cash And Cash Equivalents,868800000.0,Accounts Receivable,132200000.0,Inventory,156500000.0,Net PPE,159400000.0,Accounts Payable,999800000.0,Current Debt,7859200000.0,Long Term Debt,33220400000.0,Total Assets,13586500000.0,Total Liabilities Net Minority Interest,1654300000.0,Current Assets,3564500000.0,Current Liabilities,19633900000.0,Total Equity Gross Minority Interest,19633900000.0,Total Equity Gross Minority Interest,19633900000.0,Total Equity Gross Minority Interest,2025-06-30,Q,1943600000.0,Total Revenue,598200000.0,Cost Of Revenue,797100000.0,Operating Expense,79100000.0,Interest Expense,378300000.0,Net Income,107000000.0,Tax Provision,10500000.0,,26500000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,,,30900000.0,Capital Expenditure,88600000.0,Cash Dividends Paid,,,10500000.0,Depreciation,91.25,ROP,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,19633900000.0,1,0.0,0.0,410900000.0,31409600000.0,2405300000.0,2162800000.0,2025,6,21.38780776049602,0.03178189300475864,0.6922206215270632,0.41011525005145094,40.78925704877547,20.165914409896356,24.3150284185891,0.015898332990327228,0.07,0.12471701996295534,0.2666734897833861,0.2114118131302737,1.0,0.5,1.0,40.78925704877547,20.165914409896356,24.3150284185891,0.015898332990327228,0.07,0.23420565688606926,,0.12471701996295534,0.010608336462636125,0.010608336462636125,0.22048217597362457,0.8,1.0,6.123233995736766e-17,0.25,0.0
320000000.0,Cash And Cash Equivalents,910200000.0,Accounts Receivable,140800000.0,Inventory,157600000.0,Net PPE,167400000.0,Accounts Payable,300000000.0,Current Debt,9154100000.0,Long Term Debt,34584400000.0,Total Assets,14591600000.0,Total Liabilities Net Minority Interest,1803200000.0,Current Assets,3125200000.0,Current Liabilities,19992800000.0,Total Equity Gross Minority Interest,19992800000.0,Total Equity Gross Minority Interest,19992800000.0,Total Equity Gross Minority Interest,2025-09-30,Q,2017500000.0,Total Revenue,614500000.0,Cost Of Revenue,830000000.0,Operating Expense,89700000.0,Interest Expense,398500000.0,Net Income,99700000.0,Tax Provision,10300000.0,,24500000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,2175000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,27600000.0,Capital Expenditure,88800000.0,Cash Dividends Paid,,,10300000.0,Depreciation,91.25,ROP,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,19992800000.0,1,0.0,0.0,432200000.0,32623600000.0,2657800000.0,2312300000.0,2025,9,21.425124958108377,0.03731719761235652,0.6954151177199505,0.4114002478314746,41.167657992565054,20.908055329536207,24.858014646053704,0.013680297397769516,0.065814696485623,0.15861214374225527,0.2733631348237934,0.21422552664188352,1.0,0.5,1.0,41.167657992565054,20.908055329536207,24.858014646053704,0.013680297397769516,0.065814696485623,0.22283563362609787,,0.15861214374225527,0.01012529630883847,0.01012529630883847,0.20012043356081896,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
297400000.0,Cash And Cash Equivalents,1001000000.0,Accounts Receivable,141700000.0,Inventory,156900000.0,Net PPE,150300000.0,Accounts Payable,705200000.0,Current Debt,8595800000.0,Long Term Debt,34577000000.0,Total Assets,14695500000.0,Total Liabilities Net Minority Interest,1928100000.0,Current Assets,3725600000.0,Current Liabilities,19881500000.0,Total Equity Gross Minority Interest,19881500000.0,Total Equity Gross Minority Interest,19881500000.0,Total Equity Gross Minority Interest,2025-12-31,Q,2058600000.0,Total Revenue,628700000.0,Cost Of Revenue,841600000.0,Operating Expense,93300000.0,Interest Expense,428400000.0,Net Income,106200000.0,Tax Provision,9900000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1200000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,24300000.0,Capital Expenditure,89000000.0,Cash Dividends Paid,,,9900000.0,Depreciation,91.25,ROP,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,19881500000.0,1,0.0,0.0,488000000.0,32492000000.0,2870100000.0,2374100000.0,2025,12,21.445291977056733,0.020167018948356485,0.694598270669387,0.40882152919459824,44.37056737588652,20.56644663591538,21.814657229203117,0.011804138735062664,0.06281725888324872,0.14446711357233072,0.26899383983572894,0.23705430875352182,1.0,0.5,1.0,44.37056737588652,20.56644663591538,21.814657229203117,0.011804138735062664,0.06281725888324872,0.207749766573296,,0.14446711357233072,0.00986873419997673,0.00986873419997673,0.19865319865319866,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
