C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
251000.0,Restricted Cash,99921000.0,Other Receivables,,,,,,,,,,,,,,,,,,,,,,,,,2021-06-30,A,,,,,,,,,,,,,,,,,,,121258000.0,Long Term Debt Payments+Long Term Debt Payments,,,,,,,,,365.0,SMCI,Information Technology,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,,,,2021,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,6.123233995736766e-17,1.0,0.0
267397000.0,Cash And Cash Equivalents,834513000.0,Accounts Receivable,1545606000.0,Inventory,285972000.0,Net PPE,655403000.0,Accounts Payable,449146000.0,Current Debt,147618000.0,Long Term Debt,3205077000.0,Total Assets,1779330000.0,Total Liabilities Net Minority Interest,2806315000.0,Current Assets,1470024000.0,Current Liabilities,1425747000.0,Total Equity Gross Minority Interest,1425747000.0,Total Equity Gross Minority Interest,172000.0,Minority Interest,2022-06-30,A,5196099000.0,Total Revenue,4396098000.0,Cost Of Revenue,464834000.0,Operating Expense,6413000.0,Interest Expense,285163000.0,Net Income,52876000.0,Tax Provision,32471000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,2306634000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,3203475000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,45182000.0,Capital Expenditure,,,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,32471000.0,Depreciation,365.0,SMCI,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1425747000.0,1,0.0,0.0,158799000.0,112790000.0,365475000.0,161688000.0,2022,6,22.371173988691037,,0.15396184714725414,0.08945826474822746,58.62036981974362,128.32884753706583,54.416915864932946,0.008695369353047353,,0.05146110572566073,0.18619334262484177,0.030561196004926003,0.0217066687913375,0.07033641968715376,0.031117190030443994,58.62036981974362,128.32884753706583,54.416915864932946,0.008695369353047353,,,0.0,0.05146110572566073,,,0.15641982138155658,0.2,1.0,6.123233995736766e-17,1.0,0.0
440459000.0,Cash And Cash Equivalents,1148259000.0,Accounts Receivable,1445564000.0,Inventory,290240000.0,Net PPE,776831000.0,Accounts Payable,170123000.0,Current Debt,120179000.0,Long Term Debt,3674729000.0,Total Assets,1702559000.0,Total Liabilities Net Minority Interest,3179426000.0,Current Assets,1374652000.0,Current Liabilities,1972170000.0,Total Equity Gross Minority Interest,1972170000.0,Total Equity Gross Minority Interest,165000.0,Minority Interest,2023-06-30,A,7123482000.0,Total Revenue,5840470000.0,Cost Of Revenue,521870000.0,Operating Expense,10491000.0,Interest Expense,639998000.0,Net Income,110666000.0,Tax Provision,34904000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,2187720000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,6971955000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,36793000.0,Capital Expenditure,,,299996000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,34904000.0,Depreciation,365.0,SMCI,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1972170000.0,1,0.0,0.0,145144000.0,205063000.0,427698000.0,207728000.0,2023,6,22.68666248777061,0.3154884990795743,0.18011023260815429,0.07326052062741227,58.83562771689463,90.34047944771568,48.54803038111659,0.0051650302478478925,0.12205390737554726,0.06183198048370165,0.07899956704290302,0.02037542875801469,0.02878690505570169,0.06004058127752692,0.029161019849562334,58.83562771689463,90.34047944771568,48.54803038111659,0.0051650302478478925,0.12205390737554726,,-0.042113674183496215,0.06183198048370165,0.01757981379573835,0.01757981379573835,0.14742414715505206,0.4,1.0,6.123233995736766e-17,1.0,0.0
1669766000.0,Cash And Cash Equivalents,2737331000.0,Accounts Receivable,4333029000.0,Inventory,414008000.0,Net PPE,1472381000.0,Accounts Payable,402346000.0,Current Debt,1771799000.0,Long Term Debt,9826092000.0,Total Assets,4408722000.0,Total Liabilities Net Minority Interest,8931960000.0,Current Assets,2345721000.0,Current Liabilities,5417370000.0,Total Equity Gross Minority Interest,5417370000.0,Total Equity Gross Minority Interest,164000.0,Minority Interest,2024-06-30,A,14989251000.0,Total Revenue,12927841000.0,Cost Of Revenue,850636000.0,Operating Expense,19352000.0,Interest Expense,1152666000.0,Net Income,63294000.0,Tax Provision,40985000.0,,11569915000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,9400362000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,5902635000.0,Repayment Of Debt+Repayment Of Debt+Short Term Debt Payments,124279000.0,Capital Expenditure,,,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,40985000.0,Depreciation,365.0,SMCI,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,5417370000.0,1,0.0,0.0,191834000.0,480124000.0,470994000.0,291202000.0,2024,6,23.430599181168112,0.7439366933975009,0.13752588438208158,0.05674973352571119,66.65615346624057,122.33717795570041,41.57067409786367,0.008291208146424395,0.14121072216097022,0.11139756082542084,0.22126243067946036,0.012798104454985776,0.03203122023909,0.031422117089106055,0.0194273883331462,66.65615346624057,122.33717795570041,41.57067409786367,0.008291208146424395,0.14121072216097022,,0.7718807964453994,0.11139756082542084,0.06666161445666927,0.06666161445666927,0.05205269910194414,0.6,1.0,6.123233995736766e-17,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,12159000.0,,,,,,1106178000.0,Short Term Debt Payments,,,,,,,12159000.0,Depreciation,91.25,SMCI,Information Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,,,,2024,9,,,,,,,,,0.029368997700527526,,,,,,,,,,,0.029368997700527526,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
1430002000.0,Cash And Cash Equivalents,3059510000.0,Accounts Receivable,3596145000.0,Inventory,477492000.0,Net PPE,549323000.0,Accounts Payable,154988000.0,Current Debt,1754047000.0,Long Term Debt,9728348000.0,Total Assets,3489882000.0,Total Liabilities Net Minority Interest,8667070000.0,Current Assets,1357810000.0,Current Liabilities,6238466000.0,Total Equity Gross Minority Interest,6238466000.0,Total Equity Gross Minority Interest,159000.0,Minority Interest,2024-12-31,Q,5677962000.0,Total Revenue,5007940000.0,Cost Of Revenue,301398000.0,Operating Expense,6535000.0,Interest Expense,320596000.0,Net Income,56969000.0,Tax Provision,12389000.0,,,,243486000.0,Issuance Of Debt+Issuance Of Debt,935762000.0,Repayment Of Debt+Repayment Of Debt,27536000.0,Capital Expenditure,,,,,12389000.0,Depreciation,91.25,SMCI,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,6238466000.0,1,0.0,0.0,581413000.0,583786000.0,653499000.0,378025000.0,2024,12,22.459858202477438,,0.11800395987151724,0.053082074166752084,49.16910107887302,65.5255916105225,10.009250060903286,0.004849627383909931,,0.2518512804418205,0.19623424244280735,0.10239818441898696,0.10281611606417937,0.11509393687382903,0.06657758540828558,49.16910107887302,65.5255916105225,10.009250060903286,0.004849627383909931,,,,0.2518512804418205,,,0.1508852780315972,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
2536101000.0,Cash And Cash Equivalents,2642556000.0,Accounts Receivable,3870243000.0,Inventory,492565000.0,Net PPE,643050000.0,Accounts Payable,63971000.0,Current Debt,2428323000.0,Long Term Debt,10738525000.0,Total Assets,4359046000.0,Total Liabilities Net Minority Interest,9513589000.0,Current Assets,1428136000.0,Current Liabilities,6379479000.0,Total Equity Gross Minority Interest,6379479000.0,Total Equity Gross Minority Interest,160000.0,Minority Interest,2025-03-31,Q,4599913000.0,Total Revenue,4159695000.0,Cost Of Revenue,293438000.0,Operating Expense,13402000.0,Interest Expense,108777000.0,Net Income,5843000.0,Tax Provision,15160000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,846739000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,314614000.0,Repayment Of Debt+Repayment Of Debt,32700000.0,Capital Expenditure,,,,,15160000.0,Depreciation And Amortization,91.25,SMCI,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,6379479000.0,1,0.0,0.0,464689000.0,732371000.0,721115000.0,502587000.0,2025,3,22.24930322721913,-0.21055497525830802,0.09570137522166178,0.06379207606752563,52.42125992382899,84.9003770108145,14.106397824840522,0.0071088301017867075,0.03174922302363181,0.5513367318034058,0.23208904388638105,0.10102125844554016,0.15921409817968296,0.15676709537767344,0.10926010991947022,52.42125992382899,84.9003770108145,14.106397824840522,0.0071088301017867075,0.03174922302363181,,,0.5,0.007020300832619622,0.007020300832619622,0.050977141860059326,0.8,0.0,1.0,0.25,0.0
5169911000.0,Cash And Cash Equivalents,2203942000.0,Accounts Receivable,4680375000.0,Inventory,798180000.0,Net PPE,1281977000.0,Accounts Payable,75060000.0,Current Debt,4682593000.0,Long Term Debt,14018429000.0,Total Assets,7716558000.0,Total Liabilities Net Minority Interest,12301654000.0,Current Assets,2344792000.0,Current Liabilities,6301871000.0,Total Equity Gross Minority Interest,6301871000.0,Total Equity Gross Minority Interest,178000.0,Minority Interest,2025-06-30,A,21972042000.0,Total Revenue,19542120000.0,Cost Of Revenue,1176928000.0,Operating Expense,59573000.0,Interest Expense,1048854000.0,Net Income,156851000.0,Tax Provision,58344000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,11594989000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,5305950000.0,Repayment Of Debt+Repayment Of Debt+Short Term Debt Payments,127214000.0,Capital Expenditure,,,400000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,58344000.0,Depreciation And Amortization,365.0,SMCI,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,6301871000.0,1,0.0,0.0,247426000.0,918595000.0,987755000.0,689173000.0,2025,6,23.813036663948715,1.563733436729585,0.11059154174200103,0.0535647983924298,36.61192846800493,87.41819592756569,23.944260141683706,0.005789812344250935,0.11844934171124623,0.23529497167354768,0.33938560447821936,0.011260946979802788,0.041807447846677157,0.04495508428392773,0.0313659058179481,36.61192846800493,87.41819592756569,23.944260141683706,0.005789812344250935,0.11844934171124623,,-0.018204953367556825,0.23529497167354768,0.02390287823186189,0.02390287823186189,0.13009069382643348,0.8,1.0,6.123233995736766e-17,1.0,0.0
4196867000.0,Cash And Cash Equivalents,2525039000.0,Accounts Receivable,5730002000.0,Inventory,896680000.0,Net PPE,1279667000.0,Accounts Payable,100618000.0,Current Debt,4675088000.0,Long Term Debt,14386037000.0,Total Assets,7862477000.0,Total Liabilities Net Minority Interest,12661334000.0,Current Assets,2347235000.0,Current Liabilities,6523560000.0,Total Equity Gross Minority Interest,6523560000.0,Total Equity Gross Minority Interest,170000.0,Minority Interest,2025-09-30,Q,5017790000.0,Total Revenue,4550417000.0,Cost Of Revenue,285117000.0,Operating Expense,24931000.0,Interest Expense,168285000.0,Net Income,40161000.0,Tax Provision,20607000.0,,,,57176000.0,Issuance Of Debt+Issuance Of Debt,34620000.0,Repayment Of Debt+Repayment Of Debt+Short Term Debt Payments,32270000.0,Capital Expenditure,,,,,20607000.0,Depreciation,91.25,SMCI,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,6523560000.0,1,0.0,0.0,209426000.0,828023000.0,966950000.0,840154000.0,2025,9,22.336255434672566,-1.476781229276149,0.09314319650682867,0.0568212300634343,45.91858343015551,114.90434448095635,25.661299557820744,0.0064311180818647255,0.025817484777869652,0.8363974977031721,0.3319681438328012,0.04173670081848782,0.16501746784939186,0.19270435789461096,0.1674350660350473,45.91858343015551,114.90434448095635,25.661299557820744,0.0064311180818647255,0.025817484777869652,,,0.5,0.005240188807380446,0.005240188807380446,0.19266860481851414,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
4091083000.0,Cash And Cash Equivalents,11004122000.0,Accounts Receivable,10595448000.0,Inventory,908679000.0,Net PPE,13753207000.0,Accounts Payable,201776000.0,Current Debt,4676060000.0,Long Term Debt,28001610000.0,Total Assets,21009433000.0,Total Liabilities Net Minority Interest,26124597000.0,Current Assets,15396708000.0,Current Liabilities,6992177000.0,Total Equity Gross Minority Interest,6992177000.0,Total Equity Gross Minority Interest,162000.0,Minority Interest,2025-12-31,Q,12682491000.0,Total Revenue,11883924000.0,Cost Of Revenue,324269000.0,Operating Expense,25358000.0,Interest Expense,400564000.0,Net Income,99151000.0,Tax Provision,22417000.0,,,,420424000.0,Issuance Of Debt+Issuance Of Debt,223702000.0,Repayment Of Debt+Repayment Of Debt,21221000.0,Capital Expenditure,,,,,22417000.0,Depreciation,91.25,SMCI,Information Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,6992177000.0,1,0.0,0.0,433944000.0,968334000.0,1441725000.0,936665000.0,2025,12,23.2634882177656,0.9272327830930358,0.06296610027162641,0.025568242074841607,79.17420422376014,81.3565140605073,105.60317776771376,0.0016732517294906814,0.025,0.3225772444861187,0.17419841216272922,0.034215991164511766,0.07635203525868853,0.11367837753640038,0.07385497060474949,79.17420422376014,81.3565140605073,105.60317776771376,0.0016732517294906814,0.025,,,0.3225772444861187,0.005309790845583878,0.005309790845583878,0.1984150966050649,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
