C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,649600000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,,,,,,,,,365.0,SNA,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
757200000.0,Cash And Cash Equivalents,761700000.0,Accounts Receivable,1033100000.0,Inventory,574100000.0,Net PPE,287000000.0,Accounts Payable,17200000.0,Current Debt,1183800000.0,Long Term Debt,6972800000.0,Total Assets,2469300000.0,Total Liabilities Net Minority Interest,3368900000.0,Current Assets,971600000.0,Current Liabilities,4503500000.0,Total Equity Gross Minority Interest,4503500000.0,Total Equity Gross Minority Interest,22200000.0,Minority Interest,2022-12-31,A,4842500000.0,Total Revenue,2395400000.0,Cost Of Revenue,1239900000.0,Operating Expense,47100000.0,Interest Expense,911700000.0,Net Income,268700000.0,Tax Provision,71500000.0,,21900000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,84200000.0,Capital Expenditure,313100000.0,Cash Dividends Paid,396200000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,71500000.0,Depreciation,365.0,SNA,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4503500000.0,1,0.0,0.0,816900000.0,3029800000.0,667400000.0,313900000.0,2022,12,22.300696953245424,,0.5053381517811049,0.25604543107898814,57.41259679917398,157.41901143859064,43.731735827001756,0.01738771295818276,,0.15636551368094992,0.17224070674621386,0.16869385647909138,0.6256685596282912,0.13782137325761487,0.0648218895198761,57.41259679917398,157.41901143859064,43.731735827001756,0.01738771295818276,,0.34342437205221016,-0.0772947857511616,0.15636551368094992,,,0.22763470010166045,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
1001500000.0,Cash And Cash Equivalents,791300000.0,Accounts Receivable,1005900000.0,Inventory,614000000.0,Net PPE,238000000.0,Accounts Payable,15600000.0,Current Debt,1184600000.0,Long Term Debt,7544900000.0,Total Assets,2451500000.0,Total Liabilities Net Minority Interest,3652000000.0,Current Assets,941600000.0,Current Liabilities,5093400000.0,Total Equity Gross Minority Interest,5093400000.0,Total Equity Gross Minority Interest,22100000.0,Minority Interest,2023-12-31,A,5108300000.0,Total Revenue,2488700000.0,Cost Of Revenue,1309200000.0,Operating Expense,49900000.0,Interest Expense,1011100000.0,Net Income,293400000.0,Tax Provision,72200000.0,,0.0,Net Common Stock Issuance,,,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,95000000.0,Capital Expenditure,355600000.0,Cash Dividends Paid,589400000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,72200000.0,Depreciation,365.0,SNA,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,5093400000.0,1,0.0,0.0,853300000.0,3278900000.0,688000000.0,325300000.0,2023,12,22.354132504793807,0.05343555154838242,0.5128124816475148,0.2562887849186618,56.540238435487346,147.52822758870093,34.905774098927154,0.01859718497347454,0.12576206235847415,0.19605348158878688,0.1590743416082387,0.1670418730301666,0.6418769453634281,0.13468277117632088,0.06368067654601335,56.540238435487346,147.52822758870093,34.905774098927154,0.01859718497347454,0.12576206235847415,0.3516961724854119,-0.11538085077227257,0.19605348158878688,0.041548709408825976,0.041548709408825976,0.22491376006132618,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,SNA,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,SNA,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
1360500000.0,Cash And Cash Equivalents,815600000.0,Accounts Receivable,943400000.0,Inventory,632000000.0,Net PPE,265900000.0,Accounts Payable,13700000.0,Current Debt,1185500000.0,Long Term Debt,7896800000.0,Total Assets,2479800000.0,Total Liabilities Net Minority Interest,3989400000.0,Current Assets,961500000.0,Current Liabilities,5417000000.0,Total Equity Gross Minority Interest,5417000000.0,Total Equity Gross Minority Interest,22900000.0,Minority Interest,2024-12-31,A,5108400000.0,Total Revenue,2453600000.0,Cost Of Revenue,1309100000.0,Operating Expense,49600000.0,Interest Expense,1043900000.0,Net Income,304200000.0,Tax Provision,72700000.0,,0.0,Net Common Stock Issuance,,,,,83500000.0,Capital Expenditure,406400000.0,Cash Dividends Paid,580000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,72700000.0,Depreciation,365.0,SNA,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,5417000000.0,1,0.0,0.0,869900000.0,3275400000.0,681900000.0,332800000.0,2024,12,22.35415208058638,,0.5196930545767755,0.25626419231070396,58.27538955445932,140.341131398761,39.55555102706228,0.01634562681074309,,0.26632605120977215,0.15185898085300376,0.17028815284629237,0.64117923420249,0.13348602302090673,0.06514760003132096,58.27538955445932,140.341131398761,39.55555102706228,0.01634562681074309,,0.38930932081617015,-0.11353848563150888,0.26632605120977215,,,0.2256509161041466,0.6,-1.0,-1.8369701987210297e-16,1.0,0.0
1434900000.0,Cash And Cash Equivalents,852700000.0,Accounts Receivable,961200000.0,Inventory,639400000.0,Net PPE,281300000.0,Accounts Payable,18200000.0,Current Debt,1185700000.0,Long Term Debt,8069000000.0,Total Assets,2524900000.0,Total Liabilities Net Minority Interest,4141400000.0,Current Assets,999900000.0,Current Liabilities,5544100000.0,Total Equity Gross Minority Interest,5544100000.0,Total Equity Gross Minority Interest,23300000.0,Minority Interest,2025-03-31,Q,1243200000.0,Total Revenue,594400000.0,Cost Of Revenue,335400000.0,Operating Expense,12400000.0,Interest Expense,240500000.0,Net Income,68700000.0,Tax Provision,18300000.0,,0.0,Net Common Stock Issuance,,,,,22900000.0,Capital Expenditure,112200000.0,Cash Dividends Paid,174400000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,18300000.0,Depreciation,91.25,SNA,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,5544100000.0,1,0.0,0.0,892600000.0,3288200000.0,700400000.0,339300000.0,2025,3,20.940954537577657,-1.4131975430087245,0.5218790218790219,0.2697876447876448,62.58757641570141,147.55972409152085,43.18409320323015,0.01842020592020592,0.028955696202531647,1.1541988416988418,0.14920064444169043,0.5,1.0,0.5,0.27292471042471045,62.58757641570141,147.55972409152085,43.18409320323015,0.01842020592020592,0.028955696202531647,0.46652806652806655,-0.1402831402831403,0.5,0.010340226817878585,0.010340226817878585,0.2221862871927555,0.8,0.0,1.0,0.25,0.0
1458300000.0,Cash And Cash Equivalents,842400000.0,Accounts Receivable,997700000.0,Inventory,647900000.0,Net PPE,269800000.0,Accounts Payable,17700000.0,Current Debt,1186000000.0,Long Term Debt,8201800000.0,Total Assets,2462300000.0,Total Liabilities Net Minority Interest,4219600000.0,Current Assets,941500000.0,Current Liabilities,5739500000.0,Total Equity Gross Minority Interest,5739500000.0,Total Equity Gross Minority Interest,24000000.0,Minority Interest,2025-06-30,Q,1281100000.0,Total Revenue,617400000.0,Cost Of Revenue,336400000.0,Operating Expense,12300000.0,Interest Expense,250300000.0,Net Income,72500000.0,Tax Provision,18500000.0,,0.0,Net Common Stock Issuance,,,,,19700000.0,Capital Expenditure,111800000.0,Cash Dividends Paid,158000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,18500000.0,Depreciation,91.25,SNA,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,5739500000.0,1,0.0,0.0,921200000.0,3334300000.0,654000000.0,334800000.0,2025,6,20.970984920826663,0.030030383249005865,0.5180704082429162,0.26258683943486066,60.002341737569274,147.45728053126012,39.87568837058633,0.01537741003824838,0.028933375039099155,1.1383186324252594,0.14676046721451388,0.5,1.0,0.5,0.26133791273124657,60.002341737569274,147.45728053126012,39.87568837058633,0.01537741003824838,0.028933375039099155,0.4466640031961646,-0.12333151198189056,0.5,0.01021679541490157,0.01021679541490157,0.22459727385377942,0.8,1.0,6.123233995736766e-17,0.25,0.0
1534100000.0,Cash And Cash Equivalents,925700000.0,Accounts Receivable,1024500000.0,Inventory,646900000.0,Net PPE,271300000.0,Accounts Payable,21300000.0,Current Debt,1186200000.0,Long Term Debt,8355600000.0,Total Assets,2511800000.0,Total Liabilities Net Minority Interest,4385300000.0,Current Assets,996800000.0,Current Liabilities,5843800000.0,Total Equity Gross Minority Interest,5843800000.0,Total Equity Gross Minority Interest,24800000.0,Minority Interest,2025-09-30,Q,1291900000.0,Total Revenue,617100000.0,Cost Of Revenue,327400000.0,Operating Expense,12400000.0,Interest Expense,265400000.0,Net Income,77500000.0,Tax Provision,19100000.0,,0.0,Net Common Stock Issuance,,,,,19900000.0,Capital Expenditure,111500000.0,Cash Dividends Paid,164000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,19100000.0,Depreciation,91.25,SNA,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,5843800000.0,1,0.0,0.0,901000000.0,3323400000.0,704200000.0,328800000.0,2025,9,20.97937983993053,0.008394919103867693,0.5223314498026164,0.2534251877080269,65.38441442836132,151.49185707340789,40.11687732944417,0.015403669014629615,0.029479858002778206,1.187475810821271,0.14451385896883528,0.5,1.0,0.5,0.2545088629150863,65.38441442836132,151.49185707340789,40.11687732944417,0.015403669014629615,0.029479858002778206,0.420120572720422,-0.12694480996981192,0.5,0.010301570158677411,0.010301570158677411,0.22601341498979294,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
1624500000.0,Cash And Cash Equivalents,881400000.0,Accounts Receivable,1025200000.0,Inventory,636000000.0,Net PPE,229100000.0,Accounts Payable,16200000.0,Current Debt,1186400000.0,Long Term Debt,8412300000.0,Total Assets,2455500000.0,Total Liabilities Net Minority Interest,4402800000.0,Current Assets,918500000.0,Current Liabilities,5956800000.0,Total Equity Gross Minority Interest,5956800000.0,Total Equity Gross Minority Interest,25000000.0,Minority Interest,2025-12-31,A,5156100000.0,Total Revenue,2488900000.0,Cost Of Revenue,1339500000.0,Operating Expense,50500000.0,Interest Expense,1016900000.0,Net Income,293600000.0,Tax Provision,75800000.0,,0.0,Net Common Stock Issuance,,,,,76000000.0,Capital Expenditure,462200000.0,Cash Dividends Paid,657200000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,75800000.0,Depreciation,365.0,SNA,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,5956800000.0,1,0.0,0.0,871700000.0,3373500000.0,673200000.0,350600000.0,2025,12,22.363446316715027,1.384066476784497,0.517290199957332,0.2597893756909292,62.39425146913365,150.34673952348427,33.59777411707984,0.014739822734237117,0.11717421548925645,0.3150637109443184,0.14295733628139748,0.1690618878609802,0.6542735788677488,0.13056379821958458,0.06799712961346754,62.39425146913365,150.34673952348427,33.59777411707984,0.014739822734237117,0.11717421548925645,0.45451863506736156,-0.12746067764395572,0.3150637109443184,0.04182194616977226,0.04182194616977226,0.22403662724151088,0.8,-1.0,-1.8369701987210297e-16,1.0,0.0
