C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
199400000.0,Cash And Cash Equivalents,899000000.0,Accounts Receivable,1573200000.0,Inventory,6538500000.0,Net PPE,899200000.0,Accounts Payable,928300000.0,Current Debt,9488200000.0,Long Term Debt,25855800000.0,Total Assets,13808000000.0,Total Liabilities Net Minority Interest,3329700000.0,Current Assets,2698800000.0,Current Liabilities,12047800000.0,Total Equity Gross Minority Interest,12047800000.0,Total Equity Gross Minority Interest,315900000.0,Minority Interest,2022-02-28,A,8820700000.0,Total Revenue,4113400000.0,Cost Of Revenue,1709700000.0,Operating Expense,356400000.0,Interest Expense,-40400000.0,Net Income,309400000.0,Tax Provision,337300000.0,,0.0,Net Common Stock Issuance,2986800000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,5461200000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,1026800000.0,Capital Expenditure,573000000.0,Cash Dividends Paid,2781000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,337300000.0,Depreciation,365.0,STZ,Consumer Staples,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,12047800000.0,1,0.0,0.0,658100000.0,15987600000.0,871300000.0,1621000000.0,2022,2,22.900367068895235,,0.5336651286179102,0.1938281542281225,37.200562313648575,139.5969271162542,79.78995478193222,0.11640799483034227,,0.022605915630278774,0.4028689887762127,0.074608591154897,1.0,0.09877900846871564,0.18377226297232646,37.200562313648575,139.5969271162542,79.78995478193222,0.11640799483034227,,0.0,-0.3152811001394447,0.022605915630278774,,,0.5,0.2,0.0,1.0,1.0,0.0
133500000.0,Cash And Cash Equivalents,901600000.0,Accounts Receivable,1898700000.0,Inventory,6865200000.0,Net PPE,941500000.0,Accounts Payable,1174800000.0,Current Debt,11286500000.0,Long Term Debt,24662300000.0,Total Assets,15928400000.0,Total Liabilities Net Minority Interest,3496100000.0,Current Assets,2968300000.0,Current Liabilities,8733900000.0,Total Equity Gross Minority Interest,8733900000.0,Total Equity Gross Minority Interest,320300000.0,Minority Interest,2023-02-28,A,9452600000.0,Total Revenue,4683600000.0,Cost Of Revenue,1928100000.0,Operating Expense,422900000.0,Interest Expense,-71000000.0,Net Income,422100000.0,Tax Provision,383800000.0,,0.0,Net Common Stock Issuance,10034700000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,8638800000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,1035400000.0,Capital Expenditure,587700000.0,Cash Dividends Paid,6400400000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,383800000.0,Depreciation,365.0,STZ,Consumer Staples,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,8733900000.0,1,0.0,0.0,562300000.0,14301000000.0,852000000.0,1673600000.0,2023,2,22.969555672885253,0.06918860399001758,0.504517275670186,0.20397562575376088,34.81412521422677,147.96854983346145,73.37251259714749,0.1095360006770624,0.05869847824424562,0.01412309840678755,0.5052772855735272,0.05948627890739056,1.0,0.09013393140511605,0.177051816431458,34.81412521422677,147.96854983346145,73.37251259714749,0.1095360006770624,0.05869847824424562,0.0,-0.6771047119311089,0.01412309840678755,0.04059904958479336,0.04059904958479336,0.5,0.4,0.0,1.0,1.0,0.0
152400000.0,Cash And Cash Equivalents,832800000.0,Accounts Receivable,2078300000.0,Inventory,8670500000.0,Net PPE,1107100000.0,Accounts Payable,1198200000.0,Current Debt,10681100000.0,Long Term Debt,25691700000.0,Total Assets,15627100000.0,Total Liabilities Net Minority Interest,3729500000.0,Current Assets,3141700000.0,Current Liabilities,10064600000.0,Total Equity Gross Minority Interest,10064600000.0,Total Equity Gross Minority Interest,321500000.0,Minority Interest,2024-02-29,A,9961800000.0,Total Revenue,4944300000.0,Cost Of Revenue,1832700000.0,Operating Expense,436100000.0,Interest Expense,1727400000.0,Net Income,456600000.0,Tax Provision,427900000.0,,0.0,Net Common Stock Issuance,3433200000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,3238800000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,1269100000.0,Capital Expenditure,653800000.0,Cash Dividends Paid,499400000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,427900000.0,Depreciation,365.0,STZ,Consumer Staples,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,10064600000.0,1,0.0,0.0,666000000.0,13291700000.0,836400000.0,1804300000.0,2024,2,23.022023615106068,0.05246794222081519,0.5036740348129856,0.18397277600433656,30.51376257302897,153.42505511396962,81.72875836822199,0.12739665522295168,0.06232884693818097,0.015298440040956453,0.46237890057878617,0.06685538758055773,1.0,0.08396072998855629,0.18112188560300346,30.51376257302897,153.42505511396962,81.72875836822199,0.12739665522295168,0.06232884693818097,0.37848790089151324,-0.05013150233893473,0.015298440040956453,0.03499634869556146,0.03499634869556146,0.20906593406593407,0.6,0.0,1.0,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-31,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,STZ,Consumer Staples,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-31,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,STZ,Consumer Staples,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
73700000.0,Cash And Cash Equivalents,836200000.0,Accounts Receivable,2129600000.0,Inventory,8330300000.0,Net PPE,1055900000.0,Accounts Payable,1393400000.0,Current Debt,10185700000.0,Long Term Debt,22806200000.0,Total Assets,14734500000.0,Total Liabilities Net Minority Interest,3629500000.0,Current Assets,3289000000.0,Current Liabilities,8071700000.0,Total Equity Gross Minority Interest,8071700000.0,Total Equity Gross Minority Interest,253900000.0,Minority Interest,2024-11-30,Q,2463800000.0,Total Revenue,1179500000.0,Cost Of Revenue,491300000.0,Operating Expense,107700000.0,Interest Expense,615900000.0,Net Income,44500000.0,Tax Provision,119000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1606800000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,228400000.0,Capital Expenditure,182700000.0,Cash Dividends Paid,437800000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,119000000.0,Depreciation,91.25,STZ,Consumer Staples,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,8071700000.0,1,0.0,0.0,590000000.0,10846400000.0,839700000.0,1259800000.0,2024,11,21.624970710492146,,0.5212679600616933,0.19940741943339557,30.96974186216414,164.7528613819415,81.68789741415854,0.09270232973455637,,0.029913142300511404,0.5077171997088511,0.23946748924425684,1.0,0.3408150012176313,0.5113239711015505,30.96974186216414,164.7528613819415,81.68789741415854,0.09270232973455637,,0.29663906478324403,-0.17769299456124685,0.029913142300511404,,,0.06738340399757722,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
68100000.0,Cash And Cash Equivalents,736500000.0,Accounts Receivable,1437200000.0,Inventory,7955500000.0,Net PPE,939800000.0,Accounts Payable,2208700000.0,Current Debt,9289000000.0,Long Term Debt,21652300000.0,Total Assets,14517500000.0,Total Liabilities Net Minority Interest,3716400000.0,Current Assets,4035200000.0,Current Liabilities,7134800000.0,Total Equity Gross Minority Interest,7134800000.0,Total Equity Gross Minority Interest,252800000.0,Minority Interest,2025-02-28,A,10208700000.0,Total Revenue,4894100000.0,Cost Of Revenue,1950000000.0,Operating Expense,411400000.0,Interest Expense,-81400000.0,Net Income,-51700000.0,Tax Provision,445700000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,3828000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,1214100000.0,Capital Expenditure,731800000.0,Cash Dividends Paid,2247600000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,445700000.0,Depreciation,365.0,STZ,Consumer Staples,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,7134800000.0,1,0.0,0.0,1474600000.0,9980400000.0,886700000.0,1193300000.0,2025,2,23.046506134865492,1.4215354243733458,0.5205951786221557,0.19101354726850628,26.332686825942577,107.18579514108825,70.08990417032754,0.11892797319932999,0.05350347526499646,0.006670780804607835,0.5310151808352923,0.1444454240010971,0.9776367216197949,0.08685728839127412,0.11689049536179925,26.332686825942577,107.18579514108825,70.08990417032754,0.11892797319932999,0.05350347526499646,0.0,-0.2201651532516383,0.006670780804607835,0.035529531656173625,0.035529531656173625,0.0,0.8,0.0,1.0,1.0,0.0
73900000.0,Cash And Cash Equivalents,813300000.0,Accounts Receivable,1411900000.0,Inventory,8289500000.0,Net PPE,979500000.0,Accounts Payable,1780500000.0,Current Debt,9786500000.0,Long Term Debt,22262700000.0,Total Assets,14730600000.0,Total Liabilities Net Minority Interest,3941300000.0,Current Assets,3694100000.0,Current Liabilities,7532100000.0,Total Equity Gross Minority Interest,7532100000.0,Total Equity Gross Minority Interest,266600000.0,Minority Interest,2025-05-31,Q,2515000000.0,Total Revenue,1248400000.0,Cost Of Revenue,500700000.0,Operating Expense,100600000.0,Interest Expense,516100000.0,Net Income,87600000.0,Tax Provision,105200000.0,,0.0,Net Common Stock Issuance,1497300000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,4000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,192800000.0,Capital Expenditure,182200000.0,Cash Dividends Paid,612200000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,105200000.0,Depreciation,91.25,STZ,Consumer Staples,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,7532100000.0,1,0.0,0.0,1642200000.0,10031900000.0,934100000.0,1250000000.0,2025,5,21.645538640498113,-1.4009674943673787,0.5036182902584493,0.1990854870775348,29.508399602385687,103.20079702018583,71.5951417814803,0.07666003976143142,0.013223556030419206,0.029383697813121272,0.5195686057845634,0.5,1.0,0.37141153081510936,0.4970178926441352,29.508399602385687,103.20079702018583,71.5951417814803,0.07666003976143142,0.013223556030419206,0.35303235807014144,-0.24341948310139164,0.029383697813121272,0.008749576002156954,0.008749576002156954,0.14510518469438463,0.8,1.0,6.123233995736766e-17,0.25,0.0
72000000.0,Cash And Cash Equivalents,667600000.0,Accounts Receivable,1439700000.0,Inventory,8608500000.0,Net PPE,1023200000.0,Accounts Payable,756600000.0,Current Debt,9788300000.0,Long Term Debt,21419400000.0,Total Assets,13633100000.0,Total Liabilities Net Minority Interest,2878900000.0,Current Assets,2659400000.0,Current Liabilities,7786300000.0,Total Equity Gross Minority Interest,7786300000.0,Total Equity Gross Minority Interest,285900000.0,Minority Interest,2025-08-31,Q,2481000000.0,Total Revenue,1171000000.0,Cost Of Revenue,436000000.0,Operating Expense,89000000.0,Interest Expense,466000000.0,Net Income,296800000.0,Tax Provision,102700000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,3604400000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,217300000.0,Capital Expenditure,178900000.0,Cash Dividends Paid,595800000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,102700000.0,Depreciation,91.25,STZ,Consumer Staples,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,7786300000.0,1,0.0,0.0,699600000.0,9932000000.0,879600000.0,1185400000.0,2025,8,21.631927541656076,-0.013611098842037705,0.5280128980249899,0.17573559048770657,24.554010479645303,112.18840734415029,79.73270708795901,0.08758565094719871,0.0123891670185174,0.02902055622732769,0.4923060403185897,0.28198307134220074,1.0,0.35453446191051996,0.47779121322047563,24.554010479645303,112.18840734415029,79.73270708795901,0.08758565094719871,0.0123891670185174,0.3839055793991416,-0.24014510278113663,0.02902055622732769,0.007694302757845595,0.007694302757845595,0.389092815941269,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
152400000.0,Cash And Cash Equivalents,708300000.0,Accounts Receivable,1379200000.0,Inventory,8790200000.0,Net PPE,976500000.0,Accounts Payable,378700000.0,Current Debt,10285100000.0,Long Term Debt,21683400000.0,Total Assets,13683100000.0,Total Liabilities Net Minority Interest,2909100000.0,Current Assets,2173200000.0,Current Liabilities,8000300000.0,Total Equity Gross Minority Interest,8000300000.0,Total Equity Gross Minority Interest,289500000.0,Minority Interest,2025-11-30,Q,2222800000.0,Total Revenue,1039600000.0,Cost Of Revenue,491200000.0,Operating Expense,86600000.0,Interest Expense,502800000.0,Net Income,110100000.0,Tax Provision,99000000.0,,0.0,Net Common Stock Issuance,1495800000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2004800000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,246000000.0,Capital Expenditure,177700000.0,Cash Dividends Paid,440200000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,99000000.0,Depreciation,91.25,STZ,Consumer Staples,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,8000300000.0,1,0.0,0.0,669200000.0,9984100000.0,818000000.0,1224800000.0,2025,11,21.52203349937004,-0.10989404228603661,0.5323016015835882,0.22098254453842,29.07700872773079,121.05809926894959,85.71145151981531,0.11067122548137484,0.01150026136957658,0.06856217383480295,0.4917955671158582,0.30106172395177255,1.0,0.36800431887709195,0.5510167356487313,29.07700872773079,121.05809926894959,85.71145151981531,0.11067122548137484,0.01150026136957658,0.35342084327764517,-0.19803850998740327,0.06856217383480295,0.008212500829785014,0.008212500829785014,0.17963778756730298,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
