C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,189500000.0,Other Operating Expenses,,,,,,,,,,,,,,,,,,,,,,,365.0,SWK,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
395600000.0,Cash And Cash Equivalents,1059700000.0,Accounts Receivable,5861100000.0,Inventory,2353100000.0,Net PPE,2344400000.0,Accounts Payable,2104100000.0,Current Debt,5352900000.0,Long Term Debt,24963300000.0,Total Assets,15249100000.0,Total Liabilities Net Minority Interest,7974700000.0,Current Assets,6569200000.0,Current Liabilities,9714200000.0,Total Equity Gross Minority Interest,9714200000.0,Total Equity Gross Minority Interest,2100000.0,Minority Interest,2022-12-31,A,16947400000.0,Total Revenue,12663300000.0,Cost Of Revenue,3370000000.0,Operating Expense,338500000.0,Interest Expense,1062500000.0,Net Income,-132400000.0,Tax Provision,369700000.0,,0.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,10477800000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,10000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,530400000.0,Capital Expenditure,471600000.0,Cash Dividends Paid,6146000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,369700000.0,Depreciation,365.0,SWK,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,9714200000.0,1,0.0,0.0,658300000.0,14635500000.0,2120700000.0,3327000000.0,2022,12,23.55338026667668,,0.25278803828315843,0.19885056114802271,22.822999398137767,168.93712539385467,67.57369721952413,0.031296836092852,,0.023342813646931092,0.2987185187855772,0.038843716440279924,0.863583794564358,0.12513423888030023,0.1963132987950954,22.822999398137767,168.93712539385467,67.57369721952413,0.031296836092852,,0.44385882352941175,-0.36265149816491027,0.023342813646931092,,,0.14235028491560048,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
449400000.0,Cash And Cash Equivalents,1057800000.0,Accounts Receivable,4738600000.0,Inventory,2169900000.0,Net PPE,2298900000.0,Accounts Payable,1075900000.0,Current Debt,6101000000.0,Long Term Debt,23663800000.0,Total Assets,14607700000.0,Total Liabilities Net Minority Interest,7017300000.0,Current Assets,5883200000.0,Current Liabilities,9056100000.0,Total Equity Gross Minority Interest,9056100000.0,Total Equity Gross Minority Interest,0.0,Minority Interest,2023-12-31,A,15781100000.0,Total Revenue,11848500000.0,Cost Of Revenue,3290700000.0,Operating Expense,559400000.0,Interest Expense,-310500000.0,Net Income,-94000000.0,Tax Provision,432400000.0,,78900000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,2235900000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,338700000.0,Capital Expenditure,482600000.0,Cash Dividends Paid,32200000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,432400000.0,Depreciation,365.0,SWK,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,9056100000.0,1,0.0,0.0,771500000.0,14476600000.0,2508400000.0,2623500000.0,2023,12,23.482078858426377,-0.07130140825030296,0.24919682404902066,0.2085215859477476,24.465785021322976,145.9753555302359,70.81896442587669,0.02146238221670226,0.18375759636224556,0.02847710235661646,0.3032860318292075,0.04888759338702625,0.917337828161535,0.15894962962024192,0.16624316429146258,24.465785021322976,145.9753555302359,70.81896442587669,0.02146238221670226,0.18375759636224556,0.0,0.0029592360481842206,0.02847710235661646,0.0750167627732332,0.0750167627732332,0.0,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Minority Interest,2024-06-30,Q,,,,,,,,,,,,,,,17100000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1245700000.0,Short Term Debt Payments,,,,,2800000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,91.25,SWK,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Minority Interest,2024-09-30,Q,,,,,,,,,0.0,Net Income Discontinuous Operations,,,,,,,,,121500000.0,Short Term Debt Payments,,,,,,,,,91.25,SWK,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
290500000.0,Cash And Cash Equivalents,950400000.0,Accounts Receivable,4536400000.0,Inventory,2034300000.0,Net PPE,2437200000.0,Accounts Payable,500400000.0,Current Debt,5602600000.0,Long Term Debt,21848900000.0,Total Assets,13129000000.0,Total Liabilities Net Minority Interest,6377700000.0,Current Assets,4916900000.0,Current Liabilities,8719900000.0,Total Equity Gross Minority Interest,8719900000.0,Total Equity Gross Minority Interest,0.0,Minority Interest,2024-12-31,A,15365700000.0,Total Revenue,10851300000.0,Cost Of Revenue,3332700000.0,Operating Expense,498600000.0,Interest Expense,294300000.0,Net Income,-45200000.0,Tax Provision,426300000.0,,106300000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,353900000.0,Capital Expenditure,491200000.0,Cash Dividends Paid,35400000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,426300000.0,Depreciation,365.0,SWK,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,8719900000.0,1,0.0,0.0,600400000.0,13436900000.0,1979300000.0,2609500000.0,2024,12,23.45540358957768,,0.2937972236865226,0.21689216892168922,22.575997188543315,152.58872208859768,81.97893339968483,0.0230318176197635,,0.018905744613001686,0.27932756340136117,0.039074041534066135,0.8744736653715743,0.12881287543034162,0.16982630143761754,22.575997188543315,152.58872208859768,81.97893339968483,0.0230318176197635,,1.0,0.004614173125858242,0.018905744613001686,,,0.18145323163388197,0.6,-1.0,-1.8369701987210297e-16,1.0,0.0
344800000.0,Cash And Cash Equivalents,1358900000.0,Accounts Receivable,4707100000.0,Inventory,2010000000.0,Net PPE,2531600000.0,Accounts Payable,1984600000.0,Current Debt,4755200000.0,Long Term Debt,22496200000.0,Total Assets,13654600000.0,Total Liabilities Net Minority Interest,7009100000.0,Current Assets,6348700000.0,Current Liabilities,8841600000.0,Total Equity Gross Minority Interest,8841600000.0,Total Equity Gross Minority Interest,8841600000.0,Total Equity Gross Minority Interest,2025-03-31,Q,3744600000.0,Total Revenue,2623800000.0,Cost Of Revenue,867000000.0,Operating Expense,126400000.0,Interest Expense,90400000.0,Net Income,37200000.0,Tax Provision,91100000.0,,1800000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,2000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,65000000.0,Capital Expenditure,124500000.0,Cash Dividends Paid,23400000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,91100000.0,Depreciation,91.25,SWK,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,8841600000.0,1,0.0,0.0,598300000.0,13477100000.0,1832500000.0,2550700000.0,2025,3,22.043580639132326,-1.4118229504453552,0.29931100785130593,0.23153340810767506,33.11425118837793,163.70259737784892,88.04348654623065,0.017358329327565026,0.04478198889052745,0.09207926080222187,0.29959726531592,0.15977674517972548,1.0,0.48937136142712173,0.6811675479356941,33.11425118837793,163.70259737784892,88.04348654623065,0.017358329327565026,0.04478198889052745,1.0,-0.0057683063611600706,0.09207926080222187,0.0207111256758971,0.0207111256758971,0.29153605015673983,0.8,0.0,1.0,0.25,0.0
311800000.0,Cash And Cash Equivalents,1320900000.0,Accounts Receivable,4639000000.0,Inventory,2026000000.0,Net PPE,2495400000.0,Accounts Payable,1919400000.0,Current Debt,4757800000.0,Long Term Debt,22492600000.0,Total Assets,13429600000.0,Total Liabilities Net Minority Interest,6877800000.0,Current Assets,6592100000.0,Current Liabilities,9063000000.0,Total Equity Gross Minority Interest,9063000000.0,Total Equity Gross Minority Interest,9063000000.0,Total Equity Gross Minority Interest,2025-06-30,Q,3945200000.0,Total Revenue,2878700000.0,Cost Of Revenue,873100000.0,Operating Expense,129100000.0,Interest Expense,101900000.0,Net Income,-75200000.0,Tax Provision,92700000.0,,10200000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,1200000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,79600000.0,Capital Expenditure,124000000.0,Cash Dividends Paid,1600000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,92700000.0,Depreciation,91.25,SWK,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,9063000000.0,1,0.0,0.0,606100000.0,13588800000.0,2177300000.0,2079700000.0,2025,6,22.095765487044112,0.05218484791178568,0.2703285004562507,0.22130690459292304,30.551588005677786,147.04858095668183,79.10002779032202,0.020176416911690156,0.04611940298507463,0.07903274865659536,0.29686207908378753,0.1536297272635101,1.0,0.5,0.5271469127040455,30.551588005677786,147.04858095668183,79.10002779032202,0.020176416911690156,0.04611940298507463,1.0,0.0021798641387001925,0.07903274865659536,0.019154871064423276,0.019154871064423276,0.5,0.8,1.0,6.123233995736766e-17,0.25,0.0
268300000.0,Cash And Cash Equivalents,1219400000.0,Accounts Receivable,4442600000.0,Inventory,1970700000.0,Net PPE,2163000000.0,Accounts Payable,1909800000.0,Current Debt,4702800000.0,Long Term Debt,21753900000.0,Total Assets,12776600000.0,Total Liabilities Net Minority Interest,6500600000.0,Current Assets,5862500000.0,Current Liabilities,8977300000.0,Total Equity Gross Minority Interest,8977300000.0,Total Equity Gross Minority Interest,8977300000.0,Total Equity Gross Minority Interest,2025-09-30,Q,3756000000.0,Total Revenue,2576900000.0,Cost Of Revenue,791000000.0,Operating Expense,129100000.0,Interest Expense,51400000.0,Net Income,-15800000.0,Tax Provision,92900000.0,,9800000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,575800000.0,Issuance Of Debt+Issuance Of Debt,1400400000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,65900000.0,Capital Expenditure,125800000.0,Cash Dividends Paid,4400000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,92900000.0,Depreciation,91.25,SWK,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,8977300000.0,1,0.0,0.0,570300000.0,13282600000.0,1789700000.0,2211300000.0,2025,9,22.04662039829243,-0.049145088751682664,0.3139243876464324,0.21059637912673057,29.62466719914803,157.31586402266288,76.59348441926346,0.017545260915867944,0.04585389930898322,0.07143237486687966,0.3039730806889799,0.1518370607028754,1.0,0.47649094781682644,0.5887380191693291,29.62466719914803,157.31586402266288,76.59348441926346,0.017545260915867944,0.04585389930898322,1.0,0.001437699680511182,0.07143237486687966,0.019334451566524892,0.019334451566524892,0.4438202247191011,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
280100000.0,Cash And Cash Equivalents,775000000.0,Accounts Receivable,4157100000.0,Inventory,1831800000.0,Net PPE,2163000000.0,Accounts Payable,1160400000.0,Current Debt,4703300000.0,Long Term Debt,21243700000.0,Total Assets,12189100000.0,Total Liabilities Net Minority Interest,5979000000.0,Current Assets,5245700000.0,Current Liabilities,9054600000.0,Total Equity Gross Minority Interest,9054600000.0,Total Equity Gross Minority Interest,0.0,Minority Interest,2025-12-31,A,15130400000.0,Total Revenue,10542100000.0,Cost Of Revenue,3332900000.0,Operating Expense,516300000.0,Interest Expense,401900000.0,Net Income,16000000.0,Tax Provision,365600000.0,,24400000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,3402000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,283300000.0,Capital Expenditure,500600000.0,Cash Dividends Paid,40200000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,365600000.0,Depreciation,365.0,SWK,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,9054600000.0,1,0.0,0.0,766800000.0,13432900000.0,1922300000.0,2240100000.0,2025,12,23.43997180193852,1.39335140364609,0.303250409771057,0.22027837995029872,18.695804473113732,143.93161704024814,74.8897278530843,0.018723893618146248,0.1855178363018217,0.018512398879077883,0.27602065553552346,0.05067942684925712,0.8878086501348279,0.1270488552847248,0.14805292655845187,18.695804473113732,143.93161704024814,74.8897278530843,0.018723893618146248,0.1855178363018217,1.0,-0.0010442552741500555,0.018512398879077883,0.07807821431811995,0.07807821431811995,0.0382866714525006,0.8,-1.0,-1.8369701987210297e-16,1.0,0.0
