C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
4477000000.0,Cash And Cash Equivalents,7977000000.0,Accounts Receivable,5051000000.0,Inventory,8333000000.0,Net PPE,2867000000.0,Accounts Payable,2537000000.0,Current Debt,32333000000.0,Long Term Debt,95123000000.0,Total Assets,54146000000.0,Total Liabilities Net Minority Interest,20113000000.0,Current Assets,13436000000.0,Current Liabilities,40977000000.0,Total Equity Gross Minority Interest,40977000000.0,Total Equity Gross Minority Interest,184000000.0,Minority Interest,2021-12-31,A,39211000000.0,Total Revenue,19573000000.0,Cost Of Revenue,9413000000.0,Operating Expense,536000000.0,Interest Expense,7725000000.0,Net Income,1109000000.0,Tax Provision,831000000.0,,0.0,Net Common Stock Issuance,59435000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,46952000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,2523000000.0,Capital Expenditure,395000000.0,Cash Dividends Paid,4000000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,831000000.0,Depreciation,365.0,TMO,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,40977000000.0,1,0.0,0.0,2608000000.0,66677000000.0,8032000000.0,8377000000.0,2021,12,24.392223156623473,,0.5008288490474612,0.2400601871923695,74.25480094871337,94.19174372860573,53.46421090277423,0.06434418913060111,,0.11417714416872816,0.36657800952451036,0.06651194817780724,1.0,0.20484047843717323,0.21363902986406877,74.25480094871337,94.19174372860573,53.46421090277423,0.06434418913060111,,0.0511326860841424,-0.10201219045675958,0.11417714416872816,,,0.12553769526828165,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
8524000000.0,Cash And Cash Equivalents,8115000000.0,Accounts Receivable,5634000000.0,Inventory,9280000000.0,Net PPE,3381000000.0,Accounts Payable,5579000000.0,Current Debt,28909000000.0,Long Term Debt,97154000000.0,Total Assets,53006000000.0,Total Liabilities Net Minority Interest,25229000000.0,Current Assets,17010000000.0,Current Liabilities,44148000000.0,Total Equity Gross Minority Interest,44148000000.0,Total Equity Gross Minority Interest,170000000.0,Minority Interest,2022-12-31,A,44915000000.0,Total Revenue,25944000000.0,Cost Of Revenue,10464000000.0,Operating Expense,726000000.0,Interest Expense,6950000000.0,Net Income,703000000.0,Tax Provision,986000000.0,,0.0,Net Common Stock Issuance,12631000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,12570000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,2243000000.0,Capital Expenditure,455000000.0,Cash Dividends Paid,6000000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,986000000.0,Depreciation,365.0,TMO,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,44148000000.0,1,0.0,0.0,2956000000.0,62645000000.0,8050000000.0,7087000000.0,2022,12,24.52803765162758,0.1358144950041087,0.42237559835244354,0.2329733941890237,65.94623177112324,79.26341350601295,47.566489361702125,0.04993877323833908,0.11832473298931957,0.18978069687186908,0.3549828107952323,0.06581320271624179,1.0,0.17922742958922408,0.15778693086942003,65.94623177112324,79.26341350601295,47.566489361702125,0.04993877323833908,0.11832473298931957,0.06546762589928058,-0.13358566180563286,0.18978069687186908,0.02082018927444795,0.02082018927444795,0.09185940154187901,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
8077000000.0,Cash And Cash Equivalents,8221000000.0,Accounts Receivable,5088000000.0,Inventory,9448000000.0,Net PPE,2872000000.0,Accounts Payable,3609000000.0,Current Debt,31308000000.0,Long Term Debt,98726000000.0,Total Assets,51884000000.0,Total Liabilities Net Minority Interest,24589000000.0,Current Assets,14012000000.0,Current Liabilities,46842000000.0,Total Equity Gross Minority Interest,46842000000.0,Total Equity Gross Minority Interest,107000000.0,Minority Interest,2023-12-31,A,42857000000.0,Total Revenue,25757000000.0,Cost Of Revenue,9782000000.0,Operating Expense,1375000000.0,Interest Expense,5995000000.0,Net Income,284000000.0,Tax Provision,1068000000.0,,0.0,Net Common Stock Issuance,21066000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,28933000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,1479000000.0,Capital Expenditure,523000000.0,Cash Dividends Paid,6000000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,1068000000.0,Depreciation,365.0,TMO,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,46842000000.0,1,0.0,0.0,3203000000.0,64689000000.0,7531000000.0,6564000000.0,2023,12,24.48113482920841,-0.04690282241917032,0.3990013300044334,0.22824742749142496,70.01575005250018,72.10156462320923,40.69883915052219,0.03451011503371678,0.11508620689655172,0.1884639615465385,0.3536758300751575,0.0747369157897193,1.0,0.17572391907973026,0.15316051053503513,70.01575005250018,72.10156462320923,40.69883915052219,0.03451011503371678,0.11508620689655172,0.08723936613844871,-0.14000046666822222,0.1884639615465385,0.03986893992113199,0.03986893992113199,0.04523013218665393,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,-1000000.0,Other Current Liabilities,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,0.0,Short Term Debt Payments,,,,,,,,,91.25,TMO,Health Care,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
4645000000.0,Cash And Cash Equivalents,8255000000.0,Accounts Receivable,5430000000.0,Inventory,9412000000.0,Net PPE,2606000000.0,Accounts Payable,4116000000.0,Current Debt,31197000000.0,Long Term Debt,100364000000.0,Total Assets,51265000000.0,Total Liabilities Net Minority Interest,23783000000.0,Current Assets,14601000000.0,Current Liabilities,49099000000.0,Total Equity Gross Minority Interest,49099000000.0,Total Equity Gross Minority Interest,107000000.0,Minority Interest,2024-09-30,Q,10598000000.0,Total Revenue,6270000000.0,Cost Of Revenue,2444000000.0,Operating Expense,356000000.0,Interest Expense,1630000000.0,Net Income,99000000.0,Tax Provision,290000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,4428000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,272000000.0,Capital Expenditure,150000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,290000000.0,Depreciation,91.25,TMO,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,49099000000.0,1,0.0,0.0,5453000000.0,67169000000.0,7879000000.0,5467000000.0,2024,9,23.083931141016983,,0.40837893942253256,0.23060954897150407,71.07650028307228,79.02511961722487,37.926236044657095,0.025665219852802415,,0.4382902434421589,0.35184926866207006,0.5,1.0,0.5,0.5158520475561427,71.07650028307228,79.02511961722487,37.926236044657095,0.025665219852802415,,0.09202453987730061,0.0,0.4382902434421589,,,0.05725853094274147,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
4009000000.0,Cash And Cash Equivalents,8191000000.0,Accounts Receivable,4978000000.0,Inventory,9306000000.0,Net PPE,3079000000.0,Accounts Payable,2214000000.0,Current Debt,29061000000.0,Long Term Debt,97321000000.0,Total Assets,47649000000.0,Total Liabilities Net Minority Interest,22137000000.0,Current Assets,13332000000.0,Current Liabilities,49672000000.0,Total Equity Gross Minority Interest,49672000000.0,Total Equity Gross Minority Interest,87000000.0,Minority Interest,2024-12-31,Q,11395000000.0,Total Revenue,6573000000.0,Cost Of Revenue,2577000000.0,Operating Expense,317000000.0,Interest Expense,1830000000.0,Net Income,150000000.0,Tax Provision,304000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,10000000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,480000000.0,Capital Expenditure,149000000.0,Cash Dividends Paid,2000000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,304000000.0,Depreciation,91.25,TMO,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,49672000000.0,1,0.0,0.0,4959000000.0,65878000000.0,8039000000.0,5256000000.0,2024,12,23.15644049964406,0.07250935862707664,0.42316805616498465,0.22615182097411146,65.59269416410706,69.10733302905827,42.74437091130382,0.04212373848179026,0.032299192520186995,0.3518209741114524,0.32135921332497613,0.4351908731899956,1.0,0.5,0.46125493637560333,65.59269416410706,69.10733302905827,42.74437091130382,0.04212373848179026,0.032299192520186995,0.0814207650273224,-0.1755155770074594,0.3518209741114524,0.008976864044402911,0.008976864044402911,0.07575757575757576,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
4134000000.0,Cash And Cash Equivalents,8455000000.0,Accounts Receivable,5224000000.0,Inventory,9331000000.0,Net PPE,3049000000.0,Accounts Payable,2819000000.0,Current Debt,31370000000.0,Long Term Debt,99041000000.0,Total Assets,49556000000.0,Total Liabilities Net Minority Interest,23378000000.0,Current Assets,13174000000.0,Current Liabilities,49485000000.0,Total Equity Gross Minority Interest,49485000000.0,Total Equity Gross Minority Interest,95000000.0,Minority Interest,2025-03-31,Q,10364000000.0,Total Revenue,6129000000.0,Cost Of Revenue,2420000000.0,Operating Expense,303000000.0,Interest Expense,1507000000.0,Net Income,95000000.0,Tax Provision,276000000.0,,0.0,Net Common Stock Issuance,8520000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,3352000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,362000000.0,Capital Expenditure,149000000.0,Cash Dividends Paid,4000000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,276000000.0,Depreciation,91.25,TMO,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,49485000000.0,1,0.0,0.0,5565000000.0,66332000000.0,7306000000.0,5012000000.0,2025,3,23.061604099646274,-0.09483639999778504,0.4086260131223466,0.2335005789270552,74.4421796603628,77.77614619024311,45.39423233806494,0.034928598996526436,0.029658284977433915,0.3988807410266306,0.3452004725315778,0.5,1.0,0.5,0.483597066769587,74.4421796603628,77.77614619024311,45.39423233806494,0.034928598996526436,0.029658284977433915,0.09887193098871931,-0.38595137012736397,0.3988807410266306,0.009688249400479616,0.009688249400479616,0.05930087390761548,0.8,0.0,1.0,0.25,0.0
4576000000.0,Cash And Cash Equivalents,8594000000.0,Accounts Receivable,5559000000.0,Inventory,9635000000.0,Net PPE,2980000000.0,Accounts Payable,2214000000.0,Current Debt,33015000000.0,Long Term Debt,101230000000.0,Total Assets,50628000000.0,Total Liabilities Net Minority Interest,24584000000.0,Current Assets,12718000000.0,Current Liabilities,50602000000.0,Total Equity Gross Minority Interest,50602000000.0,Total Equity Gross Minority Interest,91000000.0,Minority Interest,2025-06-30,Q,10854000000.0,Total Revenue,6446000000.0,Cost Of Revenue,2492000000.0,Operating Expense,404000000.0,Interest Expense,1617000000.0,Net Income,92000000.0,Tax Provision,256000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,3148000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,294000000.0,Capital Expenditure,162000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,256000000.0,Depreciation,91.25,TMO,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,50602000000.0,1,0.0,0.0,5855000000.0,67011000000.0,7524000000.0,4895000000.0,2025,6,23.107799512587626,0.04619541294135132,0.4061175603464161,0.22959277685645846,72.25009213193293,78.69356965560037,42.18507601613403,0.027086788280818133,0.027435430286142964,0.42159572507831217,0.34800948335473675,0.5,1.0,0.5,0.4509858116823291,72.25009213193293,78.69356965560037,42.18507601613403,0.027086788280818133,0.027435430286142964,0.10018552875695733,0.0,0.42159572507831217,0.011816666179180438,0.011816666179180438,0.053832650672908135,0.8,1.0,6.123233995736766e-17,0.25,0.0
1982000000.0,Cash And Cash Equivalents,8911000000.0,Accounts Receivable,5745000000.0,Inventory,10177000000.0,Net PPE,3120000000.0,Accounts Payable,3823000000.0,Current Debt,31857000000.0,Long Term Debt,103020000000.0,Total Assets,51866000000.0,Total Liabilities Net Minority Interest,22295000000.0,Current Assets,14888000000.0,Current Liabilities,51154000000.0,Total Equity Gross Minority Interest,51154000000.0,Total Equity Gross Minority Interest,136000000.0,Minority Interest,2025-09-30,Q,11122000000.0,Total Revenue,6539000000.0,Cost Of Revenue,2508000000.0,Operating Expense,347000000.0,Interest Expense,1616000000.0,Net Income,207000000.0,Tax Provision,226000000.0,,0.0,Net Common Stock Issuance,2190000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1194000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,404000000.0,Capital Expenditure,163000000.0,Cash Dividends Paid,1926000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,226000000.0,Depreciation,91.25,TMO,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,51154000000.0,1,0.0,0.0,5657000000.0,70548000000.0,7945000000.0,5121000000.0,2025,9,23.132190965711782,0.02439145312415647,0.41206617514835464,0.22549901096925012,73.10993975903614,80.1699418871387,43.538767395626245,0.03632440208595576,0.023456149455111572,0.17820535874842655,0.34634051640458163,0.5,1.0,0.5,0.46043877000539474,73.10993975903614,80.1699418871387,43.538767395626245,0.03632440208595576,0.023456149455111572,0.10086633663366337,-0.1731702931127495,0.17820535874842655,0.009849839620766982,0.009849839620766982,0.11354909489851893,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-31,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,TMO,Health Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2025,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
