C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-06-30,A,,,,,,,,,,,,,,,,,,,700000000.0,Short Term Debt Payments,,,,,,,,,365.0,TPR,Consumer Discretionary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,,,,2021,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,6.123233995736766e-17,1.0,0.0
789800000.0,Cash And Cash Equivalents,252300000.0,Accounts Receivable,994200000.0,Inventory,1826000000.0,Net PPE,520700000.0,Accounts Payable,31200000.0,Current Debt,1659200000.0,Long Term Debt,7265300000.0,Total Assets,4979800000.0,Total Liabilities Net Minority Interest,2573800000.0,Current Assets,1468800000.0,Current Liabilities,2285500000.0,Total Equity Gross Minority Interest,2285500000.0,Total Equity Gross Minority Interest,2285500000.0,Total Equity Gross Minority Interest,2022-06-30,A,6684500000.0,Total Revenue,2034100000.0,Cost Of Revenue,3474600000.0,Operating Expense,58700000.0,Interest Expense,856300000.0,Net Income,190700000.0,Tax Provision,195300000.0,,0.0,Net Common Stock Issuance,2995500000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,3600000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,93900000.0,Capital Expenditure,264400000.0,Cash Dividends Paid,3200000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,195300000.0,Depreciation,365.0,TPR,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2285500000.0,1,0.0,0.0,537500000.0,2865500000.0,916900000.0,1851800000.0,2022,6,22.62305725038745,,0.6956990051611938,0.5197995362405565,13.776572668112799,178.3997836881176,93.43468856005113,0.014047423143092229,,0.11815393821527415,0.23266761179854928,0.08040990350811579,0.4286782855860573,0.13716807539830952,0.2770289475652629,13.776572668112799,178.3997836881176,93.43468856005113,0.014047423143092229,,0.3087702907859395,-0.47871942553668934,0.11815393821527415,,,0.18213944603629417,0.2,1.0,6.123233995736766e-17,1.0,0.0
726100000.0,Cash And Cash Equivalents,211500000.0,Accounts Receivable,919500000.0,Inventory,1943200000.0,Net PPE,416900000.0,Accounts Payable,25000000.0,Current Debt,1635800000.0,Long Term Debt,7116800000.0,Total Assets,4839000000.0,Total Liabilities Net Minority Interest,2363500000.0,Current Assets,1286500000.0,Current Liabilities,2277800000.0,Total Equity Gross Minority Interest,2277800000.0,Total Equity Gross Minority Interest,2277800000.0,Total Equity Gross Minority Interest,2023-06-30,A,6660900000.0,Total Revenue,1946000000.0,Cost Of Revenue,3542500000.0,Operating Expense,27600000.0,Interest Expense,936000000.0,Net Income,207100000.0,Tax Provision,182200000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,124800000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,184200000.0,Capital Expenditure,283300000.0,Cash Dividends Paid,1407000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,182200000.0,Depreciation,365.0,TPR,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2277800000.0,1,0.0,0.0,506400000.0,2810100000.0,844600000.0,1916700000.0,2023,6,22.619520447503913,-0.0035368028835378595,0.707847287904037,0.5318350373072708,11.589650047290906,172.4653134635149,78.19552929085303,0.027653920641354773,0.09978094194961665,0.10900929303847828,0.23336330935251798,0.07602576228437599,0.42187992613610775,0.12679968172469186,0.28775390712966714,11.589650047290906,172.4653134635149,78.19552929085303,0.027653920641354773,0.09978094194961665,0.30267094017094015,-0.21123271629959917,0.10900929303847828,0.01632749645054425,0.01632749645054425,0.18117400052488847,0.4,1.0,6.123233995736766e-17,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,,,,,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,,,91.25,TPR,Consumer Discretionary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,TPR,Consumer Discretionary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
983400000.0,Cash And Cash Equivalents,297400000.0,Accounts Receivable,937300000.0,Inventory,1735800000.0,Net PPE,513800000.0,Accounts Payable,303400000.0,Current Debt,2377400000.0,Long Term Debt,7251900000.0,Total Assets,5915400000.0,Total Liabilities Net Minority Interest,2772000000.0,Current Assets,1751000000.0,Current Liabilities,1336500000.0,Total Equity Gross Minority Interest,1336500000.0,Total Equity Gross Minority Interest,1336500000.0,Total Equity Gross Minority Interest,2024-12-31,Q,2195400000.0,Total Revenue,562300000.0,Cost Of Revenue,1140300000.0,Operating Expense,24500000.0,Interest Expense,310400000.0,Net Income,34900000.0,Tax Provision,40900000.0,,,,,,31440800000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,30900000.0,Capital Expenditure,72400000.0,Cash Dividends Paid,,,40900000.0,Depreciation,91.25,TPR,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1336500000.0,1,0.0,0.0,553900000.0,2744100000.0,933800000.0,1787000000.0,2024,12,21.50963009921749,,0.7438735537942971,0.5194042088002186,12.361187027420971,152.10497065623332,83.37942379512715,0.014074883848045915,,0.4479365946980049,0.36966863856368676,0.25230026418875834,1.0,0.42534390088366586,0.8139746743190307,12.361187027420971,152.10497065623332,83.37942379512715,0.014074883848045915,,0.23324742268041238,,0.4479365946980049,,,0.10107153200115841,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
1037700000.0,Cash And Cash Equivalents,255800000.0,Accounts Receivable,873500000.0,Inventory,1717000000.0,Net PPE,393300000.0,Accounts Payable,319900000.0,Current Debt,2377100000.0,Long Term Debt,7306200000.0,Total Assets,5812400000.0,Total Liabilities Net Minority Interest,2861400000.0,Current Assets,1627900000.0,Current Liabilities,1493800000.0,Total Equity Gross Minority Interest,1493800000.0,Total Equity Gross Minority Interest,1493800000.0,Total Equity Gross Minority Interest,2025-03-31,Q,1584600000.0,Total Revenue,378800000.0,Cost Of Revenue,952100000.0,Operating Expense,15400000.0,Interest Expense,203300000.0,Net Income,35800000.0,Tax Provision,38000000.0,,0.0,Net Common Stock Issuance,49500000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1600000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,30900000.0,Capital Expenditure,72700000.0,Cash Dividends Paid,4600000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,38000000.0,Depreciation,91.25,TPR,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1493800000.0,1,0.0,0.0,694400000.0,2727800000.0,914700000.0,1807400000.0,2025,3,21.183597846495417,-0.32603225272207226,0.7609491354284993,0.6008456392780512,14.730373595860154,210.41941657866948,94.74293822597677,0.01950018932222643,0.02189192303260744,0.6548655812192351,0.3691385398702472,0.4382178467752114,1.0,0.5,1.0,14.730373595860154,210.41941657866948,94.74293822597677,0.01950018932222643,0.02189192303260744,0.3575996064928677,-0.0029029408052505365,0.5,0.005744553864518055,0.005744553864518055,0.14972814721873692,0.8,0.0,1.0,0.25,0.0
1100000000.0,Cash And Cash Equivalents,239300000.0,Accounts Receivable,860700000.0,Inventory,1820500000.0,Net PPE,456100000.0,Accounts Payable,16700000.0,Current Debt,2377900000.0,Long Term Debt,6580500000.0,Total Assets,5722700000.0,Total Liabilities Net Minority Interest,2905600000.0,Current Assets,1556900000.0,Current Liabilities,857800000.0,Total Equity Gross Minority Interest,857800000.0,Total Equity Gross Minority Interest,857800000.0,Total Equity Gross Minority Interest,2025-06-30,Q,1723200000.0,Total Revenue,408100000.0,Cost Of Revenue,1043800000.0,Operating Expense,14800000.0,Interest Expense,-517100000.0,Net Income,-76900000.0,Tax Provision,43100000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1209600000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,35300000.0,Capital Expenditure,72800000.0,Cash Dividends Paid,6800000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,43100000.0,Depreciation,91.25,TPR,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,857800000.0,1,0.0,0.0,705600000.0,1854400000.0,1084100000.0,1787900000.0,2025,6,21.267448864366397,0.08385101787098037,0.7631731662024142,0.6057335190343547,12.671845984215413,192.45007351139427,101.98266356285224,0.02048514391829155,0.02510192195690157,0.638347260909935,0.36389332117620243,0.40947075208913647,1.0,0.5,1.0,12.671845984215413,192.45007351139427,101.98266356285224,0.02048514391829155,0.02510192195690157,0.0,-0.003946146703806871,0.5,0.005487578791249536,0.005487578791249536,0.0,0.8,1.0,6.123233995736766e-17,0.25,0.0
719500000.0,Cash And Cash Equivalents,289500000.0,Accounts Receivable,1018600000.0,Inventory,1882400000.0,Net PPE,495500000.0,Accounts Payable,256800000.0,Current Debt,2378600000.0,Long Term Debt,6363300000.0,Total Assets,5963800000.0,Total Liabilities Net Minority Interest,2620700000.0,Current Assets,1718800000.0,Current Liabilities,399500000.0,Total Equity Gross Minority Interest,399500000.0,Total Equity Gross Minority Interest,399500000.0,Total Equity Gross Minority Interest,2025-09-30,Q,1704600000.0,Total Revenue,404100000.0,Cost Of Revenue,972300000.0,Operating Expense,12800000.0,Interest Expense,274800000.0,Net Income,43900000.0,Tax Provision,37200000.0,,0.0,Net Common Stock Issuance,,,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,32400000.0,Capital Expenditure,83300000.0,Cash Dividends Paid,1396400000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,37200000.0,Depreciation,91.25,TPR,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,399500000.0,1,0.0,0.0,593100000.0,1860200000.0,966500000.0,1866400000.0,2025,9,21.256596316052473,-0.010852548313923904,0.762935586061246,0.5703977472720873,15.497404083069341,230.0105171987132,111.88907448651324,0.01900739176346357,0.020433946717934633,0.4220931596855567,0.4141561768264894,0.34794086589229145,1.0,0.5,1.0,15.497404083069341,230.0105171987132,111.88907448651324,0.01900739176346357,0.020433946717934633,0.3031295487627365,-0.8191951190895225,0.4220931596855567,0.005345360394220329,0.005345360394220329,0.13774709758393475,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
1053300000.0,Cash And Cash Equivalents,338000000.0,Accounts Receivable,896400000.0,Inventory,1874900000.0,Net PPE,564600000.0,Accounts Payable,17100000.0,Current Debt,2379300000.0,Long Term Debt,6531000000.0,Total Assets,5979800000.0,Total Liabilities Net Minority Interest,2790800000.0,Current Assets,1716600000.0,Current Liabilities,551200000.0,Total Equity Gross Minority Interest,551200000.0,Total Equity Gross Minority Interest,551200000.0,Total Equity Gross Minority Interest,2025-12-31,Q,2502400000.0,Total Revenue,614000000.0,Cost Of Revenue,1172000000.0,Operating Expense,17400000.0,Interest Expense,561300000.0,Net Income,135800000.0,Tax Provision,39000000.0,,0.0,Net Common Stock Issuance,,,0.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,43600000.0,Capital Expenditure,81300000.0,Cash Dividends Paid,807000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,39000000.0,Depreciation,91.25,TPR,Consumer Discretionary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,551200000.0,1,0.0,0.0,503100000.0,1865300000.0,1134900000.0,1883900000.0,2025,12,21.640516108315268,0.3839197922627946,0.7546355498721228,0.46835038363171355,12.32516783887468,133.21905537459284,83.90838762214983,0.017423273657289004,0.020718232044198894,0.42091592071611256,0.3669269637115296,0.20104699488491048,0.7454044117647058,0.45352461636828645,0.7528372762148338,12.32516783887468,133.21905537459284,83.90838762214983,0.017423273657289004,0.020718232044198894,0.1448423303046499,-0.3224904092071611,0.42091592071611256,0.006602413295894362,0.006602413295894362,0.194807057810931,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
