C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,UNP,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
973000000.0,Cash And Cash Equivalents,1891000000.0,Accounts Receivable,741000000.0,Inventory,56981000000.0,Net PPE,784000000.0,Accounts Payable,1678000000.0,Current Debt,31648000000.0,Long Term Debt,65449000000.0,Total Assets,53286000000.0,Total Liabilities Net Minority Interest,3952000000.0,Current Assets,5520000000.0,Current Liabilities,12163000000.0,Total Equity Gross Minority Interest,12163000000.0,Total Equity Gross Minority Interest,12163000000.0,Total Equity Gross Minority Interest,2022-12-31,A,24875000000.0,Total Revenue,13670000000.0,Cost Of Revenue,1288000000.0,Operating Expense,1271000000.0,Interest Expense,6998000000.0,Net Income,2074000000.0,Tax Provision,2246000000.0,,0.0,Net Common Stock Issuance,18240000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,9164000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,3620000000.0,Capital Expenditure,3159000000.0,Cash Dividends Paid,12564000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,2246000000.0,Depreciation,365.0,UNP,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,12163000000.0,1,0.0,0.0,347000000.0,4516000000.0,3058000000.0,16118000000.0,2022,12,23.937129119991067,,0.4504522613065327,0.05177889447236181,27.747336683417085,19.785296269202632,20.933430870519384,0.14552763819095477,,0.03911557788944724,0.5091903619612217,0.013949748743718593,0.18154773869346733,0.12293467336683417,0.6479597989949749,27.747336683417085,19.785296269202632,20.933430870519384,0.14552763819095477,,0.45141468991140327,-0.5050854271356784,0.03911557788944724,,,0.22861552028218696,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
1055000000.0,Cash And Cash Equivalents,2073000000.0,Accounts Receivable,743000000.0,Inventory,58227000000.0,Net PPE,856000000.0,Accounts Payable,1423000000.0,Current Debt,31156000000.0,Long Term Debt,67132000000.0,Total Assets,52344000000.0,Total Liabilities Net Minority Interest,4148000000.0,Current Assets,5106000000.0,Current Liabilities,14788000000.0,Total Equity Gross Minority Interest,14788000000.0,Total Equity Gross Minority Interest,14788000000.0,Total Equity Gross Minority Interest,2023-12-31,A,24119000000.0,Total Revenue,13590000000.0,Cost Of Revenue,1447000000.0,Operating Expense,1340000000.0,Interest Expense,6379000000.0,Net Income,1854000000.0,Tax Provision,2318000000.0,,0.0,Net Common Stock Issuance,4797000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,8760000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,3606000000.0,Capital Expenditure,3173000000.0,Cash Dividends Paid,1410000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,2318000000.0,Depreciation,365.0,UNP,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,14788000000.0,1,0.0,0.0,277000000.0,4757000000.0,2827000000.0,16082000000.0,2023,12,23.906265748576114,-0.030863371414952212,0.43654380364028356,0.05999419544757245,31.371325511007917,19.955481972038264,22.990434142752022,0.14950868609809695,0.040680226742247416,0.043741448650441564,0.4852976225942918,0.011484721588788922,0.19723039927028485,0.1172104979476761,0.6667772295700485,31.371325511007917,19.955481972038264,22.990434142752022,0.14950868609809695,0.040680226742247416,0.4974133876783195,-0.058460135163149386,0.043741448650441564,0.04020884594610814,0.04020884594610814,0.22519130329163123,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,-15000000.0,Selling General And Administration,,,,,,,,,,,,,,,,,,,,,,,91.25,UNP,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,UNP,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
1016000000.0,Cash And Cash Equivalents,1894000000.0,Accounts Receivable,769000000.0,Inventory,58849000000.0,Net PPE,847000000.0,Accounts Payable,1425000000.0,Current Debt,29767000000.0,Long Term Debt,67715000000.0,Total Assets,50825000000.0,Total Liabilities Net Minority Interest,4021000000.0,Current Assets,5254000000.0,Current Liabilities,16890000000.0,Total Equity Gross Minority Interest,16890000000.0,Total Equity Gross Minority Interest,16890000000.0,Total Equity Gross Minority Interest,2024-12-31,Q,6121000000.0,Total Revenue,3315000000.0,Cost Of Revenue,281000000.0,Operating Expense,312000000.0,Interest Expense,1762000000.0,Net Income,519000000.0,Tax Provision,606000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,24000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,922000000.0,Capital Expenditure,810000000.0,Cash Dividends Paid,1348000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,606000000.0,Depreciation,91.25,UNP,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,16890000000.0,1,0.0,0.0,342000000.0,4845000000.0,2982000000.0,15804000000.0,2024,12,22.534991318815344,,0.45842182649893803,0.045907531449109626,28.235173991177913,21.167797888386122,23.314856711915535,0.15062898219245222,,0.1659859500081686,0.46063649117625344,0.05587322332952132,0.7915373305015521,0.48717529815389643,1.0,28.235173991177913,21.167797888386122,23.314856711915535,0.15062898219245222,,0.45970488081725314,-0.22022545335729457,0.1659859500081686,,,0.22753178430512933,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
1411000000.0,Cash And Cash Equivalents,1965000000.0,Accounts Receivable,747000000.0,Inventory,59073000000.0,Net PPE,898000000.0,Accounts Payable,2227000000.0,Current Debt,30615000000.0,Long Term Debt,68492000000.0,Total Assets,52453000000.0,Total Liabilities Net Minority Interest,4539000000.0,Current Assets,6222000000.0,Current Liabilities,16039000000.0,Total Equity Gross Minority Interest,16039000000.0,Total Equity Gross Minority Interest,16039000000.0,Total Equity Gross Minority Interest,2025-03-31,Q,6027000000.0,Total Revenue,3297000000.0,Cost Of Revenue,359000000.0,Operating Expense,322000000.0,Interest Expense,1626000000.0,Net Income,501000000.0,Tax Provision,610000000.0,,0.0,Net Common Stock Issuance,5988000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,1480000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,906000000.0,Capital Expenditure,804000000.0,Cash Dividends Paid,3440000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,610000000.0,Depreciation,91.25,UNP,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,16039000000.0,1,0.0,0.0,416000000.0,4880000000.0,3097000000.0,15616000000.0,2025,3,22.519515211447317,-0.015476107368026959,0.45296167247386765,0.059565289530446326,29.750497760079643,20.67447679708826,24.85365483773127,0.15032354405176704,0.01036551173341943,0.23411315745810518,0.4795012556210944,0.06902273104363697,0.8096897295503567,0.5,1.0,29.750497760079643,20.67447679708826,24.85365483773127,0.15032354405176704,0.01036551173341943,0.4944649446494465,-0.5707648913223826,0.23411315745810518,0.010323159784560144,0.010323159784560144,0.23554301833568406,0.8,0.0,1.0,0.25,0.0
1060000000.0,Cash And Cash Equivalents,1915000000.0,Accounts Receivable,774000000.0,Inventory,59444000000.0,Net PPE,815000000.0,Accounts Payable,2522000000.0,Current Debt,30291000000.0,Long Term Debt,68576000000.0,Total Assets,52318000000.0,Total Liabilities Net Minority Interest,4183000000.0,Current Assets,6452000000.0,Current Liabilities,16258000000.0,Total Equity Gross Minority Interest,16258000000.0,Total Equity Gross Minority Interest,16258000000.0,Total Equity Gross Minority Interest,2025-06-30,Q,6154000000.0,Total Revenue,3310000000.0,Cost Of Revenue,319000000.0,Operating Expense,335000000.0,Interest Expense,1876000000.0,Net Income,437000000.0,Tax Provision,613000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,156000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,936000000.0,Capital Expenditure,795000000.0,Cash Dividends Paid,1918000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,613000000.0,Depreciation,91.25,UNP,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,16258000000.0,1,0.0,0.0,434000000.0,4949000000.0,3115000000.0,15575000000.0,2025,6,22.54036811384626,0.020852902398942774,0.4621384465388365,0.05183620409489763,28.395149496262594,21.33761329305136,22.467900302114803,0.15209619759506013,0.010376991180403907,0.17224569385765356,0.47849101726551563,0.07052323691907703,0.8041923951901202,0.5,1.0,28.395149496262594,21.33761329305136,22.467900302114803,0.15209619759506013,0.010376991180403907,0.423773987206823,-0.311667208319792,0.17224569385765356,0.010200353206260277,0.010200353206260277,0.18893212278426286,0.8,1.0,6.123233995736766e-17,0.25,0.0
808000000.0,Cash And Cash Equivalents,1921000000.0,Accounts Receivable,782000000.0,Inventory,59733000000.0,Net PPE,853000000.0,Accounts Payable,1521000000.0,Current Debt,30286000000.0,Long Term Debt,68647000000.0,Total Assets,51343000000.0,Total Liabilities Net Minority Interest,3904000000.0,Current Assets,5220000000.0,Current Liabilities,17304000000.0,Total Equity Gross Minority Interest,17304000000.0,Total Equity Gross Minority Interest,17304000000.0,Total Equity Gross Minority Interest,2025-09-30,Q,6244000000.0,Total Revenue,3343000000.0,Cost Of Revenue,352000000.0,Operating Expense,327000000.0,Interest Expense,1788000000.0,Net Income,530000000.0,Tax Provision,618000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,4060000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,950000000.0,Capital Expenditure,819000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,618000000.0,Depreciation,91.25,UNP,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,17304000000.0,1,0.0,0.0,393000000.0,5010000000.0,2846000000.0,15837000000.0,2025,9,22.554886839599597,0.014518725753337236,0.4646060217809097,0.05637411915438821,28.07355060858424,21.345348489380797,23.283353275501046,0.1521460602178091,0.010396339411883454,0.1294042280589366,0.4633414424519644,0.06294042280589365,0.8023702754644458,0.45579756566303653,1.0,28.07355060858424,21.345348489380797,23.283353275501046,0.1521460602178091,0.010396339411883454,0.45805369127516776,0.0,0.1294042280589366,0.009965562429524883,0.009965562429524883,0.2286453839516825,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
1266000000.0,Cash And Cash Equivalents,1860000000.0,Accounts Receivable,787000000.0,Inventory,59936000000.0,Net PPE,804000000.0,Accounts Payable,1520000000.0,Current Debt,30294000000.0,Long Term Debt,69698000000.0,Total Assets,51231000000.0,Total Liabilities Net Minority Interest,4555000000.0,Current Assets,5014000000.0,Current Liabilities,18467000000.0,Total Equity Gross Minority Interest,18467000000.0,Total Equity Gross Minority Interest,18467000000.0,Total Equity Gross Minority Interest,2025-12-31,Q,6085000000.0,Total Revenue,3340000000.0,Cost Of Revenue,344000000.0,Operating Expense,325000000.0,Interest Expense,1848000000.0,Net Income,560000000.0,Tax Provision,624000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,16000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Long Term Debt Payments,999000000.0,Capital Expenditure,818000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,624000000.0,Depreciation,91.25,UNP,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,18467000000.0,1,0.0,0.0,642000000.0,5207000000.0,2690000000.0,15923000000.0,2025,12,22.529092563385902,-0.0257942762136949,0.45110928512736237,0.05653245686113394,27.892358258011505,21.501122754491018,21.96556886227545,0.16417419884963025,0.010446486866556175,0.20805258833196386,0.45645499153490776,0.10550534100246507,0.8557107641741989,0.44207066557107644,1.0,27.892358258011505,21.501122754491018,21.96556886227545,0.16417419884963025,0.010446486866556175,0.44264069264069267,0.0,0.20805258833196386,0.010217876568051058,0.010217876568051058,0.23255813953488372,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
