C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,757000000.0,Accounts Receivable,322000000.0,Inventory,260000000.0,Net PPE,464000000.0,Accounts Payable,34000000.0,Current Debt And Capital Lease Obligation,101000000.0,Long Term Debt And Capital Lease Obligation,4840000000.0,Total Assets,1639000000.0,Total Liabilities Net Minority Interest,1205000000.0,Current Assets,1121000000.0,Current Liabilities,3201000000.0,Total Equity Gross Minority Interest,3201000000.0,Total Equity Gross Minority Interest,4000000.0,Minority Interest,2021-12-31,A,4700000000.0,Total Revenue,1987000000.0,Cost Of Revenue,1672000000.0,Operating Expense,0.0,Interest Expense,861000000.0,Net Income,186000000.0,Tax Provision,44000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,54000000.0,Capital Expenditure,,,1600000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,44000000.0,Depreciation,365.0,VLTO,Industrials,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,3201000000.0,1,0.0,0.0,,3375000000.0,623000000.0,417000000.0,2021,12,22.270828345662423,,0.5772340425531914,0.3557446808510638,58.78829787234042,59.14947156517363,85.23402113739306,0.01148936170212766,,,0.027892561983471075,,0.7180851063829787,0.1325531914893617,0.08872340425531915,58.78829787234042,59.14947156517363,85.23402113739306,0.01148936170212766,,,-0.3404255319148936,,,,0.17765042979942694,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
0.0,Cash And Cash Equivalents,816000000.0,Accounts Receivable,345000000.0,Inventory,247000000.0,Net PPE,440000000.0,Accounts Payable,32000000.0,Current Debt And Capital Lease Obligation,91000000.0,Long Term Debt And Capital Lease Obligation,4825000000.0,Total Assets,1585000000.0,Total Liabilities Net Minority Interest,1280000000.0,Current Assets,1123000000.0,Current Liabilities,3240000000.0,Total Equity Gross Minority Interest,3240000000.0,Total Equity Gross Minority Interest,5000000.0,Minority Interest,2022-12-31,A,4870000000.0,Total Revenue,2110000000.0,Cost Of Revenue,1648000000.0,Operating Expense,0.0,Interest Expense,845000000.0,Net Income,268000000.0,Tax Provision,40000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,34000000.0,Capital Expenditure,0.0,Cash Dividends Paid,1562000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,40000000.0,Depreciation,365.0,VLTO,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,3240000000.0,1,0.0,0.0,119000000.0,3298000000.0,651000000.0,371000000.0,2022,12,22.30635977404091,0.03553142837848711,0.5667351129363449,0.3383983572895277,61.158110882956876,59.68009478672986,76.11374407582939,0.006981519507186858,0.15384615384615385,0.0,0.025492227979274612,0.024435318275154005,0.6772073921971252,0.13367556468172484,0.07618069815195072,61.158110882956876,59.68009478672986,76.11374407582939,0.006981519507186858,0.15384615384615385,0.0,-0.32073921971252567,0.0,0.0,0.0,0.2407906558849955,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
762000000.0,Cash And Cash Equivalents,826000000.0,Accounts Receivable,297000000.0,Inventory,262000000.0,Net PPE,431000000.0,Accounts Payable,33000000.0,Current Debt And Capital Lease Obligation,2629000000.0,Long Term Debt,5693000000.0,Total Assets,4304000000.0,Total Liabilities Net Minority Interest,2073000000.0,Current Assets,1265000000.0,Current Liabilities,1389000000.0,Total Equity Gross Minority Interest,1389000000.0,Total Equity Gross Minority Interest,6000000.0,Minority Interest,2023-12-31,A,5021000000.0,Total Revenue,2120000000.0,Cost Of Revenue,1761000000.0,Operating Expense,30000000.0,Interest Expense,839000000.0,Net Income,257000000.0,Tax Provision,39000000.0,,0.0,Net Common Stock Issuance,7824000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,54000000.0,Capital Expenditure,0.0,Cash Dividends Paid,294000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,39000000.0,Depreciation,365.0,VLTO,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1389000000.0,1,0.0,0.0,188000000.0,3358000000.0,801000000.0,410000000.0,2023,12,22.33689495399898,0.030535179958068426,0.5777733519219279,0.350726946823342,60.0458076080462,51.134433962264154,74.20518867924528,0.010754829715196175,0.15789473684210525,0.1517625970922127,0.46759177937818375,0.03744274048994224,0.6687910774746066,0.15952997410874328,0.08165704043019319,60.0458076080462,51.134433962264154,74.20518867924528,0.010754829715196175,0.15789473684210525,0.0,-0.05855407289384585,0.1517625970922127,0.24390243902439024,0.24390243902439024,0.23448905109489052,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,45000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,,,,,,,,,,,91.25,VLTO,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
1267000000.0,Cash And Cash Equivalents,839000000.0,Accounts Receivable,326000000.0,Inventory,261000000.0,Net PPE,424000000.0,Accounts Payable,,,2639000000.0,Long Term Debt,6263000000.0,Total Assets,4303000000.0,Total Liabilities Net Minority Interest,2617000000.0,Current Assets,1226000000.0,Current Liabilities,1960000000.0,Total Equity Gross Minority Interest,1960000000.0,Total Equity Gross Minority Interest,6000000.0,Minority Interest,2024-09-30,Q,1314000000.0,Total Revenue,531000000.0,Cost Of Revenue,475000000.0,Operating Expense,27000000.0,Interest Expense,219000000.0,Net Income,67000000.0,Tax Provision,10000000.0,,35000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,,,9000000.0,Capital Expenditure,23000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,10000000.0,Depreciation,91.25,VLTO,Industrials,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1960000000.0,1,0.0,0.0,185000000.0,3385000000.0,,438000000.0,2024,9,20.996341757008828,,0.595890410958904,0.3614916286149163,58.263888888888886,56.02165725047081,72.86252354048965,0.00684931506849315,,0.9642313546423136,0.42136356378732237,0.14079147640791476,1.0,,0.3333333333333333,58.263888888888886,56.02165725047081,72.86252354048965,0.00684931506849315,,0.1050228310502283,0.02663622526636225,0.5,,,0.23426573426573427,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
1101000000.0,Cash And Cash Equivalents,812000000.0,Accounts Receivable,288000000.0,Inventory,268000000.0,Net PPE,395000000.0,Accounts Payable,39000000.0,Current Debt And Capital Lease Obligation,2599000000.0,Long Term Debt,6406000000.0,Total Assets,4361000000.0,Total Liabilities Net Minority Interest,2387000000.0,Current Assets,1245000000.0,Current Liabilities,2045000000.0,Total Equity Gross Minority Interest,2045000000.0,Total Equity Gross Minority Interest,7000000.0,Minority Interest,2024-12-31,Q,1345000000.0,Total Revenue,544000000.0,Cost Of Revenue,493000000.0,Operating Expense,28000000.0,Interest Expense,227000000.0,Net Income,53000000.0,Tax Provision,10000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,,,22000000.0,Capital Expenditure,22000000.0,Cash Dividends Paid,0.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,10000000.0,Depreciation,91.25,VLTO,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,2045000000.0,1,0.0,0.0,186000000.0,3751000000.0,811000000.0,517000000.0,2024,12,21.019659850000213,0.023318092991384987,0.595539033457249,0.36654275092936806,55.089219330855016,48.30882352941177,66.25689338235294,0.016356877323420074,0.038314176245210725,0.8185873605947955,0.411801436153606,0.1382899628252788,1.0,0.5,0.38438661710037175,55.089219330855016,48.30882352941177,66.25689338235294,0.016356877323420074,0.038314176245210725,0.09691629955947137,0.0,0.5,0.010610079575596816,0.010610079575596816,0.18928571428571428,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
1239000000.0,Cash And Cash Equivalents,832000000.0,Accounts Receivable,310000000.0,Inventory,274000000.0,Net PPE,407000000.0,Accounts Payable,,,2630000000.0,Long Term Debt,6645000000.0,Total Assets,4336000000.0,Total Liabilities Net Minority Interest,2558000000.0,Current Assets,1170000000.0,Current Liabilities,2309000000.0,Total Equity Gross Minority Interest,2309000000.0,Total Equity Gross Minority Interest,7000000.0,Minority Interest,2025-03-31,Q,1332000000.0,Total Revenue,527000000.0,Cost Of Revenue,483000000.0,Operating Expense,27000000.0,Interest Expense,225000000.0,Net Income,64000000.0,Tax Provision,10000000.0,,,,,,,,15000000.0,Capital Expenditure,27000000.0,Cash Dividends Paid,,,10000000.0,Depreciation,91.25,VLTO,Industrials,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,2309000000.0,1,0.0,0.0,177000000.0,3813000000.0,,536000000.0,2025,3,21.00994740906461,-0.00971244093560486,0.6043543543543544,0.36261261261261263,56.996996996997,53.6764705882353,70.47201138519924,0.01126126126126126,0.03731343283582089,0.9301801801801802,0.39578630549285176,0.13288288288288289,1.0,,0.4024024024024024,56.996996996997,53.6764705882353,70.47201138519924,0.01126126126126126,0.03731343283582089,0.12,,0.5,0.01023502653525398,0.01023502653525398,0.22145328719723184,0.8,0.0,1.0,0.25,0.0
1559000000.0,Cash And Cash Equivalents,878000000.0,Accounts Receivable,329000000.0,Inventory,284000000.0,Net PPE,411000000.0,Accounts Payable,,,2672000000.0,Long Term Debt,7171000000.0,Total Assets,4510000000.0,Total Liabilities Net Minority Interest,2953000000.0,Current Assets,1275000000.0,Current Liabilities,2661000000.0,Total Equity Gross Minority Interest,2661000000.0,Total Equity Gross Minority Interest,8000000.0,Minority Interest,2025-06-30,Q,1371000000.0,Total Revenue,549000000.0,Cost Of Revenue,509000000.0,Operating Expense,28000000.0,Interest Expense,222000000.0,Net Income,63000000.0,Tax Provision,10000000.0,,,,,,,,16000000.0,Capital Expenditure,27000000.0,Cash Dividends Paid,,,10000000.0,Depreciation,91.25,VLTO,Industrials,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,2661000000.0,1,0.0,0.0,187000000.0,3934000000.0,,563000000.0,2025,6,21.03880623752659,0.02885882846198129,0.5995623632385121,0.3712618526622903,58.43727206418672,54.68351548269581,68.31284153005464,0.011670313639679067,0.0364963503649635,1.137126185266229,0.3726119090782318,0.1363967906637491,1.0,,0.41064916119620715,58.43727206418672,54.68351548269581,68.31284153005464,0.011670313639679067,0.0364963503649635,0.12162162162162163,,0.5,0.01064638783269962,0.01064638783269962,0.22105263157894736,0.8,1.0,6.123233995736766e-17,0.25,0.0
1775000000.0,Cash And Cash Equivalents,875000000.0,Accounts Receivable,340000000.0,Inventory,285000000.0,Net PPE,400000000.0,Accounts Payable,700000000.0,Current Debt,1972000000.0,Long Term Debt,7429000000.0,Total Assets,4581000000.0,Total Liabilities Net Minority Interest,3195000000.0,Current Assets,2037000000.0,Current Liabilities,2848000000.0,Total Equity Gross Minority Interest,2848000000.0,Total Equity Gross Minority Interest,1000000.0,Minority Interest,2025-09-30,Q,1404000000.0,Total Revenue,560000000.0,Cost Of Revenue,518000000.0,Operating Expense,21000000.0,Interest Expense,239000000.0,Net Income,67000000.0,Tax Provision,11000000.0,,35000000.0,Common Stock Issuance+Issuance Of Capital Stock+Issuance Of Capital Stock+Net Common Stock Issuance+Common Stock Issuance,,,,,12000000.0,Capital Expenditure,28000000.0,Cash Dividends Paid,,,11000000.0,Depreciation,91.25,VLTO,Industrials,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,2848000000.0,1,0.0,0.0,205000000.0,3949000000.0,937000000.0,572000000.0,2025,9,21.06259114255003,0.023784905023440217,0.6011396011396011,0.36894586894586895,56.868767806267805,55.401785714285715,65.17857142857143,0.008547008547008548,0.03873239436619718,1.2642450142450143,0.3596715574101494,0.146011396011396,1.0,0.5,0.4074074074074074,56.868767806267805,55.401785714285715,65.17857142857143,0.008547008547008548,0.03873239436619718,0.11715481171548117,,0.5,0.007859281437125748,0.007859281437125748,0.21895424836601307,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-31,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,VLTO,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2025,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
