ticker,sector,date,idx,step,period_days,logS_pred,logS_true,mask_logS,S_true,mask_S,theta_m_gross,theta_m_opex,theta_DSO,theta_DIO,theta_DPO,theta_alpha_OCA,theta_alpha_ONCA,theta_alpha_OCL,theta_alpha_ONCL,theta_kappa,theta_delta,theta_payout,theta_neteq_to_sales,theta_phi,theta_r_ST,theta_r_LT,theta_tau,theta_true_m_gross,theta_true_m_opex,theta_true_DSO,theta_true_DIO,theta_true_DPO,theta_true_alpha_OCA,theta_true_alpha_ONCA,theta_true_alpha_OCL,theta_true_alpha_ONCL,theta_true_kappa,theta_true_delta,theta_true_payout,theta_true_neteq_to_sales,theta_true_phi,theta_true_r_ST,theta_true_r_LT,theta_true_tau,mask_theta_m_gross,mask_theta_m_opex,mask_theta_DSO,mask_theta_DIO,mask_theta_DPO,mask_theta_alpha_OCA,mask_theta_alpha_ONCA,mask_theta_alpha_OCL,mask_theta_alpha_ONCL,mask_theta_kappa,mask_theta_delta,mask_theta_payout,mask_theta_neteq_to_sales,mask_theta_phi,mask_theta_r_ST,mask_theta_r_LT,mask_theta_tau,COGS_true,mask_COGS,OPEX_true,mask_OPEX,Tax_true,mask_Tax,NI_true,mask_NI,Div_true,mask_Div,Int_true,mask_Int,TA_true,mask_TA,TL_true,mask_TL,NetEq_true,mask_NetEq,state_true_C,state_true_AR,state_true_Inv,state_true_OCA,state_true_K,state_true_ONCA,state_true_AP,state_true_OCL,state_true_STD,state_true_LTD,state_true_ONCL,state_true_E_flow,mask_state_C,mask_state_AR,mask_state_Inv,mask_state_OCA,mask_state_K,mask_state_ONCA,mask_state_AP,mask_state_OCL,mask_state_STD,mask_state_LTD,mask_state_ONCL,mask_state_E_flow,period_days_panel,period_days_date,pred_dt,pred_logS_in,pred_logS_safe,pred_S,pred_m_gross,pred_m_opex,pred_DSO,pred_DIO,pred_DPO,pred_alpha_OCA,pred_alpha_ONCA,pred_alpha_OCL,pred_alpha_ONCL,pred_kappa,pred_delta,pred_payout,pred_neteq_to_sales,pred_phi,pred_r_ST,pred_r_LT,pred_tau,pred_neteq_mode,pred_COGS,pred_OPEX,pred_Int,pred_Tax,pred_NI,pred_Div,pred_NetEq,pred_CFO,pred_CFI,pred_CFF,pred_TA,pred_TL,pred_E,pred_bs_resid,pred_cash_resid,pred_Borrow,pred_Repay_st,pred_Repay_lt,pred_C_min,pred_nonfinite_state,pred_clipped_state,state_pred_C,state_pred_AR,state_pred_Inv,state_pred_OCA,state_pred_K,state_pred_ONCA,state_pred_AP,state_pred_OCL,state_pred_STD,state_pred_LTD,state_pred_ONCL,state_pred_E_flow
XOM,Energy,2021-12-31,0,-3,365.0,,0.0,0,0.0,0,0.31252770679501446,0.09191989289144042,39.08062420619299,23.023251478170202,56.680274772308735,0.05206119132131169,0.39503403914837315,0.1712945353112717,0.3515129040922818,0.1609509978526684,0.04308343976966423,0.4364212476917315,-0.06745701064220685,0.08933069794266764,0.015016315693151615,0.015016315693151615,0.22366876224411086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,9574000000.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XOM,Energy,2022-12-31,1,-2,365.0,,26.71141238558045,1,398675000000.0,1,0.31252770679501446,0.09191989289144042,39.08062420619299,23.023251478170202,56.680274772308735,0.05206119132131169,0.39503403914837315,0.1712945353112717,0.3515129040922818,0.1609509978526684,0.04308343976966423,0.4364212476917315,-0.06745701064220685,0.08933069794266764,0.015016315693151615,0.015016315693151615,0.22366876224411086,0.2585238602872013,0.0979218661817269,30.069756066971845,30.170952748234143,40.95520080647344,0.02686900357434,0.1674145607324261,0.0883978177713676,0.151223427603938,0.0461704395811124,0.0,0.2680121994976677,-0.076026838903869,0.0743462720260864,0.0,0.0,0.2657674271563306,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,295608000000.0,1,39039000000.0,1,20176000000.0,1,55740000000.0,1,14939000000.0,1,798000000.0,1,369067000000.0,1,166594000000.0,1,-30310000000.0,1,29639999488.0,32843999232.0,24434999296.0,10712000512.0,204691996672.0,66744000512.0,33169000448.0,35242000384.0,634000000.0,37260001280.0,60288999424.0,202472996864.0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XOM,Energy,2023-12-31,2,-1,365.0,,26.53649148187285,1,334697000000.0,1,0.31252770679501446,0.09191989289144042,39.08062420619299,23.023251478170202,56.680274772308735,0.05206119132131169,0.39503403914837315,0.1712945353112717,0.3515129040922818,0.1609509978526684,0.04308343976966423,0.4364212476917315,-0.06745701064220685,0.08933069794266764,0.015016315693151615,0.015016315693151615,0.22366876224411086,0.2513975326937498,0.1185579793066564,33.03895762435875,36.593961405679394,45.5224800941909,0.0288439991992757,0.1935123410129161,0.0895645912571669,0.1936617298631299,0.0654890841567148,0.1008393097922732,0.4149125242988059,-0.1060541325437634,0.0942314989378452,0.0224046023117116,0.0224046023117116,0.299947510643675,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,250555000000.0,1,39681000000.0,1,15429000000.0,1,36010000000.0,1,14941000000.0,1,849000000.0,1,376317000000.0,1,163779000000.0,1,-35496000000.0,1,31538999296.0,30296000512.0,25120000000.0,9653999616.0,214939992064.0,64768000000.0,31249000448.0,29976999936.0,4089999872.0,33645000704.0,64817999872.0,212537999360.0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XOM,Energy,2024-06-30,3,0,91.25,,0.0,0,0.0,0,0.31252770679501446,0.09191989289144042,39.08062420619299,23.023251478170202,56.680274772308735,0.05206119132131169,0.39503403914837315,0.1712945353112717,0.3515129040922818,0.1609509978526684,0.04308343976966423,0.4364212476917315,-0.06745701064220685,0.08933069794266764,0.015016315693151615,0.015016315693151615,0.22366876224411086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2568000000.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XOM,Energy,2024-09-30,4,1,92.0,26.53649148187285,0.0,0,0.0,0,0.31252770679501446,0.09191989289144042,39.08062420619299,23.023251478170202,56.680274772308735,0.05206119132131169,0.39503403914837315,0.1712945353112717,0.3515129040922818,0.1609509978526684,0.04308343976966423,0.4364212476917315,-0.06745701064220685,0.08933069794266764,0.015016315693151615,0.015016315693151615,0.22366876224411086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2296000000.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,91.25,92.0,92.0,26.53649148187285,26.53649148187285,334697000000.00037,0.31252770679501446,0.09191989289144042,39.08062420619299,23.023251478170202,56.680274772308735,0.05206119132131169,0.39503403914837315,0.1712945353112717,0.3515129040922818,0.1609509978526684,0.04308343976966423,0.4364212476917315,-0.06745701064220685,0.08933069794266764,0.015016315693151615,0.015016315693151615,0.22366876224411086,0.0,230094914118.82928,30765312391.086468,0.0,16514979734.626003,57321793755.4586,25016448750.68535,-22577659090.914734,39230381989.08429,-186086523929.1378,176754858549.37054,433167581954.754,423439896040.8955,9727685913.85852,0.0,1.52587890625e-05,106698651929.99606,0.0,0.0,29898716609.317062,0.0,0.0,29898716609.317062,142175735651.52377,57581881213.10633,17424724551.66908,53869816128.29461,132216707800.84319,141759162564.84808,57331767085.07677,106698651929.99606,0.0,117650314460.97458,9727685913.85852
XOM,Energy,2024-12-31,5,2,92.0,26.53649148187285,26.54999429258618,1,339247000000.0,1,0.31252770679501446,0.09191989289144042,39.08062420619299,23.023251478170202,56.680274772308735,0.05206119132131169,0.39503403914837315,0.1712945353112717,0.3515129040922818,0.1609509978526684,0.04308343976966423,0.4364212476917315,-0.06745701064220685,0.08933069794266764,0.015016315693151615,0.015016315693151615,0.22366876224411086,0.226212759434866,0.1093303699074715,37.96033568461917,32.70893887735472,50.25780461324546,0.0299339419361114,0.1979884862651696,0.0860936132080755,0.2351030370202242,0.0716469121318685,0.0,0.4959619952494061,-0.1157209938481401,0.0678826931409857,0.0,0.0,0.2907980627500526,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,262505000000.0,1,37090000000.0,1,13810000000.0,1,33680000000.0,1,16704000000.0,1,996000000.0,1,453475000000.0,1,182869000000.0,1,-39258000000.0,1,23029000192.0,35282001920.0,23523999744.0,10154999808.0,294318014464.0,67166998528.0,36145000448.0,29206999040.0,4954999808.0,32803999744.0,79758000128.0,270605991936.0,1,1,1,1,1,1,1,1,1,1,1,1,365.0,92.0,92.0,26.53649148187285,26.53649148187285,334697000000.00037,0.31252770679501446,0.09191989289144042,39.08062420619299,23.023251478170202,56.680274772308735,0.05206119132131169,0.39503403914837315,0.1712945353112717,0.3515129040922818,0.1609509978526684,0.04308343976966423,0.4364212476917315,-0.06745701064220685,0.08933069794266764,0.015016315693151615,0.015016315693151615,0.22366876224411086,0.0,230094914118.82928,30765312391.086468,1602220641.4145217,15637500872.426838,54276154997.67699,23687267283.996,-22577659090.914734,56597051976.243256,-53869816128.29461,-2727235847.9486656,484716501104.48236,466977586567.85754,17738914536.62477,4.57763671875e-05,1.52587890625e-05,43537690526.96208,0.0,0.0,29898716609.317062,0.0,0.0,29898716609.31706,142175735651.52377,57581881213.10633,17424724551.66908,105418735278.02295,132216707800.84319,141759162564.84808,57331767085.07677,150236342456.95813,0.0,117650314460.97458,17738914536.62477
XOM,Energy,2025-03-31,6,3,90.0,26.548951959204082,25.11843078476052,1,81058000000.0,1,0.31252770679501446,0.09191989289144042,39.08062420619299,23.023251478170202,56.680274772308735,0.05206119132131169,0.39503403914837315,0.1712945353112717,0.3515129040922818,0.1609509978526684,0.04308343976966423,0.4364212476917315,-0.06745701064220685,0.08933069794266764,0.015016315693151615,0.015016315693151615,0.22366876224411086,0.228046583927558,0.1065780058723383,52.12500616842261,35.69618685375482,93.31203154715293,0.0421426632781465,0.8392632436033457,0.0630906264650003,0.9308149719953612,0.0727627131190012,0.0193736027018395,0.5620381174640218,-0.118532408892398,0.2101704952009672,0.0054291692046929,0.0054291692046929,0.3162234042553191,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62573000000.0,1,8639000000.0,1,3567000000.0,1,7713000000.0,1,4335000000.0,1,205000000.0,1,451908000000.0,1,182102000000.0,1,-9608000000.0,1,17036000256.0,46302998528.0,24477999104.0,3416000000.0,292645994496.0,68029001728.0,63986999296.0,5113999872.0,4728000000.0,32822999040.0,75449999360.0,269805993984.0,1,1,1,1,1,1,1,1,1,1,1,1,91.25,90.0,90.0,26.548951959204082,26.548951959204082,338893575752.06744,0.31252770679501446,0.09191989289144042,39.08062420619299,23.023251478170202,56.680274772308735,0.05206119132131169,0.39503403914837315,0.1712945353112717,0.3515129040922818,0.1609509978526684,0.04308343976966423,0.4364212476917315,-0.06745701064220685,0.08933069794266764,0.015016315693151615,0.015016315693151615,0.22366876224411086,0.0,232979943674.71127,31151061184.72729,567001057.5304024,13759059372.11335,47756278013.69821,20841854435.85138,-22860747546.08275,44422247979.14451,-121252758725.9285,84075110205.00247,724731323453.1224,450071631933.35834,274659667967.7641,23552.0,0.0,88410247324.10968,0.0,0.0,30273599650.21849,0.0,0.0,30273599650.218483,147157471998.43936,59599509251.03119,17643203284.79182,336183041197.8672,133874498070.77437,146726302487.9961,58050617578.42565,93365247132.10968,32803999744.0,119125464990.82692,274659667967.7641
XOM,Energy,2025-06-30,7,4,91.0,-46.039199260499046,25.098733508572916,1,79477000000.0,1,0.31252770679501446,0.09191989289144042,39.08062420619299,23.023251478170202,56.680274772308735,0.05206119132131169,0.39503403914837315,0.1712945353112717,0.3515129040922818,0.1609509978526684,0.04308343976966423,0.4364212476917315,-0.06745701064220685,0.08933069794266764,0.015016315693151615,0.015016315693151615,0.22366876224411086,0.2258137574392591,0.1136932697509971,47.98268681505341,37.62560945880058,88.57315537136357,0.0452080476112586,0.8446846257407804,0.0379606678661751,0.955043597518779,0.0790543176013186,0.0208477136198683,0.6054786783394521,-0.124916642550675,0.1805805453149968,0.0038614151420734,0.0038614151420734,0.3211923703632704,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,61530000000.0,1,9036000000.0,1,3351000000.0,1,7082000000.0,1,4288000000.0,1,145000000.0,1,447597000000.0,1,177635000000.0,1,-9928000000.0,1,14352000000.0,41792000000.0,25371000832.0,3592999936.0,295356006400.0,67133001728.0,59725000704.0,3016999936.0,5418999808.0,33570000896.0,75904000000.0,269962002432.0,1,1,1,1,1,1,1,1,1,1,1,1,91.25,91.0,91.0,-46.039199260499046,-40.0,4.248354255291589e-18,0.31252770679501446,0.09191989289144042,39.08062420619299,23.023251478170202,56.680274772308735,0.05206119132131169,0.39503403914837315,0.1712945353112717,0.3515129040922818,0.1609509978526684,0.04308343976966423,0.4364212476917315,-0.06745701064220685,0.08933069794266764,0.015016315693151615,0.015016315693151615,0.22366876224411086,0.0,2.920625842232467e-18,3.90508268111298e-19,563877656.1778733,0.0,-13172073733.87978,0.0,-2.865812782110695e-19,4532120807.822126,68029001728.0,-89597122791.82213,280037798418.2981,23403875608.17787,256633920250.1202,2560.000030517578,0.0,0.0,4728000000.0,9419123431.822128,3.7950845073289965e-19,0.0,0.0,0.0,1.824487210393752e-18,7.389264092237444e-19,2.2117438368544405e-19,280037798418.2981,1.6782445412010151e-18,1.8191414862070536e-18,7.277198679978364e-19,0.0,23403875608.17787,1.4933513418903495e-18,256633920250.1202
XOM,Energy,2025-09-30,8,5,92.0,25.047336850406758,25.146086465748542,1,83331000000.0,1,0.31252770679501446,0.09191989289144042,39.08062420619299,23.023251478170202,56.680274772308735,0.05206119132131169,0.39503403914837315,0.1712945353112717,0.3515129040922818,0.1609509978526684,0.04308343976966423,0.4364212476917315,-0.06745701064220685,0.08933069794266764,0.015016315693151615,0.015016315693151615,0.22366876224411086,0.2260143284011952,0.1158752445068461,49.58846347697735,38.53617222506473,92.50209312061024,0.0260167284683971,0.8093866628265591,0.0390730940466333,0.9053413495577876,0.1047269323541059,0.0219226966779073,0.5620031796502385,-0.1230274447684535,0.1657726416339657,0.0023083433789017,0.0023083433789017,0.2953696788648245,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64497000000.0,1,9656000000.0,1,3164000000.0,1,7548000000.0,1,4242000000.0,1,90000000.0,1,454340000000.0,1,186117000000.0,1,-10252000000.0,1,13813999616.0,45284999168.0,27238000640.0,2168000000.0,298387996672.0,67447001088.0,65381998592.0,3256000000.0,9212000256.0,32824000512.0,75443003392.0,268223004672.0,1,1,1,1,1,1,1,1,1,1,1,1,91.25,92.0,92.0,25.047336850406758,25.047336850406758,75495346112.44606,0.31252770679501446,0.09191989289144042,39.08062420619299,23.023251478170202,56.680274772308735,0.05206119132131169,0.39503403914837315,0.1712945353112717,0.3515129040922818,0.1609509978526684,0.04308343976966423,0.4364212476917315,-0.06745701064220685,0.08933069794266764,0.015016315693151615,0.015016315693151615,0.22366876224411086,0.0,51900958718.22738,6939524128.458265,585471143.1317745,748046623.299022,2596392786.986657,1133120979.594529,-5092690366.144363,19254587828.588646,25158718926.265244,-52021254795.205826,380337745185.83435,114005156192.58661,266332583873.24774,5120.0,2.86102294921875e-06,3570968193.095196,0.0,0.0,6744051959.6480665,0.0,0.0,6744051959.6480665,32069622290.619316,12988356788.346514,3930377657.828699,294782104977.6878,29823231511.704,31975658707.558483,12931940230.49507,8989968001.095196,33570000896.0,26537588357.437874,266332583873.24774
XOM,Energy,2025-12-31,9,6,92.0,25.128193859869594,26.503716099867777,1,323905000000.0,1,0.31252770679501446,0.09191989289144042,39.08062420619299,23.023251478170202,56.680274772308735,0.05206119132131169,0.39503403914837315,0.1712945353112717,0.3515129040922818,0.1609509978526684,0.04308343976966423,0.4364212476917315,-0.06745701064220685,0.08933069794266764,0.015016315693151615,0.015016315693151615,0.22366876224411086,0.2199410320927433,0.1151633966749509,40.278970685849245,37.99588387786199,52.07640551718679,0.0328954477393062,0.2044580972816103,0.0833114647813402,0.2534570321544897,0.0875503619888547,0.0871114119870772,0.5973859381500486,-0.1251786789336379,0.0329757181889751,0.0143448472737653,0.0143448472737653,0.2851194606919798,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,252665000000.0,1,37302000000.0,1,11504000000.0,1,28844000000.0,1,17231000000.0,1,603000000.0,1,448980000000.0,1,182354000000.0,1,-40546000000.0,1,10680999936.0,35743997952.0,26301999104.0,10654999552.0,299373002752.0,66225000448.0,36048998400.0,26985000960.0,9296000000.0,27928000512.0,82095996928.0,266626007040.0,1,1,1,1,1,1,1,1,1,1,1,1,365.0,92.0,92.0,25.128193859869594,25.128193859869594,81853251073.3937,0.31252770679501446,0.09191989289144042,39.08062420619299,23.023251478170202,56.680274772308735,0.05206119132131169,0.39503403914837315,0.1712945353112717,0.3515129040922818,0.1609509978526684,0.04308343976966423,0.4364212476917315,-0.06745701064220685,0.08933069794266764,0.015016315693151615,0.015016315693151615,0.22366876224411086,0.0,56271842221.70941,7523942071.482531,631225858.0098517,1022313784.2246507,3548345855.3583817,1548573525.4372892,-5521575628.757149,18032506056.829292,21937818261.303658,-46472315886.87028,391467559243.6751,126766368110.51117,264701201373.16394,-10240.0,-3.814697265625e-06,7268362665.120849,0.0,0.0,7312008047.262669,0.0,0.0,7312008047.262669,34770392883.200676,14082182332.720997,4261377764.4033113,298706777827.13885,32334820388.948627,34668516076.85319,14021014606.333826,16480362921.12085,32824000512.0,28772473994.203304,264701201373.16394
